year,month,day,average_rtt,average_rtt_n,download_throughput,download_throughput_n,minimum_rtt,minimum_rtt_n,packet_retransmit_rate,packet_retransmit_rate_n,upload_throughput,upload_throughput_n
2012,1,1,95.3,200,7.912,200,58.0,200,0.003374,200,0.789,308
2012,1,2,77.0,166,7.122,166,45.0,166,0.003674,166,0.798,273
2012,1,3,76.4,161,7.355,161,41.0,161,0.003100,161,0.792,261
2012,1,4,84.7,156,7.131,156,45.0,156,0.002884,156,0.787,245
2012,1,5,70.4,169,8.970,169,45.0,169,0.003318,169,0.800,263
2012,1,6,81.1,132,9.164,132,42.0,132,0.002813,132,0.798,221
2012,1,7,77.7,180,9.077,180,42.0,180,0.003703,180,0.803,282
2012,1,8,94.8,214,8.051,214,54.0,214,0.003670,214,0.784,330
2012,1,9,77.8,143,8.720,143,43.0,143,0.002875,143,0.795,269
2012,1,10,81.1,154,7.822,154,44.0,154,0.002506,154,0.790,270
2012,1,11,70.8,149,7.529,149,43.0,149,0.003325,149,0.800,239
2012,1,12,74.8,176,7.490,176,45.0,176,0.003377,176,0.804,290
2012,1,13,84.9,156,6.741,156,48.5,156,0.003997,156,0.786,232
2012,1,14,71.0,169,8.336,169,40.0,169,0.002946,168,0.806,290
2012,1,15,74.3,224,7.057,224,42.0,224,0.003321,224,0.799,317
2012,1,16,78.6,149,6.353,149,49.0,149,0.003593,149,0.803,251
2012,1,17,69.7,169,7.527,169,40.0,169,0.002891,169,0.800,254
2012,1,18,77.0,144,9.017,144,42.0,144,0.002376,144,0.804,255
2012,1,19,76.2,139,8.031,139,44.0,139,0.002545,139,0.803,241
2012,1,20,65.6,128,9.283,128,40.0,128,0.002789,128,0.804,223
2012,1,21,80.6,157,8.522,157,45.0,157,0.003449,157,0.800,304
2012,1,22,77.3,204,7.923,204,43.0,204,0.003062,203,0.800,344
2012,1,23,84.1,170,7.555,170,44.5,170,0.003541,170,0.802,258
2012,1,24,76.2,102,8.499,102,43.0,102,0.003584,102,0.809,181
2012,1,25,79.6,154,8.900,154,47.0,154,0.002165,153,0.798,249
2012,1,26,76.4,111,8.462,111,45.0,111,0.002874,111,0.808,206
2012,1,27,71.3,160,8.933,160,40.0,160,0.002737,160,0.802,270
2012,1,28,79.8,154,8.524,154,44.0,154,0.003831,154,0.803,269
2012,1,29,113.9,127,6.760,127,62.0,127,0.004283,127,0.785,219
2012,1,30,86.8,109,6.410,109,43.0,109,0.003629,109,0.801,189
2012,1,31,86.5,145,9.549,145,45.0,145,0.002772,145,0.806,232
2012,2,1,78.8,150,9.798,150,42.0,150,0.004068,150,0.802,274
2012,2,2,80.5,147,8.658,147,45.0,147,0.003052,147,0.801,250
2012,2,3,75.1,169,9.319,169,42.0,169,0.002677,169,0.804,298
2012,2,4,76.2,186,7.909,186,42.0,186,0.003306,186,0.803,286
2012,2,5,61.0,209,10.164,209,39.0,209,0.002729,209,0.804,359
2012,2,6,80.5,164,8.630,164,45.0,164,0.003315,164,0.800,299
2012,2,7,83.7,203,8.139,203,43.0,203,0.003033,203,0.799,333
2012,2,8,85.1,217,7.708,217,49.0,217,0.003118,217,0.798,368
2012,2,9,73.2,194,8.889,194,40.0,194,0.002683,194,0.803,343
2012,2,10,73.2,193,8.879,193,42.0,193,0.003145,193,0.806,325
2012,2,11,87.5,211,7.621,211,44.0,211,0.003777,211,0.803,339
2012,2,12,84.5,223,8.857,223,52.0,223,0.003164,223,0.800,370
2012,2,13,69.9,174,8.862,174,42.0,174,0.002796,174,0.802,330
2012,2,14,74.9,163,9.578,163,42.0,163,0.003058,163,0.805,292
2012,2,15,81.4,156,8.136,156,45.5,156,0.003629,156,0.804,274
2012,2,16,81.6,179,9.421,179,41.0,179,0.003424,179,0.810,329
2012,2,17,72.5,183,9.242,183,42.0,183,0.002923,183,0.802,320
2012,2,18,85.1,262,9.115,262,42.5,262,0.002916,262,0.804,458
2012,2,19,95.6,203,6.734,203,46.0,203,0.003710,203,0.800,427
2012,2,20,92.4,210,7.926,210,45.0,210,0.002941,210,0.800,363
2012,2,21,90.1,201,7.938,201,44.0,201,0.002886,201,0.803,336
2012,2,22,71.7,217,6.989,217,41.0,217,0.003102,217,0.804,361
2012,2,23,79.6,155,10.219,155,43.0,155,0.002287,155,0.804,299
2012,2,24,64.0,179,8.698,179,40.0,179,0.002675,179,0.798,297
2012,2,25,63.7,208,10.663,208,39.0,208,0.002711,208,0.803,373
2012,2,26,65.0,240,7.953,240,40.0,240,0.002775,240,0.803,388
2012,2,27,68.3,170,11.703,170,38.5,170,0.002343,170,0.805,334
2012,2,28,68.1,216,8.605,216,38.0,216,0.002487,216,0.813,358
2012,2,29,72.0,202,8.801,202,42.0,202,0.002617,202,0.806,351
2012,3,1,66.5,214,9.196,214,39.0,214,0.003456,214,0.807,361
2012,3,2,67.4,221,8.961,221,40.0,221,0.003056,221,0.804,352
2012,3,3,61.2,226,9.136,226,38.0,226,0.003170,226,0.807,384
2012,3,4,68.3,237,9.071,237,40.0,237,0.002888,237,0.804,416
2012,3,5,67.2,197,10.773,197,40.0,197,0.002515,197,0.808,362
2012,3,6,66.8,179,9.208,179,40.0,179,0.002770,179,0.804,299
2012,3,7,67.6,201,10.284,201,39.0,201,0.003080,201,0.807,352
2012,3,8,70.1,174,9.425,174,36.0,174,0.002106,174,0.800,299
2012,3,9,75.6,197,8.773,197,40.0,197,0.003606,197,0.805,330
2012,3,10,71.4,205,8.927,205,40.0,205,0.003228,205,0.804,361
2012,3,11,73.2,173,8.953,173,40.0,173,0.002851,173,0.801,285
2012,3,12,65.8,191,10.685,191,40.0,191,0.002405,191,0.804,298
2012,3,13,68.1,171,9.139,171,38.0,171,0.002632,171,0.806,285
2012,3,14,65.9,176,10.494,176,38.0,176,0.002309,176,0.809,330
2012,3,15,69.7,147,9.191,147,40.0,147,0.002749,147,0.804,266
2012,3,16,63.2,148,9.896,148,38.0,148,0.002142,148,0.805,265
2012,3,17,72.0,170,10.158,170,40.0,170,0.002925,170,0.804,288
2012,3,18,71.7,187,8.913,187,40.0,187,0.002580,187,0.805,318
2012,3,19,64.9,162,8.626,162,40.0,162,0.003671,162,0.806,280
2012,3,20,73.4,140,9.253,140,39.5,140,0.002969,140,0.805,253
2012,3,21,66.3,154,9.205,154,40.0,154,0.002303,154,0.803,283
2012,3,22,67.6,164,9.138,164,38.0,164,0.002170,164,0.801,269
2012,3,23,68.3,164,9.444,164,39.0,164,0.002570,164,0.805,291
2012,3,24,73.1,189,8.748,189,40.0,189,0.003573,189,0.803,329
2012,3,25,73.5,226,11.017,226,41.0,226,0.002923,226,0.803,362
2012,3,26,78.6,151,9.421,151,39.0,151,0.003038,151,0.804,266
2012,3,27,65.0,175,9.227,175,38.0,175,0.002134,175,0.806,265
2012,3,28,73.0,153,7.516,153,38.0,153,0.003118,153,0.801,245
2012,3,29,61.7,133,10.165,133,39.0,133,0.002914,133,0.806,253
2012,3,30,64.9,131,9.386,131,40.0,131,0.002713,131,0.805,212
2012,3,31,76.3,167,9.474,167,40.0,167,0.002435,167,0.805,297
2012,4,1,71.6,219,9.293,219,41.0,219,0.002460,219,0.805,368
2012,4,2,64.6,164,9.144,164,38.5,164,0.002660,164,0.804,320
2012,4,3,65.6,137,8.821,137,39.0,137,0.002361,137,0.804,252
2012,4,4,68.1,147,9.188,147,38.0,147,0.002311,147,0.804,259
2012,4,5,61.9,153,10.106,153,36.0,153,0.002965,153,0.811,293
2012,4,6,63.0,168,8.561,168,39.5,168,0.002003,168,0.804,297
2012,4,7,64.9,175,10.748,175,39.0,175,0.002956,175,0.804,344
2012,4,8,71.5,188,9.077,188,40.0,188,0.002552,188,0.799,355
2012,4,9,69.4,170,8.775,170,39.0,170,0.002727,170,0.805,300
2012,4,10,66.5,181,7.598,181,39.0,181,0.002993,181,0.804,299
2012,4,11,67.6,153,9.547,153,39.0,153,0.003127,153,0.806,291
2012,4,12,57.9,148,10.858,148,37.0,148,0.002294,148,0.808,240
2012,4,13,58.0,102,10.140,102,38.0,102,0.002069,102,0.803,214
2012,4,14,68.3,157,8.038,157,39.0,157,0.002666,157,0.801,266
2012,4,15,80.6,219,8.056,219,43.0,219,0.002754,219,0.802,369
2012,4,16,64.9,156,8.800,156,39.0,156,0.002505,156,0.802,269
2012,4,17,68.2,136,7.846,136,39.0,136,0.002287,136,0.801,230
2012,4,18,65.4,155,9.495,155,39.0,155,0.002802,155,0.804,270
2012,4,19,71.8,117,8.263,117,42.0,117,0.002817,117,0.800,235
2012,4,20,62.7,149,11.367,149,38.0,149,0.002517,149,0.801,268
2012,4,21,71.9,184,8.501,184,40.0,184,0.003177,184,0.803,313
2012,4,22,77.6,207,8.709,207,43.0,207,0.002979,207,0.798,351
2012,4,23,76.2,128,8.210,128,43.0,128,0.002355,128,0.802,251
2012,4,24,70.1,171,9.165,171,40.0,171,0.003495,171,0.802,283
2012,4,25,67.6,147,11.825,148,39.0,147,0.002276,148,0.805,237
2012,4,26,61.5,184,9.372,184,38.0,184,0.002837,184,0.804,311
2012,4,27,63.8,157,9.691,157,38.0,157,0.002222,157,0.808,292
2012,4,28,62.3,185,9.935,185,39.0,185,0.002231,185,0.803,313
2012,4,29,71.3,196,9.168,196,42.0,196,0.002383,196,0.803,328
2012,4,30,74.9,157,9.202,157,41.0,157,0.002703,157,0.807,266
2012,5,1,70.5,137,8.306,137,41.0,137,0.003535,137,0.802,246
2012,5,2,62.9,142,9.202,142,38.0,142,0.003031,142,0.810,265
2012,5,3,66.1,153,9.244,153,39.0,153,0.003082,153,0.802,263
2012,5,4,65.5,146,10.095,146,39.5,146,0.002346,146,0.804,288
2012,5,5,65.2,142,10.065,142,38.0,142,0.002969,142,0.804,286
2012,5,6,71.8,196,8.961,196,40.0,196,0.002943,196,0.802,339
2012,5,7,65.6,156,8.668,156,39.0,156,0.002250,156,0.808,293
2012,5,8,70.7,131,9.426,131,41.0,131,0.003150,131,0.809,258
2012,5,9,75.1,164,10.053,164,41.0,164,0.003061,164,0.804,307
2012,5,10,58.0,166,10.721,166,35.5,166,0.002087,166,0.806,279
2012,5,11,59.6,125,12.344,125,39.0,125,0.001915,125,0.808,233
2012,5,12,65.5,140,10.062,140,39.5,140,0.002159,140,0.809,298
2012,5,13,70.3,194,9.003,194,39.0,194,0.002277,194,0.807,338
2012,5,14,74.1,171,9.097,171,38.0,171,0.002161,171,0.803,322
2012,5,15,69.6,122,10.997,122,38.0,122,0.002534,122,0.808,228
2012,5,16,68.5,132,10.344,132,39.0,132,0.002261,132,0.805,254
2012,5,17,59.7,154,9.766,154,38.0,154,0.002536,154,0.803,276
2012,5,18,64.1,154,10.647,154,35.0,154,0.002248,154,0.814,281
2012,5,19,58.7,186,10.911,186,36.5,186,0.002228,186,0.811,320
2012,5,20,66.7,148,9.463,148,38.0,148,0.002271,148,0.804,278
2012,5,21,68.0,163,10.687,163,41.0,163,0.002522,163,0.813,272
2012,5,22,67.1,169,9.994,169,38.0,169,0.003121,169,0.810,309
2012,5,23,68.4,162,8.908,162,39.0,162,0.002824,162,0.807,265
2012,5,24,63.1,140,9.891,140,35.0,140,0.002103,140,0.812,276
2012,5,25,70.6,144,9.241,144,38.0,144,0.002018,144,0.810,245
2012,5,26,63.9,155,11.768,155,39.0,155,0.002480,155,0.809,269
2012,5,27,65.5,189,9.228,189,36.0,189,0.002853,189,0.806,348
2012,5,28,61.2,214,9.280,214,38.0,214,0.002294,214,0.812,365
2012,5,29,72.2,163,8.959,163,39.0,163,0.002793,163,0.802,262
2012,5,30,71.2,146,8.328,146,40.0,146,0.002328,146,0.804,277
2012,5,31,63.6,173,9.929,173,38.0,173,0.002487,173,0.805,305
2012,6,1,72.3,172,9.090,172,41.0,172,0.002803,172,0.808,290
2012,6,2,65.3,181,10.133,181,39.0,181,0.002000,181,0.808,312
2012,6,3,82.6,214,9.488,214,44.0,214,0.002411,214,0.804,366
2012,6,4,82.9,173,8.355,173,44.0,173,0.003102,173,0.803,314
2012,6,5,80.6,161,7.839,161,40.0,161,0.002589,161,0.808,298
2012,6,6,70.8,131,10.010,131,40.0,131,0.002311,131,0.804,243
2012,6,7,65.9,145,9.194,145,40.0,145,0.002556,145,0.807,284
2012,6,8,62.3,135,8.787,135,38.0,135,0.002518,135,0.804,287
2012,6,9,65.9,144,9.469,144,38.0,144,0.001835,144,0.805,283
2012,6,10,82.9,196,8.861,196,42.5,196,0.003090,196,0.805,366
2012,6,11,81.1,138,7.827,138,42.5,138,0.002544,138,0.802,276
2012,6,12,76.0,179,6.881,179,43.0,179,0.003550,179,0.804,326
2012,6,13,73.0,143,8.987,143,39.0,143,0.002352,143,0.805,247
2012,6,14,83.3,172,9.433,172,43.0,172,0.002393,172,0.804,301
2012,6,15,65.2,160,9.661,160,39.0,160,0.002452,160,0.805,254
2012,6,16,66.5,111,11.144,111,38.0,111,0.001641,111,0.812,191
2012,6,17,77.4,196,8.275,196,40.0,196,0.002820,196,0.807,353
