year,month,day,average_rtt,average_rtt_n,download_throughput,download_throughput_n,minimum_rtt,minimum_rtt_n,packet_retransmit_rate,packet_retransmit_rate_n,upload_throughput,upload_throughput_n
2012,1,1,128.8,38,17.526,38,40.0,38,0.007211,38,4.596,75
2012,1,2,132.4,29,22.940,29,34.0,29,0.005883,29,13.163,53
2012,1,3,137.4,29,23.576,29,37.0,29,0.008101,29,11.322,52
2012,1,4,116.9,30,24.385,30,32.0,30,0.006862,30,5.132,61
2012,1,5,101.3,35,19.634,35,32.0,35,0.007348,35,7.233,67
2012,1,6,126.4,30,22.652,30,43.5,30,0.006708,30,4.741,58
2012,1,7,129.6,28,20.637,28,32.0,28,0.006925,28,7.628,62
2012,1,8,117.4,31,23.117,31,34.0,31,0.005914,31,4.487,76
2012,1,9,120.1,41,23.630,41,34.0,41,0.006373,41,12.094,69
2012,1,10,123.5,38,15.655,38,36.0,38,0.006913,38,4.191,67
2012,1,11,130.7,29,23.294,29,34.0,29,0.008354,29,15.398,62
2012,1,12,95.6,41,17.338,41,32.0,41,0.006707,41,6.254,79
2012,1,13,115.5,34,13.294,34,35.0,34,0.006569,34,4.320,68
2012,1,14,111.3,21,11.919,21,29.0,21,0.006001,21,4.280,58
2012,1,15,125.2,38,19.264,38,40.0,38,0.006607,38,6.028,70
2012,1,16,146.2,46,21.110,46,59.0,46,0.007895,46,3.559,78
2012,1,17,129.7,33,22.855,33,41.0,33,0.006955,33,3.448,67
2012,1,18,130.4,29,22.657,29,37.0,29,0.007060,28,4.461,61
2012,1,19,117.9,26,22.981,26,35.5,26,0.007302,26,9.552,53
2012,1,20,107.0,38,23.464,38,31.0,38,0.006199,38,15.887,64
2012,1,21,126.4,27,21.085,27,34.0,27,0.006205,27,4.171,77
2012,1,22,125.2,45,14.790,45,37.0,45,0.006387,45,6.889,82
2012,1,23,133.4,32,20.455,32,43.5,32,0.006537,32,12.381,68
2012,1,24,152.2,28,22.792,28,35.5,28,0.007999,27,17.146,49
2012,1,25,151.3,30,24.536,30,32.0,30,0.007169,30,4.395,64
2012,1,26,119.6,30,23.551,30,35.5,30,0.006092,30,13.577,68
2012,1,27,114.8,31,23.604,31,29.0,31,0.007127,31,4.400,73
2012,1,28,118.7,20,20.608,20,31.0,20,0.006551,20,7.285,55
2012,1,29,121.4,19,19.764,19,28.0,19,0.006600,19,7.936,54
2012,1,30,116.6,24,23.211,24,40.5,24,0.006451,24,8.660,51
2012,1,31,98.5,41,23.173,41,30.0,41,0.006277,41,9.820,76
2012,2,1,132.7,44,22.834,44,39.0,44,0.007016,44,3.773,91
2012,2,2,102.3,42,21.588,42,30.5,42,0.006324,42,8.136,80
2012,2,3,100.9,45,17.034,45,34.0,45,0.005384,45,5.471,86
2012,2,4,112.3,28,24.210,28,29.5,28,0.006377,28,14.773,69
2012,2,5,123.8,28,21.223,28,34.0,28,0.006909,28,8.202,62
