month,hour,year,packet_retransmit_rate,packet_retransmit_rate_n,minimum_rtt,minimum_rtt_n,average_rtt,average_rtt_n,download_throughput,download_throughput_n,upload_throughput,upload_throughput_n
11,0,2013,0.002669,48,39,48,125.6,48,11.42,48,4.05,106
11,1,2013,0.004655,47,36,47,100.7,47,23.94,47,5.491,88
11,2,2013,0.004586,24,35.5,24,103.3,24,24.35,24,7.761,50
11,3,2013,0.005313,26,32.5,26,105.3,26,24.28,26,13.56,40
11,4,2013,0.006583,22,41,22,105.9,22,22.47,22,11.38,34
11,5,2013,0.005374,19,39,19,105.5,19,24.41,19,13.44,27
11,6,2013,0.004988,44,32.5,44,104,44,24.17,44,4.657,72
11,7,2013,0.005051,41,39,41,121,41,22.8,41,5.639,62
11,8,2013,0.001764,64,38,64,112.4,64,9.932,64,3.732,109
11,9,2013,0.003995,45,37,45,103.2,45,17.7,45,4.181,81
11,10,2013,0.005073,62,39,62,106.4,62,9.277,62,3.43,113
11,11,2013,0.005364,73,39,73,120,73,9.889,73,3.829,135
11,12,2013,0.004611,70,42,70,132.4,70,10.25,70,3.096,129
11,13,2013,0.003664,67,44,67,120.7,67,9.548,67,0.6413,133
11,14,2013,0.002268,76,38,76,129,76,10.43,76,1.772,150
11,15,2013,0.0025,69,41,69,135.2,69,5.713,69,1.939,162
11,16,2013,0.002304,82,34.5,82,106.1,82,7.694,82,2.333,158
11,17,2013,0.001727,74,35,74,106.1,74,12.3,74,3.632,149
11,18,2013,0.001561,100,37,100,108.3,100,11.46,100,4.109,157
11,19,2013,0.004632,90,40,90,131.9,90,10.47,90,2.937,155
11,20,2013,0.001483,119,41,119,117.5,119,9.208,119,3.927,176
11,21,2013,0.002814,97,42,97,114.9,97,8.967,97,3.072,173
11,22,2013,0.003333,92,46,92,140.2,92,6.995,92,3.783,163
11,23,2013,0.003381,80,37.5,80,113.3,80,21.89,80,4.216,152
11,0,2012,0.005763,41,34,41,108.9,41,20.13,41,7.294,88
11,1,2012,0.006799,44,42,44,113.9,44,15.51,44,4.7,74
11,2,2012,0.005835,40,33.5,40,98.66,40,19.59,40,10.3,66
11,3,2012,0.005777,38,30,38,105.2,38,23.76,38,20.42,49
11,4,2012,0.005929,27,33,27,109.9,27,24.32,27,18.96,56
11,5,2012,0.008039,27,30,27,112.7,27,23.97,27,16.16,51
11,6,2012,0.006365,25,34,25,118.2,25,24.12,25,9.476,52
11,7,2012,0.006033,28,41,28,110.5,28,21.82,28,4.938,49
11,8,2012,0.005675,45,34,45,103.1,45,23.34,45,10.41,91
11,9,2012,0.00619,44,36,44,119.7,44,22.66,44,4.309,105
11,10,2012,0.006185,50,38,50,122,50,22.83,50,4.414,115
11,11,2012,0.005562,56,39.5,56,108.4,56,21.94,56,4.394,114
11,12,2012,0.005889,65,34,65,110.2,65,23.06,65,12.98,105
11,13,2012,0.002857,73,39,73,109,73,13.86,73,4.418,127
11,14,2012,0.006604,53,34,53,128.3,53,22.92,53,4.594,108
11,15,2012,0.003078,68,30.5,68,92.18,68,15.58,68,2.766,132
11,16,2012,0.004585,66,42,66,109.7,66,15.56,66,4.22,130
11,17,2012,0.002664,66,33.5,66,92.89,66,17.04,66,3.9,135
11,18,2012,0.005651,71,40,71,118.1,71,14.95,71,3.795,156
11,19,2012,0.005812,75,39,75,112.1,75,16.05,75,3.977,157
11,20,2012,0.006765,76,47,76,131.7,76,16.13,76,3.81,167
11,21,2012,0.004686,63,47,63,121.8,63,13.5,63,3.733,145
11,22,2012,0.006159,70,46,70,122,70,13.42,70,4.331,160
11,23,2012,0.006024,59,35,59,109.6,59,13.42,59,4.812,120
10,0,2012,0.006024,36,37,36,115.9,36,23.61,36,5.872,84
10,1,2012,0.006927,57,35,57,121.8,57,23.1,57,9.186,97
10,2,2012,0.005955,42,32,43,110.6,43,24.11,43,20.35,76
10,3,2012,0.007399,41,34,41,114.5,41,23.93,41,19.24,66
10,4,2012,0.006794,22,39,22,108.8,22,23.81,22,4.832,42
10,5,2012,0.007816,30,52,30,135.2,30,23.68,30,20.19,43
10,6,2012,0.006671,31,32,31,112.4,31,24.14,31,18.38,56
10,7,2012,0.006123,25,30,25,115.7,25,23.95,25,14.47,48
10,8,2012,0.006732,39,34,39,111.5,39,23.34,39,19.06,53
10,9,2012,0.006276,50,39.5,50,119.3,50,23.76,50,3.927,81
10,10,2012,0.004752,42,34,42,110,42,23.6,42,3.607,96
10,11,2012,0.005592,56,42,56,120.1,56,17.91,56,3.874,95
