year,month,day,average_rtt,average_rtt_n,download_throughput,download_throughput_n,minimum_rtt,minimum_rtt_n,packet_retransmit_rate,packet_retransmit_rate_n,upload_throughput,upload_throughput_n
2012,1,1,98.3,344,3.331,344,52.0,344,0.007433,344,0.516,505
2012,1,2,97.4,286,3.364,286,51.0,286,0.008233,286,0.522,420
2012,1,3,97.6,253,4.178,253,51.0,253,0.006865,249,0.535,360
2012,1,4,101.0,289,3.376,289,52.0,289,0.007711,288,0.523,443
2012,1,5,104.3,212,2.735,212,53.0,212,0.006729,211,0.523,340
2012,1,6,104.5,255,2.473,255,53.0,255,0.006248,254,0.407,417
2012,1,7,103.7,331,2.387,331,54.0,331,0.006986,329,0.441,492
2012,1,8,98.9,347,3.020,347,52.0,347,0.007280,346,0.519,531
2012,1,9,101.6,265,3.501,265,52.0,265,0.006280,263,0.522,403
2012,1,10,105.5,244,2.821,244,53.0,244,0.006731,242,0.489,378
2012,1,11,103.0,220,2.869,220,52.0,220,0.007036,220,0.435,369
2012,1,12,109.6,271,2.444,271,53.0,271,0.006020,271,0.400,426
2012,1,13,109.6,230,2.798,230,52.0,230,0.006081,228,0.510,435
2012,1,14,103.3,264,2.427,264,52.0,263,0.007242,264,0.519,419
2012,1,15,101.0,337,2.775,337,52.0,337,0.007537,335,0.471,538
2012,1,16,106.0,287,2.797,287,52.0,287,0.007283,286,0.449,456
2012,1,17,104.6,214,2.388,214,52.0,214,0.008307,213,0.466,336
2012,1,18,110.5,275,2.409,275,55.0,275,0.007199,273,0.362,453
2012,1,19,100.9,231,3.157,231,54.0,231,0.006484,229,0.445,405
2012,1,20,103.7,250,3.433,250,53.0,250,0.006743,249,0.528,379
2012,1,21,106.1,359,2.417,359,55.0,359,0.009617,359,0.400,572
2012,1,22,103.8,297,2.772,298,54.0,297,0.007649,296,0.434,515
2012,1,23,104.7,272,2.849,272,53.0,272,0.006881,270,0.415,423
2012,1,24,101.0,240,2.809,240,53.0,240,0.007758,239,0.437,399
2012,1,25,101.7,282,3.035,282,53.0,282,0.007463,282,0.498,440
2012,1,26,103.8,240,2.653,241,54.0,240,0.007480,239,0.525,384
2012,1,27,104.5,258,3.520,258,52.5,258,0.007055,256,0.444,440
2012,1,28,108.1,291,2.919,292,53.0,291,0.007131,287,0.531,443
2012,1,29,106.5,301,2.917,302,53.0,301,0.007667,301,0.500,492
2012,1,30,97.9,265,2.645,265,52.0,265,0.007470,264,0.530,420
2012,1,31,94.6,307,4.063,309,52.0,307,0.006846,309,0.523,465
2012,2,1,102.1,266,3.945,266,53.0,266,0.006586,265,0.525,400
2012,2,2,101.5,313,2.975,313,53.0,313,0.007088,311,0.528,462
2012,2,3,97.8,331,2.793,331,53.0,331,0.006974,330,0.535,487
2012,2,4,97.4,399,3.239,399,52.0,399,0.006673,398,0.539,584
2012,2,5,96.6,375,2.744,375,52.0,375,0.008457,374,0.529,590
2012,2,6,113.1,304,3.019,305,52.0,304,0.006211,301,0.500,534
2012,2,7,108.9,353,3.179,353,53.0,353,0.007824,351,0.522,547
2012,2,8,96.1,325,2.474,325,53.0,325,0.007462,322,0.362,625
2012,2,9,101.8,307,2.719,307,53.0,307,0.007101,304,0.333,751
2012,2,10,102.6,359,2.711,359,54.0,359,0.007356,358,0.529,550
2012,2,11,105.2,403,3.230,404,53.0,403,0.007005,401,0.535,632
2012,2,12,100.6,401,3.356,401,53.0,401,0.007415,398,0.522,648
2012,2,13,97.3,307,3.518,308,52.0,307,0.007331,308,0.542,475
2012,2,14,98.6,299,2.527,299,53.0,299,0.008491,297,0.514,478
