month,hour,year,packet_retransmit_rate,packet_retransmit_rate_n,minimum_rtt,minimum_rtt_n,average_rtt,average_rtt_n,download_throughput,download_throughput_n,upload_throughput,upload_throughput_n
11,0,2013,nan,0,nan,0,nan,0,nan,0,5.196,1
11,1,2013,0.00119,2,48.5,2,80.2,2,9.517,2,3.93,3
11,3,2013,0.001537,1,48,1,61,1,16.95,1,2.581,1
11,4,2013,0.006038,2,48.5,2,69.17,2,12.18,2,4.005,3
11,5,2013,0.01275,1,52,1,76.89,1,9.065,1,4.289,2
11,7,2013,0.002727,1,48,1,78.32,1,15.15,1,4.183,1
11,8,2013,0.004511,3,44,3,59.79,3,2.759,3,1.827,4
11,9,2013,0.01017,3,40,3,41.75,3,11.23,3,2.544,3
11,10,2013,0.002152,2,43,2,53.28,2,9.666,2,0.9637,2
11,11,2013,0.007206,2,44.5,2,54.79,2,24,2,1.069,4
11,12,2013,0.001604,3,43,3,61.14,3,16.88,3,1.882,4
11,13,2013,0.003354,1,49,1,56,1,11.11,1,3.061,2
11,14,2013,0.004934,2,48.5,2,75.23,2,8.089,2,3.891,5
11,15,2013,0.0008257,4,46,4,55.11,4,7.513,4,2.032,3
11,16,2013,0.0003918,1,50,1,55.98,1,14.37,1,3.97,1
11,17,2013,0.002158,1,49,1,135,1,2.957,1,2.082,2
11,18,2013,0.007097,1,42,1,53.27,1,3.645,1,1.204,1
11,19,2013,0.002741,1,50,1,66.57,1,12.35,1,3.888,1
11,20,2013,0.0007899,1,50,1,75.73,1,18.12,1,4.261,2
11,22,2013,0.001631,3,45,3,58.57,3,14.71,3,5.332,4
11,23,2013,0.0009863,2,48,2,63.66,2,9.911,2,3.15,2
11,8,2012,0.001292,3,47,3,65.77,3,3.52,3,1.751,4
11,9,2012,0.0004848,3,46,3,132.2,3,65.79,3,1.729,5
11,11,2012,0.0003655,1,53,1,156.8,1,49.64,1,3.448,2
11,12,2012,0.0003248,1,47,1,53.42,1,7.105,1,0.8114,2
11,13,2012,nan,0,nan,0,nan,0,nan,0,0.9491,1
11,14,2012,0.005272,2,52,2,92.58,2,7.983,2,0.8417,3
11,15,2012,0.0001966,1,46,1,72.19,1,5.67,1,0.971,2
11,16,2012,0.001986,2,46,2,54.51,2,9.108,2,2.001,3
11,18,2012,0.00336,1,48,1,58.23,1,12.29,1,1.267,2
11,19,2012,0.003471,1,47,1,54.42,1,10.24,1,6.784,1
11,21,2012,nan,0,nan,0,nan,0,nan,0,1.313,2
11,22,2012,nan,0,nan,0,nan,0,nan,0,0.9406,1
10,0,2012,0.0009276,1,53,1,59.36,1,4.87,1,1.642,1
10,1,2012,9.308e-05,1,54,1,97.33,1,12.24,1,1.673,1
10,5,2012,nan,0,nan,0,nan,0,nan,0,1.687,1
10,8,2012,0.0002362,5,46,5,99.93,5,22.02,5,3.992,6
10,9,2012,0.001792,1,50,1,60.25,1,52.62,1,4.098,3
10,10,2012,0.0008894,2,45,2,56.72,2,11.32,2,0.9779,3
10,12,2012,0.001291,2,47,2,258.4,2,35.81,2,5.3,2
10,13,2012,0.009876,2,47,2,263.9,2,8.995,2,1.839,3
10,14,2012,0.001237,2,42,2,50.1,2,24.02,2,4.579,2
10,15,2012,0.002362,1,44,1,535.5,1,19.71,1,2.59,2
10,16,2012,nan,0,nan,0,nan,0,nan,0,3.432,1
10,17,2012,nan,0,nan,0,nan,0,nan,0,0.9828,1
10,18,2012,0.0003842,2,49,2,77.26,2,20.55,2,1.029,4
10,19,2012,0.0001101,2,49,2,111.9,2,26.27,2,1.345,3
10,0,2013,6.78e-05,1,47,1,118.1,1,16.56,1,3.97,3
10,2,2013,0.001278,1,48,1,60.37,1,16.86,1,2.545,1
10,4,2013,0.0001289,3,46,3,50.62,3,8.959,3,1.953,5
10,8,2013,0.02523,2,99,2,178.4,2,0.4681,2,0.4711,3
10,9,2013,0.01102,2,51.5,2,66.85,2,29.09,2,1.82,4
10,10,2013,0.004362,9,45,9,58.64,9,7.655,9,1.831,21
10,11,2013,0.005167,11,49,11,79.65,11,21.98,11,2.089,18
10,12,2013,0.002239,9,50,9,69.88,9,8.274,9,1.432,9
10,13,2013,0.001051,2,43,2,61.82,2,33.95,2,1.137,6
10,14,2013,0.0006502,2,42,2,149.2,2,13.57,2,1.955,2
10,15,2013,nan,0,nan,0,nan,0,nan,0,0.943,2
10,16,2013,0.002274,3,48,3,112.7,3,17.21,3,3.974,3
10,17,2013,0.002246,2,41,2,144.3,2,13.96,2,2.443,2
10,18,2013,0.005445,1,49,1,65.7,1,2.997,1,1.684,3
10,19,2013,nan,0,nan,0,nan,0,nan,0,0.2116,2
10,20,2013,0.0002997,3,44,3,56.7,3,3.837,3,3.731,2
10,21,2013,0.001392,4,47.5,4,61.39,4,14.84,4,3.178,6
10,22,2013,0.00329,2,48.5,2,69.08,2,5.893,2,4.009,3
10,23,2013,nan,0,nan,0,nan,0,nan,0,0.0332,1
4,0,2014,0.004444,2,54,2,205.2,2,0.7617,2,1.113,2
4,5,2014,0.001155,1,56,1,101.2,1,13.65,1,3.853,1
4,7,2014,0.00275,7,45,7,54.4,7,32.57,7,0.997,8
4,8,2014,0.0007716,5,47,5,60.42,5,8.49,5,1.797,9
4,9,2014,0.003102,10,46,10,66.35,10,6.414,10,1.337,18
4,10,2014,0.003271,8,44.5,8,55.4,8,17.79,8,1.66,11
4,11,2014,0.001306,5,45,5,57.35,5,32.32,5,1.294,14
4,12,2014,0.0004089,7,44,7,59.31,7,28.23,7,1.078,14
4,13,2014,0.0009876,6,46,6,58.74,6,17.99,6,1.914,8
4,14,2014,0.00329,6,43,6,68.98,6,34.02,6,2.028,8
4,15,2014,0.003108,8,48,8,72.47,8,9.752,8,1.691,16
4,16,2014,0.002811,7,49,7,57.26,7,36.92,7,1.958,8
4,17,2014,0.0002944,1,45,1,190.1,1,14.33,1,0.927,3
4,18,2014,nan,0,nan,0,nan,0,nan,0,5.201,1
4,19,2014,0.01344,3,44,3,60.54,3,8.665,3,0.5317,2
4,20,2014,9.632e-05,1,60,1,156.6,1,23,1,1.209,2
