month,day,year,packet_retransmit_rate,packet_retransmit_rate_n,minimum_rtt,minimum_rtt_n,average_rtt,average_rtt_n,download_throughput,download_throughput_n,upload_throughput,upload_throughput_n
11,1,2013,0.02183,159,106,159,139.4,159,0.5457,159,0.5497,188
11,2,2013,0.024,123,108,123,138.4,123,0.4682,123,0.5184,138
11,3,2013,0.03644,106,111,106,145.3,106,0.3851,106,0.5592,123
11,4,2013,0.03338,98,108,98,146.6,98,0.393,98,0.5854,117
11,5,2013,0.03979,152,109,152,139.7,152,0.3739,152,0.5593,163
11,6,2013,0.01833,128,110.5,128,140,128,0.5541,128,0.56,149
11,7,2013,0.02419,116,102.5,116,134.6,116,0.5489,116,0.5259,147
11,8,2013,0.02763,121,107,121,136.1,121,0.4626,121,0.5401,130
11,9,2013,0.02933,128,109.5,128,138.2,128,0.4329,128,0.558,156
11,10,2013,0.03667,142,112,142,149,142,0.3409,142,0.5635,170
11,11,2013,0.03091,140,108,140,146.8,140,0.4199,140,0.4768,181
11,12,2013,0.03036,143,108,143,150.4,143,0.4034,143,0.5457,159
11,13,2013,0.02847,160,111.5,160,151.6,160,0.4624,160,0.5362,196
11,14,2013,0.02198,169,106,169,137,169,0.6089,169,0.5533,183
11,15,2013,0.02817,151,104,151,138.2,151,0.5162,151,0.529,180
11,16,2013,0.02982,177,110,177,145.3,177,0.4233,177,0.5429,198
11,17,2013,0.03037,132,110,132,149.7,132,0.3977,132,0.4265,167
11,18,2013,0.02518,144,108,144,136.5,144,0.5357,144,0.5204,176
11,19,2013,0.02456,117,113,117,146.9,117,0.4606,117,0.5005,149
11,20,2013,0.0221,160,108,160,138.6,160,0.5819,160,0.5624,185
11,21,2013,0.03147,149,109,149,151.5,149,0.4442,149,0.5118,173
11,22,2013,0.03008,168,113.5,168,150,168,0.415,168,0.4727,189
11,23,2013,0.03443,162,112,162,147,162,0.3697,162,0.5337,179
11,24,2013,0.03976,176,110.5,176,142.7,176,0.3596,176,0.5565,187
11,25,2013,0.03163,147,110,147,145.6,147,0.4778,147,0.5346,164
11,26,2013,0.02214,124,106,124,135.6,124,0.6168,124,0.5486,151
11,27,2013,0.02156,131,105,131,135.7,131,0.5599,131,0.5693,147
11,28,2013,0.01867,160,100.5,160,129.1,160,0.6694,160,0.5128,173
11,29,2013,0.02723,183,107,183,138.7,183,0.4706,183,0.52,205
11,30,2013,0.03243,206,109,206,138.2,206,0.416,206,0.5005,242
11,1,2012,0.01238,34,64.5,34,123.5,34,1.865,34,0.4495,53
11,2,2012,0.009573,40,52,40,120.3,40,5.66,40,0.6151,52
11,3,2012,0.008324,40,67.5,40,106.9,40,4.2,40,0.5982,88
11,4,2012,0.009639,41,62,41,116.6,41,3.213,41,0.5863,70
11,5,2012,0.0039,33,47,33,77.96,33,8.138,33,0.6104,48
11,6,2012,0.008483,31,68,31,107.3,31,2.891,31,0.5584,53
11,7,2012,0.00713,22,59.5,22,90.68,22,5.43,22,0.598,47
11,8,2012,0.0107,21,51,21,74.3,21,5.222,21,0.6032,38
11,9,2012,0.007006,38,53,38,108.7,38,4.902,38,0.6153,68
11,10,2012,0.007091,42,49,42,137.4,42,5.737,42,0.5769,73
11,11,2012,0.009346,37,57,37,107.8,37,2.875,37,0.5914,68
11,12,2012,0.00797,33,67,33,140.5,33,4.469,33,0.5536,71
11,13,2012,0.01939,28,62.5,28,108.4,28,1.24,28,0.5978,50
11,14,2012,0.01076,34,72.5,34,114.3,34,3.572,34,0.5964,56
11,15,2012,0.006102,39,53,39,100.9,39,2.882,39,0.62,69
11,16,2012,0.0116,82,65.5,82,108.5,82,4.077,82,0.5817,126
11,17,2012,0.008333,104,67,104,101,104,2.845,104,0.5717,176
11,18,2012,0.01098,135,65,135,102,135,3.858,135,0.5539,214
11,19,2012,0.006803,102,60,102,95.68,102,3.956,102,0.5985,183
11,20,2012,0.00672,90,51,90,98.34,90,4.674,90,0.6147,171
11,21,2012,0.006347,88,50.5,88,111.2,88,5.057,88,0.6056,170
11,22,2012,0.006705,87,61,87,108.7,87,4.706,87,0.5693,159
11,23,2012,0.012,83,62,83,132.1,83,2.716,83,0.5345,168
11,24,2012,0.01306,92,67,92,120.3,92,2.07,92,0.5586,166
11,25,2012,0.009183,99,60,99,117.4,99,3.866,99,0.5763,190
11,26,2012,0.005319,112,48,112,73.74,112,6.044,112,0.5597,176
11,27,2012,0.009527,104,68.5,104,119.4,104,5.235,104,0.569,180
11,28,2012,0.006173,87,68,87,121.8,87,3.839,87,0.5843,157
11,29,2012,0.0117,76,64.5,76,118.6,76,4.626,76,0.6007,154
11,30,2012,0.006433,124,65,124,113.6,124,3.701,124,0.578,187
10,1,2012,0.005263,123,66,123,107.9,123,4.016,123,0.5348,211
10,2,2012,0.007339,152,68,152,106.8,152,4.222,152,0.5612,211
10,3,2012,0.009994,151,64,151,111.9,151,3.061,151,0.5641,205
10,4,2012,0.008268,142,72,141,118.5,141,3.268,142,0.52,192
10,5,2012,0.00763,139,55,139,99.76,139,2.934,139,0.5732,212
10,6,2012,0.004965,163,57,163,105.7,163,3.783,163,0.5585,248
10,7,2012,0.006008,160,57,160,87.36,160,3.692,160,0.5618,229
10,8,2012,0.007452,97,71,97,106.1,97,4.058,97,0.5921,132
10,9,2012,0.008327,63,70,63,122.4,63,4.712,63,0.5915,86
10,10,2012,0.00986,59,71,59,107.2,59,3.788,59,0.5315,94
10,11,2012,0.004915,48,48,48,81.66,48,6.172,48,0.6001,63
10,12,2012,0.006685,44,59,44,92.78,44,4.084,44,0.5221,62
10,13,2012,0.004986,55,60,55,85.89,55,6.131,55,0.586,81
10,14,2012,0.004649,42,64,42,107.7,42,3.478,42,0.5232,61
10,15,2012,0.004424,44,49.5,44,87.18,44,5.61,44,0.5696,66
10,16,2012,0.006224,53,64,53,100.4,53,3.4,53,0.6111,65
10,17,2012,0.00407,43,51,43,98.98,43,3.219,43,0.5476,61
10,18,2012,0.007024,39,69,39,100.7,39,3.269,39,0.6089,49
10,19,2012,0.005442,34,58.5,34,95.28,34,5.105,34,0.6103,50
10,20,2012,0.007794,49,63,49,102.1,49,4.27,49,0.5991,74
10,21,2012,0.004946,47,65,47,111.3,47,4.35,47,0.5519,68
10,22,2012,0.0044,37,49,37,97.23,37,4.956,37,0.5687,54
10,23,2012,0.006664,32,52,32,89.48,32,4.423,32,0.6025,49
10,24,2012,0.01158,42,68,42,128.8,42,2.925,42,0.5929,70
10,25,2012,0.009052,30,59.5,30,99.32,30,4.776,30,0.5728,48
10,26,2012,0.01227,35,67,35,117.4,35,4.118,35,0.5897,69
10,27,2012,0.01191,33,52,33,110.9,33,2.669,33,0.5038,58
10,28,2012,0.005021,39,47,39,74.55,39,5.281,39,0.5947,71
10,29,2012,0.009165,49,66,49,109.5,49,2.789,49,0.5865,76
10,30,2012,0.01505,37,71,37,118.3,37,2.274,37,0.5036,59
10,31,2012,0.008113,32,66.5,32,133.7,32,2.448,32,0.5567,65
10,1,2013,0.02174,189,111,189,148,189,0.5139,189,0.5645,235
10,2,2013,0.02735,190,110,190,153.1,190,0.504,190,0.4127,242
10,3,2013,0.01238,231,100,231,130,231,0.8683,231,0.5372,275
10,4,2013,0.02298,236,110.5,236,144.6,236,0.5881,236,0.5434,318
10,5,2013,0.02623,280,106,280,142.2,280,0.4915,280,0.5715,313
10,6,2013,0.02956,242,112,242,147.8,242,0.4534,242,0.5735,262
10,7,2013,0.02752,181,120,181,168.9,181,0.4147,181,0.4531,265
10,8,2013,0.01907,202,107,162,147.4,162,0.8152,162,0.4436,246
10,9,2013,0.0189,191,106,118,142.4,118,0.5761,118,0.5354,233
10,10,2013,0.02572,137,114,137,150.7,137,0.4859,137,0.5163,164
10,11,2013,0.02257,170,106,170,138,170,0.615,170,0.5492,206
10,12,2013,0.02723,152,114,152,164,152,0.4813,152,0.5365,172
10,13,2013,0.02795,169,115,169,154.8,169,0.4307,169,0.5256,208
10,14,2013,0.02358,112,110,112,138,112,0.5444,112,0.554,133
10,15,2013,0.02306,146,107.5,146,137.4,146,0.5347,146,0.5593,166
10,16,2013,0.0234,119,105,119,135,119,0.5351,119,0.5504,133
10,17,2013,0.01774,163,109,163,148.6,163,0.6594,163,0.5164,200
10,18,2013,0.02107,161,106,161,138.2,161,0.6121,161,0.5841,189
10,19,2013,0.02303,155,105,155,137,155,0.5567,155,0.5278,172
10,20,2013,0.03202,176,110,176,139.4,176,0.4023,176,0.5503,206
10,21,2013,0.02299,143,108,143,142.8,143,0.4856,143,0.5535,167
10,22,2013,0.02032,124,109.5,124,144.2,124,0.6013,124,0.5608,154
10,23,2013,0.02672,145,111,145,146.3,145,0.448,145,0.5408,168
10,24,2013,0.0234,155,111,155,143.4,155,0.5174,155,0.5331,183
10,25,2013,0.02695,188,109,188,142.7,188,0.4355,188,0.5328,201
10,26,2013,0.02609,169,109,169,137.9,169,0.4756,169,0.5412,198
10,27,2013,0.03004,200,111,200,140.3,200,0.3814,200,0.5235,220
10,28,2013,0.02582,184,106,184,135.4,184,0.5094,184,0.5537,205
10,29,2013,0.02516,146,107.5,146,138.9,146,0.4924,146,0.5536,169
10,30,2013,0.02557,138,110,138,142.6,138,0.4891,138,0.5175,155
10,31,2013,0.01865,128,109,128,136.2,128,0.5782,128,0.564,156
4,1,2014,0.007404,84,71,84,94.8,84,5.673,84,0.5914,116
4,2,2014,0.006811,96,74,96,103.9,96,4.816,96,0.5813,133
4,3,2014,0.005274,91,73,91,107.4,91,5.108,91,0.5804,120
4,4,2014,0.007331,112,69.5,112,92.6,112,4.64,112,0.6183,163
4,5,2014,0.008838,108,72.5,108,99.29,108,3.788,108,0.5792,156
4,6,2014,0.00717,122,74,122,106.1,122,5.417,122,0.5418,191
4,7,2014,0.006639,96,71,96,117.5,96,5.462,96,0.5568,143
4,8,2014,0.008404,69,71,69,107.6,69,5.98,69,0.6106,107
4,9,2014,0.007928,81,68,81,118.6,81,2.96,81,0.5654,101
4,10,2014,0.00765,78,71,78,99.4,78,4.221,78,0.567,114
4,11,2014,0.005909,95,71,96,100.3,96,5.954,96,0.5906,139
4,12,2014,0.005575,105,71,105,99.7,105,5.998,105,0.5934,157
4,13,2014,0.006547,117,73,117,100.6,117,4.867,117,0.57,146
4,14,2014,0.006526,100,71,100,91.03,100,5.118,100,0.6009,152
4,15,2014,0.008755,106,71.5,106,100.8,106,5.134,106,0.5398,176
4,16,2014,0.007227,115,72,115,98.98,115,5.857,115,0.5716,152
4,17,2014,0.007012,80,73,80,112.1,80,6.178,80,0.5282,116
4,18,2014,0.007038,82,72.5,82,92.43,82,5.209,82,0.5364,117
4,19,2014,0.004851,76,71,76,102.4,76,5.558,76,0.5636,103
4,20,2014,0.008385,98,73,98,115.3,98,3.087,98,0.6056,136
4,21,2014,0.008551,80,71.5,80,97.67,80,7.087,80,0.6019,105
4,22,2014,0.006323,104,72,103,102.7,103,5.396,104,0.6137,129
4,23,2014,0.005748,152,68,152,89.68,152,5.443,152,0.6098,196
4,24,2014,0.01213,224,58.5,224,84.54,224,3.518,224,0.6017,268
4,25,2014,0.007953,136,73,136,107.6,136,6.911,136,0.5938,190
4,26,2014,0.007055,94,72,94,116.1,94,6.757,94,0.586,124
4,27,2014,0.006337,166,73,166,95.88,166,5.994,166,0.5591,238
4,28,2014,0.005783,172,72,172,90.21,172,6.717,172,0.5787,206
4,29,2014,0.007008,158,67,158,93.05,158,4.852,158,0.5805,206
4,30,2014,0.006578,112,65,112,98.2,112,5.796,112,0.5833,138
4,1,2013,0.009363,81,76,81,119.1,81,3.33,81,0.6056,113
4,2,2013,0.009447,101,74,100,115.9,100,4.878,101,0.5986,168
4,3,2013,0.01105,82,78,82,124.2,82,2.911,82,0.5763,138
4,4,2013,0.01101,74,83,74,146.4,74,1.537,74,0.5551,107
4,5,2013,0.009025,81,75,81,123.4,81,3.338,81,0.5653,140
4,6,2013,0.007151,51,75,51,126.3,51,4.918,51,0.5819,95
4,7,2013,0.005255,56,78.5,56,150.4,56,3.354,56,0.5921,100
4,8,2013,0.009735,44,82.5,44,131.3,44,2.47,44,0.551,75
4,9,2013,0.01034,84,91,84,119.6,84,2.413,84,0.5827,126
4,10,2013,0.007509,73,85,73,129,73,2.234,73,0.5517,126
4,11,2013,0.00818,68,75,68,114.7,68,4.969,68,0.6028,98
4,12,2013,0.00951,90,91.5,90,123.7,90,4.321,90,0.6032,123
4,13,2013,0.009294,78,80,78,116.5,78,4.429,78,0.5811,127
4,14,2013,0.009556,142,95,142,131.1,142,2.404,142,0.5625,184
4,15,2013,0.008368,68,87,68,121.1,68,3.92,68,0.5864,103
4,16,2013,0.009558,91,87,91,133.2,91,3.203,91,0.5631,133
4,17,2013,0.009012,84,92,84,136.7,84,2.27,84,0.6077,135
4,18,2013,0.01029,90,86.5,90,137.5,90,3.462,90,0.5683,142
4,19,2013,0.00981,80,92.5,80,132.6,80,1.242,80,0.5817,121
4,20,2013,0.006812,119,100,119,121.7,119,1.661,119,0.5825,148
4,21,2013,0.007231,99,93,99,131.4,99,2.82,99,0.5586,153
4,22,2013,0.004286,75,97,75,121.1,75,3.202,75,0.5956,108
4,23,2013,0.005956,100,77,100,121.2,100,3.354,100,0.617,140
4,24,2013,0.0102,74,95.5,74,130.2,74,1.278,74,0.5629,108
4,25,2013,0.008724,92,91,92,120.5,92,2.039,92,0.5692,123
4,26,2013,0.009022,74,89.5,74,134.7,74,1.45,74,0.5346,100
4,27,2013,0.00724,91,98,91,124.4,91,2.344,91,0.5635,121
4,28,2013,0.0112,112,103,112,129.7,112,1.026,112,0.554,152
4,29,2013,0.0138,74,101.5,74,133.2,74,1.097,74,0.5799,104
4,30,2013,0.01102,74,104.5,74,135.8,74,1.252,74,0.5738,97
4,1,2012,0.01035,141,68,141,120.4,141,2.62,141,0.558,246
4,2,2012,0.008857,167,69,167,115.3,167,2.829,167,0.5632,297
4,3,2012,0.01099,160,72,160,137.1,160,2.003,160,0.5667,275
4,4,2012,0.01102,164,68.5,164,121.7,164,2.762,164,0.59,273
4,5,2012,0.00858,139,68,139,114.5,139,2.578,139,0.5945,223
4,6,2012,0.009104,147,67,147,116.1,147,2.425,147,0.5586,261
4,7,2012,0.009026,142,70,142,115.3,142,3.379,142,0.5886,228
4,8,2012,0.01032,164,67,164,104.6,164,3.044,164,0.5466,277
4,9,2012,0.008235,145,70,145,116.1,145,3.457,145,0.5573,214
4,10,2012,0.009623,131,68,131,111.2,131,2.586,131,0.5215,239
4,11,2012,0.009321,152,57.5,152,116.5,152,2.975,152,0.549,268
4,12,2012,0.01304,164,67,164,130.3,164,2.358,164,0.5611,260
4,13,2012,0.009271,132,69,132,120.3,132,3.296,132,0.5532,231
4,14,2012,0.01061,197,69,197,111.2,197,2.3,197,0.582,291
4,15,2012,0.01019,190,57,190,108.5,190,2.837,190,0.5664,316
4,16,2012,0.01246,140,66,140,115.9,140,2.005,140,0.5566,222
4,17,2012,0.01237,133,61,133,136.2,133,1.479,133,0.5374,239
4,18,2012,0.007962,162,62,162,110.6,162,4.192,162,0.5525,245
4,19,2012,0.008562,134,71.5,134,117.9,134,2.541,134,0.5648,215
4,20,2012,0.0118,102,61,102,116.8,102,2.693,102,0.5379,171
4,21,2012,0.008462,154,56,154,113.2,154,2.776,154,0.5861,226
4,22,2012,0.00789,182,62.5,182,112.8,182,2.701,182,0.5537,270
4,23,2012,0.005305,163,61,163,108.4,163,3.28,163,0.55,253
4,24,2012,0.007977,173,59,173,102.3,173,3.942,173,0.589,228
4,25,2012,0.008192,140,68,140,112.3,140,3.723,140,0.566,199
4,26,2012,0.01152,144,60,144,115.8,144,2.323,144,0.5064,221
4,27,2012,0.009574,153,72,153,127.7,153,3.109,153,0.5476,231
4,28,2012,0.007215,142,62.5,142,131,142,3.545,142,0.5789,248
4,29,2012,0.0075,171,58,171,103.9,171,2.983,171,0.5842,260
4,30,2012,0.009714,161,62,161,120.1,161,2.08,161,0.532,237
12,1,2012,0.01088,89,60,89,117.2,89,2.735,89,0.5106,175
12,2,2012,0.007606,116,58.5,116,100.1,116,4.78,116,0.5627,194
12,3,2012,0.01063,118,71.5,118,114.5,118,3.657,118,0.5744,201
12,4,2012,0.007019,82,56,82,121.4,82,3.318,82,0.5822,152
12,5,2012,0.007254,128,64,128,111.1,128,2.29,128,0.5865,190
12,6,2012,0.009891,93,55,93,128.1,93,2.892,93,0.5708,166
