year,month,day,average_rtt,average_rtt_n,download_throughput,download_throughput_n,minimum_rtt,minimum_rtt_n,packet_retransmit_rate,packet_retransmit_rate_n,upload_throughput,upload_throughput_n
2012,1,1,72.6,202,10.555,202,34.5,202,0.002332,198,2.923,380
2012,1,2,72.7,154,8.070,154,35.0,154,0.002370,152,2.892,298
2012,1,3,75.4,148,9.223,148,34.0,148,0.002831,146,2.970,284
2012,1,4,78.0,167,10.943,167,35.0,167,0.002314,163,3.109,341
2012,1,5,75.4,152,10.103,152,34.0,151,0.002253,143,2.920,318
2012,1,6,61.6,136,9.869,136,33.0,136,0.001790,134,2.978,277
2012,1,7,62.8,168,10.912,168,34.0,168,0.002295,165,3.177,343
2012,1,8,69.9,176,9.805,176,33.0,176,0.002303,174,2.978,378
2012,1,9,73.9,147,10.521,147,36.0,147,0.003459,145,2.925,293
2012,1,10,68.1,137,12.150,137,34.0,137,0.001864,133,2.930,320
2012,1,11,77.8,141,10.697,141,35.0,141,0.002164,136,2.921,313
2012,1,12,77.2,166,9.697,166,34.5,166,0.002304,159,2.909,317
2012,1,13,63.5,149,10.483,149,33.0,149,0.001525,144,2.950,320
2012,1,14,71.8,183,10.098,183,35.0,183,0.002562,180,3.036,343
2012,1,15,67.4,182,11.350,182,33.0,182,0.001911,177,2.879,374
2012,1,16,75.3,183,8.797,183,34.0,183,0.002445,179,2.959,343
2012,1,17,67.2,136,9.679,136,32.0,136,0.002629,133,2.887,258
2012,1,18,57.8,135,8.879,135,30.0,135,0.003071,132,3.059,301
2012,1,19,72.2,160,9.556,160,32.0,160,0.002064,153,2.985,302
2012,1,20,81.1,134,9.019,134,32.5,134,0.002960,122,2.845,298
2012,1,21,71.0,162,8.970,162,33.0,162,0.001811,154,2.875,350
2012,1,22,68.2,213,10.376,213,32.0,213,0.002171,206,2.885,426
2012,1,23,80.5,135,7.621,135,35.0,135,0.003417,129,2.919,285
2012,1,24,73.2,99,12.104,99,34.0,99,0.001885,95,2.886,220
2012,1,25,75.9,157,10.782,157,34.0,156,0.001787,152,2.857,315
2012,1,26,61.5,126,10.974,126,28.0,126,0.001585,123,3.016,294
2012,1,27,68.2,150,8.801,150,29.5,150,0.002734,142,2.968,308
