month,day,year,packet_retransmit_rate,packet_retransmit_rate_n,minimum_rtt,minimum_rtt_n,average_rtt,average_rtt_n,download_throughput,download_throughput_n,upload_throughput,upload_throughput_n
1,1,2012,0.003633,135,24.0,135,43.05,135,4.188,135,2.8809,170
1,2,2012,0.0035,154,22.0,154,40.93,154,3.757,154,2.4018,207
1,3,2012,0.003166,95,21.0,95,46.95,95,3.979,95,2.2446,127
1,4,2012,0.003373,116,21.0,116,45.01,116,4.835,116,2.3089,161
1,5,2012,0.004927,105,26.0,105,49.66,105,3.152,105,3.0055,135
1,6,2012,0.002907,76,24.0,76,47.93,76,4.94,76,2.6086,107
1,7,2012,0.003109,141,24.0,141,46.3,141,4.167,141,2.5697,185
1,8,2012,0.003762,157,22.0,158,42.01,158,4.068,158,2.7641,190
1,9,2012,0.002084,81,24.0,81,50.81,81,3.897,81,2.1262,124
1,10,2012,0.004283,102,24.0,103,50.29,103,2.981,103,2.4841,139
1,11,2012,0.004124,112,23.0,112,45.54,112,3.625,112,2.0884,151
1,12,2012,0.004869,109,20.0,109,39.68,109,3.646,109,2.3174,139
1,13,2012,0.004677,121,26.0,121,50.1,121,3.434,121,2.4472,161
1,14,2012,0.004826,108,23.0,110,46.36,110,3.249,110,2.4007,161
1,15,2012,0.006349,153,26.0,153,52.07,153,2.736,153,2.7878,186
1,16,2012,0.005213,112,23.0,114,48.49,114,3.067,114,2.681,147
1,17,2012,0.007573,104,24.5,104,50.58,104,3.071,104,2.2486,163
1,18,2012,0.005689,115,25.0,116,47.07,116,2.738,116,2.8813,151
1,19,2012,0.002696,97,25.5,98,54.68,98,7.993,98,2.938,130
1,20,2012,0.001951,100,23.0,100,57.59,100,10.184,100,2.4477,175
1,21,2012,0.001952,90,23.0,92,70.56,92,8.189,92,2.287,183
1,22,2012,0.001838,89,22.0,89,55.39,89,10.786,89,2.9335,173
1,23,2012,0.002197,95,24.0,103,68.36,103,8.474,103,2.2859,184
1,24,2012,0.001347,86,23.5,88,57.94,88,8.152,88,2.8019,200
1,25,2012,0.00233,82,23.0,83,67.66,83,8.308,83,2.4223,160
1,26,2012,0.002524,68,23.0,72,56.53,72,10.316,72,3.0727,149
1,27,2012,0.001252,74,24.0,79,60.57,79,10.061,79,2.7998,159
1,28,2012,0.002131,84,24.0,87,65.93,87,6.702,87,2.2644,146
1,29,2012,0.001981,72,22.0,75,62.9,75,8.968,75,2.3113,156
1,30,2012,0.001463,71,21.0,71,53.84,71,10.521,71,2.6581,122
1,31,2012,0.001284,90,21.0,93,59.02,93,11.571,93,2.9663,172
