year,month,hour,average_rtt,average_rtt_n,download_throughput,download_throughput_n,minimum_rtt,minimum_rtt_n,packet_retransmit_rate,packet_retransmit_rate_n,upload_throughput,upload_throughput_n
2012,1,0,61.9,100,7.002,100,23.0,100,0.001727,98,2.279,183
2012,1,1,63.1,72,7.526,72,22.0,72,0.002430,71,2.314,146
2012,1,2,62.0,71,8.512,71,22.0,71,0.001473,69,2.399,131
2012,1,3,83.5,53,5.645,53,25.0,53,0.002763,52,2.050,103
2012,1,4,63.9,38,3.494,38,27.0,38,0.004211,37,2.724,74
2012,1,5,67.6,25,10.295,25,23.0,25,0.001720,24,1.536,60
2012,1,6,61.1,31,8.597,31,27.0,31,0.002329,29,2.350,70
2012,1,7,56.5,51,11.484,51,23.0,51,0.001906,50,2.291,124
2012,1,8,47.7,56,8.993,56,23.0,56,0.000957,56,2.784,80
2012,1,9,43.4,82,7.367,82,20.5,82,0.001512,81,2.723,121
2012,1,10,46.3,105,4.858,105,23.0,105,0.002657,103,2.919,151
2012,1,11,41.9,104,4.578,104,21.5,104,0.002716,104,2.390,156
2012,1,12,44.3,104,4.935,104,23.0,104,0.002386,104,2.789,138
2012,1,13,40.8,114,5.003,114,23.0,114,0.002552,111,2.330,155
2012,1,14,46.9,118,5.006,118,22.0,118,0.003224,115,2.773,170
2012,1,15,42.8,113,4.005,113,23.0,113,0.004477,113,2.647,181
2012,1,16,44.4,184,4.175,184,23.0,184,0.003626,183,2.483,251
2012,1,17,48.7,138,3.803,138,23.0,138,0.004695,137,2.570,216
2012,1,18,43.9,170,3.456,170,23.0,170,0.004743,170,2.797,228
2012,1,19,47.8,233,3.136,233,23.0,233,0.006783,232,2.912,306
2012,1,20,49.7,203,3.085,203,24.0,203,0.006544,202,2.528,271
2012,1,21,55.5,175,2.809,175,27.0,175,0.005852,173,2.630,250
2012,1,22,54.1,197,4.104,197,25.0,197,0.003158,194,2.441,295
2012,1,23,63.8,152,7.936,152,24.0,152,0.001406,148,2.729,244
2012,2,0,56.6,113,9.147,113,22.0,113,0.001826,113,2.623,204
2012,2,1,57.0,91,12.602,91,20.0,91,0.001189,88,2.323,162
2012,2,2,71.8,57,8.762,57,26.0,57,0.001620,56,1.990,126
2012,2,3,70.3,54,6.868,54,22.0,54,0.002294,54,1.608,107
2012,2,4,69.4,34,8.703,34,24.0,34,0.002099,33,2.266,80
2012,2,5,59.6,36,12.585,36,22.0,36,0.001564,35,2.291,80
2012,2,6,44.6,35,14.258,35,21.0,35,0.001251,35,2.767,83
2012,2,7,56.5,56,9.417,56,22.0,56,0.001183,56,2.767,124
2012,2,8,49.4,50,12.121,50,20.0,50,0.002106,49,2.957,109
2012,2,9,41.5,83,13.271,83,20.0,83,0.001205,82,3.057,157
2012,2,10,54.4,62,10.487,62,22.5,62,0.002385,62,2.890,130
2012,2,11,51.7,71,13.239,71,22.0,71,0.001507,70,2.912,152
2012,2,12,50.8,91,10.031,91,21.0,91,0.001358,90,3.169,186
2012,2,13,60.2,106,11.312,106,23.0,106,0.001206,105,3.037,201
2012,2,14,54.5,111,11.360,111,22.0,111,0.001999,111,2.334,208
2012,2,15,55.4,116,11.044,116,21.5,116,0.001953,115,3.148,202
2012,2,16,56.9,136,11.795,136,20.5,136,0.001052,136,3.206,232
2012,2,17,50.1,164,11.566,164,20.0,164,0.000979,162,3.032,270
2012,2,18,51.2,180,11.067,180,20.0,180,0.001079,180,3.086,308
2012,2,19,58.7,175,10.016,175,22.0,175,0.001422,175,3.012,287
2012,2,20,58.4,173,9.563,173,24.0,173,0.001683,172,2.731,322
2012,2,21,70.3,178,6.884,178,24.0,178,0.001968,177,2.371,321
2012,2,22,68.4,150,8.191,150,23.0,150,0.002302,149,2.515,314
2012,2,23,63.3,152,7.110,152,22.0,152,0.002244,151,2.293,304
2012,3,0,60.6,96,14.495,96,22.5,96,0.001674,96,2.771,200
2012,3,1,66.6,140,8.829,140,33.5,140,0.002280,140,3.209,235
2012,3,2,57.6,83,13.459,83,27.0,83,0.001948,83,3.211,181
2012,3,3,56.1,69,12.483,69,24.0,69,0.001785,69,3.430,130
2012,3,4,64.0,41,13.881,41,22.0,41,0.001709,41,2.763,112
2012,3,5,77.5,31,11.710,31,33.0,31,0.002404,31,2.447,83
2012,3,6,49.3,51,9.022,51,22.0,51,0.001068,51,3.084,103
2012,3,7,45.5,63,13.858,63,21.0,63,0.000910,63,2.975,110
2012,3,8,36.7,64,15.320,64,23.0,64,0.001061,64,3.018,112
2012,3,9,45.9,62,13.086,62,20.5,62,0.001607,62,3.296,129
2012,3,10,50.0,64,15.421,64,23.0,64,0.001305,64,3.372,135
2012,3,11,48.3,91,15.215,91,22.0,91,0.001120,91,3.241,205
