year,month,hour,average_rtt,average_rtt_n,download_throughput,download_throughput_n,minimum_rtt,minimum_rtt_n,packet_retransmit_rate,packet_retransmit_rate_n,upload_throughput,upload_throughput_n
2012,1,0,53.1,299,10.156,299,19.0,299,0.002347,297,0.821,492
2012,1,1,53.5,229,10.069,229,19.0,229,0.002171,221,0.823,399
2012,1,2,52.6,162,11.887,162,19.0,162,0.001904,158,0.826,281
2012,1,3,59.5,105,11.158,105,19.0,105,0.001888,102,0.827,202
2012,1,4,46.1,104,12.643,104,18.0,104,0.001867,101,0.828,199
2012,1,5,38.2,68,15.798,68,15.0,68,0.000849,65,1.364,128
2012,1,6,48.0,88,11.764,88,18.0,87,0.001423,85,0.822,157
2012,1,7,47.5,122,11.333,122,16.0,122,0.001506,115,0.822,221
2012,1,8,43.2,138,13.528,138,17.0,138,0.001442,134,0.828,237
2012,1,9,47.5,160,13.850,160,17.0,160,0.001206,154,0.820,305
2012,1,10,42.5,202,13.068,202,17.0,202,0.001443,196,0.825,388
2012,1,11,49.3,268,11.948,268,18.0,268,0.001562,262,0.824,462
2012,1,12,47.1,272,10.495,272,18.0,272,0.001832,270,0.820,474
2012,1,13,52.0,284,11.069,284,18.5,284,0.001490,276,0.819,499
2012,1,14,51.3,265,9.461,265,18.0,265,0.001629,257,0.822,470
2012,1,15,51.2,291,9.878,291,18.0,291,0.001707,285,0.821,511
2012,1,16,52.3,337,10.684,337,18.0,337,0.001800,331,0.820,618
2012,1,17,51.0,357,10.707,357,18.0,357,0.001686,352,0.818,622
2012,1,18,44.5,425,11.364,425,18.0,425,0.001447,422,0.820,722
2012,1,19,47.9,475,9.301,475,18.0,475,0.001923,473,0.821,781
2012,1,20,55.5,448,8.200,448,19.0,448,0.002398,442,0.822,763
2012,1,21,51.5,447,8.518,447,19.0,447,0.002671,441,0.821,739
2012,1,22,49.3,461,9.124,461,18.0,461,0.002572,458,0.820,771
2012,1,23,51.4,392,8.791,392,18.0,392,0.002164,387,0.817,669
2012,2,0,54.4,340,11.078,340,18.5,340,0.002118,334,0.819,580
2012,2,1,48.4,233,11.714,233,19.0,233,0.001706,229,0.823,424
