year,month,day,average_rtt,average_rtt_n,download_throughput,download_throughput_n,minimum_rtt,minimum_rtt_n,packet_retransmit_rate,packet_retransmit_rate_n,upload_throughput,upload_throughput_n
2012,1,1,150.7,74,12.314,74,51.5,74,0.006965,71,3.590,150
2012,1,2,119.7,49,17.893,49,48.0,49,0.007086,45,3.871,109
2012,1,3,117.2,59,17.452,59,45.0,59,0.006640,59,4.415,120
2012,1,4,146.4,59,14.930,59,52.0,59,0.007374,57,4.084,111
2012,1,5,134.5,57,20.657,57,46.0,57,0.007324,55,4.770,123
2012,1,6,145.0,58,15.177,58,46.0,58,0.006652,54,2.360,138
2012,1,7,145.2,74,16.768,74,44.0,74,0.007284,70,4.220,149
2012,1,8,120.8,78,10.460,78,48.5,78,0.006980,76,4.107,164
2012,1,9,135.3,62,21.982,62,49.0,62,0.007029,57,10.052,122
2012,1,10,129.2,51,11.065,51,48.0,51,0.007042,49,4.123,109
2012,1,11,123.9,49,21.208,49,47.0,49,0.007170,48,4.262,114
2012,1,12,159.6,58,17.783,58,47.0,57,0.005171,53,3.044,150
2012,1,13,99.5,41,13.755,41,42.0,41,0.003785,38,4.392,109
2012,1,14,157.4,43,11.126,43,45.0,43,0.007726,43,3.294,118
2012,1,15,157.2,59,11.570,59,45.0,59,0.007372,55,3.487,133
2012,1,16,131.1,58,14.655,58,50.0,58,0.005679,56,4.168,127
2012,1,17,153.5,56,16.538,56,50.0,55,0.006124,53,3.435,104
2012,1,18,154.1,49,19.203,49,48.0,49,0.007423,46,7.050,107
2012,1,19,159.4,58,17.018,58,52.5,58,0.007019,53,3.760,115
2012,1,20,161.1,39,9.875,39,50.0,39,0.005587,37,1.007,140
2012,1,21,155.1,62,13.347,62,50.0,62,0.007447,57,3.866,125
2012,1,22,134.3,55,15.447,55,53.0,55,0.007018,52,2.194,121
2012,1,23,128.6,47,20.735,47,48.0,47,0.006851,42,4.126,112
2012,1,24,150.9,42,7.851,42,49.0,42,0.006261,35,3.840,100
2012,1,25,160.3,58,18.292,58,50.5,58,0.007413,53,4.198,107
2012,1,26,136.2,56,17.391,56,46.0,56,0.006586,54,3.297,117
2012,1,27,136.8,71,18.301,71,37.0,71,0.006807,65,4.641,125
2012,1,28,141.7,71,12.237,71,40.0,71,0.006297,63,3.328,139
2012,1,29,139.8,69,19.775,69,47.0,69,0.007202,65,4.885,136
2012,1,30,145.5,56,9.567,56,51.5,56,0.005613,55,0.877,124
2012,1,31,152.2,59,11.502,59,47.0,59,0.008927,57,1.896,138
2012,2,1,135.0,63,15.448,63,53.0,63,0.006948,60,4.017,136
2012,2,2,129.7,71,18.469,71,50.0,71,0.007508,67,3.609,145
2012,2,3,155.0,68,16.788,68,48.5,68,0.007379,66,3.574,135
2012,2,4,161.4,69,17.798,70,52.0,69,0.008114,68,3.998,141
2012,2,5,122.4,78,9.721,78,47.0,78,0.007074,76,3.802,170
2012,2,6,146.7,68,20.037,68,50.0,68,0.007069,63,3.434,173
2012,2,7,159.9,55,14.974,56,49.0,55,0.007268,50,3.950,112
2012,2,8,150.3,87,11.689,87,48.0,87,0.007858,84,3.793,158
2012,2,9,133.8,55,8.940,55,47.0,55,0.006844,51,4.086,129
2012,2,10,161.5,69,10.785,69,50.0,69,0.007417,64,2.719,164
2012,2,11,155.7,82,15.938,82,51.0,82,0.006321,79,1.995,177
2012,2,12,147.3,84,9.754,84,46.5,84,0.007322,76,3.780,190
2012,2,13,160.0,65,11.000,65,51.0,65,0.008103,61,3.913,144
2012,2,14,159.8,62,18.065,62,51.5,62,0.006770,58,3.733,157
2012,2,15,159.6,62,16.741,62,49.0,62,0.007232,57,4.099,138
2012,2,16,186.2,62,15.201,62,54.0,62,0.006915,56,3.746,159
2012,2,17,126.7,75,15.048,75,47.0,75,0.007231,69,4.129,161
2012,2,18,140.0,93,12.745,93,39.0,93,0.009397,90,3.943,206
2012,2,19,146.8,94,11.274,94,47.5,94,0.007834,86,3.411,205
2012,2,20,161.5,88,7.396,89,56.0,88,0.007950,87,1.558,197
2012,2,21,146.7,59,11.871,59,51.0,59,0.006395,55,4.308,153
2012,2,22,139.3,58,13.246,58,46.5,58,0.004620,53,2.672,160
2012,2,23,128.7,56,18.893,56,45.5,56,0.006836,55,3.252,154
2012,2,24,155.6,75,18.096,75,52.0,75,0.007935,74,3.747,160
2012,2,25,126.1,68,22.960,68,47.0,68,0.007463,68,3.886,176
2012,2,26,125.9,90,13.801,90,48.5,90,0.006887,90,3.588,205
2012,2,27,159.5,57,9.224,57,54.0,57,0.007405,57,3.790,137
2012,2,28,128.3,73,22.830,73,51.0,73,0.007197,73,8.388,150
2012,2,29,142.2,90,22.075,90,49.0,90,0.007763,90,4.049,160
2012,3,1,132.6,62,22.541,62,47.0,62,0.006750,62,6.001,151
2012,3,2,127.7,81,21.506,81,49.0,81,0.007341,81,8.042,159
2012,3,3,147.5,81,16.721,81,51.0,81,0.007318,81,3.593,168
2012,3,4,140.5,99,15.899,99,49.0,99,0.007022,99,3.493,210
2012,3,5,119.2,74,15.538,74,45.0,74,0.007721,74,3.533,147
