year,month,hour,average_rtt,average_rtt_n,download_throughput,download_throughput_n,minimum_rtt,minimum_rtt_n,packet_retransmit_rate,packet_retransmit_rate_n,upload_throughput,upload_throughput_n
2012,1,0,131.0,79,13.152,79,48.0,79,0.006696,75,3.736,166
2012,1,1,148.1,62,16.909,62,50.0,62,0.007493,58,4.567,136
2012,1,2,132.8,53,20.774,53,45.0,53,0.006971,52,4.485,105
2012,1,3,122.5,29,23.122,29,47.0,29,0.006734,29,5.911,73
2012,1,4,141.1,51,22.815,51,51.0,51,0.006508,48,7.868,97
2012,1,5,158.4,35,21.315,35,47.0,35,0.007943,29,6.219,62
2012,1,6,157.7,48,22.695,48,46.0,48,0.007151,40,8.785,89
2012,1,7,128.7,39,22.130,39,51.0,39,0.007202,35,7.408,82
2012,1,8,126.6,60,20.601,60,47.0,60,0.006419,53,4.332,113
2012,1,9,134.0,57,22.107,57,46.0,57,0.007079,54,4.897,106
2012,1,10,160.6,68,19.199,68,51.0,68,0.007512,62,3.770,151
2012,1,11,133.9,77,19.201,77,45.0,77,0.006265,69,4.284,174
2012,1,12,159.6,73,7.496,73,49.0,73,0.007242,71,2.778,165
2012,1,13,155.0,84,12.169,84,49.5,84,0.005894,78,3.593,180
2012,1,14,152.6,74,17.332,74,49.0,74,0.007251,70,3.453,162
2012,1,15,146.0,74,10.159,74,47.5,74,0.007380,70,4.267,170
2012,1,16,142.6,83,15.192,83,46.0,83,0.007349,77,4.014,197
2012,1,17,136.6,105,13.755,105,49.0,105,0.006891,100,3.543,224
2012,1,18,154.7,103,11.381,103,52.5,102,0.007143,99,2.372,246
2012,1,19,131.9,114,12.822,114,49.5,114,0.006811,112,4.052,237
2012,1,20,130.6,109,13.004,109,46.0,109,0.007074,105,3.954,242
2012,1,21,146.4,85,11.413,85,45.0,85,0.006900,78,2.963,223
2012,1,22,147.2,107,12.703,107,47.0,106,0.006763,104,2.925,234
2012,1,23,142.8,108,9.606,108,46.5,108,0.006843,105,3.330,222
2012,2,0,132.6,65,16.800,65,45.0,65,0.007133,63,3.521,177
