month,hour,year,packet_retransmit_rate,packet_retransmit_rate_n,minimum_rtt,minimum_rtt_n,average_rtt,average_rtt_n,download_throughput,download_throughput_n,upload_throughput,upload_throughput_n
11,0,2013,0.001506,60,16,60,66.41,60,10.86,60,7.428,118
11,1,2013,0.001147,44,12,44,54.37,44,18.91,44,14.06,79
11,2,2013,0.002867,26,12,26,90.04,26,8.744,26,4.789,54
11,3,2013,0.003259,10,18.5,10,118.2,10,9.561,10,5.194,24
11,4,2013,0.001011,14,11,14,63.18,14,10.01,14,1.567,30
11,5,2013,0.001266,22,12,22,59.73,22,16.33,22,8.845,40
11,6,2013,0.001371,43,16,43,70.4,43,14.28,43,4.334,74
11,7,2013,0.001409,49,17,49,101.5,49,9.88,49,4.487,106
11,8,2013,0.001579,84,15,84,63.91,84,12.93,84,7.403,178
11,9,2013,0.002128,103,15,103,77.6,103,11.33,103,6.991,207
11,10,2013,0.00127,104,15,104,86.13,104,12.67,104,7.545,193
11,11,2013,0.002024,92,24.5,92,108.6,92,7.512,92,3.982,195
11,12,2013,0.001037,73,13,73,86.73,73,13.38,73,5.575,181
11,13,2013,0.001704,88,16,88,75.69,88,16.22,88,5.095,197
11,14,2013,0.001614,113,15,113,70.95,113,14.1,113,4.372,195
11,15,2013,0.001584,120,16,120,66.54,120,13.19,120,7.627,263
11,16,2013,0.002245,122,17,122,77.89,122,7.583,122,5.482,221
11,17,2013,0.001444,134,17,134,80.01,134,9.994,134,6.195,263
11,18,2013,0.001313,185,14,185,74.11,185,14.89,185,10.44,341
11,19,2013,0.001674,185,15,185,71.92,185,12.89,185,8.208,295
11,20,2013,0.001601,199,20,199,63.25,199,11.26,199,5.884,357
11,21,2013,0.002038,235,22,235,72.92,235,7.985,235,5.269,406
11,22,2013,0.001976,225,16,225,72.93,225,9.964,225,7.995,413
11,23,2013,0.00131,140,14,140,70.59,140,13.98,140,6.452,258
11,0,2012,0.00436,53,27,53,94.06,53,7.724,53,4.23,126
11,1,2012,0.002924,38,23.5,38,100.8,38,13.79,38,4.456,90
11,2,2012,0.001791,27,25,27,88.99,27,11.96,27,5.842,57
11,3,2012,0.002977,20,24,20,82.83,20,10.73,20,4.433,38
11,4,2012,0.001573,9,19,9,54.33,9,15.35,9,11.61,23
11,5,2012,0.002325,10,20,10,70.36,10,16.53,10,18.93,26
11,6,2012,0.00191,4,26.5,4,38.41,4,26.32,4,4.879,18
11,7,2012,0.002253,23,39,23,85.15,23,17.49,23,6.771,57
11,8,2012,0.002886,43,35,43,82.59,43,12.16,43,5.816,82
11,9,2012,0.002663,52,33.5,52,103.6,52,4.463,52,3.82,106
11,10,2012,0.002245,50,30.5,50,78,50,14.21,50,4.278,123
11,11,2012,0.003202,53,25,53,108.6,53,7.915,53,4.129,124
11,12,2012,0.001939,59,24,59,80.34,59,12.4,59,4.419,139
11,13,2012,0.002808,71,24,71,62.71,71,11.73,71,4.147,165
11,14,2012,0.001672,66,25,66,104.5,66,8.902,66,3.389,157
11,15,2012,0.002122,69,23,69,75.54,69,9.09,69,3.82,156
11,16,2012,0.001704,109,26,109,74.71,109,10.32,109,3.715,194
11,17,2012,0.002474,96,23,96,79.57,96,14.47,96,4.017,189
11,18,2012,0.002311,111,25,111,80.62,111,9.79,111,4.3,203
11,19,2012,0.001778,124,22.5,124,60.77,124,15.41,124,6.993,206
11,20,2012,0.001365,138,23.5,138,69.24,138,11.3,138,4.485,261
11,21,2012,0.00287,111,23,111,75.14,111,9.504,111,4.251,217
11,22,2012,0.001522,112,24,112,69.44,112,13.28,112,4.757,218
11,23,2012,0.001922,76,23,76,62.11,76,12.12,76,7.81,166
10,0,2012,0.003463,60,22.5,60,61.35,60,10.3,60,4.516,141
10,1,2012,0.004319,48,22.5,48,52.46,48,11.58,48,4.851,96
10,2,2012,0.003919,37,22,37,59.92,37,13.36,37,4.174,78
10,3,2012,0.002347,26,21.5,26,64.41,26,12.97,26,1.531,54
10,4,2012,0.006104,13,23,13,33.62,13,11.67,13,0.6084,37
10,5,2012,0.002336,20,22.5,20,58.91,20,14.08,20,4.26,53
10,6,2012,0.002436,27,26,27,64.84,27,14.18,27,0.953,64
10,7,2012,0.001624,23,24,23,46.68,23,16.55,23,3.955,47
10,8,2012,0.002602,38,22,38,64.46,38,16.41,38,4.777,86
10,9,2012,0.003218,74,27,74,91.54,74,8.985,74,4.059,151
10,10,2012,0.003117,54,25,54,72.27,54,15.78,54,3.889,140
10,11,2012,0.002042,81,24,81,68.74,81,8.946,81,4.1,165
10,12,2012,0.002442,91,21,91,66.36,91,11.84,91,4.222,210
10,13,2012,0.002419,96,23.5,96,64.35,96,11.72,96,4.028,201
10,14,2012,0.003015,95,26,95,77.82,95,10.01,95,3.817,190
10,15,2012,0.001692,95,23,95,79.77,95,10.87,95,4.234,201
10,16,2012,0.002338,114,26.5,114,76.05,114,12.15,114,4.404,222
10,17,2012,0.002733,112,24,112,71.75,112,9.344,112,4.446,213
10,18,2012,0.002647,120,24.5,120,77.44,120,10.99,120,4.215,242
10,19,2012,0.002567,108,25,108,65.64,108,13.71,108,4.478,227
10,20,2012,0.001637,157,22,157,56.79,157,14.79,157,4.593,276
