month,day,year,packet_retransmit_rate,packet_retransmit_rate_n,minimum_rtt,minimum_rtt_n,average_rtt,average_rtt_n,download_throughput,download_throughput_n,upload_throughput,upload_throughput_n
11,3,2013,0.005487,2,79.5,2,91.28,2,10.9,2,2.634,2
11,5,2013,0.01288,1,80,1,250.9,1,16.12,1,4.431,2
11,6,2013,0.002335,1,77,1,88.39,1,12.11,1,3.826,1
11,10,2013,nan,0,nan,0,nan,0,nan,0,3.998,1
11,11,2013,8.805e-05,1,78,1,96.38,1,12.87,1,1.958,1
11,13,2013,0.007069,3,70,3,73.41,3,5.108,3,1.479,3
11,14,2013,0.00354,1,70,1,71.39,1,13.11,1,1.514,4
11,15,2013,0.002685,2,76,2,84.24,2,7.141,2,2.276,4
11,16,2013,0.0009962,1,80,1,343.7,1,5.651,1,3.03,1
11,17,2013,0.01079,1,79,1,173.6,1,15.31,1,1.829,4
11,18,2013,0.01055,2,81,2,153.4,2,22.18,2,1.958,2
11,19,2013,0.002286,3,72,3,75.81,3,4.728,3,0.9363,3
11,20,2013,0.01089,1,73,1,96.5,1,1.161,1,0.9367,2
11,21,2013,0.004743,4,83,4,154.1,4,4.806,4,0.8597,5
11,22,2013,0.003918,1,71,1,75.32,1,4.362,1,1.237,5
11,24,2013,0.01195,2,90.5,2,195.1,2,8.449,2,3.185,4
11,25,2013,0.001496,2,75,2,92.97,2,3.744,2,2.275,4
11,28,2013,0.001205,1,78,1,108.4,1,14.98,1,2.036,1
11,29,2013,nan,0,nan,0,nan,0,nan,0,0.4078,2
11,1,2012,0.003741,1,89,1,125.4,1,8.773,1,5.214,1
11,3,2012,0.01443,1,85,1,102.3,1,41.47,1,5.363,1
11,6,2012,0.002688,1,77,1,104.6,1,8.96,1,0.9634,1
11,7,2012,0.000429,1,75,1,81.18,1,25.26,1,1.197,2
11,9,2012,nan,0,nan,0,nan,0,nan,0,1.166,1
11,12,2012,0.002598,6,87.5,6,98.96,6,14.39,6,1.485,7
11,13,2012,0.004129,3,87,3,98.16,3,15.33,3,1.547,4
11,14,2012,0.01164,1,81,1,98.05,1,0.9599,1,1.647,1
11,15,2012,0.002016,1,88,1,102.8,1,9.662,1,1.647,1
11,18,2012,nan,0,nan,0,nan,0,nan,0,1.515,1
11,19,2012,0.01247,2,81,2,106.5,2,12,2,5.124,3
11,20,2012,nan,0,nan,0,nan,0,nan,0,1.208,1
11,21,2012,0.0008695,3,82,3,133.1,3,53.72,3,1.278,4
11,26,2012,0.0009128,3,77,3,84.13,3,4.389,3,0.6144,4
11,27,2012,0.00136,8,79,8,92.56,8,3.18,8,0.7011,9
11,28,2012,0.0177,2,80.5,2,133.5,2,3.672,2,0.6159,3
11,29,2012,0.001363,1,93,1,109.4,1,9.117,1,1.607,1
11,30,2012,0.009191,2,85,2,109.3,2,19.75,2,1.943,2
10,2,2012,8.673e-05,1,72,1,97.79,1,26.18,1,7.95,1
10,3,2012,0.00313,5,87,5,95.77,5,13.5,5,1.487,7
10,4,2012,0.001946,2,89,2,118.2,2,7.097,2,1.005,3
10,5,2012,0.0008797,2,82.5,2,89.85,2,17.62,2,2.521,4
10,7,2012,0.006398,1,85,1,101.2,1,8,1,1.486,1
10,8,2012,0.01199,4,87.5,4,189.8,4,0.661,4,1.565,5
10,9,2012,0.002551,4,76.5,4,96.3,4,11.71,4,1.946,5
10,10,2012,0.002487,4,88.5,4,105.2,4,10.97,4,1.546,6
10,11,2012,3.121e-05,1,81,1,150.1,1,35.74,1,3.529,2
10,12,2012,0.03927,1,78,1,86.31,1,15.67,1,1.248,4
10,13,2012,0.003758,1,89,1,144.8,1,3.009,1,0.7702,2
10,14,2012,nan,0,nan,0,nan,0,nan,0,2.887,2
10,15,2012,0.03219,2,81,2,139.8,2,20.45,2,1.165,3
10,16,2012,0.008296,2,75,2,196.6,2,19.64,2,1.586,5
10,17,2012,0.0002436,3,74,3,88.53,3,4.7,3,0.6625,7
10,18,2012,9.407e-05,1,85,1,578.1,1,25.87,1,4.079,1
10,19,2012,0.002606,2,76,2,206.9,2,20.58,2,2.67,4
10,20,2012,0.02953,2,99,2,301.6,2,0.4694,2,1.004,2
10,21,2012,0.07202,2,88,2,191.2,2,6.233,2,1.687,1
10,22,2012,0.0002482,3,86,3,115,3,12.53,3,0.7212,6
10,23,2012,0.05056,1,85,1,89.96,1,4.23,1,3.003,2
10,24,2012,0.00822,2,81,2,101.9,2,8.63,2,5.007,4
10,25,2012,0.002065,1,74,1,83.07,1,3.32,1,1.122,3
10,26,2012,0.001957,1,84,1,104.5,1,3.991,1,2.316,2
10,28,2012,0.00622,1,87,1,108,1,9.848,1,0.634,1
10,31,2012,0.06129,1,78,1,89.16,1,0.3244,1,0.2076,2
10,1,2013,0.001069,6,73,6,81.48,6,50.86,6,1.434,6
10,2,2013,nan,0,nan,0,nan,0,nan,0,1.25,2
10,3,2013,0.003352,12,77.5,12,88.85,12,13.58,12,1.26,26
10,4,2013,0.003982,8,76.5,8,94.59,8,4.148,8,1.186,18
10,6,2013,0.009512,2,82,2,206.1,2,0.94,2,0.557,2
10,7,2013,0.004023,6,73,6,162.5,6,15.7,6,0.6054,6
10,8,2013,nan,0,nan,0,nan,0,nan,0,0.6198,2
10,9,2013,nan,0,nan,0,nan,0,nan,0,1.491,4
10,10,2013,0.001448,1,78,1,90.92,1,11.08,1,2.007,1
10,12,2013,0.001267,1,79,1,111.9,1,11.69,1,3.247,1
10,13,2013,0.006013,1,77,1,83.97,1,8.818,1,3.549,1
10,14,2013,0.004388,1,78,1,86.53,1,13.43,1,3.413,2
10,15,2013,nan,0,nan,0,nan,0,nan,0,3.593,1
10,18,2013,0.01241,3,82,3,156.2,3,10.9,3,2.754,3
10,19,2013,0.008353,1,83,1,179.6,1,3.325,1,1.526,1
10,20,2013,nan,0,nan,0,nan,0,nan,0,0.5847,2
10,21,2013,0.01559,1,80,1,101.9,1,5.564,1,3.375,4
10,22,2013,nan,0,nan,0,nan,0,nan,0,1.593,1
10,25,2013,0.01377,1,83,1,127.8,1,1.446,1,3.433,1
10,26,2013,0.002486,1,80,1,150.5,1,1.817,1,1.719,1
10,27,2013,nan,0,nan,0,nan,0,nan,0,0.3996,1
10,28,2013,0.003431,1,77,1,86,1,14.8,1,3.414,2
10,29,2013,0.03258,2,81,2,200.7,2,0.5371,2,0.3241,2
4,1,2014,6.489e-05,1,73,1,81.66,1,17.56,1,1.344,8
4,2,2014,0.00266,7,78,7,97.31,7,19.59,7,1.166,10
4,3,2014,0.0008431,4,79,4,104.8,4,14.51,4,0.6535,6
4,4,2014,0.001832,1,73,1,90.62,1,27.82,1,1.74,2
4,5,2014,0.006742,2,83.5,2,102.5,2,5.811,2,3.813,2
4,6,2014,0.01778,3,93,3,98.65,3,6.909,3,2.795,3
4,7,2014,0.005333,1,82,1,199.2,1,1.243,1,1.151,3
4,8,2014,0.003569,3,84,3,104.5,3,11.14,3,0.9537,5
4,9,2014,nan,0,nan,0,nan,0,nan,0,1.202,1
4,10,2014,0.004587,1,87,1,106.7,1,8.368,1,2.514,2
4,11,2014,0.0005231,3,78,3,82.25,3,4.346,3,1.081,4
4,12,2014,0.002146,1,77,1,107.4,1,11.64,1,3.054,2
4,13,2014,nan,0,nan,0,nan,0,nan,0,0.5828,1
4,14,2014,0.001328,4,79,4,90.52,4,13.92,4,1.168,11
4,15,2014,0.004695,2,73,2,78.02,2,4.067,2,0.8199,5
4,16,2014,0.001173,5,78,5,98.3,5,15.75,5,1.088,10
4,17,2014,0.008991,1,79,1,123.4,1,31.04,1,2.037,2
4,19,2014,nan,0,nan,0,nan,0,nan,0,0.3734,1
4,20,2014,0.00226,2,91,2,151.1,2,2.191,2,0.606,4
4,21,2014,0.006152,5,74,5,86.68,5,9.49,5,1.138,5
4,23,2014,0.007356,4,75.5,4,91.14,4,18.77,4,0.6462,10
4,24,2014,0.005031,4,79.5,4,84.78,4,9.736,4,0.6406,6
4,25,2014,0.0151,4,74,4,90,4,3.464,4,1.208,4
4,27,2014,0.001839,4,88,4,316.3,4,1.195,4,1.353,8
4,28,2014,0.001765,8,77,8,101.4,8,7.461,8,1.629,12
4,29,2014,0.001267,12,74,12,85.55,12,28.31,12,1.054,14
4,30,2014,0.005059,4,88.5,4,101.9,4,9.444,4,2.381,12
4,2,2013,0.0008993,1,81,1,159.9,1,7.686,1,1.223,1
4,4,2013,0.0002908,1,91,1,103.5,1,3.928,1,2.401,5
4,5,2013,0.01713,1,78,1,171.8,1,16.78,1,1.486,2
4,8,2013,0.001827,5,75,5,83.25,5,11.13,5,1.566,5
4,9,2013,0.001043,2,74,2,81.81,2,10.3,2,1.552,2
4,10,2013,0.01363,3,76,3,106.9,3,18.42,3,1.433,8
4,11,2013,0.01709,6,76.5,6,118.8,6,14.5,6,0.6281,7
4,12,2013,nan,0,nan,0,nan,0,nan,0,0.8964,2
4,13,2013,0.0005763,1,76,1,105,1,5.901,1,1.603,1
4,14,2013,0.003898,4,74.5,4,83.32,4,9.535,4,1.288,8
4,15,2013,0.002159,8,81.5,8,97.17,8,10.76,8,1.098,13
4,16,2013,0.008352,2,89,2,113.3,2,4.595,2,1.131,5
4,17,2013,0.007443,1,75,1,88.64,1,3.789,1,1.478,2
4,18,2013,0.009466,1,79,1,165.6,1,16.85,1,0.7279,5
4,19,2013,nan,0,nan,0,nan,0,nan,0,0.6638,3
4,20,2013,0.005055,4,79,4,89.8,4,9.704,4,0.9314,4
