month,day,year,packet_retransmit_rate,packet_retransmit_rate_n,minimum_rtt,minimum_rtt_n,average_rtt,average_rtt_n,download_throughput,download_throughput_n,upload_throughput,upload_throughput_n
11,1,2013,0.005871,55,60,55,94.48,55,2.885,55,0.6076,80
11,2,2013,0.003891,102,62,102,90.21,102,3.243,102,0.663,113
11,3,2013,0.007216,70,68,70,99.26,70,1.755,70,0.6037,91
11,4,2013,0.007456,86,70.5,86,98.84,86,3.336,86,0.6072,121
11,5,2013,0.006862,74,55,74,104,74,3.845,74,0.6684,99
11,6,2013,0.008387,87,61,87,95.61,87,2.355,87,0.6434,108
11,7,2013,0.008993,93,64,93,94.69,93,1.974,93,0.6726,113
11,8,2013,0.01201,56,67,56,101.1,56,1.368,56,0.6425,75
11,9,2013,0.007718,103,70,103,101.2,103,1.504,103,0.6129,119
11,10,2013,0.008061,74,63.5,74,98.44,74,1.71,74,0.6142,91
11,11,2013,0.01077,82,70.5,82,95.25,82,1.37,82,0.6074,106
11,12,2013,0.006875,79,62,79,96.64,79,1.835,79,0.6219,96
11,13,2013,0.01066,74,69,74,102,74,1.456,74,0.5967,99
11,14,2013,0.006913,121,57,121,93.75,121,2.468,121,0.6857,147
11,15,2013,0.00764,80,68,80,98.4,80,1.668,80,0.625,104
11,16,2013,0.01192,147,76,147,100.7,147,1.176,147,0.6079,163
11,17,2013,0.009268,130,68,130,94.79,130,1.496,130,0.6112,149
11,18,2013,0.009551,145,64,145,94.78,145,1.545,145,0.6195,177
11,19,2013,0.01395,87,69,87,94.38,87,1.312,87,0.6105,104
11,20,2013,0.01095,77,62,77,91.36,77,1.751,77,0.5991,101
11,21,2013,0.01048,78,68,79,97.05,79,1.492,79,0.6116,96
11,22,2013,0.01024,85,65,85,90.28,85,1.68,85,0.613,101
11,23,2013,0.011,104,67.5,104,89.72,104,1.313,104,0.634,119
11,24,2013,0.01103,132,73,132,98.76,132,1.228,132,0.6058,147
11,25,2013,0.01186,107,80,107,101,107,1.325,107,0.61,127
11,26,2013,0.009364,94,64,94,94.32,94,1.917,94,0.6662,106
11,27,2013,0.01302,70,76,70,116,70,1.237,70,0.5786,86
11,28,2013,0.007114,54,76,54,114.8,54,1.681,54,0.5599,79
11,29,2013,0.0103,89,73,89,100.3,89,1.13,89,0.6002,110
11,30,2013,0.01047,90,68,90,94.89,90,1.515,90,0.6302,109
11,1,2012,0.00678,84,49.5,84,98.66,84,8.604,84,0.6254,134
11,2,2012,0.005388,88,55.5,88,111.9,88,5.275,88,0.6128,167
11,3,2012,0.007648,134,53,134,106.8,134,3.949,134,0.6011,215
