year,month,hour,average_rtt,average_rtt_n,download_throughput,download_throughput_n,minimum_rtt,minimum_rtt_n,packet_retransmit_rate,packet_retransmit_rate_n,upload_throughput,upload_throughput_n
2012,1,0,109.1,23,3.801,23,55.0,23,0.006211,23,0.623,45
2012,1,1,94.7,19,6.434,19,52.0,19,0.002740,19,0.599,39
2012,1,2,134.6,18,2.794,18,57.0,18,0.006206,18,0.602,36
2012,1,3,131.8,12,2.670,12,68.5,12,0.004788,12,0.608,19
2012,1,4,108.0,9,1.150,9,76.0,9,0.016018,9,0.561,18
2012,1,5,136.8,10,3.956,10,58.0,10,0.005810,10,0.604,22
2012,1,6,93.1,18,6.175,18,52.5,18,0.005542,18,0.603,30
2012,1,7,116.8,26,3.475,26,56.5,26,0.008213,26,0.595,33
2012,1,8,114.7,25,2.790,25,64.0,25,0.008134,25,0.592,44
2012,1,9,107.5,32,4.010,32,51.5,32,0.008314,32,0.605,50
2012,1,10,146.3,28,2.166,28,71.5,28,0.007759,28,0.621,61
2012,1,11,117.9,35,3.278,35,60.0,35,0.006192,35,0.608,58
2012,1,12,111.6,54,4.555,54,59.5,54,0.007373,54,0.595,95
2012,1,13,116.1,67,2.740,67,61.0,67,0.010269,67,0.606,96
2012,1,14,120.3,48,3.801,48,63.5,48,0.008072,48,0.572,90
2012,1,15,128.1,47,3.317,47,61.0,47,0.008115,47,0.563,88
2012,1,16,93.5,64,5.424,64,56.5,64,0.005659,64,0.602,111
2012,1,17,114.5,70,3.287,70,57.0,70,0.007333,70,0.565,111
2012,1,18,115.9,81,3.479,81,58.0,81,0.005894,81,0.580,117
2012,1,19,122.7,89,4.229,89,62.0,89,0.005852,89,0.605,121
2012,1,20,116.2,80,3.532,80,70.5,80,0.006475,80,0.574,116
2012,1,21,104.0,59,5.454,59,53.0,59,0.005418,59,0.595,93
2012,1,22,113.5,48,3.350,48,59.5,48,0.006158,48,0.611,87
2012,1,23,118.4,34,2.760,34,60.0,34,0.012563,34,0.555,71
2012,2,0,78.0,23,3.782,23,51.0,23,0.006735,23,0.523,44
2012,2,1,174.1,27,2.508,27,59.0,27,0.010420,27,0.552,55
2012,2,2,130.9,26,3.841,26,57.0,26,0.005089,26,0.603,46
2012,2,3,98.7,18,5.786,18,55.0,18,0.006008,18,0.587,34
2012,2,4,98.3,15,5.886,15,54.0,15,0.006681,15,0.593,35
2012,2,5,79.6,17,4.543,17,54.0,17,0.006800,17,0.572,26
2012,2,6,99.9,22,4.469,22,55.5,22,0.006358,22,0.603,46
2012,2,7,99.5,24,3.634,24,58.0,24,0.007220,24,0.630,54
2012,2,8,115.3,27,4.158,27,59.0,27,0.011303,27,0.602,66
2012,2,9,102.9,46,4.954,46,57.0,46,0.006187,46,0.612,78
2012,2,10,128.1,37,3.763,37,59.0,37,0.008104,37,0.601,77
2012,2,11,104.5,46,5.641,46,48.0,46,0.004964,46,0.625,83
2012,2,12,128.4,40,3.937,40,61.0,40,0.010179,39,0.614,80
2012,2,13,110.6,36,5.205,36,59.0,36,0.008260,35,0.590,86
2012,2,14,114.2,65,4.986,65,63.0,65,0.007253,65,0.596,103
2012,2,15,110.2,53,4.145,53,57.0,53,0.007203,53,0.614,99
2012,2,16,113.1,67,3.483,67,63.0,67,0.008005,67,0.596,120
2012,2,17,108.0,66,4.780,66,59.0,66,0.006758,66,0.601,135
2012,2,18,119.2,82,4.601,82,65.0,82,0.006542,81,0.605,136
2012,2,19,130.5,77,3.386,77,62.0,77,0.009955,77,0.578,128
2012,2,20,108.4,69,4.456,69,56.0,69,0.007115,69,0.597,117
2012,2,21,129.1,68,3.238,68,61.5,68,0.006792,68,0.603,125
2012,2,22,122.8,55,3.393,55,60.0,55,0.008279,55,0.598,100
2012,2,23,92.8,39,4.774,39,54.0,39,0.005429,39,0.556,75
2012,3,0,126.9,30,2.336,30,57.0,30,0.007238,30,0.595,56
2012,3,1,123.6,20,1.775,20,54.0,20,0.013972,19,0.578,40
2012,3,2,121.4,17,2.389,17,56.0,17,0.016441,17,0.534,50
2012,3,3,99.3,13,5.100,13,55.0,13,0.006162,13,0.592,30
2012,3,4,144.5,8,0.983,8,65.5,8,0.006107,8,0.429,13
2012,3,5,142.8,12,1.698,12,65.0,12,0.011974,11,0.419,32
2012,3,6,115.9,18,4.206,18,51.5,18,0.006817,17,0.506,34
2012,3,7,146.6,19,2.516,19,63.0,19,0.006709,19,0.482,45
2012,3,8,115.1,32,2.682,32,60.0,32,0.007243,31,0.480,68
2012,3,9,114.7,36,4.319,36,54.0,36,0.008903,32,0.590,71
2012,3,10,115.7,32,5.011,32,56.5,32,0.007417,32,0.601,67
2012,3,11,115.3,43,3.714,43,50.0,43,0.005977,42,0.595,88
2012,3,12,99.5,57,3.052,57,60.0,57,0.005236,55,0.586,96
2012,3,13,105.5,36,4.173,36,57.5,36,0.008060,34,0.541,86
2012,3,14,101.3,58,4.203,58,56.5,58,0.006124,58,0.512,106
2012,3,15,152.5,57,4.195,57,57.0,57,0.008358,55,0.566,125
2012,3,16,119.1,43,4.766,43,56.0,43,0.007308,43,0.590,90
2012,3,17,119.8,49,3.060,49,63.0,49,0.009274,49,0.603,110
2012,3,18,120.8,85,3.893,85,62.0,85,0.008266,85,0.577,163
2012,3,19,132.8,75,3.701,75,61.0,75,0.007853,73,0.579,160
2012,3,20,152.1,73,2.457,73,64.0,73,0.008694,70,0.566,141
2012,3,21,117.7,65,4.556,65,59.0,65,0.007745,64,0.574,137
2012,3,22,104.6,49,4.658,49,60.0,49,0.005616,48,0.604,91
2012,3,23,127.7,44,3.270,44,58.5,44,0.012165,43,0.529,76
2012,4,0,94.6,35,4.783,35,53.0,35,0.004887,35,0.602,61
2012,4,1,82.1,22,6.028,22,48.0,22,0.006585,22,0.601,49
2012,4,2,117.8,25,2.717,25,70.0,25,0.005099,25,0.614,43
2012,4,3,95.0,12,3.620,12,56.0,12,0.007206,12,0.423,23
2012,4,4,98.6,12,3.243,12,55.0,12,0.003605,12,0.593,24
2012,4,5,82.4,20,4.819,20,54.5,20,0.006715,20,0.594,27
2012,4,6,100.9,21,4.959,21,65.0,21,0.005472,20,0.601,38
2012,4,7,133.8,21,2.298,21,58.0,21,0.007463,21,0.620,45
