month,day,year,packet_retransmit_rate,packet_retransmit_rate_n,minimum_rtt,minimum_rtt_n,average_rtt,average_rtt_n,download_throughput,download_throughput_n,upload_throughput,upload_throughput_n
11,1,2013,0.004393,122,62,122,94.92,122,2.923,122,4.422,189
11,2,2013,0.005198,122,64,122,86.41,122,2.368,122,4.382,168
11,3,2013,0.004088,194,63,194,83.99,194,2.513,194,4.346,241
11,4,2013,0.005007,133,60,133,83.24,133,2.468,133,4.386,193
11,5,2013,0.004894,123,63,123,87.02,123,2.547,123,4.346,196
11,6,2013,0.002668,131,61,131,85.41,131,3.17,131,4.383,213
11,7,2013,0.005929,158,60.5,158,85.77,158,2.235,158,4.388,229
11,8,2013,0.003428,108,60.5,108,87.61,108,2.972,108,4.388,162
11,9,2013,0.004288,158,62,158,87.24,158,2.378,158,4.309,210
11,10,2013,0.006536,143,63,143,84.36,143,1.726,143,4.267,199
11,11,2013,0.00647,247,64,247,86.88,247,1.746,247,4.339,301
11,12,2013,0.006316,148,61,148,81.41,148,2.277,148,4.42,215
11,13,2013,0.004961,117,57,117,82.87,117,3.273,117,4.427,206
11,14,2013,0.003689,126,64,126,89.52,126,3.221,126,4.348,204
11,15,2013,0.005132,128,63.5,128,86.16,128,2.221,128,4.346,183
11,16,2013,0.003205,175,64,175,90.45,175,2.857,175,4.25,220
11,17,2013,0.005427,204,64,204,86.18,204,2.11,204,4.349,256
11,18,2013,0.003103,101,62,101,90.16,101,3.041,101,4.349,165
11,19,2013,0.003727,119,59,119,85.16,119,3.19,119,4.261,206
11,20,2013,0.003526,141,60,141,84.61,141,3.224,141,4.344,226
11,21,2013,0.00297,160,58,160,84.94,160,3.25,160,4.339,257
11,22,2013,0.005951,130,58,130,81.9,130,2.427,130,4.464,182
11,23,2013,0.004866,145,61,145,85.34,145,2.969,145,4.376,197
11,24,2013,0.005538,230,67,230,91.85,230,1.949,230,4.268,301
11,25,2013,0.004717,144,64.5,144,89.03,144,2.474,144,4.386,223
11,26,2013,0.003759,133,60,133,82.51,133,3.515,133,4.38,206
11,27,2013,0.005479,136,62.5,136,88.34,136,2.632,136,4.349,193
11,28,2013,0.003511,108,55,108,85.6,108,3.448,108,4.149,211
11,29,2013,0.004739,146,64,146,86.85,146,2.761,146,4.305,225
11,30,2013,0.004003,213,62,213,90.25,213,2.378,213,4.343,291
11,1,2012,0.0009158,176,29,176,65.17,176,13.78,176,3.052,331
11,2,2012,0.0008637,214,31,214,59.59,214,10.16,214,3.212,338
11,3,2012,0.00079,310,30,310,59.56,310,8.611,310,3.124,412
11,4,2012,0.002145,377,37,377,57.06,377,4.909,377,3.243,458
11,5,2012,0.001427,314,35,314,59.5,314,6.93,314,3.213,381
11,6,2012,0.001193,216,33,216,58.26,216,6.484,216,3.052,283
11,7,2012,0.002771,205,38,205,59.23,205,4.324,205,2.972,263
11,8,2012,0.002185,206,38,206,63.61,206,5.739,206,3.172,286
