year,month,hour,average_rtt,average_rtt_n,download_throughput,download_throughput_n,minimum_rtt,minimum_rtt_n,packet_retransmit_rate,packet_retransmit_rate_n,upload_throughput,upload_throughput_n
2012,1,0,72.5,72,10.601,72,28.5,72,0.002060,72,3.081,157
2012,1,1,51.6,35,12.031,35,31.0,35,0.001177,35,3.150,82
2012,1,2,52.7,28,10.490,28,26.5,28,0.002000,28,3.051,66
2012,1,3,71.5,24,6.339,24,26.5,24,0.001496,24,3.187,52
2012,1,4,84.3,21,5.144,21,30.0,21,0.001400,21,3.046,41
2012,1,5,59.9,23,9.785,23,30.0,23,0.001875,23,2.965,49
2012,1,6,78.6,16,8.986,16,35.0,16,0.001748,16,3.243,46
2012,1,7,73.8,15,15.994,15,39.0,15,0.000796,15,3.247,51
2012,1,8,61.0,24,13.576,24,32.0,24,0.001451,24,3.028,88
2012,1,9,72.0,34,11.338,34,29.0,34,0.004500,34,3.171,93
2012,1,10,71.6,38,10.277,38,35.0,38,0.001564,38,3.204,112
2012,1,11,67.2,57,11.603,57,37.0,57,0.002711,57,3.208,157
2012,1,12,69.5,77,7.050,77,39.0,77,0.002264,77,3.241,158
2012,1,13,67.2,63,9.332,63,30.0,63,0.002668,62,2.970,144
2012,1,14,71.1,70,11.743,70,36.0,70,0.002824,70,3.117,162
2012,1,15,61.0,70,7.982,70,33.0,70,0.002431,70,3.090,149
2012,1,16,71.2,79,9.391,79,36.0,79,0.002842,79,3.287,191
2012,1,17,71.9,76,10.091,76,29.0,76,0.002919,76,3.127,207
2012,1,18,81.5,101,8.098,101,36.0,101,0.002915,101,3.148,228
2012,1,19,72.1,70,11.252,70,32.0,70,0.003390,70,3.210,174
2012,1,20,62.7,102,12.797,102,28.0,102,0.002817,102,3.137,226
2012,1,21,72.8,116,10.370,116,32.5,116,0.002038,116,3.209,251
2012,1,22,70.3,115,8.976,115,34.0,115,0.002420,115,3.245,195
2012,1,23,55.5,98,9.316,98,26.0,98,0.002998,98,3.249,197
2012,2,0,60.6,65,13.310,65,28.0,65,0.001188,64,3.266,150
2012,2,1,70.9,47,11.235,47,26.0,47,0.002659,47,2.958,108
2012,2,2,60.3,24,9.328,24,29.0,24,0.003360,24,3.202,85
2012,2,3,52.4,15,8.914,15,25.0,15,0.001340,15,3.063,55
2012,2,4,55.2,22,16.180,22,26.0,22,0.000966,18,3.240,57
2012,2,5,69.2,11,4.569,11,25.0,11,0.001390,11,3.122,41
2012,2,6,73.5,28,8.860,28,32.5,28,0.002630,26,3.205,65
2012,2,7,74.0,28,13.386,28,29.5,28,0.002275,26,3.203,68
2012,2,8,81.7,34,14.518,34,47.5,34,0.001891,34,3.145,86
2012,2,9,64.9,64,12.132,64,37.0,64,0.001996,61,3.181,135
2012,2,10,59.1,42,11.872,42,30.0,42,0.001341,42,3.207,122
2012,2,11,66.4,57,12.270,57,36.0,57,0.002168,57,3.213,152
2012,2,12,64.9,69,12.596,69,34.0,69,0.001179,67,3.241,164
2012,2,13,55.5,71,11.245,71,29.0,71,0.001874,70,3.237,170
2012,2,14,61.3,66,9.428,66,28.0,66,0.002145,66,3.251,166
2012,2,15,67.2,74,8.742,74,34.0,74,0.001866,74,3.204,162
2012,2,16,66.0,94,9.274,94,35.5,94,0.001987,93,3.208,198
2012,2,17,64.3,103,8.795,103,29.0,103,0.003444,103,3.191,222
2012,2,18,69.1,118,9.603,118,31.0,118,0.003109,118,3.160,243
2012,2,19,70.5,117,10.947,117,33.0,117,0.001988,112,3.178,251
2012,2,20,68.1,128,8.905,128,31.0,128,0.002623,128,3.198,279
2012,2,21,63.2,113,11.436,113,27.0,113,0.001695,110,3.235,236
2012,2,22,70.3,117,9.623,117,35.0,117,0.002935,116,3.101,241
2012,2,23,66.8,82,9.952,82,31.0,82,0.002174,80,3.242,201
2012,3,0,77.2,66,10.454,66,26.0,66,0.002500,58,2.770,180
2012,3,1,86.1,46,12.991,46,31.0,46,0.001278,34,2.843,136
2012,3,2,88.6,28,7.000,28,34.0,28,0.002249,25,2.817,81
2012,3,3,64.4,18,7.433,18,28.5,18,0.001596,17,2.598,62
2012,3,4,101.0,21,8.233,21,38.0,21,0.002962,15,2.677,51
2012,3,5,66.1,8,8.698,8,26.0,8,0.000717,6,1.994,29
2012,3,6,81.6,14,9.549,14,27.0,14,0.001612,12,1.834,50
2012,3,7,102.1,20,10.645,20,43.0,20,0.002307,15,2.919,69
2012,3,8,72.9,41,8.516,41,37.0,41,0.004171,36,2.859,96
2012,3,9,78.8,42,8.702,42,29.0,42,0.001868,37,3.000,104
2012,3,10,87.2,58,8.175,58,39.0,58,0.001799,53,3.175,124
