month,hour,year,packet_retransmit_rate,packet_retransmit_rate_n,minimum_rtt,minimum_rtt_n,average_rtt,average_rtt_n,download_throughput,download_throughput_n,upload_throughput,upload_throughput_n
11,0,2013,0.005278,36,49.5,36,102.9,36,4.417,36,0.7041,52
11,1,2013,0.004166,17,52,17,93,17,9.247,17,0.4811,34
11,2,2013,0.005136,10,30.5,10,58.95,10,10.25,10,0.8282,24
11,3,2013,0.00121,10,35.5,10,98.59,10,8.888,10,1.176,18
11,4,2013,0.01212,6,40.5,6,71.06,6,3.636,6,1.227,11
11,5,2013,0.003017,16,50.5,16,102.9,16,5.337,16,1.213,23
11,6,2013,0.0008946,29,35,29,67.18,29,7.043,29,0.8754,46
11,7,2013,0.002171,35,32,35,66.28,35,5.81,35,0.8982,72
11,8,2013,0.001949,40,31.5,40,76.41,40,6.838,40,1.102,78
11,9,2013,0.002222,40,28.5,40,63.59,40,5.512,40,0.7498,77
11,10,2013,0.002077,54,34,54,65.86,54,9.399,54,1.067,96
11,11,2013,0.002258,46,34.5,46,80.46,46,5.215,46,0.7767,113
11,12,2013,0.002727,46,31.5,46,66.91,46,5.748,46,0.7162,91
11,13,2013,0.002852,67,33,67,87.68,67,5.033,67,0.8246,140
11,14,2013,0.002598,67,32,67,93.33,67,6.934,67,0.8286,136
11,15,2013,0.001824,68,37,68,84.82,68,7.415,68,0.7587,125
11,16,2013,0.003468,84,33,84,72.48,84,5.489,84,1.12,127
11,17,2013,0.002054,81,30,81,84.72,81,5.957,81,1.063,146
11,18,2013,0.005958,96,34,96,95.08,96,5.147,96,0.7918,184
11,19,2013,0.002626,80,32,80,89.64,80,5.435,80,0.7852,126
11,20,2013,0.003936,103,40,103,83.01,103,5.067,103,0.8956,149
11,21,2013,0.004566,95,40,95,86.37,95,4.815,95,0.7879,171
11,22,2013,0.002845,71,32,71,72.53,71,6.634,71,0.7998,138
11,23,2013,0.002462,50,42,50,77.63,50,5.037,50,1.198,86
11,0,2012,0.006101,54,48.5,54,78.63,54,2.912,54,0.6179,79
11,1,2012,0.01147,35,44,35,97.2,35,2.534,35,0.5251,77
