year,month,day,average_rtt,average_rtt_n,download_throughput,download_throughput_n,minimum_rtt,minimum_rtt_n,packet_retransmit_rate,packet_retransmit_rate_n,upload_throughput,upload_throughput_n
2012,1,1,55.9,418,11.548,418,22.0,418,0.001662,418,3.123,845
2012,1,2,52.6,336,11.273,336,21.0,336,0.001422,336,3.235,800
2012,1,3,36.3,573,18.104,574,15.0,573,0.000315,573,3.734,1103
2012,1,4,33.2,608,21.121,608,14.0,608,0.000248,608,4.294,1465
2012,1,5,55.1,296,10.351,296,22.0,296,0.002146,296,3.174,723
2012,1,6,52.3,278,12.189,279,22.5,278,0.001535,279,3.211,629
2012,1,7,53.4,338,12.564,338,21.0,338,0.001539,338,3.253,765
2012,1,8,50.3,338,12.797,338,21.0,338,0.001514,338,3.255,839
2012,1,9,49.5,310,12.890,310,21.0,310,0.001607,310,3.249,758
2012,1,10,47.3,347,13.230,347,20.0,347,0.001434,347,3.199,708
2012,1,11,53.3,264,11.657,264,21.0,264,0.001842,263,3.111,582
2012,1,12,56.0,344,11.361,344,21.0,344,0.001945,344,3.189,780
2012,1,13,54.1,346,13.381,346,22.0,346,0.001574,346,3.205,756
2012,1,14,50.5,346,13.425,346,21.0,346,0.001323,346,3.211,801
2012,1,15,52.9,404,11.712,404,22.0,404,0.001657,404,3.170,947
2012,1,16,53.9,328,13.167,328,21.0,328,0.001414,328,3.211,740
2012,1,17,55.0,276,12.938,276,23.0,276,0.001775,276,3.082,643
2012,1,18,53.7,275,11.863,275,21.0,275,0.001354,275,3.232,640
2012,1,19,49.0,274,13.824,274,21.0,274,0.001163,274,3.211,723
2012,1,20,52.8,291,12.455,291,23.0,291,0.001505,291,3.249,679
2012,1,21,55.1,413,12.749,413,22.0,413,0.001452,413,3.210,893
2012,1,22,55.0,337,11.560,337,23.0,337,0.001441,337,3.176,801
2012,1,23,50.6,317,13.622,317,21.0,317,0.001726,317,3.188,749
2012,1,24,48.0,280,15.065,280,21.0,280,0.001366,280,3.243,690
