year,month,hour,average_rtt,average_rtt_n,download_throughput,download_throughput_n,minimum_rtt,minimum_rtt_n,packet_retransmit_rate,packet_retransmit_rate_n,upload_throughput,upload_throughput_n
2012,1,0,52.7,479,13.405,479,22.0,479,0.001575,479,3.239,1140
2012,1,1,48.8,354,16.350,354,20.0,354,0.001056,353,3.252,836
2012,1,2,55.6,303,15.262,303,21.0,303,0.001226,303,3.287,741
2012,1,3,49.5,230,15.940,230,20.0,230,0.001303,230,3.281,637
2012,1,4,47.3,115,16.246,115,21.0,115,0.001293,115,3.384,350
2012,1,5,44.2,116,14.747,116,19.0,116,0.000666,116,3.295,335
2012,1,6,35.3,143,20.571,143,18.0,143,0.000503,142,3.295,321
2012,1,7,41.8,199,18.877,199,18.0,199,0.000585,199,3.290,469
2012,1,8,46.2,235,15.327,235,20.0,235,0.001436,234,3.174,598
2012,1,9,49.1,274,13.386,274,21.0,274,0.001426,274,3.226,677
2012,1,10,51.0,355,13.454,355,22.0,355,0.001371,355,3.204,802
2012,1,11,48.0,403,13.652,403,21.0,403,0.001439,403,3.236,957
2012,1,12,53.9,461,12.297,461,21.0,461,0.001307,461,3.242,1082
2012,1,13,51.2,427,13.040,428,21.0,427,0.001902,427,3.211,1015
2012,1,14,53.6,462,11.956,462,23.0,462,0.001672,461,3.213,1068
2012,1,15,50.8,543,13.185,543,21.0,543,0.001518,543,3.223,1197
2012,1,16,52.5,585,12.827,585,21.0,585,0.001602,585,3.247,1305
2012,1,17,54.3,608,13.470,608,21.0,608,0.001413,608,3.236,1375
2012,1,18,52.7,650,12.069,650,21.0,650,0.001698,650,3.181,1458
2012,1,19,50.5,703,12.509,703,21.0,703,0.001274,703,3.226,1566
2012,1,20,48.0,818,13.077,819,20.0,818,0.001280,819,3.248,1812
2012,1,21,53.4,842,11.850,843,21.0,842,0.001414,843,3.214,1801
2012,1,22,53.1,711,12.563,711,21.0,711,0.001498,711,3.238,1516
2012,1,23,51.0,637,13.622,637,20.0,637,0.001186,637,3.246,1389
2012,2,0,51.5,592,11.184,592,21.0,592,0.001511,592,3.133,1300
2012,2,1,52.2,449,12.516,449,21.0,449,0.001314,446,3.156,997
2012,2,2,48.7,296,12.539,296,21.0,296,0.001444,294,3.012,719
2012,2,3,53.1,183,12.623,183,21.0,183,0.001746,182,3.213,474
2012,2,4,52.7,128,15.573,128,21.0,128,0.001555,127,3.209,350
2012,2,5,49.7,119,16.272,119,20.0,119,0.000997,119,3.239,314
2012,2,6,50.8,153,12.761,153,19.0,153,0.001816,153,3.213,397
2012,2,7,51.1,213,13.590,213,20.0,213,0.001754,213,2.986,523
2012,2,8,46.4,302,15.614,302,20.5,302,0.001102,300,3.205,689
2012,2,9,48.3,376,14.542,376,21.0,376,0.001372,376,3.212,902
2012,2,10,50.9,425,13.363,425,21.0,425,0.001117,424,3.213,1040
2012,2,11,49.6,505,13.648,505,20.0,505,0.001249,505,3.214,1212
2012,2,12,48.1,500,13.719,500,21.0,500,0.001102,498,3.161,1171
2012,2,13,51.9,501,12.551,501,21.0,501,0.001431,498,3.173,1143
2012,2,14,50.6,586,12.563,586,21.0,586,0.001469,586,3.208,1276
2012,2,15,50.5,641,12.787,641,21.0,641,0.001502,641,3.212,1423
2012,2,16,52.6,708,12.832,708,21.0,708,0.001463,705,3.240,1581
2012,2,17,52.5,725,12.969,725,21.0,725,0.001531,725,3.211,1634
2012,2,18,53.1,813,11.676,813,21.0,813,0.001576,811,3.209,1808
2012,2,19,51.6,926,11.585,927,21.5,926,0.001660,927,3.185,2095
2012,2,20,52.5,900,12.073,900,21.0,900,0.001412,900,3.223,1990
2012,2,21,53.1,908,11.513,908,21.0,908,0.001480,906,3.208,2071
2012,2,22,52.6,853,11.990,853,21.0,853,0.001459,852,3.183,1867
2012,2,23,51.4,758,11.550,758,20.5,758,0.001611,758,3.166,1657
2012,3,0,55.6,579,11.896,579,21.0,579,0.001747,577,3.199,1342
2012,3,1,54.6,437,12.691,437,21.0,437,0.001518,436,3.155,1072
2012,3,2,52.5,262,13.252,263,21.0,262,0.001347,263,3.182,687
2012,3,3,58.5,179,12.526,179,23.0,179,0.001383,179,3.249,463
2012,3,4,50.9,150,11.947,150,22.0,150,0.001867,150,3.173,355
2012,3,5,52.2,123,9.145,123,21.0,123,0.003108,123,3.058,346
2012,3,6,50.1,140,12.258,140,20.0,140,0.001474,140,3.202,375
2012,3,7,49.3,179,14.790,179,21.0,179,0.001361,177,3.237,493
2012,3,8,47.4,253,11.760,253,21.0,253,0.001527,250,3.165,623
2012,3,9,50.0,312,13.349,312,21.0,312,0.001763,311,3.193,808
2012,3,10,50.2,396,12.867,396,20.0,396,0.001654,394,3.200,942
2012,3,11,53.2,459,11.790,459,21.0,459,0.001531,458,3.128,1073
2012,3,12,49.4,459,13.547,459,20.0,459,0.001688,457,3.236,1161
2012,3,13,50.8,534,11.805,534,20.0,534,0.001349,530,3.209,1262
2012,3,14,50.6,515,13.402,515,21.0,515,0.001527,512,3.175,1215
2012,3,15,54.5,607,11.257,607,21.0,607,0.001705,604,3.184,1362
2012,3,16,53.6,621,11.481,621,21.0,621,0.001345,621,3.191,1465
2012,3,17,55.3,726,12.671,726,21.0,726,0.001563,724,3.198,1767
2012,3,18,52.1,742,12.255,742,21.0,742,0.001599,740,3.189,1745
2012,3,19,57.9,777,11.310,777,21.0,777,0.001994,775,3.153,1937
2012,3,20,54.8,895,12.668,895,21.0,895,0.001904,894,3.233,2105
2012,3,21,53.0,886,11.197,886,21.0,886,0.001636,883,3.170,2063
2012,3,22,52.4,827,12.097,827,21.0,827,0.001520,827,3.150,1967
2012,3,23,55.3,744,10.147,744,21.0,744,0.001893,739,3.095,1685
2012,4,0,49.8,532,12.472,533,20.0,532,0.001518,532,3.239,1298
2012,4,1,49.7,417,14.208,417,21.0,417,0.001247,417,3.085,895
2012,4,2,48.2,235,13.754,235,21.0,235,0.001265,235,3.168,607
2012,4,3,50.6,188,15.943,188,21.0,188,0.001181,188,3.118,422
2012,4,4,53.3,141,12.212,141,20.0,141,0.001396,141,3.085,348
2012,4,5,54.8,110,11.219,110,24.0,110,0.002374,110,3.252,274
2012,4,6,48.5,129,12.660,129,23.0,129,0.001572,129,3.247,279
2012,4,7,45.7,193,14.536,193,19.0,193,0.001484,193,3.245,458
2012,4,8,44.4,282,15.556,282,20.0,282,0.001024,282,3.246,625
2012,4,9,46.5,353,14.283,353,19.0,353,0.001047,353,3.267,818
2012,4,10,47.8,414,13.975,414,19.0,414,0.001335,414,3.278,957
2012,4,11,46.0,500,14.761,500,19.0,500,0.001193,500,3.249,1029
2012,4,12,49.3,552,14.139,552,19.0,552,0.001540,552,3.211,1152
2012,4,13,46.1,519,13.616,519,19.0,519,0.001520,519,3.241,1099
2012,4,14,47.8,566,13.992,566,20.0,566,0.001628,566,3.244,1185
2012,4,15,46.9,609,13.689,609,20.0,609,0.001703,609,3.232,1348
2012,4,16,46.9,635,14.259,635,19.0,635,0.001470,634,3.243,1402
2012,4,17,48.5,664,12.967,664,19.5,664,0.001435,664,3.245,1533
2012,4,18,48.2,717,13.159,717,19.0,717,0.001366,717,3.241,1620
2012,4,19,51.3,864,12.376,864,20.0,864,0.001602,864,3.240,1897
2012,4,20,48.8,908,11.479,908,20.0,908,0.001604,908,3.209,1961
2012,4,21,53.0,802,11.968,802,19.0,802,0.001573,801,3.246,1860
2012,4,22,53.2,860,12.329,860,20.0,860,0.001561,859,3.202,1866
2012,4,23,49.9,742,12.877,743,20.0,742,0.001403,743,3.206,1653
2012,5,0,49.9,606,11.879,606,20.0,606,0.001764,606,3.208,1307
2012,5,1,51.9,394,12.513,394,22.0,394,0.001600,394,3.212,926
2012,5,2,49.0,297,14.209,297,20.0,297,0.001595,297,3.245,678
2012,5,3,50.5,222,15.364,222,20.5,222,0.001480,222,3.201,460
2012,5,4,52.2,136,11.850,136,23.0,136,0.001772,136,3.082,306
2012,5,5,47.5,119,15.965,119,21.0,119,0.001189,119,3.242,269
