month,hour,year,packet_retransmit_rate,packet_retransmit_rate_n,minimum_rtt,minimum_rtt_n,average_rtt,average_rtt_n,download_throughput,download_throughput_n,upload_throughput,upload_throughput_n
11,0,2013,0.001443,34,18,34,42.7,34,17.36,34,3.717,48
11,1,2013,0.002105,21,18,21,39.1,21,13.76,21,4.585,43
11,2,2013,0.001826,25,18,25,58.68,25,12.4,25,3.59,39
11,3,2013,0.002478,7,19,7,36.81,7,19.7,7,4.342,14
11,4,2013,0.001593,8,18,8,36.17,8,18.43,8,5.204,13
11,5,2013,0.002066,10,20.5,10,53.67,10,12.28,10,4.425,13
11,6,2013,0.0009674,19,19,19,57.31,19,13.59,19,2.834,27
11,7,2013,0.001379,22,22.5,22,36.6,22,19.53,22,4.465,38
11,8,2013,0.001262,23,20,23,35.45,23,18.06,23,4.078,38
11,9,2013,0.001396,40,20,40,35.48,40,16.48,40,5.897,51
11,10,2013,0.0008034,62,17,62,33.72,62,18.72,62,5.343,82
11,11,2013,0.001344,43,22,43,41.33,43,16.9,43,4.384,57
11,12,2013,0.001596,46,19,47,40.46,47,12.96,47,4.542,60
11,13,2013,0.001075,39,19,39,45.44,39,19.29,39,4.415,57
11,14,2013,0.001039,56,20,56,37.96,56,18.78,56,5.376,91
11,15,2013,0.000852,69,20,69,35.62,69,18.36,69,5.83,98
11,16,2013,0.001959,46,18,46,35.58,46,11.91,46,4.374,75
11,17,2013,0.001248,61,19,61,40,61,14.68,61,5.322,93
11,18,2013,0.001046,79,18,79,40.68,79,15.94,79,5.87,127
11,19,2013,0.001244,98,20,98,37.8,98,13.91,98,5.666,137
11,20,2013,0.00101,65,18,65,35.89,65,15.61,65,4.919,101
11,21,2013,0.001101,60,18,60,39.61,60,12.27,60,5.555,80
11,22,2013,0.00101,64,18,64,42.45,64,13.41,64,5.541,87
11,23,2013,0.0009822,52,18,52,37.05,52,18.35,52,5.907,70
11,0,2012,0.001081,66,20,66,40.83,66,10.92,66,3.151,110
11,1,2012,0.001667,35,20,35,51.63,35,10.37,35,2.849,69
11,2,2012,0.001323,23,20,23,36.67,23,18.5,23,3.651,49
11,3,2012,0.001528,18,20,18,51.76,18,16.31,18,2.88,33
11,4,2012,0.001067,8,21,8,39.31,8,19.79,8,2.942,16
11,5,2012,0.0005562,14,21.5,14,35.45,14,20.4,14,3.611,31
11,6,2012,0.001896,18,18,18,66.89,18,12.29,18,2.694,21
11,7,2012,0.001133,20,16.5,20,36.35,20,19.01,20,3.718,32
11,8,2012,0.00155,31,19,31,36.12,31,15.29,31,3.092,36
11,9,2012,0.0009247,26,18.5,26,35.1,26,15.78,26,3.658,44
11,10,2012,0.001123,55,19,55,37.04,55,15.57,55,3.652,72
11,11,2012,0.001922,36,18,36,44.03,36,12.23,36,2.928,61
11,12,2012,0.00185,44,18,44,38.71,44,13.49,44,3.644,73
11,13,2012,0.001452,55,17,55,37.74,55,15.1,55,3.05,80
11,14,2012,0.002106,48,20,48,46.28,48,15.4,48,3.613,82
11,15,2012,0.001432,72,19,72,42.51,72,14.77,72,3.629,128
11,16,2012,0.001336,79,19,79,41.97,79,13.6,79,3.609,128
11,17,2012,0.001781,64,18,64,44.11,64,12.84,64,3.634,120
11,18,2012,0.002784,68,20,68,59.59,68,8.669,68,3.612,117
11,19,2012,0.001699,84,19,84,43.59,84,12.59,84,3.613,146
11,20,2012,0.001616,102,19,102,45.61,102,12.96,102,3.613,142
11,21,2012,0.001817,74,19,74,49.69,74,13.22,74,3.611,115
11,22,2012,0.001646,92,20,92,48.03,92,10.54,92,3.255,152
11,23,2012,0.0008795,71,18,71,44.4,71,14.29,71,3.11,106
10,0,2012,0.001132,67,16,67,37.63,67,17.21,67,3.372,109
10,1,2012,0.0009561,48,18.5,48,35.39,48,14.29,48,3.481,78
10,2,2012,0.0009932,20,19.5,20,34.2,20,18.22,20,3.291,41
10,3,2012,0.001087,26,18,26,37,26,19.06,26,3.05,42
10,4,2012,0.0008226,11,19,11,40.91,11,19.64,11,3.159,24
10,5,2012,0.001394,12,18,12,31.61,12,25.04,12,3.632,30
10,6,2012,0.001273,8,17.5,8,36.33,8,11.22,8,3.608,27
10,7,2012,0.003366,19,21,19,37.28,19,12.2,19,3.537,31
10,8,2012,0.002511,21,19,21,38.52,21,11.7,21,2.79,47
10,9,2012,0.001512,45,16,45,44.31,45,11.56,45,3.014,64
10,10,2012,0.002192,40,18.5,40,43.7,40,15.35,40,3.65,68
10,11,2012,0.001444,54,18,54,42.1,54,15.38,54,3.276,91
10,12,2012,0.002869,45,20,45,46.15,45,10.22,45,3.609,92
10,13,2012,0.002102,46,19.5,46,40.97,46,12.1,46,3.646,91
10,14,2012,0.001158,71,17,71,47.47,71,13.48,71,3.537,108
10,15,2012,0.001245,68,20,68,44.17,68,14.03,68,3.409,109
10,16,2012,0.001937,53,18,53,42.02,53,12.95,53,3.61,104
10,17,2012,0.002449,102,20,102,43.42,102,8.932,102,3.615,147
10,18,2012,0.001495,86,20.5,86,44.97,86,13.21,86,3.63,118
10,19,2012,0.001443,81,19,81,40.53,81,10.82,81,3.491,129
10,20,2012,0.00157,90,19,90,42.27,90,12.96,90,3.609,136
10,21,2012,0.001344,77,18,77,40.59,77,12.62,77,3.589,112
10,22,2012,0.001443,67,19,67,38.56,67,11.04,67,3.614,111
10,23,2012,0.001509,66,19,66,44.78,66,13.85,66,3.484,121
10,0,2013,0.001471,62,19,62,37.78,63,9.154,62,5.544,79
10,1,2013,0.001089,24,17.5,24,34.37,24,18.63,24,5.932,42
10,2,2013,0.0008727,19,18,19,34.43,19,22.2,19,4.337,25
10,3,2013,0.001093,7,19,7,35.91,7,15.4,7,4.823,13
10,4,2013,0.0004254,14,17.5,14,50.74,14,12.92,14,5.483,20
10,5,2013,0.0008978,10,15,10,28.96,11,20.11,10,4.468,13
10,6,2013,0.002421,28,20,28,46.27,28,11.21,28,4.36,43
10,7,2013,0.001295,31,18,31,37.05,32,12.19,31,4.431,48
10,8,2013,0.0006725,44,19.5,44,35.22,44,19.68,44,5.896,60
10,9,2013,0.001408,42,18,42,30.65,43,15.04,42,5.89,66
10,10,2013,0.0008874,51,19,51,37.76,51,11.71,51,4.656,90
10,11,2013,0.0008438,53,19,53,36.54,54,19.29,53,3.629,65
10,12,2013,0.00265,52,20,52,39.13,52,7.793,52,4.103,71
10,13,2013,0.001818,70,19,70,34.97,70,16.93,70,4.454,94
10,14,2013,0.0009742,49,19,49,37.78,51,13.73,49,3.87,79
10,15,2013,0.002218,74,20,74,35.07,75,16.33,74,5.663,102
10,16,2013,0.0009991,101,19,101,37.65,102,15.27,101,4.881,128
10,17,2013,0.001185,94,19,94,38.19,99,13.43,94,4.677,123
10,18,2013,0.0008463,101,18,101,39.1,102,12.82,101,4.195,131
10,19,2013,0.001669,139,19,139,37.81,140,12.94,139,4.541,176
10,20,2013,0.001527,123,19,123,43.48,124,12.51,123,4.494,157
10,21,2013,0.001419,129,19,129,38.38,132,12.34,129,5.225,173
10,22,2013,0.001588,98,19,98,42.12,98,13.48,98,4.497,161
10,23,2013,0.001631,75,21,75,38.89,76,14.17,75,4.611,106
4,0,2014,0.001396,61,18,61,40.32,61,14.69,61,4.614,76
4,1,2014,0.000848,52,16,52,38.59,52,18.81,52,5.575,78
4,2,2014,0.001873,28,16,28,31.78,28,19.15,28,5.843,37
4,3,2014,0.001774,15,21,15,49.23,15,17.27,15,5.816,25
4,4,2014,0.0005617,14,22,14,48.42,14,16.82,14,3.965,23
4,5,2014,0.0007027,12,16.5,12,31.95,12,18.08,12,4.515,16
4,6,2014,0.0009593,19,19,19,39.54,19,12.83,19,4.078,27
4,7,2014,0.001126,28,17.5,28,39.39,28,9.764,28,4.385,39
4,8,2014,0.001614,44,19,44,32.23,44,20.94,44,5.881,54
4,9,2014,0.001419,59,18,59,36.59,59,17.1,59,4.35,73
4,10,2014,0.001906,46,23,46,44.33,46,11.8,46,3.708,79
4,11,2014,0.0009245,65,18,65,44.46,65,16.01,65,5.675,106
4,12,2014,0.002479,57,25,57,55.74,57,10.38,57,2.973,72
4,13,2014,0.001669,68,20.5,68,46.82,68,17.36,68,1.888,111
4,14,2014,0.001373,60,21.5,60,55.15,60,14.04,60,4.456,81
4,15,2014,0.002039,81,19,81,61.48,81,14.16,81,3.789,112
4,16,2014,0.002132,75,21,75,39.33,75,16.19,75,5.574,104
4,17,2014,0.001315,79,20,79,38.81,79,16.48,79,4.545,121
4,18,2014,0.001561,104,19,104,38.78,104,12.66,104,5.81,137
4,19,2014,0.001783,86,18,86,42.57,86,12.21,86,5.894,114
4,20,2014,0.001688,71,18,71,40.7,71,15.63,71,5.937,91
4,21,2014,0.001805,91,20,91,38.87,91,13.86,91,5.464,125
4,22,2014,0.000939,84,17,84,31.88,84,16.62,84,5.699,110
4,23,2014,0.0009012,56,18.5,56,32.53,56,22.01,56,5.9,72
4,0,2013,0.001859,56,18,56,37.41,56,9.918,56,3.567,73
4,1,2013,0.001161,34,20,34,39.41,34,17.54,34,3.427,46
4,2,2013,0.001112,26,20,26,54.28,26,7.319,26,3.607,51
4,3,2013,0.00563,26,24,26,78.01,26,4.69,26,3.46,36
4,4,2013,0.0008651,23,20,23,44.08,23,12.61,23,4.308,26
4,5,2013,0.0009027,9,16,9,44.52,9,12.46,9,4.512,13
4,6,2013,0.002137,15,18,15,41.97,15,17.18,15,4.45,23
4,7,2013,0.002639,17,20,17,90.8,17,3.223,17,2.785,41
4,8,2013,0.001108,28,23,28,52.64,28,10.78,28,3.647,41
4,9,2013,0.0005313,24,17,24,38.34,24,14.63,24,4.1,41
4,10,2013,0.0008728,23,19,23,38.74,23,19.1,23,3.601,37
4,11,2013,0.001002,53,20,53,43.32,53,14.3,53,3.637,77
4,12,2013,0.00115,31,18,31,42.58,31,14.49,31,3.644,49
4,13,2013,0.001427,55,19,55,40.37,55,16.02,55,3.646,78
4,14,2013,0.001048,72,17,72,39.56,72,15.5,72,3.581,102
4,15,2013,0.001526,65,18,65,37.53,65,14.14,65,3.598,99
4,16,2013,0.002023,63,19,63,45.13,63,14.4,63,3.641,98
4,17,2013,0.002654,71,20,71,44.87,71,13.34,71,3.382,104
4,18,2013,0.002513,61,22,62,47.56,62,10.42,62,3.046,88
4,19,2013,0.001547,82,18.5,82,44.38,82,15.1,82,3.555,127
4,20,2013,0.001512,107,19,107,41.55,107,11.83,107,3.562,133
4,21,2013,0.002389,80,20,80,47.48,80,8.986,80,3.625,116
4,22,2013,0.001186,89,18,89,42.85,89,14.78,89,3.601,125
4,23,2013,0.001233,57,18,57,41.72,57,14.41,57,3.526,92
4,0,2012,0.001308,137,20,137,41.44,137,15.22,137,3.205,189
4,1,2012,0.001179,79,20,79,39.45,79,16.35,79,3.048,106
4,2,2012,0.001997,75,19,75,35.98,75,10.42,75,2.93,101
4,3,2012,0.0005915,25,18,25,30.05,25,19.36,25,2.849,38
4,4,2012,0.0008023,46,19,46,34.51,46,14.56,46,2.806,70
4,5,2012,0.0008722,25,17,25,36.36,25,16.14,25,2.728,48
4,6,2012,0.001482,24,19,24,34.38,24,10.48,24,3.451,29
4,7,2012,0.00186,42,21.5,42,36.23,42,15.1,42,3.246,80
4,8,2012,0.001276,61,18,61,33.78,61,16.78,61,3.21,95
4,9,2012,0.001191,64,19,64,34.73,64,16.96,64,3.251,103
4,10,2012,0.001108,70,18,70,35.95,70,16.22,70,3.2,105
4,11,2012,0.0009659,80,18,80,34.65,80,18.74,80,3.366,109
4,12,2012,0.001114,88,18.5,88,36.82,88,14.43,88,3.048,124
4,13,2012,0.001964,75,18,75,40.1,75,12.47,75,3.184,102
4,14,2012,0.0009954,89,18,89,38.77,89,13.97,89,3.05,121
4,15,2012,0.001223,100,19,100,36.84,100,14.89,100,3.224,136
4,16,2012,0.001383,103,19,103,39.94,103,13.51,103,3.435,150
4,17,2012,0.001315,105,18,105,36.75,105,14.24,105,3.054,160
