month,day,year,packet_retransmit_rate,packet_retransmit_rate_n,minimum_rtt,minimum_rtt_n,average_rtt,average_rtt_n,download_throughput,download_throughput_n,upload_throughput,upload_throughput_n
1,1,2012,0.002469,583,37.0,583,69.79,583,8.397,583,0.7643,959
1,2,2012,0.002931,643,36.0,643,70.08,643,8.151,643,0.7763,1057
1,3,2012,0.002595,471,35.0,471,64.43,471,8.752,471,0.7707,833
1,4,2012,0.002821,500,37.0,500,72.28,500,8.289,500,0.7641,822
1,5,2012,0.002437,410,37.0,410,78.03,410,8.837,410,0.773,727
1,6,2012,0.002633,472,35.0,472,67.45,472,9.107,472,0.7704,823
1,7,2012,0.002595,544,36.0,544,74.57,544,8.918,544,0.7816,892
1,8,2012,0.002868,572,34.0,572,65.53,572,9.372,572,0.7642,1048
1,9,2012,0.002681,453,36.0,453,74.58,453,8.739,453,0.7644,830
1,10,2012,0.0036,510,52.5,510,95.76,510,6.892,510,0.7676,877
1,11,2012,0.002524,481,37.0,481,72.39,481,9.721,481,0.7868,851
1,12,2012,0.002889,490,35.0,490,62.94,490,9.129,490,0.7581,801
1,13,2012,0.00273,486,35.0,486,71.36,486,9.506,486,0.7697,874
1,14,2012,0.002422,595,35.0,595,69.74,595,9.157,595,0.7575,1059
1,15,2012,0.002829,630,36.0,629,71.84,629,9.475,630,0.7676,1020
1,16,2012,0.002657,560,36.0,560,71.69,560,9.445,560,0.7643,962
1,17,2012,0.002583,469,36.0,469,67.78,469,9.208,469,0.7606,794
1,18,2012,0.002596,451,35.0,451,73.44,451,9.451,451,0.773,806
1,19,2012,0.002302,465,35.0,466,67.66,466,10.394,466,0.7641,837
1,20,2012,0.00226,464,37.0,463,72.64,463,9.871,464,0.7596,805
1,21,2012,0.00279,643,38.0,643,86.51,643,8.319,643,0.782,1048
1,22,2012,0.002747,578,35.0,578,71.8,578,9.173,578,0.7869,1005
1,23,2012,0.002445,520,36.0,520,74.79,520,8.721,520,0.7847,921
1,24,2012,0.002983,474,35.0,474,65.63,474,8.951,474,0.7803,853
1,25,2012,0.002856,556,35.0,556,68.34,556,8.56,556,0.7831,930
1,26,2012,0.003001,485,34.0,487,62.83,487,9.411,487,0.7638,881
1,27,2012,0.002519,502,35.0,504,63.23,504,9.967,504,0.7819,888
1,28,2012,0.002395,615,35.0,615,65.18,615,9.914,615,0.7758,1024
1,29,2012,0.00266,703,35.0,705,65.96,705,8.838,705,0.7637,1130
1,30,2012,0.002598,525,34.0,525,66.28,525,9.593,525,0.7784,895
1,31,2012,0.002235,455,37.0,455,80.06,455,9.297,455,0.7736,815
2,1,2012,0.002483,405,37.0,406,68.56,406,10.067,406,0.7957,804
2,2,2012,0.003311,514,35.0,514,81.48,514,7.937,514,0.7575,898
2,3,2012,0.002621,488,36.0,489,66.97,489,10.761,489,0.7607,868
2,4,2012,0.002111,582,34.0,582,62.49,582,9.73,582,0.771,1056
2,5,2012,0.002467,542,35.0,541,70.74,541,10.087,542,0.7725,930
2,6,2012,0.002359,448,36.0,448,74.89,448,8.867,448,0.7887,797
2,7,2012,0.002429,504,35.0,504,69.06,504,9.417,504,0.783,867
2,8,2012,0.002247,430,36.0,430,68.89,430,9.634,430,0.773,853
2,9,2012,0.002407,526,35.0,526,63.57,526,9.859,526,0.7771,973
2,10,2012,0.002131,498,35.0,498,62.3,498,9.974,498,0.7666,846
2,11,2012,0.002645,622,34.0,622,65.52,622,9.294,622,0.7629,1039
2,12,2012,0.002468,586,35.0,585,65.3,585,9.682,586,0.7983,976
2,13,2012,0.002204,511,34.0,511,63.62,511,10.04,511,0.7832,872
2,14,2012,0.002782,432,35.0,432,72.36,432,9.155,432,0.7666,756
2,15,2012,0.002417,505,33.0,505,62.79,505,10.058,505,0.779,863
2,16,2012,0.001977,502,35.0,502,66.22,502,9.75,502,0.7645,879
2,17,2012,0.002786,450,34.5,450,63.03,450,9.882,450,0.7771,817
2,18,2012,0.002293,606,34.0,606,64.61,606,9.538,606,0.7909,1140
2,19,2012,0.002399,639,35.0,639,67.49,639,8.993,639,0.7692,1096
2,20,2012,0.002621,635,35.0,635,70.74,635,8.421,635,0.7823,1087
2,21,2012,0.002185,515,34.0,516,63.46,516,9.531,516,0.7787,916
2,22,2012,0.00229,543,31.5,544,65.2,544,9.078,544,0.7672,978
2,23,2012,0.003008,611,34.0,611,68.58,611,9.298,611,0.7634,996
2,24,2012,0.002414,496,34.0,496,65.97,496,9.243,496,0.7635,927
2,25,2012,0.002292,596,34.0,597,63.87,597,9.337,597,0.787,1062
2,26,2012,0.00252,648,35.0,648,68.98,648,8.909,648,0.7866,1135
2,27,2012,0.002645,526,36.0,526,71.54,526,9.638,526,0.7897,977
2,28,2012,0.002262,449,35.0,449,64.25,449,9.783,449,0.789,848
2,29,2012,0.002255,512,34.0,513,67.66,513,9.542,513,0.7818,934
3,1,2012,0.002429,490,35.0,492,67.78,492,9.697,492,0.7943,870
3,2,2012,0.002196,525,36.0,526,71.8,526,9.21,526,0.7952,958
3,3,2012,0.00265,618,35.0,618,66.18,618,9.359,619,0.798,1124
3,4,2012,0.002428,595,35.0,595,68.09,595,9.169,595,0.7976,1116
3,5,2012,0.002729,517,36.0,517,68.09,517,8.416,517,0.7977,935
3,6,2012,0.002326,482,37.0,482,73.58,482,8.796,482,0.7938,843
3,7,2012,0.00271,504,35.0,504,64.25,504,8.207,504,0.8044,854
3,8,2012,0.002146,508,31.0,510,59.5,510,9.777,510,0.8032,878
3,9,2012,0.002327,471,34.0,471,66.42,471,9.413,471,0.8016,837
3,10,2012,0.002283,580,36.0,581,72.26,581,9.682,581,0.7995,1016
3,11,2012,0.002533,513,36.0,514,77.68,514,8.432,514,0.7979,903
3,12,2012,0.002449,452,34.0,453,64.13,453,9.073,453,0.8028,825
3,13,2012,0.002823,451,36.0,454,87.62,454,8.136,454,0.8031,888
3,14,2012,0.002124,422,34.0,426,68.01,426,9.88,426,0.8039,745
3,15,2012,0.002009,444,32.0,444,60.96,444,10.469,444,0.8064,747
3,16,2012,0.002049,385,35.0,387,69.87,387,9.29,387,0.8044,766
3,17,2012,0.002519,515,35.0,517,82.65,517,8.091,517,0.8036,992
3,18,2012,0.002282,477,35.0,478,80.98,478,8.46,478,0.8024,931
3,19,2012,0.002133,504,34.0,504,72.86,504,9.781,504,0.8031,938
3,20,2012,0.00288,420,35.0,420,72.4,420,7.703,420,0.7971,760
3,21,2012,0.002068,373,35.0,374,72.43,374,8.317,374,0.7969,731
3,22,2012,0.00213,415,35.0,416,70.78,416,8.777,417,0.8032,769
3,23,2012,0.002164,364,33.0,365,63.54,365,10.001,365,0.8025,719
3,24,2012,0.002634,542,34.0,543,65.66,543,9.166,543,0.8015,955
3,25,2012,0.002268,560,36.0,559,70.87,559,8.342,560,0.7991,1046
3,26,2012,0.002269,515,35.0,515,65.38,515,10.187,515,0.804,937
3,27,2012,0.002644,462,36.0,462,74.87,462,9.022,462,0.7999,810
3,28,2012,0.003098,432,42.0,431,94.68,431,5.331,432,0.8025,760
3,29,2012,0.002334,414,36.0,414,71.73,414,7.955,414,0.8059,739
3,30,2012,0.002196,433,35.0,435,65.23,435,10.155,435,0.805,751
3,31,2012,0.002095,609,33.0,610,59.67,610,11.184,610,0.8082,1063
4,1,2012,0.002376,602,34.0,601,62.18,601,9.562,602,0.8033,1070
4,2,2012,0.0022,556,32.0,556,57.23,556,10.637,556,0.8077,1002
4,3,2012,0.002441,483,34.0,483,68.17,483,9.373,483,0.8085,821
4,4,2012,0.002176,423,34.0,423,65.35,423,10.114,423,0.81,798
4,5,2012,0.002082,464,35.0,464,61.68,464,11.369,464,0.8038,802
4,6,2012,0.002015,451,32.0,451,55.24,451,10.85,451,0.8055,888
4,7,2012,0.002082,555,33.5,556,64.87,556,10.538,556,0.8038,977
4,8,2012,0.002452,445,34.0,445,66.57,445,9.427,445,0.8065,883
4,9,2012,0.002264,510,33.0,510,60.72,510,9.335,510,0.8028,877
4,10,2012,0.002537,492,34.0,492,62.07,492,9.557,492,0.8075,815
