month,hour,year,packet_retransmit_rate,packet_retransmit_rate_n,minimum_rtt,minimum_rtt_n,average_rtt,average_rtt_n,download_throughput,download_throughput_n,upload_throughput,upload_throughput_n
1,0,2012,0.003153,914,36.0,914,91.68,914,8.379,914,0.7707,1543
1,1,2012,0.002384,633,38.0,632,91.17,632,9.151,633,0.7721,1120
1,2,2012,0.002517,540,42.0,540,90.45,540,9.727,540,0.7754,891
1,3,2012,0.002162,369,44.0,369,95.19,369,9.141,369,0.7744,650
1,4,2012,0.002396,252,42.0,252,87.96,252,9.669,252,0.7626,470
1,5,2012,0.002217,230,35.0,230,66.76,230,12.027,230,0.7805,395
1,6,2012,0.002519,179,32.0,179,64.06,179,10.402,179,0.7688,374
1,7,2012,0.002455,211,33.0,211,56.26,211,12.236,211,0.7295,418
1,8,2012,0.00236,314,34.0,315,53.07,315,11.423,315,0.7733,555
1,9,2012,0.002134,386,33.0,386,57.06,386,12.039,386,0.8018,716
1,10,2012,0.002122,472,33.0,472,58.42,472,11.477,472,0.7687,860
1,11,2012,0.002371,555,35.0,555,59.31,555,9.485,555,0.7771,971
1,12,2012,0.002282,605,35.0,607,63.9,607,9.718,607,0.7638,1113
1,13,2012,0.002295,662,36.0,662,66.29,662,9.986,662,0.7837,1142
1,14,2012,0.002417,750,35.0,750,68.18,750,9.441,750,0.7853,1305
1,15,2012,0.002441,779,36.0,779,69.73,779,8.825,779,0.772,1379
1,16,2012,0.002885,911,37.0,911,72.01,911,8.26,911,0.7715,1546
1,17,2012,0.002771,901,36.0,900,69.9,900,8.578,901,0.7749,1593
1,18,2012,0.002571,994,35.0,996,69.46,996,9.472,996,0.7644,1695
1,19,2012,0.003045,1159,35.0,1160,67.32,1160,8.188,1160,0.7639,1897
1,20,2012,0.002764,1221,35.0,1222,68.21,1222,8.412,1222,0.7626,1951
1,21,2012,0.003153,1174,37.0,1174,75.85,1174,7.969,1174,0.7744,2003
1,22,2012,0.002988,1061,36.0,1061,82.01,1061,8.109,1061,0.7642,1750
1,23,2012,0.003426,1033,37.0,1033,85.53,1033,8.21,1033,0.7645,1730
2,0,2012,0.002644,774,36.0,774,79.04,774,9.069,774,0.7637,1368
