year,month,day,average_rtt,average_rtt_n,download_throughput,download_throughput_n,minimum_rtt,minimum_rtt_n,packet_retransmit_rate,packet_retransmit_rate_n,upload_throughput,upload_throughput_n
2012,1,1,108.6,408,10.934,408,25.5,408,0.005468,408,3.313,954
2012,1,2,101.0,351,12.333,351,23.0,351,0.005807,350,4.012,819
2012,1,3,91.2,358,8.351,358,25.0,358,0.005725,358,3.768,801
2012,1,4,101.6,331,9.655,331,25.0,331,0.005382,331,2.584,834
2012,1,5,97.5,336,7.176,336,27.0,336,0.006216,336,1.612,835
2012,1,6,96.0,324,9.445,324,23.0,324,0.005537,324,3.510,802
2012,1,7,99.9,355,9.140,355,24.0,355,0.005278,355,3.847,891
2012,1,8,101.9,427,6.938,428,26.0,427,0.005355,428,3.231,1028
2012,1,9,104.6,327,9.495,327,24.0,327,0.005593,327,3.711,773
2012,1,10,101.4,313,7.449,313,27.0,313,0.005373,313,3.478,839
2012,1,11,91.6,328,11.136,328,23.0,328,0.005433,327,2.918,850
2012,1,12,88.7,339,9.371,339,24.0,339,0.005264,339,3.851,911
2012,1,13,97.1,332,10.609,332,22.0,332,0.004947,331,3.450,918
2012,1,14,87.2,356,8.631,356,24.0,356,0.005274,356,3.492,917
2012,1,15,98.8,425,6.710,425,23.0,425,0.005897,425,3.142,1032
2012,1,16,85.2,390,6.792,390,23.0,390,0.005392,390,2.819,897
2012,1,17,90.6,319,3.593,319,33.0,319,0.007092,319,1.511,809
2012,1,18,103.3,308,7.864,308,24.0,308,0.006186,308,3.622,777
2012,1,19,107.1,330,5.992,330,28.0,330,0.006638,330,3.555,829
2012,1,20,100.6,325,12.192,325,22.0,325,0.005601,325,3.737,787
2012,1,21,99.0,421,7.391,421,26.0,421,0.006346,421,3.095,1063
2012,1,22,87.5,363,6.784,363,27.0,363,0.005392,363,3.635,910
2012,1,23,91.1,336,7.693,337,29.0,336,0.006284,337,3.696,820
2012,1,24,105.8,271,8.367,271,27.0,271,0.005836,271,3.776,772
2012,1,25,94.2,314,10.429,314,26.0,314,0.005652,314,3.501,860
2012,1,26,97.0,320,10.986,320,22.5,320,0.005270,320,3.553,819
2012,1,27,98.2,347,8.941,347,26.0,347,0.005899,345,3.885,879
2012,1,28,95.5,370,10.463,370,24.0,370,0.005302,370,3.856,907
2012,1,29,95.7,398,9.295,398,24.0,398,0.005430,397,3.384,1035
2012,1,30,95.5,290,6.829,290,29.0,290,0.005512,290,3.528,693
2012,1,31,94.2,328,11.610,328,22.0,328,0.005850,328,2.544,800
2012,2,1,104.7,349,7.783,349,27.0,349,0.005657,349,3.354,838
2012,2,2,96.7,366,9.702,366,25.0,366,0.005676,366,3.451,880
2012,2,3,101.8,316,9.752,316,27.0,316,0.005706,316,3.383,856
2012,2,4,86.4,421,11.168,421,24.0,421,0.005220,420,3.991,1081
2012,2,5,94.1,398,8.170,398,26.0,398,0.004585,398,3.613,1042
2012,2,6,87.3,360,8.827,360,24.0,360,0.005232,359,3.448,934
2012,2,7,77.8,386,9.813,386,23.5,386,0.004896,384,4.012,998
2012,2,8,99.0,409,11.483,409,25.0,409,0.005346,409,4.047,1024
2012,2,9,96.5,407,7.933,407,29.0,407,0.005301,407,3.514,1144
2012,2,10,104.2,467,5.068,467,36.0,467,0.004939,467,3.175,1123
2012,2,11,90.5,478,6.417,478,25.0,478,0.005216,475,3.639,1258
2012,2,12,103.9,525,7.676,525,26.0,525,0.006029,525,3.419,1321
2012,2,13,90.8,354,10.985,354,23.5,354,0.005358,354,3.878,961
2012,2,14,95.8,350,7.143,350,26.0,350,0.005078,350,3.764,941
2012,2,15,91.4,401,10.363,401,26.0,401,0.004819,401,3.869,1022
2012,2,16,97.1,352,7.740,352,27.0,352,0.004116,352,3.805,976
2012,2,17,101.0,387,11.380,387,25.0,387,0.005070,387,3.371,1033
2012,2,18,84.0,559,9.193,559,22.0,558,0.005410,559,4.160,1396
2012,2,19,90.3,531,10.301,531,23.0,531,0.004094,531,3.816,1351
2012,2,20,87.3,491,9.819,491,22.0,491,0.005148,490,4.014,1264
2012,2,21,92.3,456,9.240,456,22.0,456,0.005189,456,3.888,1162
2012,2,22,98.8,375,8.556,375,28.0,375,0.005916,375,3.775,1012
2012,2,23,101.2,436,6.142,436,24.5,436,0.004855,436,3.531,1078
2012,2,24,93.6,397,6.686,397,25.0,397,0.005387,397,2.589,1110
2012,2,25,96.0,487,7.289,487,26.0,487,0.005676,486,3.306,1299
2012,2,26,99.1,458,8.820,458,32.0,458,0.005347,458,3.804,1286
2012,2,27,100.7,361,6.883,361,29.0,361,0.005444,361,2.974,1081
2012,2,28,94.2,420,4.781,420,35.0,420,0.006112,420,2.513,1064
2012,2,29,108.3,386,5.351,386,36.0,386,0.005615,385,2.207,1034
2012,3,1,101.8,422,9.467,422,29.5,422,0.005498,421,1.743,1185
2012,3,2,104.3,424,7.301,424,31.0,424,0.006508,423,3.316,1089
2012,3,3,99.0,488,5.494,488,30.0,488,0.005667,488,3.334,1265
2012,3,4,94.8,599,6.731,599,27.0,599,0.005582,598,3.511,1399
2012,3,5,101.5,417,6.197,417,32.0,417,0.006278,417,3.195,1182
2012,3,6,84.6,504,8.411,505,27.0,504,0.005484,505,3.611,1214
2012,3,7,100.7,370,8.289,370,24.0,370,0.005526,370,3.429,1066
2012,3,8,107.0,353,8.106,353,28.0,353,0.005622,351,3.388,880
2012,3,9,103.3,375,9.003,375,24.0,375,0.005986,375,3.433,978
2012,3,10,94.4,490,6.293,490,28.0,490,0.006254,490,3.681,1256
2012,3,11,86.5,505,6.533,505,25.0,505,0.005141,504,3.573,1143
2012,3,12,95.7,434,5.695,434,24.5,434,0.005781,434,2.167,1080
2012,3,13,98.7,362,7.882,362,26.0,362,0.005136,362,3.374,933
2012,3,14,107.0,361,8.882,361,29.0,361,0.006242,360,3.089,929
2012,3,15,111.5,341,11.042,341,25.0,341,0.006678,338,3.931,847
2012,3,16,91.8,384,8.881,384,23.0,383,0.005419,381,3.492,965
2012,3,17,98.4,410,9.167,410,22.0,410,0.005628,408,3.616,1103
2012,3,18,91.7,392,6.822,392,29.0,392,0.005230,392,3.253,1056
2012,3,19,91.3,336,10.999,336,20.0,336,0.005154,334,3.652,951
2012,3,20,97.9,290,10.249,290,22.0,290,0.006249,290,3.468,851
2012,3,21,98.0,343,9.586,343,24.0,343,0.005294,343,3.694,918
2012,3,22,102.1,401,9.029,401,24.0,401,0.005066,399,2.487,982
2012,3,23,96.4,370,7.565,370,23.0,370,0.006232,369,2.815,935
2012,3,24,88.2,473,10.652,473,21.0,473,0.004694,473,3.519,1205
2012,3,25,97.2,482,7.878,482,27.0,482,0.005295,479,1.868,1260
2012,3,26,86.7,397,9.217,397,23.0,397,0.004829,397,3.451,1003
2012,3,27,101.6,344,6.688,344,31.0,344,0.005951,343,1.836,931
2012,3,28,85.5,380,9.239,380,22.0,380,0.005255,379,3.628,905
2012,3,29,103.6,354,7.346,354,24.5,354,0.005420,354,1.944,947
2012,3,30,67.6,327,11.119,327,21.0,327,0.005261,327,4.008,884
2012,3,31,92.9,434,10.957,434,21.5,434,0.005062,433,3.771,1123
2012,4,1,85.4,429,7.278,429,26.0,429,0.003526,429,3.372,1057
2012,4,2,84.9,452,11.517,452,22.0,452,0.004011,452,3.731,1058
2012,4,3,72.4,366,10.496,366,22.0,366,0.003374,366,4.012,945
2012,4,4,91.7,401,12.144,401,22.0,401,0.004580,401,4.030,1001
2012,4,5,99.5,415,7.751,415,34.0,415,0.005203,415,2.720,972
2012,4,6,86.9,437,10.080,437,24.0,437,0.004603,435,4.031,1136
2012,4,7,102.9,431,7.587,432,22.0,431,0.004423,432,3.840,1105
2012,4,8,87.5,444,8.952,444,24.0,444,0.005335,444,3.519,1050
2012,4,9,86.2,392,11.720,392,22.0,392,0.004148,391,3.952,958
2012,4,10,86.0,397,10.014,397,22.0,397,0.004430,397,3.784,994
2012,4,11,85.5,452,9.909,452,23.0,452,0.004810,452,3.827,1021
2012,4,12,90.9,374,11.424,374,22.5,374,0.004980,374,3.619,950
2012,4,13,92.5,326,11.629,326,22.0,326,0.004283,326,3.964,825
2012,4,14,88.1,404,9.045,404,23.0,404,0.005426,404,2.635,1066
2012,4,15,72.0,405,11.983,405,20.0,405,0.003171,404,3.965,1070
