year,month,hour,average_rtt,average_rtt_n,download_throughput,download_throughput_n,minimum_rtt,minimum_rtt_n,packet_retransmit_rate,packet_retransmit_rate_n,upload_throughput,upload_throughput_n
2012,1,0,100.2,442,10.182,442,22.5,442,0.005065,442,3.828,1098
2012,1,1,101.0,368,10.193,368,24.0,368,0.006086,368,3.525,883
2012,1,2,98.5,277,12.539,277,21.0,277,0.005596,277,3.897,660
2012,1,3,99.4,206,16.733,206,22.0,206,0.005975,206,3.831,509
2012,1,4,98.2,192,18.413,192,22.0,192,0.006318,192,4.304,373
2012,1,5,106.0,166,19.821,166,24.0,166,0.006631,166,4.009,383
2012,1,6,104.1,148,18.065,148,23.5,148,0.006816,147,4.120,335
2012,1,7,107.7,214,15.601,214,24.5,214,0.006720,214,3.733,509
2012,1,8,100.8,258,11.804,258,24.0,258,0.006271,257,3.516,646
2012,1,9,103.4,300,13.400,300,25.5,300,0.005502,300,4.014,833
2012,1,10,102.2,350,7.390,350,23.0,350,0.005781,350,3.210,907
2012,1,11,93.2,362,9.328,363,24.0,362,0.005511,363,3.389,998
2012,1,12,93.0,469,8.052,469,24.0,469,0.005392,469,3.688,1207
2012,1,13,99.9,471,8.956,471,24.0,471,0.005819,471,3.368,1208
2012,1,14,96.2,512,7.949,512,24.0,512,0.005518,512,3.176,1320
2012,1,15,82.3,498,7.641,498,25.0,498,0.005072,498,3.475,1326
2012,1,16,93.6,641,8.284,641,24.0,641,0.005628,640,3.366,1590
2012,1,17,99.2,612,7.977,612,26.0,612,0.005566,612,3.287,1603
2012,1,18,98.0,654,5.471,654,26.0,654,0.005087,654,3.297,1661
2012,1,19,95.3,697,6.481,697,26.0,697,0.005175,696,3.514,1745
2012,1,20,103.7,795,5.823,795,28.0,795,0.005777,795,2.331,1939
2012,1,21,97.4,813,6.266,813,31.0,813,0.005964,812,3.230,1953
2012,1,22,93.9,696,7.109,697,25.0,696,0.005300,696,3.406,1699
2012,1,23,87.6,599,9.304,599,23.0,599,0.005056,599,3.236,1476
2012,2,0,100.1,484,8.068,484,25.0,484,0.005349,483,3.290,1317
2012,2,1,104.0,370,10.098,370,24.5,370,0.005033,370,3.370,971
2012,2,2,108.7,256,12.932,256,23.0,256,0.005674,256,3.961,745
2012,2,3,104.9,209,17.195,209,21.0,209,0.005950,209,4.175,523
2012,2,4,106.6,208,19.978,208,20.0,208,0.005557,208,4.158,488
2012,2,5,109.7,193,16.512,193,26.0,193,0.006126,193,3.449,468
2012,2,6,101.5,204,17.667,204,24.0,204,0.005628,204,4.090,469
2012,2,7,98.2,255,10.571,255,27.0,255,0.006231,255,3.733,605
2012,2,8,103.8,307,8.753,307,27.0,307,0.006219,306,3.764,836
2012,2,9,104.9,363,7.965,363,33.0,363,0.005576,362,3.772,992
2012,2,10,87.0,501,8.138,501,25.0,501,0.005397,500,3.599,1318
2012,2,11,98.5,471,10.339,471,23.0,471,0.004938,471,3.770,1314
2012,2,12,94.2,497,9.587,497,24.0,497,0.004959,496,3.644,1330
2012,2,13,94.3,515,8.197,515,25.0,515,0.005389,515,3.575,1372
2012,2,14,103.4,533,7.400,533,26.0,533,0.005482,532,3.536,1461
2012,2,15,98.4,672,7.661,672,26.0,672,0.005321,672,3.093,1675
2012,2,16,101.4,626,6.604,626,26.0,626,0.004988,625,3.771,1705
2012,2,17,87.4,694,7.617,694,27.0,694,0.004094,693,3.768,1780
2012,2,18,90.0,798,6.023,798,26.0,797,0.005245,797,3.570,2112
2012,2,19,95.1,768,6.510,768,28.0,768,0.004860,768,3.729,2012
2012,2,20,91.0,888,6.248,888,29.0,888,0.005227,888,3.728,2206
2012,2,21,84.7,866,7.962,866,25.0,866,0.005000,866,3.707,2176
2012,2,22,79.3,789,7.113,789,26.0,789,0.004850,789,3.805,1942
2012,2,23,88.6,616,7.290,616,26.0,616,0.004603,615,3.448,1752
2012,3,0,97.1,552,9.327,552,23.0,552,0.005694,550,3.048,1421
2012,3,1,99.7,428,7.142,428,32.5,428,0.006395,425,2.168,1103
2012,3,2,108.7,264,12.920,264,22.0,264,0.006032,263,3.475,738
2012,3,3,113.1,251,15.496,251,22.0,251,0.006245,251,3.883,629
2012,3,4,114.8,201,15.309,201,27.0,201,0.006390,201,2.712,486
2012,3,5,117.5,199,11.527,199,31.0,199,0.006725,199,3.610,452
2012,3,6,104.4,209,18.293,209,22.0,209,0.006084,208,4.005,519
2012,3,7,102.0,249,15.695,249,23.0,249,0.006364,249,3.725,622
2012,3,8,101.1,309,13.644,309,22.0,308,0.005816,309,3.606,840
2012,3,9,97.9,365,10.538,365,24.0,365,0.006167,365,3.110,980
2012,3,10,104.6,448,7.605,448,25.0,448,0.005922,447,2.973,1111
2012,3,11,89.0,467,7.565,467,23.0,467,0.004374,467,3.350,1263
2012,3,12,93.9,502,7.822,502,26.5,502,0.005357,501,3.090,1385
2012,3,13,99.5,526,8.166,526,24.5,526,0.005290,526,3.525,1461
2012,3,14,90.5,570,8.477,570,24.0,570,0.005111,565,3.118,1492
2012,3,15,98.6,616,6.219,617,25.5,616,0.005743,616,3.495,1620
2012,3,16,96.7,663,7.083,663,26.0,663,0.005291,661,3.297,1830
2012,3,17,85.6,694,8.825,694,23.0,694,0.004930,693,3.747,1907
2012,3,18,98.3,740,7.249,740,24.5,740,0.005695,740,3.328,2015
2012,3,19,92.9,786,6.608,786,25.0,786,0.004821,785,3.377,2169
2012,3,20,86.3,964,7.877,964,24.0,964,0.005541,962,3.768,2256
2012,3,21,85.2,963,6.515,963,28.0,963,0.005276,963,3.531,2279
2012,3,22,93.4,859,5.447,859,30.0,859,0.005435,857,2.923,2050
2012,3,23,99.0,737,7.845,737,24.0,737,0.005135,734,2.897,1837
2012,4,0,87.4,536,9.286,536,24.0,536,0.004264,536,3.530,1349
2012,4,1,78.0,386,13.843,386,23.0,386,0.004502,386,3.843,971
2012,4,2,103.6,290,12.257,290,23.0,290,0.005390,289,3.426,684
2012,4,3,100.2,218,19.247,218,21.5,218,0.005606,218,4.166,534
2012,4,4,104.8,159,17.620,159,22.0,159,0.005574,159,4.527,389
2012,4,5,104.9,172,23.726,172,20.0,172,0.005879,172,7.397,391
2012,4,6,99.7,157,17.017,157,22.0,157,0.005820,156,3.746,408
2012,4,7,89.0,258,16.628,258,20.0,258,0.005078,258,4.341,604
2012,4,8,91.4,338,11.296,338,23.0,338,0.005371,338,3.988,779
2012,4,9,88.8,349,12.167,349,22.0,349,0.005194,349,3.565,991
2012,4,10,97.8,402,12.313,402,23.0,402,0.004744,402,3.725,1109
2012,4,11,91.2,424,6.555,424,28.5,424,0.005221,424,2.512,1200
2012,4,12,84.9,512,10.237,513,22.0,512,0.003912,513,3.747,1197
2012,4,13,81.8,546,10.696,546,22.0,546,0.003820,546,3.569,1330
2012,4,14,94.5,560,8.241,560,27.0,560,0.004880,560,3.454,1434
2012,4,15,91.9,537,10.420,537,23.0,537,0.004410,537,3.632,1429
2012,4,16,83.2,679,8.284,679,23.0,679,0.004669,678,3.283,1738
2012,4,17,79.1,661,9.882,661,22.0,661,0.003789,661,3.771,1741
2012,4,18,89.3,699,9.641,699,22.0,699,0.004110,699,3.767,1859
2012,4,19,90.2,795,9.068,795,25.0,795,0.003652,795,3.889,1910
2012,4,20,76.3,883,9.023,884,24.0,883,0.003466,884,3.671,2026
2012,4,21,83.9,905,8.871,905,25.0,905,0.003686,905,3.603,1967
2012,4,22,77.9,859,7.806,859,25.0,859,0.003912,857,3.727,1844
2012,4,23,81.9,661,11.084,661,22.0,661,0.003271,661,3.811,1625
2012,5,0,79.6,570,10.151,570,22.0,570,0.004262,570,3.439,1424
2012,5,1,82.3,376,13.769,376,20.0,376,0.004458,376,3.935,1027
2012,5,2,106.8,261,14.079,261,22.0,261,0.005508,261,3.812,677
