month,day,year,packet_retransmit_rate,packet_retransmit_rate_n,minimum_rtt,minimum_rtt_n,average_rtt,average_rtt_n,download_throughput,download_throughput_n,upload_throughput,upload_throughput_n
11,1,2013,0.004261,73,45,73,88.31,73,3.44,73,0.7553,120
11,2,2013,0.004834,98,45,98,100.3,98,3.679,98,0.7107,164
11,3,2013,0.004378,79,47,79,95.53,79,4.841,79,0.7728,132
11,4,2013,0.00314,75,37,75,69.41,75,7.22,75,0.8978,107
11,5,2013,0.003317,52,30.5,52,65.67,52,4.859,52,0.8083,74
11,6,2013,0.001836,39,46,39,72.01,39,7.324,39,1.106,55
11,7,2013,0.002906,28,40.5,28,70.38,28,5.521,28,1.175,35
11,8,2013,0.005834,31,36,31,64.19,31,3.606,31,1.18,39
11,9,2013,0.01029,63,41,63,74.83,63,2.722,63,0.7038,93
11,10,2013,0.01011,70,37,70,65.79,70,2.505,70,0.7825,87
11,11,2013,0.006812,87,42,87,84.53,87,3.806,87,0.7552,114
11,12,2013,0.008321,35,35,35,70.97,35,3.076,35,0.7549,55
11,13,2013,0.01338,54,37.5,54,68.76,54,2.691,54,0.7539,67
11,14,2013,0.005122,60,40,60,92.01,60,3.187,60,0.5777,98
11,15,2013,0.007354,63,40,63,69.99,63,2.873,63,0.8287,85
11,16,2013,0.01765,86,44,86,70.7,86,1.508,86,0.7826,110
11,17,2013,0.008336,83,40,83,67.67,83,1.925,83,0.7441,118
11,18,2013,0.008292,86,41.5,86,62.16,86,3.837,86,0.9889,120
11,19,2013,0.004971,59,43,59,78.1,59,4.597,59,0.7553,99
11,20,2013,0.008325,37,34,37,105.9,37,2.414,37,0.5007,65
11,21,2013,0.003623,49,38,49,72.34,49,4.879,49,0.7555,73
11,22,2013,0.01267,73,36,73,79.77,73,2.106,73,1.155,91
11,23,2013,0.003347,81,37,81,73.58,81,5.006,81,1.074,115
11,24,2013,0.006282,78,42,78,66.1,78,4.804,78,1.108,105
11,25,2013,0.01325,129,36,129,51.05,129,3.376,129,1.185,160
11,26,2013,0.006106,45,42,45,67.98,45,2.762,45,0.7821,64
11,27,2013,0.01071,54,35.5,54,65.45,54,2.324,54,0.6149,84
11,28,2013,0.005451,74,37,74,74.4,74,4.371,74,0.7663,99
11,29,2013,0.006228,79,39,79,77.91,79,3.761,79,0.7758,101
11,30,2013,0.007109,82,42,82,83.96,82,3.248,82,0.7522,114
11,1,2012,0.005087,154,30,154,77.9,154,4.893,154,0.582,246
11,2,2012,0.006162,167,33,167,85.67,167,4.774,167,0.5925,241
11,3,2012,0.005683,169,32,169,82.95,169,4.892,169,0.603,251
11,4,2012,0.004877,174,32.5,174,85.02,174,4.373,174,0.5321,285
11,5,2012,0.00566,131,37,131,89.7,131,4.583,131,0.5338,233
11,6,2012,0.004893,119,34,119,93.98,119,2.582,119,0.393,227
11,7,2012,0.004505,119,33,118,88.02,118,4.604,119,0.5346,202
11,8,2012,0.005174,127,34,127,86.24,127,4.402,127,0.5887,216
11,9,2012,0.006,58,31,58,92.63,58,3.045,58,0.5921,94
11,10,2012,0.004539,156,33,156,82.62,156,4.881,156,0.5505,242
11,11,2012,0.004656,192,30,192,76.18,192,4.752,192,0.5909,261
11,12,2012,0.004327,117,29,117,85.69,117,5.05,117,0.5964,204
11,13,2012,0.00491,139,32,139,88.08,139,4.423,139,0.5411,218
11,14,2012,0.005369,99,30,99,92.94,99,3.933,99,0.561,151
11,15,2012,0.005185,138,35,138,87.69,138,3.906,138,0.6036,191
11,16,2012,0.005088,142,35,141,86.31,141,4.801,142,0.5956,269
11,17,2012,0.003662,209,31,209,81.03,209,5.009,209,0.599,345
11,18,2012,0.003844,272,32,272,86.64,272,3.438,272,0.5483,389
11,19,2012,0.004661,260,34,260,82.03,260,4.127,260,0.6201,344
11,20,2012,0.004158,198,36,198,82.7,198,4.877,198,0.6828,299
11,21,2012,0.004097,140,32,140,86.49,140,4.837,140,0.5422,231
11,22,2012,0.005973,190,35,190,85.95,190,4.397,190,0.5513,320
11,23,2012,0.005828,188,38.5,188,92.14,188,4.949,188,0.5659,318
11,24,2012,0.005259,214,35,214,88.7,214,3.407,214,0.5589,322
11,25,2012,0.005273,262,30.5,262,79.97,262,4.809,262,0.6186,407
11,26,2012,0.004368,208,36,207,86.4,207,5.019,208,0.7638,336
11,27,2012,0.004627,206,33,206,90.87,206,4.102,206,0.5487,316
11,28,2012,0.006263,152,36,152,89.85,152,4.269,152,0.5978,256
11,29,2012,0.006009,147,36,147,93.41,147,3.823,147,0.5417,238
11,30,2012,0.005621,167,37,167,90.42,167,4.577,167,0.5813,217
10,1,2012,0.005591,96,38,96,102.9,96,4.702,96,0.535,153
10,2,2012,0.006012,87,33,87,83.88,87,4.644,87,0.5405,132
10,3,2012,0.00483,139,33,139,89.86,139,4.695,139,0.5261,232
10,4,2012,0.004941,180,32,180,91.23,180,3.941,180,0.5393,271
10,5,2012,0.005384,156,31,156,85.32,156,3.501,156,0.5339,248
10,6,2012,0.00582,202,32,202,87.22,202,3.357,202,0.5506,290
10,7,2012,0.006516,203,32,203,96.45,203,2.843,203,0.5247,300
10,8,2012,0.005678,140,35.5,140,97.85,140,3.726,140,0.5706,235
10,9,2012,0.004709,145,33,145,85.07,145,4.469,145,0.5682,237
10,10,2012,0.005129,161,31,161,90.08,161,4.323,161,0.527,244
10,11,2012,0.005657,151,30,151,83.14,151,4.042,151,0.5631,245
10,12,2012,0.004894,92,37,92,86.49,92,2.767,92,0.4876,153
10,13,2012,0.006305,176,34,176,86.24,176,4.008,176,0.4801,343
10,14,2012,0.005731,203,34,203,86.98,203,4.642,203,0.5535,309
10,15,2012,0.005383,170,33.5,170,88.22,170,3.818,170,0.5471,253
10,16,2012,0.004537,155,31,154,88.34,154,4.747,155,0.5504,236
10,17,2012,0.005132,161,35,161,90.56,161,4.31,161,0.528,253
10,18,2012,0.004895,168,37.5,168,93.21,168,4.08,168,0.5374,244
10,19,2012,0.00627,181,32,181,81.7,181,4.519,181,0.573,269
10,20,2012,0.004936,161,37,161,92.78,161,4.514,161,0.5815,248
10,21,2012,0.004162,190,30.5,190,86.47,190,4.899,190,0.5485,301
10,22,2012,0.00588,190,32.5,190,89.81,190,4.818,190,0.5856,276
10,23,2012,0.004023,159,33,159,84.48,159,4.944,159,0.5464,267
10,24,2012,0.005631,130,30,130,85.24,130,4.591,130,0.58,206
10,25,2012,0.005847,140,33.5,140,85.45,140,4.615,140,0.5477,216
10,26,2012,0.004128,55,30,55,87.95,55,5.031,55,0.5044,118
10,27,2012,0.005116,202,34,202,82.94,202,5.012,202,0.546,302
10,28,2012,0.004886,228,36,228,89.5,228,4.414,228,0.5522,341
10,29,2012,0.005068,171,36,171,87.35,171,4.161,171,0.5445,268
10,30,2012,0.00456,169,34,169,85.93,169,4.59,169,0.55,255
10,31,2012,0.004297,157,31,157,73.65,157,4.862,157,0.5525,273
10,1,2013,0.002745,118,31,118,94.79,118,6.938,118,0.7544,208
10,2,2013,0.003425,136,39,136,76.7,136,7.193,136,1.035,198
10,3,2013,0.005972,137,31,137,72.95,137,4.912,137,0.6711,202
10,4,2013,0.00311,125,38,125,87.66,125,5.326,125,0.6588,186
10,5,2013,0.004171,162,38,162,71.94,162,6.358,162,0.718,264
10,6,2013,0.004197,234,40,234,70.37,234,4.952,234,0.7885,327
10,7,2013,0.003846,168,38,168,82.48,168,4.405,168,0.6655,240
10,8,2013,0.003919,150,42,202,81.34,150,6.208,150,0.7244,246
10,9,2013,0.004976,79,36,127,73.63,79,5.241,79,1.023,112
10,10,2013,0.005593,80,36,80,73.21,80,4.615,80,0.7937,119
10,11,2013,0.003364,77,35,77,76.34,77,5.234,77,0.7586,123
10,12,2013,0.003872,75,39,75,77.22,75,6.089,75,0.7412,123
10,13,2013,0.00518,75,38,75,76.79,75,5.394,75,0.7559,107
10,14,2013,0.005152,95,39,95,73.59,95,4.925,95,0.7802,129
10,15,2013,0.005118,87,40,87,81.41,87,4.91,87,0.6207,131
10,16,2013,0.00339,81,38,81,71.05,81,5.64,81,0.7968,145
10,17,2013,0.003026,92,37,92,73.41,92,5.786,92,0.7791,130
10,18,2013,0.002913,107,39,107,77.06,107,5.579,107,0.7553,158
10,19,2013,0.003614,119,39,119,72.66,119,5.776,119,0.7887,180
10,20,2013,0.004248,106,40,106,90.93,106,4.413,106,0.7217,173
10,21,2013,0.005503,77,36,77,92.21,77,4.452,77,0.7706,115
10,22,2013,0.004229,78,42,78,100.4,78,4.68,78,0.7543,110
