year,month,hour,average_rtt,average_rtt_n,download_throughput,download_throughput_n,minimum_rtt,minimum_rtt_n,packet_retransmit_rate,packet_retransmit_rate_n,upload_throughput,upload_throughput_n
2012,1,0,88.1,211,2.564,211,31.0,211,0.005807,211,0.444,351
2012,1,1,88.0,142,2.530,142,30.0,142,0.006343,142,0.381,247
2012,1,2,85.4,139,2.481,139,31.0,139,0.006256,139,0.407,260
2012,1,3,84.0,86,2.597,86,34.0,86,0.004943,86,0.540,146
2012,1,4,88.8,77,3.341,77,31.0,77,0.006064,77,0.517,124
2012,1,5,116.7,63,2.497,63,34.0,63,0.008566,63,0.401,122
2012,1,6,105.0,83,2.587,83,30.0,83,0.005544,83,0.411,132
2012,1,7,112.8,89,2.933,89,34.0,89,0.005566,89,0.464,151
2012,1,8,103.1,121,2.781,121,31.0,121,0.004588,121,0.362,192
2012,1,9,92.9,137,2.835,137,33.0,137,0.006873,137,0.509,258
2012,1,10,88.4,164,4.201,164,32.5,164,0.005308,164,0.488,280
2012,1,11,94.2,175,3.440,176,31.0,175,0.005805,175,0.515,296
2012,1,12,89.9,223,2.778,223,33.0,223,0.005982,223,0.500,371
2012,1,13,88.3,229,2.643,229,31.0,229,0.007168,229,0.450,386
2012,1,14,90.9,259,2.739,259,32.0,259,0.006665,259,0.475,438
2012,1,15,94.2,254,2.533,255,32.0,254,0.006803,255,0.392,397
2012,1,16,91.3,287,2.533,287,32.0,287,0.006286,287,0.468,467
2012,1,17,87.6,308,3.317,308,31.0,308,0.005812,308,0.521,516
2012,1,18,94.7,316,2.823,316,32.0,316,0.006800,315,0.452,545
2012,1,19,94.6,291,2.564,292,33.0,291,0.007602,292,0.416,459
2012,1,20,83.4,297,2.719,297,33.0,297,0.006849,297,0.397,509
2012,1,21,95.9,381,2.631,381,32.0,381,0.007056,381,0.471,612
2012,1,22,88.6,297,2.791,297,31.0,297,0.005435,297,0.500,480
2012,1,23,79.3,279,3.120,279,31.0,279,0.005811,279,0.490,460
2012,2,0,87.3,291,3.035,291,32.0,291,0.005872,291,0.461,496
2012,2,1,86.0,245,3.488,246,34.0,245,0.005303,246,0.506,421
2012,2,2,83.6,171,4.285,171,34.0,171,0.005073,171,0.532,289
2012,2,3,87.7,108,2.536,109,33.5,108,0.005850,109,0.453,211
2012,2,4,120.2,102,2.483,102,37.0,102,0.006864,102,0.443,173
2012,2,5,106.6,93,2.473,93,35.0,93,0.009704,93,0.484,170
2012,2,6,114.7,108,2.797,108,33.0,108,0.005621,108,0.534,203
2012,2,7,109.1,143,2.827,143,35.0,143,0.004434,143,0.504,250
2012,2,8,89.5,203,2.856,203,31.0,203,0.006543,203,0.505,374
2012,2,9,95.5,263,2.843,263,31.0,263,0.005820,263,0.486,446
2012,2,10,89.4,290,2.861,290,31.0,290,0.006350,290,0.523,514
2012,2,11,84.2,290,3.748,290,31.5,290,0.004310,290,0.526,514
2012,2,12,84.0,310,2.813,310,33.0,310,0.006468,306,0.508,523
2012,2,13,89.1,305,2.899,305,31.0,305,0.005405,305,0.480,557
2012,2,14,86.5,338,2.817,338,33.0,338,0.006032,338,0.460,568
2012,2,15,91.2,334,3.652,334,33.0,334,0.006177,334,0.507,577
2012,2,16,86.7,367,2.686,367,31.0,367,0.005817,367,0.430,654
