month,day,year,packet_retransmit_rate,packet_retransmit_rate_n,minimum_rtt,minimum_rtt_n,average_rtt,average_rtt_n,download_throughput,download_throughput_n,upload_throughput,upload_throughput_n
11,1,2013,0.001971,119,18,119,65.56,119,11.05,119,4.656,262
11,2,2013,0.001411,194,18,194,54.16,194,8.806,194,4.601,385
11,3,2013,0.002012,130,23,130,62.01,130,11.09,130,4.445,303
11,4,2013,0.00159,103,19,103,68.88,103,11.21,103,4.678,216
11,5,2013,0.001817,101,21,101,89.71,101,12.71,101,4.544,187
11,6,2013,0.002783,96,21,96,72.31,96,8.962,96,4.627,184
11,7,2013,0.001634,91,17,91,69.51,91,6.671,91,4.692,179
11,8,2013,0.001555,78,19,78,57.72,78,9.287,78,4.668,160
11,9,2013,0.001661,137,17,137,57.85,137,10.04,137,4.612,338
11,10,2013,0.001095,116,19,116,60.68,116,13.68,116,5.029,233
11,11,2013,0.002132,114,27,114,66.92,114,10.89,114,4.545,229
11,12,2013,0.001574,111,17,111,64.73,111,11.73,111,4.684,201
11,13,2013,0.001336,137,18,137,62.23,137,15.26,137,4.654,239
11,14,2013,0.00226,132,22,132,62.28,132,10.59,132,4.699,229
11,15,2013,0.001725,134,19,134,67.3,134,9.519,134,4.626,270
11,16,2013,0.001233,144,23.5,144,66.15,144,10.16,144,4.645,348
11,17,2013,0.001831,169,25,169,61.4,169,10.77,169,4.612,325
11,18,2013,0.002124,163,25,163,68.39,163,9.495,163,4.628,316
11,19,2013,0.002067,184,26,184,64.6,184,9.533,184,4.681,351
11,20,2013,0.001352,135,16,135,60.92,135,9.002,135,4.605,269
11,21,2013,0.001323,128,19,128,60.97,128,12.08,128,4.652,252
11,22,2013,0.00158,146,20,146,61.78,146,10.95,146,4.725,244
11,23,2013,0.002262,164,21.5,164,77.79,164,8.326,164,4.648,349
11,24,2013,0.002369,154,22,154,67.35,154,10.08,154,4.674,283
11,25,2013,0.001521,131,23,131,64.7,131,12.34,131,4.592,288
11,26,2013,0.00151,97,22,97,56.68,97,10.37,97,4.83,198
11,27,2013,0.002389,134,24,134,77.03,134,7.092,134,4.616,250
11,28,2013,0.001517,129,18,129,55.46,129,10.61,129,4.685,255
11,29,2013,0.002341,163,26,163,64.42,163,7.434,163,4.599,293
11,30,2013,0.001871,195,28,195,71.43,195,8.938,195,4.45,363
11,1,2012,0.002727,121,19,121,59.27,121,8.156,121,3.212,316
11,2,2012,0.002356,141,17,141,46.96,141,9.997,141,3.252,323
11,3,2012,0.001979,144,18,144,52.7,144,11.23,144,3.295,348
11,4,2012,0.002252,166,19,166,57.99,166,13.16,166,3.298,387
11,5,2012,0.001711,122,18,122,57.08,122,13.03,122,3.25,308
11,6,2012,0.002491,99,17,99,50.95,99,11.49,99,3.294,235
11,7,2012,0.002432,119,18,119,67.6,119,10.84,119,3.228,280
11,8,2012,0.001443,123,18,123,62.48,123,11.49,123,3.294,299
11,9,2012,0.003154,71,17,71,48.85,71,11.35,71,3.193,188
11,10,2012,0.002454,126,17,126,58.22,126,10.82,126,3.255,307
11,11,2012,0.001946,141,17,141,50.82,141,13.89,141,3.295,364
11,12,2012,0.001724,111,17,111,53.82,111,13.61,111,3.256,295
11,13,2012,0.003993,107,20,107,68.52,107,10.07,107,3.132,262
11,14,2012,0.001453,92,17,92,46.76,92,13.59,92,3.294,198
11,15,2012,0.001132,144,17,144,43.9,144,11.07,144,3.234,278
11,16,2012,0.001621,148,17.5,148,49.92,148,12.34,148,3.172,339
11,17,2012,0.001128,219,17,219,48.92,219,12.25,219,3.254,412
11,18,2012,0.00143,322,16,322,37.76,322,9.24,322,3.292,509
11,19,2012,0.001219,265,16,265,36,265,10.73,265,3.292,438
11,20,2012,0.002317,168,18,168,47.08,168,13.03,168,3.255,419
11,21,2012,0.001965,157,16,157,49.89,157,9.942,157,3.294,402
11,22,2012,0.002291,184,16,184,50.72,184,10.51,184,3.297,428
11,23,2012,0.002416,172,17,172,59.22,172,10.37,172,3.212,415
11,24,2012,0.002653,175,19,175,65.84,175,11.15,175,3.216,404
11,25,2012,0.002525,191,17,191,55.9,191,11.6,191,3.255,456
11,26,2012,0.001902,188,19,188,63.28,188,11.03,188,3.133,433
11,27,2012,0.002035,175,19,176,59.45,176,11.47,176,3.212,411
11,28,2012,0.001761,137,20,137,57.02,137,9.719,137,3.216,366
11,29,2012,0.002405,177,18,177,52.76,177,12.21,177,3.135,386
11,30,2012,0.002284,130,19,130,54.16,130,10.54,130,3.251,333
10,1,2012,0.001611,62,18.5,62,47.47,62,16.2,62,3.289,142
10,2,2012,0.0023,80,17,80,45.3,80,10.57,80,3.257,169
10,3,2012,0.002578,141,17,141,51.23,141,12.44,141,3.213,311
10,4,2012,0.002068,146,16.5,146,44.28,146,12.77,146,3.214,300
10,5,2012,0.001383,116,18,116,45.82,116,12.26,116,3.252,299
10,6,2012,0.00273,138,18,138,52,138,9.938,138,3.264,304
10,7,2012,0.001832,120,16,120,47.38,120,12.14,120,3.295,277
10,8,2012,0.002228,139,19,139,56.29,139,11.77,139,3.251,307
10,9,2012,0.0009737,162,17,162,47.35,162,16.06,162,3.29,338
10,10,2012,0.002353,166,19,166,55.35,166,12.75,166,3.253,320
10,11,2012,0.001895,128,19,128,50.65,128,14.28,128,3.153,262
10,12,2012,0.001821,71,18,71,51.09,71,17.22,71,3.231,188
10,13,2012,0.00167,91,17,91,53.88,91,13.24,91,3.293,260
10,14,2012,0.0009421,127,18,127,50.85,127,14.59,127,3.331,325
10,15,2012,0.001906,99,17,99,48.28,99,14.43,99,3.33,286
10,16,2012,0.003514,103,18,103,59.71,103,10.22,103,3.21,264
10,17,2012,0.002104,115,19,115,61.62,115,11.49,115,3.288,251
10,18,2012,0.001903,98,18,98,56.48,98,13.75,98,3.216,259
10,19,2012,0.001565,98,19,98,55.47,98,13.16,98,3.293,220
10,20,2012,0.00147,140,18,140,49.58,140,13.08,140,3.273,326
10,21,2012,0.001419,121,19,121,53.97,121,14.33,121,3.332,350
10,22,2012,0.001637,117,18,117,50.23,117,12.29,117,3.214,292
10,23,2012,0.002485,162,19,161,50.4,161,10.25,162,3.254,340
10,24,2012,0.002087,107,20,107,54.02,107,12.31,107,3.285,284
10,25,2012,0.002807,155,19,155,49.86,155,9.872,155,3.172,294
10,26,2012,0.001912,78,18,78,43.7,78,11.52,78,3.27,170
10,27,2012,0.001959,109,19,109,56.82,109,12.37,109,3.253,269
10,28,2012,0.002548,159,18,159,57.67,159,11.85,159,3.248,357
10,29,2012,0.002062,124,19,124,62.72,124,11.24,124,3.294,294
10,30,2012,0.003307,157,19,157,49.98,157,8.001,157,3.292,335
10,31,2012,0.002358,131,18,131,55.42,131,9.623,131,3.252,273
