year,month,hour,average_rtt,average_rtt_n,download_throughput,download_throughput_n,minimum_rtt,minimum_rtt_n,packet_retransmit_rate,packet_retransmit_rate_n,upload_throughput,upload_throughput_n
2012,1,0,49.6,211,10.797,211,18.0,211,0.001810,211,3.211,513
2012,1,1,49.3,143,12.372,143,17.0,143,0.001496,143,3.251,316
2012,1,2,42.7,105,15.867,105,19.0,105,0.001809,105,3.251,266
2012,1,3,42.2,94,12.170,94,18.0,94,0.001305,94,3.229,216
2012,1,4,53.4,43,5.588,43,20.0,43,0.003370,43,3.256,133
2012,1,5,53.8,54,8.691,54,19.5,54,0.001289,54,3.233,155
2012,1,6,39.2,52,9.419,52,19.0,52,0.001842,52,3.273,134
2012,1,7,51.8,68,14.390,68,22.0,68,0.001812,68,3.252,179
2012,1,8,44.1,90,9.278,90,19.0,90,0.001349,90,3.292,211
2012,1,9,47.4,108,12.423,108,20.0,108,0.001323,108,3.292,273
2012,1,10,51.9,122,14.152,122,19.0,122,0.001563,122,3.252,291
2012,1,11,54.0,127,12.894,127,19.0,127,0.002671,127,3.293,342
2012,1,12,49.8,147,10.635,147,20.0,147,0.002437,147,3.292,389
2012,1,13,53.4,165,11.163,165,19.0,165,0.002608,165,3.293,400
2012,1,14,53.5,171,9.517,171,19.0,171,0.002423,170,3.293,435
2012,1,15,52.4,169,9.948,169,19.0,169,0.001756,169,3.290,433
2012,1,16,45.7,257,12.116,257,19.0,257,0.001288,257,3.293,545
2012,1,17,50.0,295,12.522,295,19.0,295,0.001192,295,3.214,525
2012,1,18,47.2,455,7.395,455,21.0,455,0.003392,455,3.252,636
2012,1,19,45.3,423,6.629,423,20.0,423,0.003107,423,3.254,568
2012,1,20,45.1,528,7.402,528,20.0,528,0.002451,528,3.253,677
2012,1,21,43.9,600,6.811,600,20.0,600,0.003131,600,3.252,724
2012,1,22,41.5,372,10.699,372,18.5,372,0.001512,372,3.253,613
2012,1,23,43.9,222,10.635,222,19.0,222,0.002116,222,3.214,535
2012,2,0,49.3,265,12.189,265,17.0,265,0.001763,265,3.214,710
2012,2,1,45.4,185,13.871,185,18.0,185,0.001506,185,3.252,506
2012,2,2,47.0,170,14.237,170,18.0,170,0.001925,168,3.251,414
2012,2,3,41.5,99,14.679,99,17.0,99,0.001260,99,3.214,326
2012,2,4,43.1,89,12.701,89,16.0,89,0.001150,89,3.254,262
2012,2,5,52.6,91,13.811,91,19.0,91,0.001489,91,3.254,246
2012,2,6,45.9,86,13.567,86,19.0,86,0.000951,86,3.254,227
2012,2,7,54.1,117,13.905,117,18.0,117,0.001531,117,3.252,289
2012,2,8,46.2,160,14.736,160,18.5,160,0.000998,160,3.254,408
2012,2,9,50.4,226,15.435,226,20.0,226,0.001230,226,3.259,526
2012,2,10,44.9,228,12.352,228,18.5,228,0.001175,227,3.292,559
2012,2,11,48.5,229,13.818,229,19.0,229,0.001508,229,3.290,605
2012,2,12,51.1,244,14.117,244,19.0,244,0.001393,244,3.254,639
2012,2,13,46.6,276,13.244,276,19.0,276,0.001684,275,3.293,641
