month,hour,year,packet_retransmit_rate,packet_retransmit_rate_n,minimum_rtt,minimum_rtt_n,average_rtt,average_rtt_n,download_throughput,download_throughput_n,upload_throughput,upload_throughput_n
11,0,2013,0.001398,13,26,13,34.54,13,11.42,13,3.865,19
11,1,2013,0.001601,19,26,19,45.04,19,14.36,19,4.091,32
11,2,2013,0.004053,4,31,4,113.2,4,5.176,4,0.8993,5
11,3,2013,0.004164,5,31,5,118.9,5,5.285,5,1.314,7
11,4,2013,0.003369,7,29,7,56.3,7,6.743,7,2.523,9
11,5,2013,0.001597,5,32,5,48.84,5,15.79,5,4.368,8
11,6,2013,0.001094,11,30,11,46.64,11,14.56,11,5.796,15
11,7,2013,0.001541,24,29.5,24,52.95,24,12.15,24,4.252,29
11,8,2013,0.002328,16,29.5,16,49.66,16,16.53,16,4.432,23
11,9,2013,0.002012,12,34.5,12,69.1,12,14.72,12,4.089,19
11,10,2013,0.001387,17,31,17,47.85,17,16.27,17,4.249,25
11,11,2013,0.002884,21,27,21,44.16,21,8.548,21,4.209,30
11,12,2013,0.001385,23,28,23,41.7,23,14.31,23,4.48,43
11,13,2013,0.001259,17,26,17,41.78,17,13.3,17,3.493,32
11,14,2013,0.001808,24,28,24,47.41,24,12.06,24,5.029,44
11,15,2013,0.001485,29,28,29,47.1,29,12.18,29,4.449,37
11,16,2013,0.001145,36,28,36,43.89,36,15.23,36,5.877,47
11,17,2013,0.002158,29,28,29,39.41,29,13.52,29,4.188,46
11,18,2013,0.0008419,33,26,33,50.15,33,12.2,33,4.081,51
11,19,2013,0.001854,36,28.5,36,51.82,36,12.06,36,3.616,53
11,20,2013,0.001226,34,30,34,50.28,34,11.59,34,4.13,46
11,21,2013,0.002183,32,30,32,49.43,32,9.648,32,4.203,48
11,22,2013,0.00188,32,26,32,54.42,32,11.34,32,5.151,49
11,23,2013,0.002392,31,29,31,55.55,31,12.74,31,5.402,44
11,0,2012,0.002259,63,32,63,51.25,63,11.72,63,3.574,111
11,1,2012,0.002302,52,30.5,52,47.84,52,12.3,52,3.617,99
11,2,2012,0.001571,40,29.5,40,48.59,40,13.57,40,3.574,77
11,3,2012,0.00235,39,32,39,79.4,39,6.394,39,3.607,58
11,4,2012,0.001777,21,32,21,62.37,21,11.17,21,3.173,43
11,5,2012,0.003377,40,31.5,40,77.77,40,9.693,40,3.256,65
11,6,2012,0.001416,32,32,32,51.11,32,14.11,32,3.576,74
11,7,2012,0.001905,53,32,53,63.45,53,9.659,53,3.538,82
11,8,2012,0.002321,70,34,70,52.48,70,13.78,70,3.608,127
11,9,2012,0.002508,62,31,62,59,62,11.56,62,3.064,109
11,10,2012,0.001266,62,32.5,62,52.55,62,15.01,62,3.646,149
11,11,2012,0.002293,82,31.5,82,62.39,82,11.35,82,3.531,144
11,12,2012,0.002682,104,32,103,56.98,103,9.905,104,3.53,167
11,13,2012,0.003205,87,32,87,84.18,87,5.69,87,3.562,147
11,14,2012,0.001769,117,31,117,63.34,117,10.53,117,3.613,184
11,15,2012,0.002034,107,30,107,51.06,107,10.71,107,3.613,175
11,16,2012,0.002572,90,32,90,63.24,90,6.513,90,3.015,161
11,17,2012,0.00232,108,31,108,52.6,108,7.909,108,3.21,190
11,18,2012,0.002882,119,32,119,62.64,119,6.772,119,3.612,200
11,19,2012,0.002438,140,32.5,140,61.54,140,8.656,140,3.495,211
11,20,2012,0.001938,137,33,137,62.08,137,11.18,137,3.574,213
11,21,2012,0.002639,137,32,136,59.54,136,7.154,137,3.533,212
11,22,2012,0.002561,116,32,116,72.58,116,8.906,116,3.15,184
11,23,2012,0.002015,71,31,71,58.23,71,8.294,71,3.212,122
10,0,2012,0.002002,62,32,62,55.74,62,12.24,62,3.532,111
10,1,2012,0.002439,59,28,59,46.39,59,14.24,59,3.282,99
10,2,2012,0.002041,44,32.5,44,64.28,44,12.89,44,2.838,73
10,3,2012,0.001243,31,34,31,55.06,31,13.11,31,2.807,52
10,4,2012,0.001503,34,32,34,50.18,34,15.11,34,3.129,53
10,5,2012,0.002012,26,37.5,26,51.58,26,12.79,26,3.391,37
10,6,2012,0.002474,38,35,38,52.56,38,8.541,38,3.226,61
10,7,2012,0.001609,44,32,44,52.03,44,15.65,44,3.575,71
10,8,2012,0.002104,51,30,51,51.28,51,10.98,51,2.411,95
10,9,2012,0.00272,74,31.5,74,52.07,74,11.45,74,3.112,104
10,10,2012,0.001273,67,31,67,54.86,67,13.51,67,3.571,116
10,11,2012,0.002201,67,33,67,48.72,67,12.41,67,3.314,104
10,12,2012,0.002026,70,31,70,50.46,70,13.3,70,3.549,104
10,13,2012,0.002405,78,32,78,57.13,78,12.4,78,3.092,129
