month,day,year,packet_retransmit_rate,packet_retransmit_rate_n,minimum_rtt,minimum_rtt_n,average_rtt,average_rtt_n,download_throughput,download_throughput_n,upload_throughput,upload_throughput_n
11,1,2013,0.003291,268,33,268,63.4,268,6.186,268,0.901,372
11,2,2013,0.003196,349,33,349,68.94,349,5.48,349,0.7905,480
11,3,2013,0.00316,332,36.5,332,75.66,332,5.369,332,0.7862,476
11,4,2013,0.002867,237,33,237,65.58,237,8.311,237,0.7986,355
11,5,2013,0.003795,273,36,273,76.08,273,5.832,273,0.7886,378
11,6,2013,0.004085,296,35,296,71.86,296,5.453,296,0.7739,404
11,7,2013,0.003807,274,37,274,71,274,6.586,274,0.7791,391
11,8,2013,0.004331,283,36,283,69.46,283,5.363,283,0.792,423
11,9,2013,0.003815,321,43,321,77.56,321,4.9,321,0.757,437
11,10,2013,0.004468,283,42,283,75.88,283,5.656,283,0.7853,380
11,11,2013,0.003894,291,46,291,87.6,291,5.38,291,0.758,445
11,12,2013,0.004218,263,50,263,87.95,263,5.22,263,0.7181,399
11,13,2013,0.003794,237,50,237,83.73,237,5.433,237,0.783,326
11,14,2013,0.003992,297,47,297,87.49,297,4.799,297,0.7846,421
11,15,2013,0.004372,271,45,271,82.02,271,4.934,271,0.7586,388
11,16,2013,0.003876,302,48,302,83.37,302,6.051,302,0.7881,415
11,17,2013,0.004593,303,51,303,86.85,303,5.993,303,0.7825,412
11,18,2013,0.004171,298,46,298,82.98,298,5.544,298,0.7832,443
11,19,2013,0.003405,273,50,273,79.59,273,5.838,273,0.789,398
11,20,2013,0.003639,244,49,244,80.94,244,5.596,244,0.7614,350
11,21,2013,0.003497,252,48,252,79.9,252,5.874,252,0.8366,371
11,22,2013,0.004561,268,49,267,82.21,267,5.558,268,0.7592,399
11,23,2013,0.004796,312,49,312,87.02,312,5.101,312,0.7755,438
11,24,2013,0.004925,364,53,365,86.99,365,4.415,365,0.7508,509
11,25,2013,0.004042,346,49,346,85.87,346,5.863,346,0.7908,468
11,26,2013,0.002968,319,47,319,77.97,319,7.095,319,1.032,421
11,27,2013,0.004004,317,47,317,85.45,317,4.929,317,0.7844,465
11,28,2013,0.003796,283,44,283,88.78,283,5.141,283,0.7267,427
11,29,2013,0.003979,311,46,311,80.32,311,5.336,311,0.881,431
11,30,2013,0.003774,325,48,325,83.25,325,5.092,325,0.78,455
11,1,2012,0.005231,353,48,353,92.03,353,4.199,353,0.5977,503
11,2,2012,0.005564,302,44,302,84.14,302,4.183,302,0.5692,486
11,3,2012,0.006452,471,46,472,84.24,472,4.093,472,0.5578,659
11,4,2012,0.005487,489,45,489,80.79,489,4.909,489,0.5996,678
11,5,2012,0.005395,396,43,396,80.46,396,4.936,396,0.6659,534
11,6,2012,0.0052,352,43,352,78.07,352,4.804,352,0.6547,500
11,7,2012,0.005274,318,45,318,85.01,318,4.776,318,0.547,475
11,8,2012,0.004811,319,42,319,77.4,319,4.639,319,0.5898,450
11,9,2012,0.005122,281,44,281,85.35,281,4.907,281,0.5872,448
11,10,2012,0.005712,322,46,322,83.2,322,4.57,322,0.5793,459
11,11,2012,0.005969,409,45,409,82.71,409,4.337,409,0.6092,587
11,12,2012,0.005949,394,44,394,82.88,394,4.602,394,0.5369,568
11,13,2012,0.005327,373,43,373,80.06,373,4.414,373,0.5429,534
11,14,2012,0.005206,385,45,385,81.49,385,4.691,385,0.7082,530
11,15,2012,0.005705,396,44,397,76.97,397,4.854,397,0.6337,533
11,16,2012,0.005713,370,43,370,82.48,370,4.843,370,0.6171,502
11,17,2012,0.005886,383,43,383,84.94,383,4.346,383,0.5911,532
11,18,2012,0.005198,394,43,394,77.21,394,4.8,394,0.5792,584
11,19,2012,0.004937,367,42,367,81.21,367,4.682,367,0.5885,549
11,20,2012,0.005898,357,43,357,85.4,357,4.603,357,0.6414,526
11,21,2012,0.005777,365,45.5,366,81.47,366,3.812,366,0.5457,541
11,22,2012,0.005132,448,44,448,83.13,448,3.962,448,0.5438,631
11,23,2012,0.005981,375,44,375,83.45,375,3.653,375,0.5958,520
11,24,2012,0.00615,446,44,446,79.18,446,4.689,446,0.5417,638
11,25,2012,0.00593,407,43,407,79.3,407,4.782,407,0.6001,563
11,26,2012,0.004905,356,42,356,83.75,356,4.767,356,0.5948,499
11,27,2012,0.005775,348,45,348,80.53,348,4.838,348,0.5383,519
11,28,2012,0.004996,384,44,383,78.62,383,4.586,384,0.5953,554
11,29,2012,0.006011,366,47,366,85.87,366,4.17,366,0.5499,526
11,30,2012,0.006231,338,47.5,338,87.85,338,4.537,338,0.6087,477
10,1,2012,0.005184,242,41.5,242,76.33,242,4.651,242,0.573,326
10,2,2012,0.005728,243,45,243,90.89,243,4.578,243,0.544,396
10,3,2012,0.004407,266,42,266,80.21,266,4.156,266,0.5945,444
10,4,2012,0.004917,259,33,259,73.02,259,4.727,259,0.5384,407
10,5,2012,0.004658,221,42,221,80.41,221,4.474,221,0.5222,307
10,6,2012,0.004546,306,42,306,74.74,306,4.877,306,0.5979,424
10,7,2012,0.004736,247,42,247,83.57,247,4.567,247,0.5443,374
10,8,2012,0.004789,280,41,280,78.89,280,4.486,280,0.6929,413
10,9,2012,0.006467,362,41,361,79.63,361,3.659,362,0.5456,535
10,10,2012,0.005324,378,45,378,83.03,378,4.595,378,0.5963,582
10,11,2012,0.004431,431,43,431,77.08,431,4.997,431,0.577,621
10,12,2012,0.004892,407,43,407,72.58,407,4.952,407,0.6616,572
10,13,2012,0.005666,463,45,463,85,463,4.139,463,0.52,658
10,14,2012,0.006319,551,45,551,87.06,551,3.358,552,0.5315,778
10,15,2012,0.005896,463,42,463,83.63,463,4.471,463,0.5371,667
10,16,2012,0.005758,400,44,400,86.21,400,3.076,400,0.5386,544
10,17,2012,0.005021,410,44,410,85.88,410,3.566,410,0.5621,579
10,18,2012,0.005924,383,41,383,80.59,383,4.412,383,0.549,564
10,19,2012,0.005564,370,43,370,80.6,370,4.672,370,0.5989,553
10,20,2012,0.005808,470,43,471,82.47,471,4.399,471,0.5504,675
10,21,2012,0.005926,379,45,379,88.67,379,3.978,379,0.5382,570
10,22,2012,0.005594,339,44,339,78.04,339,4.806,339,0.6235,532
10,23,2012,0.00562,408,45,408,92.31,408,3.379,408,0.5417,600
