year,month,day,average_rtt,average_rtt_n,download_throughput,download_throughput_n,minimum_rtt,minimum_rtt_n,packet_retransmit_rate,packet_retransmit_rate_n,upload_throughput,upload_throughput_n
2012,1,1,127.9,65,1.990,65,80.0,65,0.012903,65,0.427,136
2012,1,2,104.7,43,3.789,43,61.0,43,0.007664,43,0.507,84
2012,1,3,127.2,51,2.119,51,63.0,51,0.008763,51,0.468,92
2012,1,4,146.6,55,2.296,55,68.0,55,0.013085,55,0.436,110
2012,1,5,128.2,40,1.971,40,54.5,40,0.014693,40,0.526,70
2012,1,6,104.9,24,3.189,24,62.0,24,0.010207,24,0.515,79
2012,1,7,111.3,60,1.951,60,55.5,60,0.008806,60,0.548,92
2012,1,8,110.4,64,2.366,64,61.0,64,0.010705,64,0.538,125
2012,1,9,121.4,58,2.507,58,64.5,58,0.009296,58,0.515,111
2012,1,10,108.2,72,2.918,72,57.5,72,0.013366,72,0.431,113
2012,1,11,128.7,43,2.867,43,46.0,43,0.012544,43,0.485,78
2012,1,12,120.5,48,1.904,48,61.5,48,0.010127,48,0.443,94
2012,1,13,125.9,62,1.372,62,71.0,62,0.013644,62,0.415,97
2012,1,14,108.7,80,2.293,80,64.0,80,0.018073,80,0.499,138
2012,1,15,109.5,61,2.531,61,48.0,61,0.011490,61,0.403,121
2012,1,16,101.8,59,2.470,59,60.0,59,0.013921,59,0.443,116
2012,1,17,109.2,48,2.865,48,59.0,48,0.011406,48,0.469,78
2012,1,18,117.3,69,1.492,69,72.0,69,0.013993,69,0.486,140
2012,1,19,84.8,30,1.888,30,53.0,30,0.011174,29,0.436,68
2012,1,20,89.2,38,3.304,38,58.5,38,0.004967,38,0.537,73
2012,1,21,138.2,55,1.370,55,71.0,55,0.015728,55,0.419,107
2012,1,22,124.9,56,2.620,56,59.5,56,0.007388,56,0.504,110
2012,1,23,114.3,39,2.334,39,54.0,39,0.011779,38,0.415,80
2012,1,24,126.8,49,1.333,49,70.0,49,0.013962,49,0.459,92
2012,1,25,127.0,52,1.448,52,72.5,52,0.009740,52,0.482,90
2012,1,26,116.5,53,2.762,53,62.0,53,0.011455,53,0.518,89
2012,1,27,92.0,47,3.037,47,64.0,47,0.009733,47,0.548,82
2012,1,28,109.7,61,1.981,61,64.0,61,0.009390,61,0.455,109
2012,1,29,126.8,53,1.441,53,62.0,53,0.010847,53,0.532,100
2012,1,30,87.0,43,2.736,43,48.0,43,0.007545,43,0.536,87
2012,1,31,113.9,53,2.693,53,54.0,53,0.010336,53,0.485,106
2012,2,1,103.5,51,2.254,51,54.0,51,0.010902,51,0.540,89
2012,2,2,107.9,46,1.878,46,58.0,46,0.011343,46,0.488,87
2012,2,3,100.4,49,2.970,49,46.0,49,0.010741,49,0.521,91
2012,2,4,114.6,58,2.157,58,52.0,58,0.009280,58,0.409,115
2012,2,5,113.5,66,2.775,66,59.5,66,0.008668,66,0.407,113
2012,2,6,118.6,59,2.444,59,52.0,59,0.007868,59,0.471,97
2012,2,7,118.4,75,2.344,75,57.0,75,0.009255,75,0.535,135
2012,2,8,107.6,38,2.381,38,51.0,38,0.013289,38,0.403,92
2012,2,9,103.7,70,2.180,70,56.0,70,0.007500,70,0.530,141
2012,2,10,116.2,62,2.168,62,52.0,62,0.013020,62,0.485,124
2012,2,11,116.3,73,2.768,73,57.0,73,0.010549,73,0.523,151
2012,2,12,101.0,83,2.734,83,45.0,83,0.009618,83,0.474,160
2012,2,13,115.1,71,1.772,72,59.0,71,0.012423,71,0.526,112
2012,2,14,145.8,52,1.955,52,67.0,52,0.014878,52,0.436,109
2012,2,15,110.6,81,1.805,81,61.0,81,0.012308,81,0.485,141
2012,2,16,97.0,61,2.789,62,51.0,61,0.012054,62,0.487,125
2012,2,17,81.3,50,3.548,50,55.5,50,0.006698,50,0.486,100
2012,2,18,102.1,83,2.696,83,53.0,83,0.011019,83,0.443,151
2012,2,19,108.4,104,2.657,105,56.5,104,0.009274,105,0.440,194
2012,2,20,115.8,57,2.036,57,59.0,57,0.013788,57,0.427,139
2012,2,21,95.1,69,2.531,70,53.0,69,0.008840,70,0.435,133
2012,2,22,117.3,90,1.850,91,59.0,90,0.010346,90,0.502,150
2012,2,23,89.3,59,4.321,59,46.0,59,0.009218,59,0.555,102
2012,2,24,114.4,76,1.572,76,59.0,76,0.011487,76,0.535,138
2012,2,25,96.5,81,4.167,81,44.0,81,0.005262,81,0.523,159
2012,2,26,101.2,83,2.849,83,52.0,83,0.011737,83,0.482,153
2012,2,27,99.7,73,3.180,73,45.0,73,0.010685,73,0.547,136
2012,2,28,90.4,65,3.565,65,48.0,65,0.004677,65,0.543,124
2012,2,29,123.9,58,1.747,58,58.0,58,0.008830,58,0.543,114
2012,3,1,144.0,40,2.563,40,45.0,40,0.012947,40,0.413,117
2012,3,2,98.4,62,2.423,62,51.5,62,0.009181,62,0.503,109
2012,3,3,91.7,70,2.842,70,55.0,70,0.007399,70,0.502,136
2012,3,4,112.0,76,2.412,76,55.5,76,0.013247,75,0.529,143
2012,3,5,80.5,68,5.293,68,48.0,68,0.007600,68,0.596,111
2012,3,6,99.0,50,3.026,50,45.5,50,0.006483,50,0.576,105
2012,3,7,130.4,66,2.783,66,50.0,66,0.012928,66,0.544,117
2012,3,8,95.2,57,2.688,57,56.0,57,0.008789,57,0.542,99
2012,3,9,83.0,60,4.110,60,50.0,60,0.004802,60,0.562,111
2012,3,10,109.3,83,2.580,83,56.0,83,0.007692,83,0.490,139
2012,3,11,108.8,72,1.507,72,61.0,72,0.009584,72,0.479,147
2012,3,12,100.0,71,3.434,71,53.0,71,0.006943,71,0.548,133
2012,3,13,86.8,61,3.271,61,49.0,61,0.007983,61,0.553,113
2012,3,14,91.5,40,2.531,40,46.5,40,0.010415,40,0.442,86
2012,3,15,106.6,61,1.927,61,56.0,61,0.008429,61,0.492,104
2012,3,16,81.0,48,4.836,48,49.5,48,0.009375,48,0.457,119
2012,3,17,76.5,60,5.015,60,50.0,60,0.008064,60,0.579,103
2012,3,18,100.4,68,4.789,68,54.0,68,0.005105,68,0.519,140
2012,3,19,103.0,72,2.658,72,43.0,72,0.009564,72,0.531,137
2012,3,20,99.1,48,1.975,48,54.5,48,0.012796,48,0.533,111
2012,3,21,89.7,70,3.204,70,46.5,70,0.007429,70,0.527,130
2012,3,22,91.2,68,2.756,68,51.5,68,0.007008,68,0.546,132
2012,3,23,90.1,61,4.437,61,48.0,61,0.008935,61,0.583,120
2012,3,24,94.5,54,3.445,54,52.5,54,0.010216,54,0.575,105
2012,3,25,71.6,59,4.931,59,41.0,59,0.005665,59,0.539,111
2012,3,26,79.1,61,5.131,61,44.0,61,0.005359,61,0.592,116
2012,3,27,74.4,52,5.614,52,43.0,52,0.007182,52,0.567,93
2012,3,28,102.5,70,5.410,70,43.0,70,0.006206,70,0.543,111
2012,3,29,105.8,40,2.377,40,54.0,40,0.014876,40,0.436,85
2012,3,30,78.1,38,2.793,38,45.5,38,0.013637,38,0.534,59
2012,3,31,72.2,34,4.501,34,42.0,34,0.004908,34,0.546,66
2012,4,1,101.0,32,4.886,32,55.5,32,0.006330,32,0.583,60
2012,4,2,94.8,23,5.576,23,48.0,23,0.012140,23,0.590,59
2012,4,3,95.7,28,2.281,28,52.0,28,0.009475,28,0.507,52
2012,4,4,97.0,24,4.753,24,46.5,24,0.006555,24,0.607,36
2012,4,5,141.2,25,1.338,25,67.0,25,0.015118,25,0.584,54
2012,4,6,122.5,36,2.420,36,58.0,36,0.012428,36,0.522,69
2012,4,7,119.4,36,1.873,36,53.0,36,0.011663,36,0.509,61
2012,4,8,110.7,59,2.427,59,57.0,59,0.010733,59,0.503,108
2012,4,9,99.3,57,2.891,57,45.0,57,0.010786,57,0.501,103
2012,4,10,92.1,41,4.043,41,54.0,41,0.008285,41,0.565,81
2012,4,11,80.6,72,3.209,72,54.0,72,0.009650,72,0.595,119
2012,4,12,100.1,53,3.302,53,50.0,53,0.006605,53,0.589,88
2012,4,13,76.0,44,5.044,44,44.5,44,0.007815,44,0.528,88
2012,4,14,91.9,58,2.680,60,43.5,58,0.012171,60,0.531,108
2012,4,15,105.8,62,2.748,62,54.5,62,0.011955,62,0.505,125
2012,4,16,85.9,48,2.621,48,48.0,48,0.015339,48,0.457,104
2012,4,17,92.4,75,3.168,75,52.0,75,0.007220,75,0.567,122
2012,4,18,110.8,64,2.750,64,54.5,64,0.007839,64,0.570,120
2012,4,19,99.7,54,2.703,54,54.5,54,0.006382,54,0.577,120
2012,4,20,110.5,42,2.442,42,48.5,42,0.008284,42,0.528,79
2012,4,21,81.8,66,3.824,66,43.5,66,0.007002,66,0.543,135
2012,4,22,93.1,73,2.619,73,50.0,73,0.007140,73,0.562,133
2012,4,23,82.8,80,3.950,80,43.0,80,0.007559,80,0.576,118
2012,4,24,105.6,53,3.817,53,50.0,53,0.007413,53,0.530,107
2012,4,25,83.9,52,2.615,52,50.5,52,0.007928,52,0.488,97
2012,4,26,100.2,61,2.570,61,53.0,61,0.012469,61,0.528,115
2012,4,27,99.5,62,4.000,62,53.0,62,0.008154,62,0.576,101
2012,4,28,92.0,58,2.984,58,43.0,58,0.005847,58,0.522,103
2012,4,29,121.9,64,2.452,64,59.0,64,0.010763,63,0.482,124
2012,4,30,95.3,70,2.574,70,54.5,70,0.008903,70,0.535,116
2012,5,1,108.3,52,2.457,52,55.5,52,0.010838,52,0.498,106
2012,5,2,96.3,65,1.967,65,49.0,65,0.008612,65,0.535,105
2012,5,3,86.3,72,2.722,72,48.0,72,0.010072,72,0.519,123
2012,5,4,88.3,59,3.557,59,47.0,59,0.005787,59,0.590,100
2012,5,5,104.7,77,2.933,77,49.0,77,0.011624,77,0.494,137
2012,5,6,89.5,93,2.811,93,48.0,93,0.008804,93,0.510,180
2012,5,7,120.5,91,2.811,92,59.0,91,0.009120,92,0.547,163
2012,5,8,84.0,61,2.879,62,44.0,61,0.011127,62,0.488,119
2012,5,9,86.1,75,3.090,75,48.0,75,0.009299,75,0.547,123
2012,5,10,84.4,68,2.954,68,46.5,68,0.008665,68,0.558,148
2012,5,11,107.6,80,2.660,80,51.5,80,0.009328,80,0.520,151
2012,5,12,88.7,95,2.581,95,51.0,95,0.010357,95,0.512,155
2012,5,13,96.6,78,2.723,79,52.5,78,0.012176,79,0.474,143
2012,5,14,87.9,71,2.911,71,49.0,71,0.011086,71,0.515,136
2012,5,15,94.6,71,2.938,71,53.0,71,0.007571,71,0.556,120
2012,5,16,81.9,66,4.301,66,51.5,66,0.006203,66,0.586,114
2012,5,17,98.0,77,2.901,77,51.0,77,0.006971,77,0.582,122
2012,5,18,106.5,70,2.215,70,55.5,70,0.007602,70,0.519,130
2012,5,19,74.4,79,2.759,79,52.0,79,0.012487,79,0.469,129
2012,5,20,65.2,102,2.880,103,42.0,102,0.009644,103,0.522,183
2012,5,21,105.3,72,2.608,72,55.0,72,0.011879,72,0.559,124
2012,5,22,108.7,48,2.075,48,55.0,48,0.009512,48,0.457,103
2012,5,23,106.5,71,2.755,71,53.0,71,0.005392,71,0.504,142
2012,5,24,102.6,65,2.482,65,47.0,65,0.007817,65,0.563,142
2012,5,25,97.0,65,3.405,65,56.0,65,0.007091,65,0.587,109
2012,5,26,94.2,59,2.516,59,52.0,59,0.006333,59,0.526,109
2012,5,27,102.0,73,2.597,73,57.0,73,0.007459,73,0.589,143
2012,5,28,113.2,59,2.401,59,57.0,59,0.006796,58,0.497,123
2012,5,29,103.3,88,3.523,88,51.5,88,0.008125,88,0.550,140
2012,5,30,83.0,74,4.805,74,44.0,74,0.009284,74,0.438,115
2012,5,31,102.4,52,2.904,52,56.0,52,0.007285,52,0.553,109
2012,6,1,70.6,62,5.079,62,42.0,62,0.007252,62,0.560,128
2012,6,2,99.0,79,3.272,79,48.0,79,0.008162,79,0.545,118
2012,6,3,100.0,76,3.957,76,53.0,76,0.009534,76,0.578,154
2012,6,4,99.2,65,2.984,65,55.0,65,0.006878,65,0.541,128
2012,6,5,87.6,41,4.210,41,46.0,41,0.008807,41,0.525,98
2012,6,6,99.8,60,4.578,60,49.5,60,0.006021,60,0.601,122
2012,6,7,93.7,61,4.559,61,54.0,61,0.005212,61,0.562,112
2012,6,8,104.8,63,2.715,63,56.0,63,0.008284,63,0.572,118
2012,6,9,100.2,55,2.929,55,50.0,55,0.008209,55,0.576,103
2012,6,10,106.9,74,2.279,74,56.5,74,0.008876,74,0.559,124
2012,6,11,97.4,58,5.019,58,46.0,58,0.007411,58,0.561,95
2012,6,12,108.2,50,2.279,50,53.5,50,0.006899,50,0.529,99
2012,6,13,94.7,52,4.263,52,46.0,52,0.005103,52,0.561,112
2012,6,14,99.8,52,2.599,52,52.0,52,0.006793,52,0.562,101
2012,6,15,72.7,47,5.555,47,45.0,47,0.008929,47,0.602,92
2012,6,16,76.5,44,3.991,44,44.5,44,0.006252,44,0.546,84
2012,6,17,82.6,58,4.039,58,44.0,58,0.008200,58,0.556,97
2012,6,18,80.4,81,3.570,81,51.0,81,0.007059,81,0.535,140
2012,6,19,86.7,55,3.370,55,49.0,55,0.008092,55,0.547,123
2012,6,20,73.8,62,3.770,62,40.5,62,0.007897,62,0.582,110
2012,6,21,124.2,68,2.431,68,54.0,68,0.007585,68,0.529,129
2012,6,22,96.0,58,2.864,58,52.5,58,0.007949,58,0.447,118
2012,6,23,101.9,41,3.093,41,61.0,41,0.006727,41,0.549,111
2012,6,24,105.4,74,3.611,74,55.0,74,0.008799,74,0.589,126
2012,6,25,97.5,78,4.203,78,53.0,78,0.007634,78,0.569,117
2012,6,26,91.9,43,3.667,43,51.0,43,0.008446,43,0.561,93
2012,6,27,85.3,68,4.432,68,43.5,68,0.007585,68,0.558,132
2012,6,28,75.8,45,4.512,45,46.0,45,0.007635,45,0.585,103
2012,6,29,88.9,58,5.185,58,49.5,58,0.007062,58,0.592,120
2012,6,30,88.0,56,4.534,56,50.0,56,0.007030,56,0.536,113
2012,7,1,94.7,56,2.736,56,51.5,56,0.010414,56,0.429,126
2012,7,2,87.1,63,2.685,63,42.0,63,0.006932,63,0.525,114
2012,7,3,89.9,65,2.613,65,46.0,65,0.011229,65,0.527,113
2012,7,4,133.5,55,1.467,55,54.0,55,0.015349,55,0.400,125
2012,7,5,85.1,21,2.452,21,54.0,21,0.006969,21,0.522,47
2012,7,6,111.7,36,1.348,36,60.5,36,0.010432,35,0.586,59
2012,7,7,100.0,32,2.388,32,56.0,32,0.008655,32,0.612,47
2012,7,8,113.6,36,2.522,37,53.0,36,0.007536,37,0.530,59
2012,7,9,89.8,46,2.443,46,47.0,46,0.012356,46,0.599,67
2012,7,10,105.7,36,1.797,36,58.0,36,0.010231,36,0.527,62
2012,7,11,93.6,48,2.853,48,45.5,48,0.007878,48,0.554,77
2012,7,12,92.6,45,2.867,45,55.0,45,0.008550,45,0.440,72
2012,7,13,101.6,38,3.064,38,56.0,38,0.006924,38,0.581,69
2012,7,14,94.9,39,3.620,39,54.0,39,0.003115,39,0.538,67
2012,7,15,77.0,8,4.194,8,51.0,8,0.008346,8,0.601,12
2012,7,16,61.9,8,1.872,8,23.0,8,0.017301,8,0.642,11
2012,7,17,100.2,35,2.872,35,50.0,35,0.008904,35,0.515,64
2012,7,18,90.7,44,5.576,44,53.5,44,0.006554,44,0.432,78
2012,7,19,121.5,21,2.406,21,61.0,21,0.008268,21,0.474,48
2012,7,20,103.9,42,2.876,42,55.0,42,0.007466,42,0.576,74
2012,7,21,98.1,39,1.906,39,52.0,39,0.008296,39,0.540,58
2012,7,22,90.8,35,4.623,35,45.0,35,0.005535,35,0.595,58
2012,7,23,106.3,43,2.634,43,49.0,43,0.007075,43,0.511,63
2012,7,24,100.6,40,4.883,40,47.0,40,0.007875,40,0.580,77
2012,7,25,109.3,28,2.062,28,54.0,28,0.009275,28,0.335,56
2012,7,26,91.1,39,2.835,39,43.0,39,0.008000,39,0.545,61
2012,7,27,83.1,37,2.339,37,42.0,37,0.013627,37,0.576,61
2012,7,28,110.3,23,2.158,23,53.0,23,0.008263,23,0.594,52
2012,7,29,154.7,22,2.269,22,55.5,22,0.010154,22,0.489,47
2012,7,30,94.4,34,4.143,34,45.0,34,0.005586,34,0.582,57
2012,7,31,97.8,27,2.082,27,55.0,27,0.007467,27,0.425,47
2012,8,1,108.2,31,2.448,31,43.0,31,0.008636,31,0.382,59
2012,8,2,100.6,38,2.665,38,50.0,38,0.007614,38,0.475,62
2012,8,3,109.2,18,2.343,18,56.0,18,0.012629,18,0.405,48
2012,8,4,97.0,38,2.671,38,52.0,38,0.010322,38,0.433,66
2012,8,5,116.8,28,2.792,28,42.0,28,0.005350,28,0.574,53
2012,8,6,118.2,12,1.395,12,65.5,12,0.011875,12,0.584,23
2012,8,7,72.9,18,7.928,18,44.0,18,0.005138,18,0.609,31
2012,8,8,105.2,24,3.091,24,48.0,24,0.005396,24,0.460,59
2012,8,9,115.7,65,2.338,65,63.0,65,0.007262,65,0.459,137
2012,8,10,80.9,44,3.382,44,44.0,44,0.011109,44,0.443,98
2012,8,11,99.6,74,2.275,74,53.0,74,0.009365,74,0.555,126
2012,8,12,94.9,83,3.392,83,56.0,83,0.006786,83,0.446,174
2012,8,13,92.1,72,4.938,72,50.5,72,0.008007,72,0.535,169
2012,8,14,99.7,81,3.394,81,44.0,81,0.004918,81,0.518,142
2012,8,15,125.4,86,2.345,86,58.5,86,0.007227,86,0.579,154
2012,8,16,108.1,82,2.076,82,56.0,82,0.007404,82,0.567,128
2012,8,17,122.7,49,2.205,49,56.0,49,0.008589,49,0.517,111
2012,8,18,95.5,82,3.871,82,43.5,82,0.005916,82,0.553,144
