month,day,year,packet_retransmit_rate,packet_retransmit_rate_n,minimum_rtt,minimum_rtt_n,average_rtt,average_rtt_n,download_throughput,download_throughput_n,upload_throughput,upload_throughput_n
1,1,2012,0.002809,162,28.0,162,59.57,162,10.296,162,3.2522,489
1,2,2012,0.002391,170,26.0,170,61.24,170,9.993,170,3.2506,506
1,3,2012,0.001976,192,26.0,192,60.48,192,11.207,192,3.2524,470
1,4,2012,0.002097,142,26.5,142,59.38,142,11.075,142,3.2499,397
1,5,2012,0.002462,129,25.5,130,64.6,130,8.335,130,3.2508,413
1,6,2012,0.001826,148,22.0,148,49.97,148,10.729,148,3.2515,408
1,7,2012,0.002247,176,26.0,176,51.83,176,12.252,176,3.2502,496
1,8,2012,0.00211,154,24.0,154,53.29,154,11.55,154,3.2502,506
1,9,2012,0.00188,152,24.0,152,56.5,152,9.448,152,3.2525,493
1,10,2012,0.00268,166,28.0,166,63.44,166,8.59,166,3.2481,407
1,11,2012,0.001677,146,25.0,146,55.62,146,12.864,146,3.2502,395
1,12,2012,0.002156,119,28.0,119,53.54,119,11.834,119,3.2458,398
1,13,2012,0.002043,155,28.0,155,54.98,155,10.146,155,3.2498,448
1,14,2012,0.001767,203,26.0,203,55.86,203,10.052,203,3.2502,521
1,15,2012,0.002126,212,28.0,212,58.15,212,10.287,212,3.2492,516
1,16,2012,0.00203,152,28.5,152,61.4,152,10.677,152,3.2482,477
1,17,2012,0.002559,168,23.0,168,50.11,168,9.501,168,3.2497,397
1,18,2012,0.002155,150,22.0,150,52.92,150,9.684,150,3.2482,417
1,19,2012,0.002253,92,19.0,92,51.97,92,7.6,92,3.2876,255
1,20,2012,0.001413,105,28.0,105,62.96,105,12.077,105,3.2539,323
1,21,2012,0.001682,170,24.0,171,55.18,171,10.342,171,3.2194,446
1,22,2012,0.001836,162,25.0,162,52.72,162,10.484,162,3.254,470
1,23,2012,0.002296,134,24.0,135,53.02,135,9.252,135,3.253,395
1,24,2012,0.00195,140,24.0,140,52.77,140,9.763,140,3.2522,410
1,25,2012,0.001813,132,24.5,132,55.94,132,10.391,132,3.2523,393
1,26,2012,0.002248,127,26.0,127,50.93,127,10.811,127,3.2533,354
1,27,2012,0.002396,136,26.0,137,58.11,137,10.575,137,3.2895,422
1,28,2012,0.001586,158,23.0,159,53.39,159,13.655,159,3.251,449
1,29,2012,0.001988,158,26.0,158,60.63,158,10.74,158,3.2523,445
1,30,2012,0.002174,117,24.0,117,55.5,117,12.057,117,3.2521,360
1,31,2012,0.000966,124,26.0,124,53.98,124,13.247,124,3.2514,348
2,1,2012,0.001631,127,28.0,127,65.01,127,11.908,127,3.2511,363
2,2,2012,0.002104,124,22.0,124,54.57,124,8.819,124,3.2318,340
2,3,2012,0.001778,127,24.0,127,53.22,127,12.145,127,3.2503,357
2,4,2012,0.001535,190,24.0,190,53.91,190,13.124,190,3.2507,499
2,5,2012,0.001661,148,24.0,149,56.62,149,13.592,149,3.2537,466
2,6,2012,0.002829,124,23.0,127,56.78,127,11.488,127,3.2527,395
2,7,2012,0.001513,143,21.0,143,55.19,143,13.446,143,3.2491,414
2,8,2012,0.001893,147,24.0,147,49.46,147,13.761,147,3.2519,412
