month,hour,year,packet_retransmit_rate,packet_retransmit_rate_n,minimum_rtt,minimum_rtt_n,average_rtt,average_rtt_n,download_throughput,download_throughput_n,upload_throughput,upload_throughput_n
11,0,2013,0.001867,292,29,292,55.47,292,14.46,292,4.465,599
11,1,2013,0.001518,241,27,241,53.99,241,15.22,241,4.472,485
11,2,2013,0.001648,131,25,131,52.85,131,14.92,131,4.479,284
11,3,2013,0.001177,93,22,93,48.8,93,18.64,93,4.466,199
11,4,2013,0.001102,78,23,78,48.51,78,17.48,78,4.684,177
11,5,2013,0.001739,139,23,139,49.77,139,15.65,139,4.507,301
11,6,2013,0.001731,183,20,183,50.86,183,14.24,183,4.688,348
11,7,2013,0.001618,239,20,239,47.96,239,15.8,239,4.64,480
11,8,2013,0.001377,313,24,313,56.42,313,14.93,313,4.508,621
11,9,2013,0.001727,392,25,392,55.93,392,13.36,392,4.469,775
11,10,2013,0.001212,370,27,370,50.57,370,14.75,370,4.545,722
11,11,2013,0.002426,410,29,410,56.5,410,11.44,410,4.461,851
11,12,2013,0.00156,367,27,367,54.57,367,14.76,367,4.469,759
11,13,2013,0.001586,404,30,404,62.98,404,13.55,404,4.464,786
11,14,2013,0.001455,379,31,379,58.33,379,12.61,379,4.46,786
11,15,2013,0.002202,473,31,474,64.33,474,12.32,474,4.464,940
11,16,2013,0.00204,527,32,527,59.09,527,11.54,527,4.429,1060
11,17,2013,0.001694,547,32,547,62.19,547,14.12,547,4.488,1129
11,18,2013,0.001475,611,34,611,64.58,611,13.02,611,4.473,1200
11,19,2013,0.002224,715,35,715,67.25,715,10.55,715,4.45,1394
11,20,2013,0.001758,724,37,724,67.81,724,11.66,724,4.431,1440
11,21,2013,0.001581,640,35,640,69.36,640,11.38,640,4.461,1274
11,22,2013,0.001677,552,34,552,66.43,552,10.97,552,4.467,1086
11,23,2013,0.001821,436,31,436,62.52,436,11.28,436,4.457,891
11,0,2012,0.002329,358,29,358,59.9,358,11.72,358,3.251,837
11,1,2012,0.001523,255,31,255,64.32,255,14.4,255,3.249,617
11,2,2012,0.001967,161,28,161,65.25,161,12.66,161,3.248,428
11,3,2012,0.001943,127,28,127,53.85,127,12.83,127,3.214,327
11,4,2012,0.001304,99,29,98,59.11,98,16.5,99,3.23,272
11,5,2012,0.001704,119,26,120,54.1,120,15.7,120,3.256,302
11,6,2012,0.001141,110,29,110,51.74,110,15.32,110,3.252,271
11,7,2012,0.001877,224,29,224,52.27,224,12.79,224,3.262,492
11,8,2012,0.001722,199,28,199,52.85,199,12.3,199,3.254,573
11,9,2012,0.002104,281,29,281,53.22,281,13.55,281,3.251,690
11,10,2012,0.001583,373,28,373,56.61,373,15.71,373,3.268,853
11,11,2012,0.001482,380,27,380,54.94,380,14.69,380,3.253,904
11,12,2012,0.002015,373,24,373,53.53,373,13.17,373,3.254,907
11,13,2012,0.00212,412,28,412,59.14,412,13.16,412,3.255,981
11,14,2012,0.002002,447,23,447,59.34,447,13.08,447,3.289,1045
