month,day,year,packet_retransmit_rate,packet_retransmit_rate_n,minimum_rtt,minimum_rtt_n,average_rtt,average_rtt_n,download_throughput,download_throughput_n,upload_throughput,upload_throughput_n
11,1,2013,0.002774,17,42,17,75.13,17,10.66,17,3.787,26
11,2,2013,0.001681,35,40,35,54.83,35,13.27,35,5.903,47
11,3,2013,0.002276,27,42,27,68.47,27,12.16,27,5.355,41
11,4,2013,0.001533,22,40,22,51.2,22,16.72,22,4.547,25
11,5,2013,0.002676,24,40,24,69.07,24,6.279,24,4.347,33
11,6,2013,0.001481,14,42,14,58.22,14,12.79,14,2.608,32
11,7,2013,0.001732,25,41,25,59.3,25,10.43,25,4.433,31
11,8,2013,0.002379,20,41,20,61.74,20,13.05,20,4.43,32
11,9,2013,0.00143,31,41,31,53.72,31,15.16,31,5.78,44
11,10,2013,0.002851,27,43,27,61.62,27,10.19,27,4.042,60
11,11,2013,0.001586,35,42,35,54.09,35,15.94,35,5.897,50
11,12,2013,0.002803,29,40,29,56.05,29,11.01,29,4.38,45
11,13,2013,0.002407,25,41,25,57.76,25,7.958,25,3.737,48
11,14,2013,0.001492,14,42,14,71.37,14,5.583,14,3.384,21
11,15,2013,0.001512,21,41,21,57.96,21,14.17,21,3.985,23
11,16,2013,0.003538,19,42,19,62.37,19,7.338,19,4.563,28
11,17,2013,0.001682,30,40,30,52.64,30,15.28,30,5.965,55
11,18,2013,0.002671,17,41,17,67.19,17,7.942,17,3.544,27
11,19,2013,0.002111,32,39.5,32,92.61,32,5.668,32,1.98,40
11,20,2013,0.006263,23,40,23,108.2,23,5.366,23,2.377,28
11,21,2013,0.001326,36,41,36,54.89,36,13.41,36,5.898,45
11,22,2013,0.00202,23,41,23,70.96,23,9.108,23,3.723,36
11,23,2013,0.002905,18,41.5,18,67.01,18,8.756,18,3.611,32
11,24,2013,0.001232,36,42,36,53.51,36,12.56,36,4.366,52
11,25,2013,0.002521,22,43.5,22,80.42,22,7.583,22,3.899,28
11,26,2013,0.0009021,16,41.5,16,57.08,16,12.65,16,5.795,30
11,27,2013,0.001045,20,40,20,52.2,20,9.483,20,5.902,25
11,28,2013,0.001113,19,40,19,64.42,19,14.05,19,5.83,21
11,29,2013,0.003875,12,41.5,12,60.52,12,6.477,12,4.251,24
11,30,2013,0.003632,19,42,19,86.83,19,9.383,19,3.252,31
11,1,2012,0.002605,30,42,30,62.88,30,11.18,30,2.888,45
11,2,2012,0.002118,35,45,35,78.38,35,10.57,35,3.733,50
11,3,2012,0.001562,26,42.5,26,57.25,26,11.05,26,2.689,46
11,4,2012,0.002008,57,40,57,58.67,57,15.06,57,3.412,75
11,5,2012,0.00222,39,42,39,56.89,39,12.08,39,2.65,59
11,6,2012,0.001585,27,42,27,63.25,27,8.797,27,2.81,57
11,7,2012,0.005563,43,39,43,104.6,43,3.209,43,2.244,54
11,8,2012,0.002251,44,40,44,56.66,44,12.84,44,3.834,60
11,9,2012,0.003067,30,42,30,58.24,30,11,30,3.014,40
11,10,2012,0.001651,31,40,31,57.78,31,12.14,31,2.932,44
11,11,2012,0.00226,42,44.5,42,79.12,42,10.49,42,2.935,70
11,12,2012,0.006711,56,46,56,99.48,56,3.946,56,1.844,81
11,13,2012,0.001581,35,41,35,69.12,35,7.692,35,2.528,61
11,14,2012,0.002342,39,39,39,62.92,39,7.761,39,1.886,69
11,15,2012,0.004395,30,41,30,61.26,30,10.04,30,2.654,43
