year,month,day,average_rtt,average_rtt_n,download_throughput,download_throughput_n,minimum_rtt,minimum_rtt_n,packet_retransmit_rate,packet_retransmit_rate_n,upload_throughput,upload_throughput_n
2012,1,1,119.0,95,3.545,95,78.0,95,0.007922,94,0.549,163
2012,1,2,143.8,89,2.456,89,93.0,89,0.010489,89,0.564,154
2012,1,3,149.4,87,2.633,88,86.0,87,0.009508,88,0.574,142
2012,1,4,126.0,86,2.384,86,85.0,86,0.010034,86,0.548,184
2012,1,5,141.2,72,1.549,72,82.5,72,0.011532,72,0.563,143
2012,1,6,119.3,79,3.275,79,78.0,79,0.008705,79,0.570,143
2012,1,7,113.0,134,4.078,134,69.0,134,0.008404,134,0.563,193
2012,1,8,119.7,122,3.958,122,79.0,122,0.009921,122,0.577,213
2012,1,9,118.4,87,2.815,87,81.0,87,0.010196,87,0.579,150
2012,1,10,126.9,72,2.922,72,83.0,72,0.011039,72,0.547,139
2012,1,11,129.1,93,2.498,93,82.0,93,0.012069,93,0.560,138
2012,1,12,122.6,98,2.680,98,80.5,98,0.008704,98,0.574,166
2012,1,13,130.9,98,3.379,98,79.5,98,0.008443,98,0.580,175
2012,1,14,116.7,97,5.228,97,72.0,97,0.008022,97,0.568,165
2012,1,15,120.1,111,3.716,111,81.0,111,0.008043,111,0.561,195
2012,1,16,144.9,78,2.875,78,87.0,78,0.010108,78,0.561,135
2012,1,17,142.5,91,1.512,91,87.0,91,0.011203,91,0.568,151
2012,1,18,143.0,91,2.475,91,87.0,91,0.006693,91,0.570,158
2012,1,19,108.0,86,2.625,86,71.5,86,0.008504,86,0.484,164
2012,1,20,134.2,102,3.611,102,73.5,102,0.008869,102,0.547,157
2012,1,21,136.8,121,3.853,121,75.0,121,0.008743,121,0.513,182
2012,1,22,116.3,110,3.687,110,79.0,110,0.008565,110,0.601,177
2012,1,23,118.2,98,3.539,98,76.0,98,0.009047,98,0.579,153
2012,1,24,120.5,126,3.087,126,80.5,126,0.012256,126,0.563,201
2012,1,25,108.0,118,5.484,118,68.5,118,0.008400,118,0.585,187
2012,1,26,135.4,96,3.262,96,87.0,96,0.009745,96,0.576,184
2012,1,27,113.0,104,3.666,104,78.5,104,0.008538,104,0.581,188
2012,1,28,128.3,94,3.748,94,81.0,94,0.010403,94,0.589,167
2012,1,29,136.6,108,3.418,108,81.0,108,0.008323,108,0.581,172
2012,1,30,128.1,106,4.557,106,73.5,106,0.010008,106,0.563,178
2012,1,31,135.7,80,1.622,80,87.5,80,0.014339,80,0.567,154
2012,2,1,137.3,102,2.768,102,79.0,102,0.010604,102,0.584,177
2012,2,2,121.9,116,3.856,116,74.0,116,0.007730,116,0.564,190
2012,2,3,131.0,124,3.747,124,81.0,124,0.009675,124,0.556,225
2012,2,4,124.2,104,3.534,104,84.0,104,0.008973,104,0.563,175
2012,2,5,127.5,93,2.992,93,82.0,93,0.008585,93,0.563,179
2012,2,6,125.5,108,2.939,108,82.0,108,0.010088,108,0.563,184
2012,2,7,113.4,129,4.825,129,77.0,129,0.008746,129,0.596,204
2012,2,8,131.5,122,3.757,122,79.5,122,0.008436,122,0.571,205
2012,2,9,127.0,148,2.399,148,82.0,148,0.010811,148,0.578,256
2012,2,10,110.2,115,3.797,115,78.0,115,0.006591,115,0.590,195
2012,2,11,128.1,154,3.266,154,84.0,154,0.009813,154,0.584,267
2012,2,12,142.3,127,3.937,127,83.0,127,0.010411,127,0.563,206
2012,2,13,130.4,122,4.726,122,81.0,122,0.009674,122,0.553,209
2012,2,14,131.3,130,4.428,130,86.0,130,0.010040,130,0.567,202
2012,2,15,138.0,117,3.711,117,81.0,117,0.010199,117,0.587,190
2012,2,16,134.5,145,3.646,145,81.0,145,0.010545,145,0.591,240
2012,2,17,124.8,171,4.181,171,81.0,171,0.007812,171,0.586,247
2012,2,18,130.4,149,4.309,149,80.0,149,0.009167,149,0.590,233
2012,2,19,124.2,152,4.301,152,80.0,152,0.009030,152,0.581,239
2012,2,20,123.9,163,4.092,163,80.0,163,0.009743,163,0.563,255
2012,2,21,126.7,152,4.566,152,82.5,152,0.008561,152,0.599,249
2012,2,22,117.6,161,3.662,161,77.0,161,0.008523,160,0.562,249
2012,2,23,131.5,121,2.081,121,82.0,121,0.011102,121,0.573,202
2012,2,24,128.1,115,3.565,115,87.0,115,0.011293,114,0.556,215
2012,2,25,136.6,130,3.970,130,80.0,130,0.008906,129,0.587,206
2012,2,26,138.5,153,4.079,153,84.0,153,0.008988,153,0.559,252
2012,2,27,111.7,140,3.978,140,80.0,140,0.011055,140,0.563,239
2012,2,28,138.2,145,2.309,145,83.0,145,0.010402,145,0.537,236
2012,2,29,147.1,103,2.774,103,86.0,103,0.011881,103,0.563,161
2012,3,1,128.0,136,2.698,136,83.0,136,0.011747,136,0.563,228
2012,3,2,115.8,138,3.737,138,82.0,138,0.010171,138,0.576,225
2012,3,3,133.6,145,2.508,145,83.0,145,0.011307,145,0.575,250
2012,3,4,128.2,155,2.400,155,87.0,155,0.007727,154,0.563,241
2012,3,5,123.3,127,3.008,128,84.0,127,0.009598,128,0.563,184
2012,3,6,129.0,108,3.477,108,83.0,108,0.010265,108,0.563,164
2012,3,7,111.0,125,4.275,125,80.0,125,0.007395,125,0.584,203
2012,3,8,133.9,116,2.937,116,84.0,116,0.008725,116,0.563,216
2012,3,9,126.7,125,2.942,125,79.0,125,0.008784,125,0.577,194
2012,3,10,121.1,126,4.187,126,79.5,126,0.008883,126,0.572,212
2012,3,11,127.3,140,4.709,140,79.5,140,0.008444,140,0.574,230
2012,3,12,131.9,117,2.732,117,82.0,117,0.011636,117,0.563,193
2012,3,13,124.1,141,3.665,141,81.0,141,0.010977,141,0.564,229
2012,3,14,135.1,117,2.747,117,85.0,117,0.010245,117,0.567,212
2012,3,15,128.5,87,3.799,87,81.0,87,0.009466,87,0.566,145
2012,3,16,138.7,87,1.563,87,84.0,87,0.012077,86,0.551,141
2012,3,17,135.9,128,1.981,128,84.0,128,0.010547,128,0.555,204
2012,3,18,130.9,145,3.601,145,82.0,145,0.012211,145,0.563,240
2012,3,19,140.3,137,2.182,137,85.0,137,0.010899,137,0.595,241
2012,3,20,133.0,130,2.476,130,86.0,130,0.011690,130,0.563,202
2012,3,21,131.6,94,2.761,94,82.0,94,0.008967,94,0.563,185
2012,3,22,122.4,151,3.132,151,83.0,151,0.011769,151,0.563,229
2012,3,23,134.7,100,2.743,100,83.0,100,0.010333,100,0.583,177
2012,3,24,124.3,172,2.720,172,83.5,172,0.009181,172,0.562,260
2012,3,25,131.3,115,3.024,115,83.0,115,0.009372,115,0.589,211
2012,3,26,127.5,146,2.897,146,86.5,146,0.012043,146,0.582,244
2012,3,27,129.0,119,3.262,119,83.0,119,0.009556,119,0.567,203
2012,3,28,123.8,120,2.981,120,80.0,120,0.008827,120,0.575,193
2012,3,29,139.5,131,2.849,131,83.0,131,0.009374,131,0.574,235
2012,3,30,125.9,103,4.686,103,83.0,103,0.008883,103,0.581,171
2012,3,31,119.6,122,4.084,122,82.0,122,0.009595,122,0.596,192
2012,4,1,124.5,160,4.177,160,84.0,160,0.009859,160,0.589,241
2012,4,2,153.0,135,3.096,135,119.0,135,0.010755,135,0.556,230
2012,4,3,128.9,105,3.296,105,82.0,105,0.007807,105,0.579,205
2012,4,4,127.0,111,3.386,111,83.0,111,0.008869,111,0.556,214
2012,4,5,141.8,120,3.329,120,82.5,120,0.010581,120,0.561,194
2012,4,6,123.0,125,3.445,125,79.0,125,0.007885,125,0.593,190
2012,4,7,126.2,114,4.457,114,80.0,114,0.009534,114,0.583,223
2012,4,8,128.7,149,2.812,149,87.0,149,0.010588,149,0.589,236
2012,4,9,137.1,107,2.797,107,81.0,107,0.008503,107,0.593,189
2012,4,10,122.9,124,3.323,124,80.0,124,0.010430,124,0.584,185
2012,4,11,130.5,133,3.806,133,82.0,133,0.009707,133,0.579,215
2012,4,12,136.5,109,2.802,109,84.0,109,0.010691,109,0.581,225
2012,4,13,136.4,111,2.324,112,83.0,111,0.013553,112,0.563,201
2012,4,14,125.5,149,3.235,149,84.0,149,0.008687,149,0.573,221
2012,4,15,128.4,145,3.572,145,82.0,145,0.008129,145,0.556,263
2012,4,16,121.8,117,4.301,117,81.0,117,0.009198,117,0.594,183
2012,4,17,119.1,122,3.161,122,79.0,122,0.008310,122,0.564,185
2012,4,18,121.7,145,3.271,145,80.0,145,0.008777,145,0.562,237
2012,4,19,114.9,147,4.035,147,76.0,147,0.008221,147,0.563,209
2012,4,20,138.4,111,2.373,111,79.0,111,0.009942,111,0.574,169
2012,4,21,111.7,101,3.023,101,84.0,101,0.009308,101,0.539,180
2012,4,22,129.6,112,3.086,112,84.0,112,0.010562,112,0.566,205
2012,4,23,120.5,92,4.092,92,78.0,92,0.009327,92,0.589,158
2012,4,24,116.4,93,2.717,93,79.0,93,0.010724,93,0.562,153
2012,4,25,119.5,116,3.033,116,82.5,116,0.009807,116,0.564,178
2012,4,26,116.5,112,4.061,112,78.0,112,0.008515,112,0.582,190
2012,4,27,122.7,90,2.744,90,80.0,90,0.009896,90,0.553,153
2012,4,28,118.5,159,3.658,159,79.0,159,0.009528,159,0.560,242
2012,4,29,123.4,168,3.261,168,87.0,168,0.009831,168,0.559,247
2012,4,30,126.1,186,2.800,186,80.0,186,0.013121,186,0.587,267
2012,5,1,110.4,121,4.787,121,76.0,121,0.007570,121,0.600,189
