month,hour,year,packet_retransmit_rate,packet_retransmit_rate_n,minimum_rtt,minimum_rtt_n,average_rtt,average_rtt_n,download_throughput,download_throughput_n,upload_throughput,upload_throughput_n
1,0,2012,0.008517,134,79.5,134,122.7,134,3.712,134,0.5597,238
1,1,2012,0.008426,124,80.5,124,121.72,124,3.666,124,0.5759,216
1,2,2012,0.007719,98,81.0,98,126.62,98,3.96,98,0.5815,178
1,3,2012,0.007072,83,73.0,83,96.8,83,3.921,83,0.584,146
1,4,2012,0.009204,64,81.0,64,131.09,64,2.932,64,0.5587,132
1,5,2012,0.010349,66,72.5,66,115.48,66,3.294,66,0.5704,116
1,6,2012,0.008366,64,78.0,64,121.86,64,5.037,64,0.5866,120
1,7,2012,0.011045,73,83.0,73,136.07,73,2.693,73,0.5189,139
1,8,2012,0.009166,69,82.0,69,119.69,69,3.439,69,0.5633,135
1,9,2012,0.010138,110,85.5,110,127.56,110,2.712,110,0.5499,206
1,10,2012,0.010482,123,78.0,123,127.05,123,2.639,123,0.5678,206
1,11,2012,0.011846,172,77.0,172,121.74,172,2.705,172,0.5658,280
1,12,2012,0.01215,182,79.0,182,121.46,182,2.336,182,0.5631,292
1,13,2012,0.009025,143,77.0,143,118.03,143,3.482,143,0.5642,258
1,14,2012,0.007569,179,76.0,179,121.93,179,4.117,179,0.5761,293
1,15,2012,0.009117,200,75.0,200,108.65,200,3.268,200,0.5759,324
1,16,2012,0.009932,216,79.0,216,111.88,216,3.683,217,0.5633,364
1,17,2012,0.009323,236,82.0,236,122.78,236,2.635,236,0.5628,383
1,18,2012,0.008905,230,80.0,230,123.88,230,2.719,230,0.5631,386
1,19,2012,0.008499,240,80.0,240,125.47,240,3.9,240,0.5769,402
1,20,2012,0.009211,250,87.0,250,131.78,250,3.223,250,0.572,378
1,21,2012,0.00984,232,82.0,232,130.84,232,3.365,232,0.5635,389
1,22,2012,0.009905,200,86.0,200,151.85,200,2.225,200,0.5634,366
1,23,2012,0.010357,180,81.0,180,142.08,180,2.539,180,0.5608,305
