month,day,year,packet_retransmit_rate,packet_retransmit_rate_n,minimum_rtt,minimum_rtt_n,average_rtt,average_rtt_n,download_throughput,download_throughput_n,upload_throughput,upload_throughput_n
1,1,2012,0.00086,282,25.0,283,45.79,283,16.724,283,2.8686,467
1,2,2012,0.001229,322,26.0,322,52.78,322,12.594,322,2.8542,517
1,3,2012,0.001198,234,25.0,234,44.51,234,14.825,234,2.9361,402
1,4,2012,0.001119,247,25.0,247,45.51,247,14.893,247,2.8936,427
1,5,2012,0.001604,232,24.5,232,45.52,232,16.298,232,2.8947,368
1,6,2012,0.001293,262,26.0,262,43.26,262,15.706,262,2.9598,443
1,7,2012,0.001101,267,18.0,267,42.34,267,16.278,267,2.8917,476
1,8,2012,0.001133,290,27.0,290,45.0,290,14.171,290,2.8918,491
1,9,2012,0.001267,265,26.0,265,44.82,265,15.277,265,2.9373,441
1,10,2012,0.001199,238,25.0,238,45.54,238,14.828,238,2.8893,364
1,11,2012,0.001111,223,24.0,223,45.38,223,13.987,223,2.9308,389
1,12,2012,0.001208,255,25.0,255,44.81,255,15.829,255,2.8938,436
1,13,2012,0.001417,262,24.0,262,45.06,262,13.613,262,2.8524,433
1,14,2012,0.001256,297,26.0,297,41.92,297,15.454,297,2.932,473
1,15,2012,0.001039,357,18.0,357,42.1,357,14.409,357,2.8897,581
1,16,2012,0.002364,287,27.0,288,45.13,288,13.451,288,2.8521,516
1,17,2012,0.001576,273,27.0,273,48.03,273,13.304,273,2.8899,451
1,18,2012,0.001057,257,24.0,257,40.31,257,15.405,257,2.8925,437
1,19,2012,0.000967,230,26.0,230,42.87,230,16.092,230,2.9848,383
1,20,2012,0.001322,216,26.0,216,48.11,216,13.664,216,2.8942,375
1,21,2012,0.001182,290,25.0,290,43.52,290,15.748,290,2.8913,490
1,22,2012,0.001376,327,25.0,327,45.68,327,15.301,327,2.8958,550
1,23,2012,0.000901,271,25.0,271,43.33,271,18.289,271,2.9635,451
1,24,2012,0.000812,229,13.0,229,41.55,229,16.934,229,2.9347,407
1,25,2012,0.001022,236,24.0,236,41.99,236,17.336,236,2.9554,387
1,26,2012,0.001249,234,17.5,234,42.58,234,16.031,234,2.8781,388
1,27,2012,0.000899,218,12.0,218,39.41,218,16.029,218,2.8926,370
1,28,2012,0.000714,247,12.0,247,35.59,247,18.378,247,2.8952,427
