year,month,day,average_rtt,average_rtt_n,download_throughput,download_throughput_n,minimum_rtt,minimum_rtt_n,packet_retransmit_rate,packet_retransmit_rate_n,upload_throughput,upload_throughput_n
2012,1,1,95.7,70,2.395,70,51.5,70,0.008461,70,0.644,106
2012,1,2,80.0,69,5.498,69,47.0,69,0.003707,69,0.795,108
2012,1,3,71.6,34,5.420,34,43.5,34,0.005281,34,0.779,59
2012,1,4,115.1,66,2.942,66,46.0,66,0.006378,66,0.785,90
2012,1,5,92.9,55,4.258,55,41.0,55,0.005811,55,0.563,81
2012,1,6,75.8,49,4.346,49,44.0,49,0.005370,49,0.733,81
2012,1,7,85.8,46,3.428,46,39.5,46,0.003925,46,0.780,68
2012,1,8,74.8,66,4.017,66,44.0,66,0.005181,66,0.811,101
2012,1,9,69.7,53,4.793,53,45.0,53,0.004373,53,0.826,82
2012,1,10,85.3,68,4.571,68,45.0,68,0.006211,68,0.807,95
2012,1,11,64.3,54,9.020,54,40.5,54,0.004517,54,0.907,73
2012,1,12,68.5,59,6.857,59,41.0,59,0.003592,59,0.994,94
2012,1,13,84.3,54,3.032,54,48.5,54,0.004928,54,0.798,83
2012,1,14,71.0,51,2.866,51,42.0,51,0.005590,51,0.751,87
2012,1,15,86.5,59,4.791,59,44.0,59,0.005006,59,0.798,93
2012,1,16,79.5,58,4.608,58,44.0,58,0.004004,58,0.793,93
2012,1,17,93.6,52,4.896,52,45.5,52,0.005685,52,0.878,91
2012,1,18,83.8,54,3.913,54,45.5,54,0.006768,54,0.563,75
2012,1,19,88.5,58,4.697,58,49.0,58,0.006216,58,0.806,91
2012,1,20,67.9,53,7.884,53,45.0,53,0.004964,53,1.165,73
2012,1,21,77.8,76,5.082,76,43.0,76,0.005696,76,0.783,102
2012,1,22,84.9,88,4.731,88,40.5,88,0.005019,88,0.801,114
2012,1,23,91.9,52,4.055,52,44.0,52,0.005643,52,0.779,76
2012,1,24,74.6,55,5.427,55,43.0,55,0.006159,55,0.749,92
2012,1,25,78.8,43,5.353,43,43.0,43,0.004539,43,0.803,70
2012,1,26,75.2,55,5.080,55,45.0,55,0.005446,55,0.801,85
2012,1,27,83.1,47,4.561,47,43.0,47,0.004339,47,0.793,85
2012,1,28,118.8,43,1.843,43,51.0,43,0.008219,43,0.539,75
2012,1,29,99.6,36,3.070,36,50.0,36,0.006337,36,0.558,59
2012,1,30,68.9,43,4.864,43,38.0,43,0.003459,43,0.790,65
2012,1,31,92.6,59,2.458,59,43.0,59,0.005180,59,0.611,90
2012,2,1,93.4,50,3.282,50,46.5,50,0.005940,50,0.804,76
2012,2,2,61.8,66,6.962,66,44.0,66,0.003962,66,1.126,100
2012,2,3,74.2,59,5.505,59,43.0,59,0.004944,59,0.799,92
2012,2,4,72.0,70,4.670,70,45.0,70,0.004813,70,0.675,109
2012,2,5,71.1,94,5.469,94,41.5,94,0.004605,94,0.804,125
2012,2,6,68.8,71,5.367,71,47.0,71,0.005038,71,0.826,102
2012,2,7,85.4,49,4.154,49,43.0,49,0.004211,49,0.782,80
2012,2,8,119.7,86,2.600,86,67.5,86,0.007089,86,0.683,135
2012,2,9,76.0,85,5.362,85,41.0,85,0.004005,85,0.987,128
2012,2,10,73.8,87,6.948,87,43.0,87,0.003850,87,0.949,130
2012,2,11,86.1,94,4.339,94,45.0,94,0.003989,94,0.830,143
