month,hour,year,packet_retransmit_rate,packet_retransmit_rate_n,minimum_rtt,minimum_rtt_n,average_rtt,average_rtt_n,download_throughput,download_throughput_n,upload_throughput,upload_throughput_n
1,0,2012,0.008267,56,61,56,104,56,2.659,56,0.4119,102
1,1,2012,0.0116,42,60,42,108.3,42,2.803,42,0.4175,76
1,2,2012,0.009285,33,62,33,110.2,33,2.905,33,0.4515,56
1,3,2012,0.0165,16,62,16,115.4,16,2.561,16,0.4352,34
1,4,2012,0.009284,8,59.5,8,95.8,8,3.142,8,0.3849,19
1,5,2012,0.01544,14,74,14,136.8,14,0.6186,14,0.4323,24
1,6,2012,0.01073,26,71,26,131.7,26,1.458,26,0.5116,36
1,7,2012,0.004644,23,58,23,88.44,23,4.487,23,0.4555,41
1,8,2012,0.005953,30,65,30,108.2,30,2.681,30,0.5444,53
1,9,2012,0.01186,22,64,22,137.6,22,2.12,22,0.455,43
1,10,2012,0.01216,40,66.5,40,111.5,40,2.863,40,0.4085,72
1,11,2012,0.01632,34,62,34,108,34,1.641,34,0.3985,65
1,12,2012,0.01372,52,61.5,52,94.27,52,2.843,52,0.563,87
1,13,2012,0.0128,57,61,57,102.2,57,2.668,57,0.474,108
1,14,2012,0.009111,73,61,73,107.4,73,2.866,73,0.4189,129
1,15,2012,0.008487,55,70,55,134.7,55,2.613,55,0.4096,87
1,16,2012,0.009418,65,69,65,142.6,65,1.841,65,0.4137,111
1,17,2012,0.008926,70,62,70,99.53,70,2.76,70,0.4757,108
1,18,2012,0.009616,106,71,106,108.2,106,2.808,106,0.4504,171
1,19,2012,0.0122,89,74,89,113.9,89,2.028,89,0.4289,149
1,20,2012,0.01135,91,90,91,132,91,1.389,91,0.4308,152
1,21,2012,0.01372,84,97.5,84,130,84,1.453,84,0.4151,159
1,22,2012,0.01155,92,79.5,92,117,92,2.252,92,0.4137,147
1,23,2012,0.01427,72,66,72,108.7,72,2.13,72,0.4241,127
2,0,2012,0.01128,46,71.5,46,117.6,46,2.071,46,0.4074,75
2,1,2012,0.01036,29,58,29,96.07,29,2.906,29,0.4372,56
2,2,2012,0.007485,24,65,24,137,24,2.715,24,0.4071,54
2,3,2012,0.01445,19,76,19,127.8,19,2.778,19,0.4118,45
2,4,2012,0.003122,10,78.5,10,123,10,2.263,10,0.453,23
2,5,2012,0.01284,13,57,13,92.12,13,3.682,13,0.4496,27
2,6,2012,0.02235,21,84,21,138.8,21,1.247,21,0.4934,34
2,7,2012,0.01315,20,61.5,20,136,20,2.511,20,0.3949,35
2,8,2012,0.009794,27,57,27,82.01,27,4.334,27,0.5022,54
2,9,2012,0.014,21,66,21,144.6,21,3.673,21,0.4097,58
2,10,2012,0.007732,44,66.5,44,112.1,44,3.11,44,0.4562,79
2,11,2012,0.01013,24,63,24,128.3,24,4.033,24,0.4135,60
2,12,2012,0.008832,53,65,53,99.09,53,3.516,53,0.4262,97
2,13,2012,0.0102,48,61.5,48,108.2,48,2.388,48,0.4791,89
2,14,2012,0.008698,47,56,47,112.7,47,2.853,47,0.5684,89
2,15,2012,0.006814,47,65,47,90.88,47,5.245,47,0.5436,76
2,16,2012,0.01071,74,64.5,74,109.1,74,2.069,74,0.5077,112
2,17,2012,0.01086,68,75.5,68,130.8,68,1.935,68,0.4212,109
2,18,2012,0.01105,71,72,71,119.9,71,2.196,71,0.4111,112
2,19,2012,0.01062,70,65.5,70,114.6,70,2.529,70,0.4164,127
2,20,2012,0.01262,90,77,90,117.9,90,1.694,90,0.3977,142
2,21,2012,0.01123,87,75,87,119.1,87,2.28,87,0.4589,144
2,22,2012,0.009507,74,82,74,147.4,74,1.43,74,0.4023,137
2,23,2012,0.01438,59,65,59,120.9,59,1.959,59,0.4324,106
3,0,2012,0.008473,62,63,62,98.31,62,2.61,62,0.407,112
3,1,2012,0.008603,37,59.5,36,88.86,36,2.674,37,0.463,64
3,2,2012,0.01406,22,75,22,124.2,22,1.73,22,0.4067,55
3,3,2012,0.009527,22,60,22,109.1,22,2.668,22,0.4181,34
3,4,2012,0.01025,22,74.5,22,139.3,22,3.098,22,0.568,38
3,5,2012,0.01382,12,81,12,152.2,12,1.729,12,0.403,25
3,6,2012,0.0163,20,68.5,20,153.7,20,2.258,20,0.5258,33
3,7,2012,0.004284,23,60,23,97.6,23,3.742,23,0.5637,34
3,8,2012,0.007995,26,59,26,91.79,26,4.029,26,0.4089,62
3,9,2012,0.01031,30,70.5,30,143.9,30,2.298,30,0.4826,61
3,10,2012,0.009794,34,56.5,34,107.8,34,2.731,34,0.4042,64
3,11,2012,0.006991,40,66,40,87.86,40,3.34,40,0.4623,76
3,12,2012,0.01064,48,62.5,48,106.8,48,3.254,48,0.4783,89
3,13,2012,0.0111,59,64,59,105.7,59,4.267,59,0.424,111
3,14,2012,0.007817,45,61,45,99.22,45,3.467,45,0.522,81
3,15,2012,0.01079,52,67.5,52,95.88,52,3.512,52,0.4874,96
3,16,2012,0.01339,64,60.5,64,102.1,64,2.827,64,0.5002,112
3,17,2012,0.009368,76,58.5,76,101.5,76,2.431,76,0.4644,126
3,18,2012,0.01082,72,63.5,72,102.5,72,3.491,72,0.4775,127
3,19,2012,0.006773,85,64,85,103.3,85,2.717,85,0.4198,142
3,20,2012,0.01165,81,65,81,93.77,81,2.685,81,0.5295,139
