month,day,year,packet_retransmit_rate,packet_retransmit_rate_n,minimum_rtt,minimum_rtt_n,average_rtt,average_rtt_n,download_throughput,download_throughput_n,upload_throughput,upload_throughput_n
1,1,2012,0.003635,200,34.0,200,68.07,200,6.453,200,3.0563,451
1,2,2012,0.003678,166,35.0,167,75.46,167,8.184,167,3.0104,413
1,3,2012,0.00253,167,35.0,167,65.31,167,8.438,167,2.9953,410
1,4,2012,0.001777,141,34.0,141,65.06,141,11.669,141,3.1322,351
1,5,2012,0.001436,146,33.0,146,59.04,146,10.5,146,3.0825,385
1,6,2012,0.002435,144,33.0,144,64.37,144,9.453,144,3.174,371
1,7,2012,0.003042,192,35.0,192,70.87,192,9.516,192,3.1361,485
1,8,2012,0.002128,209,33.0,209,74.98,209,9.153,209,3.1609,530
1,9,2012,0.001876,161,33.0,162,61.29,162,10.664,162,3.2144,351
1,10,2012,0.003773,148,35.5,148,75.66,148,8.662,148,3.1718,401
1,11,2012,0.002249,134,33.0,134,63.49,134,11.629,134,3.2529,377
1,12,2012,0.001946,138,33.0,138,69.2,138,9.259,138,3.094,369
1,13,2012,0.001596,162,33.0,163,60.18,163,10.563,163,3.2523,390
1,14,2012,0.003086,192,33.5,192,61.92,192,10.728,192,3.1648,493
1,15,2012,0.002706,205,31.0,206,63.26,206,8.507,206,3.1338,476
1,16,2012,0.002304,185,35.0,186,75.95,186,7.475,186,3.0895,452
1,17,2012,0.00225,144,33.0,144,74.41,144,10.474,144,3.1324,370
1,18,2012,0.001671,151,31.0,151,65.12,151,12.7,151,3.2147,359
1,19,2012,0.002321,137,33.0,141,65.3,141,9.579,141,3.0806,325
1,20,2012,0.002615,139,38.0,141,67.77,141,10.058,141,3.1511,365
1,21,2012,0.003012,203,35.0,203,66.19,203,9.977,203,3.1726,463
1,22,2012,0.002181,182,33.0,182,70.0,182,9.926,182,3.0928,413
1,23,2012,0.002034,148,33.0,149,66.59,149,9.81,149,3.1612,384
1,24,2012,0.002015,133,35.0,133,70.49,133,9.431,133,3.21,355
1,25,2012,0.002061,135,32.0,135,68.92,135,10.236,135,3.1332,319
1,26,2012,0.00244,139,33.0,140,61.12,140,11.132,140,3.2224,349
1,27,2012,0.002389,138,33.0,140,64.8,140,9.206,140,3.213,345
1,28,2012,0.001693,175,32.0,177,59.23,177,11.039,177,3.2118,434
1,29,2012,0.001438,100,33.0,100,62.28,100,9.552,100,3.1791,314
1,30,2012,0.002987,160,31.0,160,63.58,160,9.654,160,3.169,372
1,31,2012,0.002725,144,32.0,144,73.4,144,10.179,144,3.245,333
2,1,2012,0.002535,128,34.5,128,81.58,128,7.196,128,3.0763,340
2,2,2012,0.002066,148,31.0,148,62.46,148,10.545,148,3.2442,326
2,3,2012,0.001923,138,33.0,138,61.99,138,9.25,138,3.1705,347
2,4,2012,0.001903,167,32.0,167,61.12,167,11.638,167,3.0861,412
2,5,2012,0.002724,193,30.0,193,62.47,193,9.847,193,3.2072,403
2,6,2012,0.002111,130,33.0,130,60.39,130,10.612,130,3.2473,336
2,7,2012,0.002681,137,32.0,137,57.61,137,11.02,137,3.0817,342
