year,month,hour,average_rtt,average_rtt_n,download_throughput,download_throughput_n,minimum_rtt,minimum_rtt_n,packet_retransmit_rate,packet_retransmit_rate_n,upload_throughput,upload_throughput_n
2012,1,0,62.3,214,12.821,214,32.0,214,0.002053,214,3.181,552
2012,1,1,58.2,148,11.259,148,31.0,148,0.002271,148,3.045,336
2012,1,2,65.2,95,9.689,95,34.0,95,0.003422,94,3.118,267
2012,1,3,72.3,84,9.535,84,33.0,84,0.003101,84,3.051,188
2012,1,4,60.6,55,10.245,55,32.0,55,0.002397,55,3.010,120
2012,1,5,77.9,49,13.294,49,34.0,49,0.002488,49,3.211,120
2012,1,6,61.4,46,10.822,46,32.5,46,0.001326,46,3.252,109
2012,1,7,54.8,46,10.572,46,31.0,46,0.002154,46,3.165,119
2012,1,8,54.7,58,11.813,58,33.0,58,0.001525,58,3.251,214
2012,1,9,54.9,92,11.428,92,30.0,92,0.002324,91,3.176,245
2012,1,10,60.4,117,9.709,117,32.0,117,0.002061,117,3.215,287
2012,1,11,58.8,155,10.318,155,33.0,155,0.002244,153,3.248,378
2012,1,12,65.5,186,10.837,186,33.5,186,0.002596,186,3.174,442
2012,1,13,63.0,168,10.374,168,33.0,168,0.001927,168,3.129,388
2012,1,14,62.5,179,9.204,179,33.0,179,0.002329,177,3.210,488
2012,1,15,59.5,199,11.208,199,32.0,199,0.001697,198,3.245,491
2012,1,16,69.9,235,9.623,235,33.0,235,0.002024,235,3.170,529
2012,1,17,62.0,261,9.049,261,33.0,261,0.003002,258,3.228,640
2012,1,18,63.6,252,9.218,252,32.0,252,0.002553,251,3.214,627
2012,1,19,67.9,308,10.757,308,33.0,308,0.002135,308,3.164,734
2012,1,20,76.3,334,8.571,334,36.0,334,0.003085,334,3.051,758
2012,1,21,83.7,312,7.575,312,38.0,312,0.002436,310,3.052,753
2012,1,22,81.2,264,8.072,264,38.0,264,0.002377,264,3.053,694
2012,1,23,75.8,239,7.602,239,35.0,239,0.003065,238,3.092,610
2012,2,0,65.1,261,10.868,261,33.0,261,0.001815,261,3.205,611
2012,2,1,62.7,193,12.141,193,34.0,193,0.002309,193,3.073,456
2012,2,2,64.1,112,9.973,112,34.0,112,0.002943,112,3.094,272
2012,2,3,66.4,56,11.650,56,33.0,56,0.001907,56,3.012,181
2012,2,4,56.5,62,15.106,62,32.0,62,0.001469,62,3.095,150
2012,2,5,58.1,48,13.380,48,34.0,48,0.001125,48,3.054,125
2012,2,6,65.1,44,11.230,44,31.0,44,0.002367,44,3.248,109
2012,2,7,60.7,65,13.490,65,32.0,65,0.001535,65,3.139,154
2012,2,8,63.1,80,12.226,80,29.0,80,0.001857,80,3.248,229
2012,2,9,61.9,99,13.699,99,32.0,99,0.001481,99,3.204,275
2012,2,10,54.7,150,13.540,150,33.0,150,0.001597,150,3.207,339
2012,2,11,58.4,163,11.361,163,32.0,163,0.002637,163,3.221,448
2012,2,12,63.4,196,11.501,196,32.0,196,0.002006,196,3.163,465
2012,2,13,57.6,208,10.658,208,31.0,208,0.001963,208,3.211,506
2012,2,14,59.1,215,11.608,215,33.0,215,0.002139,215,3.243,517
2012,2,15,58.0,232,11.345,232,31.0,232,0.002004,232,3.135,566
2012,2,16,59.1,244,10.481,244,31.0,244,0.001843,244,3.208,641
2012,2,17,60.2,272,12.157,272,32.0,272,0.002369,272,3.135,654
2012,2,18,59.7,289,10.703,289,31.0,289,0.002031,289,3.143,699
2012,2,19,59.2,310,10.492,310,31.0,310,0.002298,310,3.168,728
2012,2,20,63.8,373,10.446,373,34.0,373,0.002213,373,3.158,809
2012,2,21,63.5,415,9.996,415,33.0,415,0.002738,415,3.010,826
2012,2,22,68.3,350,8.549,350,33.5,350,0.003133,350,3.124,777
2012,2,23,61.9,275,9.933,275,33.0,275,0.002067,275,3.206,706
2012,3,0,59.8,277,11.232,277,33.0,277,0.002167,277,3.172,607
2012,3,1,58.8,217,11.540,217,31.0,217,0.002347,217,3.172,485
2012,3,2,54.3,129,11.567,129,31.0,129,0.001845,129,3.059,306
2012,3,3,52.4,95,13.636,95,32.0,95,0.001443,95,3.057,230
2012,3,4,56.0,67,11.749,67,32.0,67,0.001345,67,3.207,179
2012,3,5,82.6,55,10.372,55,33.0,55,0.002254,55,3.195,144
2012,3,6,52.9,44,17.343,44,33.5,44,0.001070,44,3.002,126
