year,month,hour,average_rtt,average_rtt_n,download_throughput,download_throughput_n,minimum_rtt,minimum_rtt_n,packet_retransmit_rate,packet_retransmit_rate_n,upload_throughput,upload_throughput_n
2014,9,0,83.5,9,7.683,9,38.0,9,0.004624,9,1.447,12
2014,9,1,46.0,2,11.985,2,36.0,2,0.004300,2,0.861,4
2014,9,2,71.8,2,8.980,2,36.5,2,0.002987,2,0.924,2
2014,9,3,45.6,5,13.067,5,28.0,5,0.003632,5,1.387,6
2014,9,4,59.6,4,10.069,4,38.0,4,0.002860,4,1.191,6
2014,9,5,41.7,4,12.928,4,23.0,4,0.000199,4,1.211,12
2014,9,6,81.5,1,14.913,1,41.0,1,0.002085,1,1.505,1
2014,9,7,50.0,9,7.211,9,28.0,9,0.005577,9,1.181,11
2014,9,8,68.5,8,11.926,8,28.0,8,0.002019,8,1.200,10
2014,9,9,54.0,4,15.763,4,32.5,4,0.001001,4,1.569,4
2014,9,10,52.6,9,11.331,9,33.0,9,0.002394,9,1.292,13
2014,9,11,61.9,10,7.068,10,36.0,10,0.005315,10,1.181,13
2014,9,12,60.7,12,14.279,12,36.5,12,0.002316,12,1.526,15
2014,9,13,77.8,7,4.628,7,32.0,7,0.002183,7,0.952,8
2014,9,14,49.4,9,12.710,9,35.0,9,0.002591,9,1.468,12
2014,9,15,68.2,18,6.632,18,30.0,18,0.002288,18,0.964,19
2014,9,16,76.9,12,4.661,12,37.0,12,0.003302,12,1.365,16
2014,9,17,62.1,11,10.638,11,35.0,11,0.004602,11,1.068,11
2014,9,18,56.0,7,6.099,7,29.0,7,0.008873,7,1.232,10
2014,9,19,47.0,11,12.452,11,32.0,11,0.003106,11,1.302,14
2014,9,20,49.6,19,16.792,19,27.0,19,0.001741,19,1.561,22
2014,9,21,57.6,39,10.073,39,37.0,39,0.002281,39,1.191,55
2014,9,22,73.2,20,5.711,20,41.0,20,0.003108,20,0.712,29
2014,9,23,69.7,13,6.892,13,32.0,13,0.003110,13,0.803,19
2014,10,0,56.2,45,10.540,45,35.0,45,0.002840,45,1.349,59
2014,10,1,62.2,41,7.338,41,33.0,41,0.002564,41,1.031,51
2014,10,2,59.2,37,11.398,37,34.0,37,0.003623,37,1.152,54
2014,10,3,61.4,21,6.980,21,27.0,21,0.003460,21,1.075,27
2014,10,4,77.6,12,5.210,12,35.0,12,0.003984,12,0.795,17
2014,10,5,60.4,19,8.100,19,39.0,19,0.004407,19,1.088,22
2014,10,6,59.0,12,11.416,12,32.0,12,0.002231,12,0.905,19
2014,10,7,54.8,24,11.228,24,31.5,24,0.001841,24,1.408,30
2014,10,8,59.9,29,10.943,29,34.0,29,0.004778,29,1.179,34
2014,10,9,48.9,37,12.537,37,31.0,37,0.002494,37,1.468,44
2014,10,10,55.0,47,10.677,47,34.0,47,0.001260,47,1.436,52
2014,10,11,54.5,59,9.713,59,35.0,59,0.002358,59,1.473,77
2014,10,12,66.6,60,8.736,60,36.0,60,0.002739,60,1.268,70
2014,10,13,65.8,57,10.850,57,36.0,57,0.003790,57,1.179,70
2014,10,14,65.1,50,10.605,50,34.0,50,0.003707,50,1.350,73
2014,10,15,58.6,65,9.201,65,36.0,65,0.003788,65,1.347,86
2014,10,16,56.1,65,11.310,65,30.0,65,0.001891,65,1.313,82
2014,10,17,53.4,75,9.376,75,34.0,75,0.003902,75,1.180,94
2014,10,18,64.7,77,8.855,77,36.0,77,0.002662,77,1.348,91
2014,10,19,60.6,72,10.397,72,33.0,72,0.002955,72,1.388,95
2014,10,20,58.2,97,9.534,97,34.0,97,0.003993,97,1.387,115
2014,10,21,58.0,105,8.012,105,33.0,105,0.003501,105,1.230,136
2014,10,22,57.1,103,10.832,103,34.0,103,0.003853,103,1.340,135
2014,10,23,60.3,88,9.369,88,33.5,88,0.004196,88,1.190,103
2014,11,0,70.4,65,7.174,65,36.0,65,0.003563,65,1.180,81
2014,11,1,64.4,41,7.970,41,38.0,41,0.003495,41,1.369,53
2014,11,2,54.0,40,10.317,40,32.0,40,0.003672,40,1.183,48
2014,11,3,58.8,19,10.646,19,35.0,19,0.004425,19,1.270,19
2014,11,4,52.6,28,13.599,28,35.0,28,0.003356,28,1.318,32
2014,11,5,44.7,21,11.367,21,28.0,21,0.002520,21,1.501,25
2014,11,6,60.0,31,12.466,31,33.0,31,0.002193,31,1.506,40
2014,11,7,56.6,28,12.249,28,33.0,28,0.001466,28,1.549,31
