month,day,year,packet_retransmit_rate,packet_retransmit_rate_n,minimum_rtt,minimum_rtt_n,average_rtt,average_rtt_n,download_throughput,download_throughput_n,upload_throughput,upload_throughput_n
1,1,2012,0.007801,399,52,399,98.02,399,3.147,399,0.5216,583
1,2,2012,0.008049,403,51,403,96.91,403,3.712,403,0.5221,620
1,3,2012,0.006865,325,51,329,100.7,329,3.792,329,0.5334,476
1,4,2012,0.008242,327,52,328,100.9,328,3.37,328,0.5212,509
1,5,2012,0.006698,240,53,241,102.8,241,2.803,241,0.5261,387
1,6,2012,0.006543,306,54,307,105.5,307,2.375,307,0.404,491
1,7,2012,0.007221,404,54,406,104.1,406,2.368,406,0.4742,608
1,8,2012,0.007305,391,52,392,99.72,392,3.026,392,0.5122,607
1,9,2012,0.006612,297,52,299,101.8,299,3.306,299,0.5232,461
1,10,2012,0.006645,269,53,271,104.7,271,3.047,271,0.4863,424
1,11,2012,0.006251,272,52,272,101.6,272,3.044,272,0.4098,459
1,12,2012,0.00602,295,53,295,109.3,295,2.45,295,0.3952,461
1,13,2012,0.00587,259,53,261,106.8,261,2.803,261,0.511,484
1,14,2012,0.007197,319,52,318,103.2,319,2.48,319,0.5234,506
1,15,2012,0.007537,381,52,383,101.8,383,2.664,383,0.47,617
1,16,2012,0.007385,353,52,354,106.2,354,2.784,354,0.4337,568
1,17,2012,0.008372,251,53,252,104.3,252,2.313,252,0.4568,399
1,18,2012,0.007011,306,54.5,308,109.4,308,2.497,308,0.3623,516
1,19,2012,0.006484,291,53,293,98.76,293,3.157,293,0.4429,502
1,20,2012,0.006743,319,52,320,99.68,320,3.366,320,0.5259,481
1,21,2012,0.009617,429,55,431,108.7,431,2.358,431,0.3872,689
1,22,2012,0.007649,348,54,349,103.8,349,2.585,350,0.4363,608
1,23,2012,0.006881,322,52.5,324,104.6,324,2.847,325,0.4201,503
1,24,2012,0.00743,301,53,302,101.6,302,2.788,302,0.4351,500
1,25,2012,0.007433,306,53,306,102.3,306,3.048,306,0.4936,484
1,26,2012,0.00744,286,54,288,103.8,288,2.669,289,0.517,465
1,27,2012,0.006891,284,53,286,108,286,3.246,286,0.4267,483
1,28,2012,0.007021,352,53,356,106.6,356,3.079,357,0.5256,540
1,29,2012,0.007667,375,53,377,106.7,377,2.88,378,0.5018,617
1,30,2012,0.007634,329,52,330,97.7,330,2.652,330,0.5304,522
1,31,2012,0.006881,322,51.5,320,94.41,320,3.91,322,0.522,486
2,1,2012,0.006586,265,53,266,102.1,266,3.945,266,0.525,400
2,2,2012,0.007088,311,53,313,101.5,313,2.975,313,0.5283,462
2,3,2012,0.006974,330,53,331,97.85,331,2.793,331,0.5353,487
2,4,2012,0.006673,398,52,399,97.39,399,3.239,399,0.5387,584
2,5,2012,0.008457,374,52,375,96.55,375,2.744,375,0.5287,590
2,6,2012,0.006211,301,52,304,113.1,304,3.019,305,0.5001,534
2,7,2012,0.007824,351,53,353,108.9,353,3.179,353,0.5218,547
2,8,2012,0.007462,322,53,325,96.11,325,2.474,325,0.3618,625
2,9,2012,0.007101,304,53,307,101.8,307,2.719,307,0.3332,751
2,10,2012,0.007356,358,54,359,102.6,359,2.711,359,0.5288,550
2,11,2012,0.007005,401,53,403,105.2,403,3.23,404,0.5347,632
2,12,2012,0.007415,398,53,401,100.6,401,3.356,401,0.5224,648
2,13,2012,0.007331,308,52,307,97.29,307,3.518,308,0.5419,475
2,14,2012,0.008491,297,53,299,98.58,299,2.527,299,0.5143,478
2,15,2012,0.006018,344,51,348,101.2,348,3.117,348,0.5085,611
2,16,2012,0.005825,349,52,351,92.14,351,4.338,351,0.6946,563
2,17,2012,0.007103,348,53,351,101.1,351,2.717,351,0.54,539
2,18,2012,0.006426,460,52,461,92.85,461,3.842,462,0.532,689
2,19,2012,0.006203,436,52,436,101.5,436,3.639,436,0.5292,694
2,20,2012,0.007501,390,52,392,99.28,392,3.298,392,0.5242,552
2,21,2012,0.006521,374,52,374,101.6,374,3.416,375,0.5344,592
2,22,2012,0.006058,374,53,374,102.7,374,2.658,374,0.5436,577
2,23,2012,0.006497,371,52,371,99.83,371,3.571,371,0.5254,563
2,24,2012,0.006834,331,52,331,91.26,331,3.64,331,0.5435,505
2,25,2012,0.006649,432,52,432,92.16,432,4.341,432,0.54,656
2,26,2012,0.00644,421,51,421,92.07,421,3.948,421,0.5388,653
2,27,2012,0.00634,405,52,405,92.31,405,3.961,405,0.5692,578
2,28,2012,0.006565,358,51,357,91.37,357,4.358,358,0.5466,576
2,29,2012,0.006349,378,52,378,97.82,378,2.805,378,0.5246,616
3,1,2012,0.006841,356,52,356,95.89,356,3.878,356,0.5459,573
3,2,2012,0.006285,380,52,380,91.48,380,4.384,380,0.5882,584
3,3,2012,0.00657,490,51,490,93.5,490,4.07,490,0.5399,775
