year,month,day,average_rtt,average_rtt_n,download_throughput,download_throughput_n,minimum_rtt,minimum_rtt_n,packet_retransmit_rate,packet_retransmit_rate_n,upload_throughput,upload_throughput_n
2012,1,1,124.9,133,1.736,133,67.0,133,0.013711,133,0.552,210
2012,1,2,121.6,106,2.685,107,68.5,106,0.012703,106,0.554,201
2012,1,3,131.7,109,1.886,109,74.0,109,0.013768,108,0.541,186
2012,1,4,140.5,125,1.716,125,74.0,125,0.011236,125,0.463,219
2012,1,5,136.8,146,1.469,146,81.5,146,0.013514,145,0.559,227
2012,1,6,129.1,120,2.340,120,67.0,120,0.012645,119,0.522,224
2012,1,7,133.4,120,1.399,120,68.0,120,0.011092,120,0.524,249
2012,1,8,121.0,177,1.889,177,71.0,177,0.012286,176,0.553,318
2012,1,9,139.0,126,1.762,126,65.5,126,0.012967,125,0.590,223
2012,1,10,122.2,114,1.523,114,67.0,114,0.010941,113,0.536,208
2012,1,11,139.6,121,2.648,121,64.0,121,0.010197,121,0.544,206
2012,1,12,125.1,141,2.515,141,69.0,141,0.007353,139,0.545,247
2012,1,13,113.1,140,3.130,140,64.5,140,0.010009,140,0.521,229
2012,1,14,122.5,140,2.256,140,70.0,140,0.011029,140,0.563,237
2012,1,15,127.3,148,2.174,148,67.0,148,0.010582,147,0.548,250
2012,1,16,122.0,127,2.028,127,68.0,127,0.009314,127,0.573,209
2012,1,17,112.2,96,2.470,96,68.0,96,0.011354,96,0.554,202
2012,1,18,131.1,111,2.460,111,68.0,111,0.013909,110,0.562,187
2012,1,19,122.6,128,2.593,128,68.0,128,0.008719,126,0.577,240
2012,1,20,133.3,100,1.779,100,68.0,100,0.012163,99,0.576,189
2012,1,21,131.8,147,1.525,147,71.0,147,0.011484,145,0.525,264
2012,1,22,132.9,144,2.157,144,72.0,144,0.011093,139,0.503,277
2012,1,23,131.6,98,1.876,98,62.5,98,0.011947,98,0.536,200
2012,1,24,129.9,118,2.615,118,69.0,118,0.008281,115,0.522,224
2012,1,25,134.7,112,1.998,112,67.5,112,0.009990,110,0.529,195
2012,1,26,131.1,116,2.515,116,69.0,116,0.011635,112,0.556,192
2012,1,27,136.7,123,2.018,123,66.0,123,0.009534,120,0.571,205
2012,1,28,131.7,132,2.607,132,69.0,132,0.009484,130,0.532,232
2012,1,29,142.5,114,1.719,114,68.5,114,0.010966,113,0.558,210
2012,1,30,132.1,111,1.682,111,68.0,111,0.010652,110,0.534,221
2012,1,31,122.8,130,1.467,130,64.0,130,0.011628,126,0.512,238
2012,2,1,143.4,155,1.273,155,69.0,155,0.012275,155,0.441,260
2012,2,2,132.7,146,1.958,146,65.5,146,0.011747,142,0.558,248
2012,2,3,115.4,186,3.210,186,68.0,186,0.009615,183,0.563,291
2012,2,4,139.7,143,2.185,143,68.0,143,0.009854,141,0.551,261
2012,2,5,126.7,176,2.179,176,66.0,176,0.011700,170,0.522,277
2012,2,6,123.4,122,2.824,122,68.0,122,0.011178,121,0.530,217
2012,2,7,137.5,156,2.388,156,66.0,156,0.010564,154,0.522,250
2012,2,8,111.5,117,2.820,117,67.0,117,0.010806,115,0.503,232
2012,2,9,152.1,200,1.332,200,74.0,200,0.012997,196,0.504,303
2012,2,10,150.5,156,2.200,156,72.0,156,0.009571,152,0.520,257
2012,2,11,127.9,169,3.123,170,68.0,169,0.010693,169,0.540,291
2012,2,12,140.2,158,2.373,158,72.0,158,0.009824,157,0.526,287
2012,2,13,144.2,142,1.907,142,72.0,142,0.015860,140,0.520,220
2012,2,14,132.6,100,2.877,100,65.5,100,0.009113,99,0.575,175
2012,2,15,152.3,123,1.407,123,72.0,123,0.013717,120,0.547,231
2012,2,16,150.9,150,1.804,150,74.0,150,0.009336,150,0.538,232
2012,2,17,141.0,147,2.125,147,68.0,147,0.009071,145,0.533,263
2012,2,18,139.0,118,2.746,118,70.0,118,0.010003,116,0.549,269
