year,month,hour,average_rtt,average_rtt_n,download_throughput,download_throughput_n,minimum_rtt,minimum_rtt_n,packet_retransmit_rate,packet_retransmit_rate_n,upload_throughput,upload_throughput_n
2012,1,0,128.7,151,2.512,151,68.0,151,0.011810,150,0.549,275
2012,1,1,135.3,143,1.949,143,72.0,143,0.011136,140,0.543,234
2012,1,2,126.0,121,1.488,121,68.0,121,0.011344,119,0.528,212
2012,1,3,112.6,82,1.913,82,59.0,82,0.008875,78,0.430,142
2012,1,4,116.9,61,1.860,61,65.0,61,0.011993,60,0.414,104
2012,1,5,124.8,46,1.601,46,71.0,46,0.009133,44,0.413,83
2012,1,6,124.4,61,1.268,61,67.0,61,0.013901,59,0.460,100
2012,1,7,153.0,71,1.250,71,69.0,71,0.011957,70,0.517,125
2012,1,8,151.5,107,1.331,107,71.0,107,0.012647,107,0.484,185
2012,1,9,131.5,114,1.500,114,71.5,114,0.012626,113,0.491,226
2012,1,10,133.7,124,1.876,125,68.0,124,0.010056,122,0.540,283
2012,1,11,130.4,157,1.824,157,67.0,157,0.011179,156,0.521,297
2012,1,12,120.0,154,2.787,154,65.5,154,0.010504,149,0.562,262
2012,1,13,122.8,177,2.403,177,67.0,177,0.010302,176,0.569,335
2012,1,14,126.5,165,2.441,165,70.0,165,0.010050,163,0.552,300
2012,1,15,134.8,180,2.075,180,68.5,180,0.010827,179,0.542,307
2012,1,16,124.1,234,2.244,234,67.0,234,0.012444,232,0.547,381
2012,1,17,123.8,227,2.008,227,70.0,227,0.010046,226,0.540,397
2012,1,18,122.5,230,2.526,230,66.0,230,0.008710,229,0.539,408
2012,1,19,129.8,268,2.276,268,69.0,268,0.012031,267,0.581,458
2012,1,20,130.9,272,1.787,272,71.0,272,0.011394,272,0.565,480
2012,1,21,142.9,262,1.823,262,71.0,262,0.011563,259,0.538,438
2012,1,22,129.4,231,2.485,231,69.0,231,0.009817,229,0.553,471
2012,1,23,145.8,235,2.702,235,68.0,235,0.011010,234,0.554,416
2012,2,0,135.4,188,2.350,188,69.5,188,0.010367,184,0.561,327
