month,day,year,packet_retransmit_rate,packet_retransmit_rate_n,minimum_rtt,minimum_rtt_n,average_rtt,average_rtt_n,download_throughput,download_throughput_n,upload_throughput,upload_throughput_n
1,1,2012,0.00236,231,35,235,77.01,235,10.3,235,2.93,443
1,2,2012,0.002721,213,35,216,72.11,216,8.175,216,2.892,423
1,3,2012,0.002648,189,34.5,192,75.47,192,8.964,192,3.045,355
1,4,2012,0.002221,180,35,184,74.86,184,11.38,184,3.123,391
1,5,2012,0.002253,163,34,172,73.67,173,10.94,173,2.915,371
1,6,2012,0.00159,169,33,171,61.52,171,10.87,171,3.022,361
1,7,2012,0.002477,205,33,208,60.59,208,10.91,208,3.163,426
1,8,2012,0.002448,200,33,203,71.68,203,9.216,203,2.962,437
1,9,2012,0.002799,159,36,162,74.25,162,10.59,162,2.949,350
1,10,2012,0.001805,151,33,155,68.2,155,12.38,155,2.962,362
1,11,2012,0.002505,171,35,177,78.31,177,10.64,177,2.904,397
1,12,2012,0.002129,172,34,180,75.29,180,10.07,180,2.906,349
1,13,2012,0.001687,159,33,165,65.11,165,10.91,165,2.975,360
1,14,2012,0.002583,215,35,220,71.39,220,9.441,220,3.024,423
1,15,2012,0.001726,209,33,214,67.4,214,11.35,214,2.926,440
1,16,2012,0.002482,219,34,224,73.36,224,8.176,224,2.951,427
1,17,2012,0.002626,161,32,164,66.16,164,9.828,164,2.966,330
1,18,2012,0.0033,159,31,162,60.07,162,8.772,162,3.059,361
1,19,2012,0.002168,190,31,199,67.64,199,9.552,199,2.894,365
1,20,2012,0.002728,155,33,168,74.63,168,9.206,168,2.867,366
1,21,2012,0.001767,187,33,196,70.19,196,8.946,196,2.888,420
1,22,2012,0.002408,244,32,255,68.9,255,10.34,255,2.873,495
1,23,2012,0.003261,147,35,155,80.42,155,7.532,155,2.848,325
1,24,2012,0.001789,122,34.5,128,74.04,128,11.8,128,2.89,287
1,25,2012,0.00211,174,34,179,75.2,180,10.37,180,2.807,358
1,26,2012,0.001642,150,28,154,62.29,154,10.97,154,2.98,354
1,27,2012,0.002602,151,30,161,68.24,161,8.813,161,2.967,336
1,28,2012,0.002565,186,30,201,73.67,201,9.297,201,2.955,399
1,29,2012,0.0022,185,28,188,71.81,188,10.05,188,3.029,379
1,30,2012,0.002621,146,31,151,71.06,151,9.512,151,3.049,326
1,31,2012,0.002532,144,28,149,79.71,149,8.836,149,3.01,350
2,1,2012,0.001496,132,27,135,60.06,135,12.22,135,3.046,330
2,2,2012,0.002734,165,28,171,72.46,171,9.961,171,2.991,365
2,3,2012,0.001839,153,28,158,75.46,158,9.791,158,2.967,329
2,4,2012,0.002607,168,28,174,66.88,174,9.361,174,2.894,398
2,5,2012,0.002172,178,28,198,77.08,198,9.989,198,2.969,436
2,6,2012,0.003066,132,32,137,82.61,137,11.44,137,2.929,314
2,7,2012,0.001443,175,27,185,70.16,185,10.45,185,2.954,390
2,8,2012,0.001259,146,29,150,71.19,150,10.96,150,2.921,328
2,9,2012,0.001569,167,28,175,73.77,175,9.681,175,2.984,393
2,10,2012,0.00171,158,30,163,71.99,163,10.4,163,2.927,353
2,11,2012,0.001403,173,32.5,178,78.38,178,10.41,178,2.876,435
2,12,2012,0.001649,188,29,197,71.44,197,10.11,197,2.851,433
2,13,2012,0.003068,142,28.5,150,78.28,150,7.787,150,2.921,339
2,14,2012,0.001636,138,26,141,73.23,141,10.72,141,2.925,332
2,15,2012,0.001803,147,29,153,72.47,153,8.719,153,2.987,372
2,16,2012,0.001712,155,30,157,66.85,157,9.423,157,2.927,328
2,17,2012,0.002101,152,31,157,64.79,157,10.01,157,2.889,363
2,18,2012,0.001914,181,28,189,64.86,189,10.81,189,2.811,412
2,19,2012,0.002083,160,32,169,70.17,169,9.048,169,2.905,422
2,20,2012,0.00239,180,31.5,186,67.6,186,8.381,186,3.006,421
2,21,2012,0.002769,138,34,141,77.62,141,9.086,141,2.812,346
2,22,2012,0.001918,161,31,168,71.48,168,8.69,168,2.925,349
2,23,2012,0.001315,160,28,165,60.38,165,10.73,165,3.088,381
2,24,2012,0.001272,195,28,195,54.57,195,15.07,195,3.096,385
2,25,2012,0.001392,228,30,228,61.16,228,13.3,228,3.154,480
2,26,2012,0.001829,250,29,250,54.46,250,12.2,250,3.176,505
2,27,2012,0.001186,212,29,212,54.76,212,14.06,212,3.211,412
2,28,2012,0.001959,191,32,191,63.26,191,13.56,191,3.105,369
2,29,2012,0.001732,197,33,197,60.72,197,13.02,197,3.167,393
3,1,2012,0.001077,210,30,210,55.43,210,13.29,210,3.02,396
3,2,2012,0.001711,216,28,216,55.55,216,12.19,216,3.174,422
3,3,2012,0.001577,222,31,222,55.47,222,13.78,222,3.21,429
3,4,2012,0.001796,225,30.5,224,57.87,224,10.66,225,3.088,436
3,5,2012,0.001895,216,31,216,59.25,216,12.94,216,3.052,400
3,6,2012,0.001747,245,29,245,60.78,245,11.3,245,3.05,427
3,7,2012,0.001452,181,31,181,59.91,181,12.85,181,3.065,347
3,8,2012,0.001136,169,29,169,51.24,169,14.89,169,3.021,382
3,9,2012,0.0009313,202,28,202,52.63,202,14.58,202,2.997,378
3,10,2012,0.001361,235,29,234,55.2,234,13.03,235,3.099,402
3,11,2012,0.00137,235,31,235,59.92,235,14.33,235,3.115,446
3,12,2012,0.00131,205,26,205,52.99,205,14.01,205,3.141,372
3,13,2012,0.001058,202,30.5,202,56.19,202,11.41,202,3.251,355
3,14,2012,0.001913,197,30,197,51.61,197,10.5,197,3.051,369
3,15,2012,0.001701,158,30.5,158,59.29,158,14.18,158,3.285,345
3,16,2012,0.001448,175,27,175,54.13,175,14.44,175,3.053,367
3,17,2012,0.001812,185,30,185,55.87,185,13,185,3.112,395
3,18,2012,0.001336,219,30,219,56.38,219,12.77,219,2.988,401
3,19,2012,0.001607,198,31,198,54.65,198,11.35,198,3.137,422
3,20,2012,0.001383,189,26,189,55.52,189,13.69,189,3.128,393
3,21,2012,0.001385,194,30,194,60.2,194,14.56,194,3.245,366
3,22,2012,0.001759,182,30,182,60.75,182,13.78,182,3.051,357
3,23,2012,0.001545,171,31,171,59.33,171,13.23,171,2.995,313
3,24,2012,0.001401,176,29,176,56.32,176,13.9,176,3.165,371
3,25,2012,0.001451,206,31,206,57.73,206,13.92,206,3.082,386
3,26,2012,0.001792,193,28,193,59.83,193,13.88,193,3.118,366
3,27,2012,0.002649,158,30,158,62.7,158,11.64,158,3.006,380
3,28,2012,0.001602,158,32.5,158,74.05,158,11.54,158,2.967,339
3,29,2012,0.001711,178,31,177,57.75,177,12.85,178,3.162,357
3,30,2012,0.001482,160,29,160,57.83,160,13.9,160,3.22,315
3,31,2012,0.00214,189,29,189,55.76,189,13.52,189,3.166,378
4,1,2012,0.001935,227,32,227,59.17,227,13.55,227,3.072,417
4,2,2012,0.001418,181,29,181,52.28,181,13.38,181,3.169,383
4,3,2012,0.001563,175,29,175,53.21,175,14.88,175,3.069,382
4,4,2012,0.001701,139,31,139,51.98,139,12.6,139,3.154,304
4,5,2012,0.002355,178,30,178,62.81,178,12.77,178,3.122,380
4,6,2012,0.001996,192,31.5,192,53.82,192,14.44,192,3.05,396
4,7,2012,0.001689,190,29,190,57.92,190,13.46,190,3.169,401
4,8,2012,0.001629,167,31,167,56.26,167,13.66,167,2.994,362
4,9,2012,0.001812,194,28.5,194,56.42,194,10.71,194,3.221,341
4,10,2012,0.002734,158,34,158,64.69,158,11.39,158,3.153,335
4,11,2012,0.001332,145,29,145,58.24,145,13.38,145,3.118,322
4,12,2012,0.001446,168,31,168,59.93,168,11.97,168,3.209,333
4,13,2012,0.001184,181,30,181,58.03,181,15.6,181,2.979,354
4,14,2012,0.001433,164,29,164,58.5,164,14.06,164,3.007,356
4,15,2012,0.001671,207,30,207,66.07,207,11.15,207,3.207,477
4,16,2012,0.001278,194,31,194,56.33,194,16.15,194,3.203,397
4,17,2012,0.001315,153,28,153,53.3,153,14.16,153,3.195,325
4,18,2012,0.0009551,224,28,224,46.81,224,9.079,224,3.148,334
4,19,2012,0.001357,199,29,199,50.43,199,10.41,199,3.006,306
4,20,2012,0.0007486,189,28,189,47.82,189,12.57,189,3.244,290
4,21,2012,0.0009625,243,30,243,52.07,243,10.19,243,3.084,343
4,22,2012,0.001189,301,31,301,56.63,301,9.289,301,3.052,435
4,23,2012,0.001409,234,30,234,47.89,234,9.408,234,3.046,346
4,24,2012,0.001605,244,28.5,244,50.38,244,8.105,244,3.065,341
4,25,2012,0.001269,213,30,213,48.4,213,10.13,213,3.163,327
4,26,2012,0.00127,226,30,226,48.03,226,9.442,226,3.208,327
4,27,2012,0.001621,253,30,253,50.7,253,7.983,253,3.126,336
4,28,2012,0.001844,324,29,324,46.92,324,7.246,324,3.041,429
4,29,2012,0.001709,303,28,303,48.98,303,8.186,303,3.086,404
4,30,2012,0.002218,335,29,335,48.75,335,7.009,335,3.211,433
5,1,2012,0.001492,259,31,259,50.72,259,7.172,259,3.168,342
5,2,2012,0.001392,242,28,241,50.07,241,8.784,242,3.04,333
5,3,2012,0.001788,241,30,240,49.89,240,8.096,241,3.167,354
5,4,2012,0.001957,285,29,285,51.42,285,7.454,285,3.17,390
5,5,2012,0.001963,223,30,223,52.86,223,7.916,223,3.126,302
5,6,2012,0.001472,296,31,296,50.7,296,7.851,296,3.224,436
5,7,2012,0.001447,276,28,276,46.85,276,8.091,276,3.062,394
5,8,2012,0.001246,173,31,173,56.28,173,10.57,173,3.206,360
5,9,2012,0.0009602,213,29,213,51.59,213,11.19,213,3.209,323
5,10,2012,0.001251,178,30,178,51.03,178,10.4,178,3.119,280
5,11,2012,0.0009451,229,28,229,56.44,229,12.79,229,3.113,368
5,12,2012,0.001459,246,30,246,55.35,246,11.73,246,3.153,399
5,13,2012,0.0009373,281,30,281,60.94,281,12.83,281,3.124,438
5,14,2012,0.001094,198,29.5,198,55.16,198,13.17,198,3.095,353
5,15,2012,0.0008661,215,28,215,54.68,215,11.85,215,3.207,366
5,16,2012,0.001469,199,32,199,57.52,199,11.71,199,3.092,324
5,17,2012,0.0008663,181,32,181,57.67,181,12.53,181,3.121,324
5,18,2012,0.001579,210,31,210,55.75,210,10.75,210,3.162,361
5,19,2012,0.0009207,234,34.5,234,67.21,234,14.2,234,3.172,396
5,20,2012,0.001593,226,32,226,68.39,226,11.93,226,3.009,435
5,21,2012,0.001253,209,30,209,60.15,209,11.72,209,2.975,388
5,22,2012,0.001246,167,31,167,61.85,167,13.31,167,3.127,304
5,23,2012,0.001367,228,31,228,59.13,228,13.57,228,3.145,376
5,24,2012,0.001519,229,32,229,63.21,229,11.51,229,3.133,408
5,25,2012,0.001197,190,30,190,52.96,190,15.68,190,3.026,330
5,26,2012,0.001339,208,31,208,62.13,208,13.32,208,3.101,377
5,27,2012,0.002057,201,29,201,57.98,201,13.28,201,3.155,399
5,28,2012,0.000802,224,29.5,224,55.61,224,14.37,224,3.009,431
5,29,2012,0.001588,158,30,158,55.11,158,13.09,158,3.171,313
5,30,2012,0.001339,166,31,166,60.33,166,13.08,166,3.194,308
5,31,2012,0.001055,219,29,219,59.58,219,14.12,219,3.079,391
6,1,2012,0.0008379,229,26,229,48.53,229,13.28,229,3.097,382
6,2,2012,0.001099,228,30,228,56.79,228,11.43,228,3.166,390
6,3,2012,0.001237,294,31,294,58.93,294,12.35,294,3.089,454
6,4,2012,0.001285,295,29,295,53.78,295,10.77,295,3.091,429
6,5,2012,0.001221,224,29,224,55.82,224,11.72,224,3.171,347
6,6,2012,0.0008332,200,26.5,200,49.44,200,14.6,200,3.287,338
6,7,2012,0.0009825,217,28,217,49.22,217,14.22,217,3.241,354
6,8,2012,0.001548,177,31,177,55.88,177,14.59,177,3.244,357
6,9,2012,0.001826,225,29,225,57.69,225,12.08,225,3.167,375
6,10,2012,0.001743,220,28,220,51.62,220,14.4,220,3.06,407
6,11,2012,0.0009387,208,29,208,59.07,208,13.56,208,3.062,340
6,12,2012,0.0016,206,29,206,58.27,206,11.4,206,3.163,330
6,13,2012,0.001276,191,29,191,55.6,191,13.07,191,2.982,353
