year,month,hour,average_rtt,average_rtt_n,download_throughput,download_throughput_n,minimum_rtt,minimum_rtt_n,packet_retransmit_rate,packet_retransmit_rate_n,upload_throughput,upload_throughput_n
2012,1,0,72.6,241,11.232,241,33.0,241,0.002229,236,2.911,480
2012,1,1,79.1,174,9.267,174,34.0,174,0.002443,163,2.967,368
2012,1,2,75.4,123,9.027,123,36.0,123,0.001760,115,2.758,283
2012,1,3,76.7,97,7.573,97,35.0,97,0.002329,94,2.887,207
2012,1,4,68.6,80,7.488,80,32.0,80,0.002994,78,2.920,152
2012,1,5,79.1,55,7.917,55,37.0,55,0.001593,53,2.887,110
2012,1,6,74.1,57,7.494,57,33.0,57,0.002938,54,2.897,105
2012,1,7,75.1,70,13.521,70,41.0,70,0.001398,66,2.851,151
2012,1,8,78.9,84,9.067,84,33.0,84,0.002613,76,2.929,187
2012,1,9,74.2,120,7.543,120,36.0,120,0.001736,115,2.908,242
2012,1,10,70.3,152,11.363,152,33.0,152,0.002018,148,3.086,333
2012,1,11,73.0,181,9.249,181,33.0,181,0.002263,170,2.914,389
2012,1,12,70.5,178,11.005,178,32.0,178,0.001898,170,2.929,364
2012,1,13,69.1,203,8.949,203,32.0,203,0.002025,197,2.969,434
2012,1,14,71.6,211,11.270,211,34.0,211,0.002424,205,2.954,467
2012,1,15,77.0,241,9.825,241,34.0,241,0.002560,225,2.963,515
2012,1,16,67.7,254,10.181,254,33.0,254,0.002450,247,2.965,508
2012,1,17,74.6,273,9.191,273,33.5,272,0.002413,264,2.980,544
2012,1,18,69.0,318,10.256,318,33.0,318,0.002207,315,3.059,610
2012,1,19,65.4,328,9.645,328,33.0,328,0.002167,324,2.995,633
2012,1,20,76.4,366,9.467,366,34.0,366,0.002421,361,2.916,740
2012,1,21,74.3,326,9.753,326,33.0,326,0.002819,316,3.000,655
2012,1,22,68.0,332,8.815,332,33.0,331,0.003008,329,2.928,684
2012,1,23,69.1,309,10.303,309,32.0,309,0.001596,298,2.968,657
2012,2,0,68.5,259,9.699,259,29.0,259,0.001668,249,2.915,540
2012,2,1,70.4,186,8.563,186,29.0,186,0.001886,177,2.969,438
2012,2,2,72.9,131,9.691,131,31.0,131,0.001979,127,2.834,290
2012,2,3,53.2,87,12.279,87,26.0,87,0.001372,87,2.967,225
2012,2,4,69.5,78,11.055,78,30.5,78,0.002504,75,2.879,174
2012,2,5,68.3,66,8.363,66,29.0,66,0.002779,63,2.829,150
2012,2,6,57.4,63,10.550,63,31.0,63,0.001363,62,2.962,133
2012,2,7,64.6,76,9.749,76,30.5,76,0.002546,75,3.025,193
2012,2,8,55.3,126,14.256,126,26.0,126,0.001457,121,2.960,236
2012,2,9,65.8,143,13.901,143,29.0,143,0.001123,138,2.971,329
2012,2,10,78.1,171,11.875,171,30.0,171,0.002020,164,3.011,385
2012,2,11,63.3,208,11.851,208,30.0,208,0.001610,203,3.090,420
2012,2,12,67.0,207,10.545,207,31.0,207,0.001707,200,3.052,443
2012,2,13,73.4,238,11.219,238,29.0,238,0.001702,232,2.932,514
2012,2,14,63.8,219,10.562,219,29.0,219,0.001484,215,3.048,499
2012,2,15,69.4,262,9.106,262,31.0,262,0.002427,254,2.912,569
2012,2,16,66.5,275,9.829,275,29.0,275,0.001764,268,2.948,573
2012,2,17,67.3,265,9.780,265,31.0,265,0.001491,256,3.008,593
2012,2,18,64.0,304,10.584,304,28.0,304,0.002029,299,3.053,652
2012,2,19,63.4,352,11.559,352,28.0,352,0.001735,343,3.021,718
2012,2,20,71.1,359,10.433,359,30.0,359,0.001976,346,3.015,777
2012,2,21,62.8,374,11.265,374,28.0,374,0.001773,363,2.928,771
2012,2,22,66.4,324,10.493,324,29.0,324,0.002287,314,3.013,771
2012,2,23,70.6,297,9.433,297,31.0,297,0.002647,291,2.970,720
2012,3,0,57.5,295,12.060,295,30.0,295,0.001786,295,3.053,586
2012,3,1,61.8,238,11.833,238,31.0,238,0.001679,238,3.051,481
2012,3,2,63.2,148,11.405,148,30.0,148,0.002316,148,3.173,298
2012,3,3,51.6,143,12.314,143,29.0,143,0.001627,143,3.091,291
2012,3,4,61.1,103,13.566,103,32.0,103,0.001132,103,3.163,201
2012,3,5,61.9,77,14.461,77,29.0,77,0.001541,77,3.210,157
2012,3,6,57.5,72,13.884,72,29.0,72,0.001570,72,3.228,185
2012,3,7,65.9,70,14.284,70,31.0,70,0.001678,70,3.250,192
2012,3,8,54.9,132,14.063,132,28.0,132,0.001162,132,3.008,242
2012,3,9,50.2,193,14.751,193,29.0,193,0.001302,193,3.035,349
2012,3,10,55.0,189,13.360,189,29.0,189,0.001130,189,3.052,363
2012,3,11,52.8,222,14.502,223,29.0,222,0.001183,223,3.252,396
2012,3,12,55.3,234,13.784,234,31.0,234,0.001340,234,3.111,444
2012,3,13,53.4,247,15.378,247,30.0,247,0.001117,247,3.201,480
2012,3,14,58.7,331,14.539,332,30.0,331,0.001522,332,3.160,593
2012,3,15,55.8,289,14.151,289,30.0,289,0.001464,289,3.210,579
2012,3,16,54.1,293,13.754,293,29.0,293,0.001319,293,3.064,564
2012,3,17,54.0,363,13.873,363,27.0,363,0.001170,363,3.053,693
2012,3,18,57.2,368,13.538,368,30.0,368,0.001701,368,3.074,731
2012,3,19,57.3,374,12.227,374,31.0,374,0.001782,374,3.172,723
2012,3,20,59.8,428,11.314,428,29.5,428,0.001632,428,3.094,835
2012,3,21,55.9,436,12.525,437,28.0,436,0.001613,437,3.052,842
2012,3,22,65.2,458,12.659,458,31.0,458,0.001588,458,3.014,902
2012,3,23,59.2,343,11.249,343,29.0,343,0.001792,343,3.130,685
2012,4,0,54.4,281,12.334,281,31.0,281,0.001073,281,3.028,509
2012,4,1,53.9,208,12.418,208,29.0,208,0.000993,208,3.125,404
2012,4,2,64.0,174,13.062,174,33.0,174,0.001361,174,3.024,317
2012,4,3,55.0,122,11.084,122,31.0,122,0.001403,122,3.059,229
2012,4,4,56.2,101,13.355,101,32.0,101,0.001577,101,3.235,170
2012,4,5,56.3,70,10.788,70,29.0,70,0.001572,70,2.861,140
2012,4,6,47.2,94,16.324,94,28.5,94,0.001183,94,2.969,162
2012,4,7,50.9,95,15.105,95,30.0,95,0.000879,95,3.204,179
2012,4,8,55.2,142,9.851,142,31.5,142,0.001282,142,3.209,219
2012,4,9,49.7,190,10.132,190,29.0,190,0.001641,190,3.127,300
2012,4,10,49.4,222,9.457,222,29.0,222,0.002000,222,3.083,385
2012,4,11,50.0,257,8.697,257,31.0,257,0.002736,257,3.207,405
