year,month,day,average_rtt,average_rtt_n,download_throughput,download_throughput_n,minimum_rtt,minimum_rtt_n,packet_retransmit_rate,packet_retransmit_rate_n,upload_throughput,upload_throughput_n
2014,9,25,74.4,120,8.998,120,33.0,120,0.003466,120,1.182,181
2014,9,26,66.3,135,9.090,135,30.0,135,0.003876,135,1.287,192
2014,9,27,76.7,158,7.353,158,35.0,158,0.004198,158,1.308,188
2014,9,28,67.6,211,8.260,211,30.0,211,0.004254,211,1.309,233
2014,9,29,69.1,147,7.334,147,31.0,147,0.003303,147,1.112,193
2014,9,30,80.2,170,7.228,170,35.0,170,0.003893,170,1.164,198
2014,10,1,92.2,98,6.958,98,38.5,98,0.002758,98,1.033,127
2014,10,2,71.9,61,8.614,61,42.0,61,0.002415,61,1.247,75
2014,10,3,71.9,63,7.301,63,32.0,63,0.004459,63,1.153,81
2014,10,4,70.5,81,7.177,81,31.0,81,0.004036,81,1.172,86
2014,10,5,57.9,84,7.228,84,28.0,84,0.002763,84,1.176,85
2014,10,6,59.6,70,8.851,70,33.0,70,0.002701,70,1.519,71
2014,10,7,82.6,52,7.057,52,32.0,52,0.004266,52,1.390,55
2014,10,8,67.7,36,6.065,36,30.5,36,0.004462,36,1.412,43
2014,10,9,59.0,38,9.500,38,33.5,38,0.004142,38,1.118,47
2014,10,10,69.1,55,13.073,55,34.0,55,0.002745,55,1.410,58
2014,10,11,70.2,69,9.531,69,31.0,69,0.003123,69,1.190,75
2014,10,12,67.8,70,7.544,70,32.0,70,0.003604,70,1.291,70
2014,10,13,76.4,68,6.068,68,35.5,68,0.003090,68,1.494,71
2014,10,14,71.7,40,7.119,40,29.0,40,0.001884,40,1.231,49
2014,10,15,85.4,81,8.644,81,30.0,81,0.003361,81,1.404,91
2014,10,16,58.8,59,5.278,59,31.0,59,0.005847,59,1.212,73
2014,10,17,47.7,49,8.084,49,27.0,49,0.003746,49,1.470,50
2014,10,18,69.0,50,9.500,50,33.5,50,0.005772,50,1.363,60
2014,10,19,86.5,46,5.060,46,31.5,46,0.008437,46,1.053,50
2014,10,20,62.6,75,6.038,75,29.0,75,0.004966,75,1.432,73
2014,10,21,87.0,52,10.828,52,30.5,52,0.003093,52,1.424,59
2014,10,22,71.0,95,9.410,95,29.0,95,0.005025,95,1.459,103
2014,10,23,66.2,84,12.753,84,30.0,84,0.003610,84,1.443,89
2014,10,24,52.3,69,5.381,69,28.0,69,0.005312,69,1.300,84
2014,10,25,64.5,59,8.491,59,29.0,59,0.002891,59,1.473,71
2014,10,26,67.2,47,5.792,47,38.0,47,0.006413,47,0.826,48
2014,10,27,66.3,70,8.288,70,27.5,70,0.004024,70,1.448,91
2014,10,28,88.1,72,7.171,72,36.0,72,0.003183,72,1.239,77
2014,10,29,75.8,78,9.838,78,30.0,78,0.004277,78,1.445,76
2014,10,30,72.3,77,11.720,77,29.0,77,0.002776,77,1.482,86
2014,10,31,57.9,46,10.930,46,30.0,46,0.003224,46,1.378,54
2014,11,1,67.2,49,7.584,49,28.0,49,0.002136,49,1.143,53
2014,11,2,67.6,72,4.256,72,35.0,72,0.004450,72,1.110,83
2014,11,3,92.8,52,4.232,52,38.0,52,0.007499,52,0.997,54
2014,11,4,77.5,48,5.305,48,33.0,48,0.006925,48,1.367,50
2014,11,5,84.3,40,4.166,40,30.0,40,0.005978,40,0.996,48
2014,11,6,74.3,36,4.250,36,34.0,36,0.005144,36,1.301,41
2014,11,7,69.8,54,7.742,54,30.5,54,0.004884,54,1.370,48
2014,11,8,66.0,47,7.801,47,31.0,47,0.003357,47,1.147,50
2014,11,9,71.8,68,7.389,68,27.0,68,0.005365,68,1.218,76
2014,11,10,55.7,61,9.868,61,30.0,61,0.002610,61,1.443,72
2014,11,11,83.2,74,2.556,74,48.0,74,0.008720,74,1.160,74
2014,11,12,73.7,81,4.830,81,34.0,81,0.008026,81,1.249,92
2014,11,13,71.5,59,4.506,59,39.0,59,0.005131,59,0.998,80
2014,11,14,68.8,41,5.496,41,39.0,41,0.004890,41,1.504,41
2014,11,15,74.8,85,6.437,85,40.0,85,0.004584,85,1.203,90
2014,11,16,71.4,62,8.010,62,33.0,62,0.005263,62,1.505,71
2014,11,17,79.3,58,6.057,58,37.0,58,0.005873,58,1.402,66
2014,11,18,72.4,66,2.723,66,41.0,66,0.009239,66,1.362,72
2014,11,19,99.1,50,3.073,50,42.5,50,0.006268,50,1.454,56
2014,11,20,68.7,51,3.146,51,42.0,51,0.007722,51,1.504,55
2014,11,21,55.9,51,10.854,51,30.0,51,0.003726,51,1.509,51
2014,11,22,87.6,69,4.706,69,43.0,69,0.004490,69,1.080,68
2014,11,23,68.2,52,3.548,52,37.0,52,0.005335,52,1.472,51
2014,11,24,66.6,39,10.334,39,44.0,39,0.003910,39,1.494,50
2014,11,25,80.0,48,6.732,48,36.0,48,0.007131,48,0.921,48
2014,11,26,72.9,54,4.499,54,35.5,54,0.005251,54,1.395,70
2014,11,27,86.1,64,6.658,64,33.0,64,0.006453,64,1.376,69
2014,11,28,71.0,65,6.896,65,42.0,65,0.003594,65,1.351,67
2014,11,29,75.2,67,6.513,67,36.0,67,0.006204,67,1.346,63
2014,11,30,54.8,94,9.231,94,29.5,94,0.003308,94,1.481,99
2014,12,1,60.3,115,7.204,115,27.0,115,0.003115,115,1.435,129
2014,12,2,74.5,59,6.316,59,32.0,59,0.004411,59,1.508,69
2014,12,3,81.2,86,6.993,86,30.0,86,0.003887,86,1.173,89
2014,12,4,65.6,75,12.578,75,29.0,75,0.002041,75,1.459,89
2014,12,5,79.6,77,14.002,77,29.0,77,0.002725,77,1.463,83
2014,12,6,54.0,58,12.335,58,29.0,58,0.002292,58,1.535,61
2014,12,7,75.2,83,7.247,83,32.0,83,0.005032,83,1.175,100
2014,12,8,75.9,52,9.511,52,32.0,52,0.004544,52,1.414,54
2014,12,9,75.9,57,11.407,57,27.0,57,0.001435,57,1.302,67
2014,12,10,48.7,62,12.715,62,27.0,62,0.002950,62,1.450,68
2014,12,11,71.0,67,6.681,67,29.0,67,0.004708,67,1.413,75
2014,12,12,68.3,52,6.400,52,35.0,52,0.003935,52,1.390,51
2014,12,13,91.1,44,7.814,44,38.5,44,0.004798,44,1.385,37
2014,12,14,66.3,78,8.685,78,28.5,78,0.003873,78,1.358,78
2014,12,15,59.2,64,7.716,64,28.0,64,0.005278,64,1.388,72
2014,12,16,79.0,69,13.042,69,30.0,69,0.003590,69,1.442,76
