year,month,day,average_rtt,average_rtt_n,download_throughput,download_throughput_n,minimum_rtt,minimum_rtt_n,packet_retransmit_rate,packet_retransmit_rate_n,upload_throughput,upload_throughput_n
2014,10,1,64.7,72,7.876,72,37.5,72,0.002293,72,4.612,104
2014,10,2,76.0,141,11.287,141,48.0,141,0.003199,141,4.562,245
2014,10,3,68.7,127,13.996,127,42.0,127,0.001043,127,4.571,214
2014,10,4,81.7,150,12.650,150,50.5,150,0.002652,150,4.617,230
2014,10,5,68.6,168,9.334,168,37.5,168,0.003017,168,4.572,251
2014,10,6,73.5,113,12.318,113,42.0,113,0.001459,113,4.565,185
2014,10,7,74.9,120,11.437,120,45.0,120,0.001940,120,4.606,211
2014,10,8,64.5,138,15.255,138,39.5,138,0.001298,138,5.385,208
2014,10,9,69.0,95,13.230,95,33.0,95,0.001819,95,5.711,176
2014,10,10,62.6,114,13.310,115,28.5,114,0.001417,115,5.303,170
2014,10,11,68.8,167,11.467,167,33.0,167,0.001872,167,4.607,268
2014,10,12,75.1,131,14.052,131,43.0,131,0.001900,131,4.572,234
2014,10,13,70.0,129,13.392,129,30.0,129,0.001241,129,4.605,223
2014,10,14,74.0,130,10.409,130,44.0,130,0.001640,130,4.842,207
2014,10,15,66.9,99,10.311,99,30.0,99,0.001147,99,5.041,205
2014,10,16,67.8,135,14.412,135,36.0,135,0.001510,135,5.020,242
2014,10,17,74.7,134,9.447,134,34.0,134,0.002301,134,4.614,210
2014,10,18,73.3,132,10.052,132,32.0,132,0.001887,132,4.575,238
2014,10,19,76.9,159,11.741,159,45.0,159,0.002655,159,4.600,262
2014,10,20,78.9,119,11.585,119,43.0,119,0.002172,119,4.615,191
2014,10,21,86.7,102,10.146,102,45.0,102,0.002029,102,4.577,176
2014,10,22,79.2,94,10.682,94,41.0,94,0.002697,94,4.613,155
2014,10,23,66.7,127,14.642,127,38.0,127,0.001815,127,4.610,186
2014,10,24,77.8,118,12.285,118,43.0,118,0.002194,118,4.623,192
2014,10,25,72.6,127,10.393,127,46.0,127,0.002857,127,4.678,225
2014,10,26,74.9,153,12.210,153,43.0,153,0.001798,153,4.649,254
2014,10,27,76.1,113,9.684,113,41.0,113,0.002384,113,4.538,188
2014,10,28,76.4,111,11.650,111,45.0,111,0.004674,111,5.184,181
2014,10,29,70.9,108,8.142,108,47.0,108,0.003692,108,4.573,179
2014,10,30,77.7,112,10.364,112,45.0,112,0.003447,112,4.532,186
2014,10,31,76.1,105,13.146,105,43.0,105,0.002058,105,4.594,160
2014,11,1,79.2,109,13.022,109,50.0,109,0.003056,109,4.649,178
2014,11,2,87.0,166,7.809,166,47.5,166,0.003555,166,4.525,275
2014,11,3,68.0,100,15.077,100,33.5,100,0.001214,100,4.598,171
2014,11,4,75.5,99,12.858,99,32.0,99,0.002961,99,4.622,183
2014,11,5,78.4,106,9.262,106,39.0,106,0.003657,106,4.554,161
2014,11,6,71.5,111,10.561,111,40.0,111,0.001665,111,4.689,162
2014,11,7,73.8,123,10.922,123,42.0,123,0.002545,123,4.594,181
2014,11,8,75.0,119,8.184,119,44.0,119,0.001876,119,4.487,168
2014,11,9,79.0,145,12.828,145,51.0,145,0.001518,145,4.472,234
2014,11,10,80.8,110,10.308,110,46.5,110,0.001240,110,4.765,188
2014,11,11,76.8,99,14.457,99,45.0,99,0.001382,99,4.529,172
2014,11,12,80.4,95,10.118,95,53.0,95,0.002567,95,4.417,152
2014,11,13,66.2,92,13.462,92,36.5,92,0.002421,92,4.610,172
2014,11,14,79.6,124,11.699,124,46.5,124,0.001803,124,4.551,174
2014,11,15,67.6,141,15.045,141,44.0,141,0.001326,141,4.507,206
2014,11,16,76.5,128,11.780,128,46.0,128,0.002638,128,4.395,208
2014,11,17,73.6,114,12.596,114,46.0,114,0.001779,114,4.493,184
2014,11,18,76.2,116,12.081,116,50.0,116,0.002498,116,4.622,204
2014,11,19,79.7,90,11.259,90,42.0,90,0.002677,90,4.730,167
2014,11,20,86.9,79,10.259,79,54.0,79,0.004472,79,4.383,151
2014,11,21,80.9,116,11.181,116,46.0,116,0.001446,116,4.563,178
2014,11,22,69.9,127,11.092,127,43.0,127,0.001895,127,4.495,205
2014,11,23,75.9,179,7.614,179,49.0,179,0.002298,179,2.784,261
2014,11,24,73.9,94,11.881,94,44.5,94,0.001769,94,4.293,150
2014,11,25,59.4,116,15.332,116,41.0,116,0.001790,116,4.576,185
2014,11,26,80.1,96,6.248,96,52.5,96,0.002574,96,4.297,159
2014,11,27,80.3,126,8.454,126,46.5,126,0.002253,126,4.497,201
2014,11,28,72.9,116,14.257,116,48.0,116,0.001771,116,4.407,180
2014,11,29,70.9,143,12.832,143,46.0,143,0.001710,143,4.591,222
2014,11,30,75.9,139,8.317,139,47.0,139,0.001998,139,4.523,212
2014,12,1,73.7,115,12.123,115,45.0,115,0.001335,115,4.532,185
2014,12,2,68.0,133,10.259,133,43.0,133,0.001818,133,4.457,197
2014,12,3,78.1,92,12.665,92,49.0,92,0.001594,92,4.494,143
2014,12,4,74.6,90,7.058,90,47.0,90,0.002586,90,4.375,149
2014,12,5,77.7,125,8.641,125,47.0,125,0.003074,125,4.342,191
2014,12,6,74.2,130,13.415,130,40.0,130,0.001632,130,4.577,196
2014,12,7,63.4,163,15.106,163,38.0,163,0.001957,163,4.583,245
2014,12,8,69.0,104,12.387,104,33.5,104,0.001985,104,4.601,154
2014,12,9,68.7,93,12.357,93,48.0,93,0.002356,93,4.537,139
2014,12,10,75.9,96,15.764,96,45.5,96,0.001571,96,4.584,159
2014,12,11,66.0,98,17.434,98,41.0,98,0.000888,98,4.620,172
2014,12,12,66.9,93,12.359,93,36.0,93,0.001521,93,4.622,158
2014,12,13,73.5,109,12.874,109,42.0,109,0.001326,109,4.567,160
2014,12,14,69.3,141,14.681,141,43.0,141,0.001538,141,4.465,226
2014,12,15,78.7,88,10.706,88,43.0,88,0.001933,88,4.483,147
2014,12,16,79.2,101,9.667,101,49.0,101,0.001664,101,4.578,183
2014,12,17,70.3,87,12.518,88,41.0,87,0.001845,88,4.626,152
2014,12,18,77.0,114,15.118,114,44.0,114,0.002329,114,4.540,176
2014,12,19,72.3,101,10.705,101,36.0,101,0.002498,101,4.624,167
2014,12,20,67.2,126,13.612,126,40.0,126,0.001651,126,4.569,199
2014,12,21,69.8,126,12.393,126,42.0,126,0.001674,126,4.469,196
2014,12,22,82.1,84,13.616,84,43.5,84,0.001635,84,4.687,144
2014,12,23,76.1,110,12.330,110,48.0,110,0.002554,110,4.456,167
2014,12,24,65.9,157,12.899,157,43.0,157,0.001216,157,4.613,234
2014,12,25,76.7,141,11.478,141,48.0,141,0.001743,141,4.604,245
2014,12,26,73.4,154,11.974,154,45.0,154,0.001931,154,4.529,239
2014,12,27,76.2,62,9.342,62,41.0,62,0.001826,62,4.578,77
2014,12,28,75.7,21,12.437,21,51.0,21,0.002666,21,6.747,19
2014,12,29,58.9,49,13.271,49,31.0,49,0.001910,49,6.936,42
2014,12,30,58.9,27,16.288,27,37.0,27,0.001841,27,7.620,26
2014,12,31,70.2,30,15.734,30,47.0,30,0.001458,30,6.472,23
2015,1,1,23.2,87,8.949,87,12.0,87,0.000903,87,9.502,82
2015,1,2,69.7,38,15.438,38,23.5,38,0.001123,38,4.619,25
2015,1,3,57.1,25,22.379,25,16.0,25,0.004533,25,8.796,34
2015,1,4,61.0,24,10.618,24,23.5,24,0.002083,24,4.930,24
2015,1,5,85.3,93,8.457,93,44.0,93,0.002703,93,4.576,153
2015,1,6,87.0,149,8.502,149,52.0,149,0.003385,149,4.486,213
2015,1,7,85.4,134,9.085,134,53.0,134,0.002873,134,3.938,224
2015,1,8,82.4,140,10.325,140,53.5,140,0.001956,140,4.535,213
2015,1,9,71.6,116,13.287,116,44.5,116,0.001454,116,4.507,187
2015,1,10,75.1,128,10.699,128,46.0,128,0.001945,128,4.539,181
2015,1,11,78.2,158,11.155,158,48.5,158,0.001264,158,4.570,234
2015,1,12,67.7,90,13.601,90,46.0,90,0.001014,90,4.623,166
2015,1,13,69.1,116,10.551,116,44.5,116,0.001299,116,4.560,201
2015,1,14,84.4,144,11.740,144,54.0,144,0.002016,144,4.497,211
2015,1,15,71.2,112,10.994,112,45.5,112,0.001793,112,4.586,192
2015,1,16,81.1,117,11.855,117,45.0,117,0.002432,117,4.531,192
2015,1,17,69.3,159,14.095,159,32.0,159,0.001418,159,5.331,263
2015,1,18,69.4,144,10.409,144,45.0,144,0.001854,144,4.551,235
2015,1,19,78.1,133,9.870,133,52.0,133,0.001780,133,4.530,208
2015,1,20,71.6,75,9.323,75,44.0,75,0.001022,75,4.542,105
2015,1,21,73.6,60,9.816,60,37.5,60,0.001935,60,4.577,97
2015,1,22,67.9,127,14.902,127,42.0,127,0.001554,127,6.033,207
2015,1,23,71.4,134,11.008,134,43.0,134,0.001804,134,4.659,218
2015,1,24,73.9,116,13.016,116,42.0,116,0.001375,116,4.863,193
2015,1,25,69.7,146,11.212,146,36.5,146,0.002947,146,4.547,239
2015,1,26,79.5,93,8.734,93,50.0,93,0.003774,93,4.492,167
2015,1,27,79.3,102,11.958,102,51.0,102,0.002057,102,4.589,180
2015,1,28,72.7,125,12.086,125,41.0,125,0.001963,125,4.555,189
2015,1,29,72.9,111,13.763,111,49.0,111,0.002770,111,4.494,190
