year,month,hour,average_rtt,average_rtt_n,download_throughput,download_throughput_n,minimum_rtt,minimum_rtt_n,packet_retransmit_rate,packet_retransmit_rate_n,upload_throughput,upload_throughput_n
2014,10,0,41.0,72,24.926,72,21.5,72,0.000977,72,5.763,85
2014,10,1,46.2,57,18.524,57,26.0,57,0.001621,57,5.563,73
2014,10,2,38.8,43,14.156,43,23.0,43,0.001313,43,5.687,60
2014,10,3,40.7,25,18.501,25,24.0,25,0.000924,25,5.556,44
2014,10,4,62.3,21,7.231,21,26.0,21,0.002692,21,1.834,25
2014,10,5,49.6,20,5.222,20,20.0,20,0.001252,20,2.028,42
2014,10,6,38.5,19,10.993,19,23.0,19,0.001828,19,4.334,31
2014,10,7,39.5,26,19.734,26,21.0,26,0.001326,26,5.428,38
2014,10,8,55.2,33,26.219,33,24.0,33,0.000906,33,5.241,44
2014,10,9,54.7,46,29.141,46,27.0,46,0.001669,46,5.328,74
2014,10,10,50.7,47,29.643,47,26.0,47,0.000864,47,5.906,69
2014,10,11,45.7,67,23.610,67,19.0,67,0.001268,67,5.102,85
2014,10,12,36.1,63,19.335,63,19.0,63,0.002129,63,4.849,82
2014,10,13,50.8,72,18.200,72,20.5,72,0.001076,72,4.440,107
2014,10,14,53.2,61,22.190,61,24.0,61,0.000847,61,5.841,74
2014,10,15,47.4,66,16.286,66,23.5,66,0.001270,66,4.111,80
2014,10,16,36.5,84,23.682,84,21.0,84,0.000644,84,5.862,118
2014,10,17,38.2,100,24.994,100,19.0,100,0.000873,100,5.869,136
2014,10,18,39.8,92,20.067,92,21.0,92,0.001403,92,4.327,124
2014,10,19,44.0,91,20.706,91,24.0,91,0.001102,91,4.892,133
2014,10,20,49.4,105,11.703,105,23.0,105,0.001486,105,5.787,148
2014,10,21,44.5,116,19.373,116,22.0,116,0.000876,116,5.411,193
2014,10,22,42.1,99,20.323,99,22.0,99,0.000972,99,5.715,136
2014,10,23,40.3,63,15.890,63,24.0,63,0.001870,63,5.847,101
2014,11,0,47.3,73,14.690,73,23.0,73,0.001797,73,4.271,91
2014,11,1,43.5,45,20.745,45,21.0,45,0.000886,45,4.282,66
2014,11,2,43.5,40,13.079,40,24.0,40,0.001705,40,4.032,57
2014,11,3,51.0,39,14.646,39,20.0,39,0.001266,39,3.112,48
2014,11,4,42.6,20,13.661,20,19.0,20,0.001049,20,5.133,27
2014,11,5,36.4,12,24.891,12,26.5,12,0.001094,12,3.238,22
2014,11,6,45.6,35,9.858,35,20.0,35,0.002325,35,5.442,39
2014,11,7,41.8,28,28.427,28,23.5,28,0.000808,28,4.455,33
2014,11,8,40.3,47,16.812,47,23.0,47,0.001575,47,5.073,62
2014,11,9,41.7,37,15.722,37,19.0,37,0.001415,37,4.122,62
2014,11,10,36.9,57,16.448,57,18.0,57,0.001248,57,5.570,72
2014,11,11,74.7,43,8.429,43,27.0,43,0.002892,43,4.745,73
2014,11,12,65.6,57,17.572,57,24.0,57,0.002312,56,4.422,72
2014,11,13,43.1,34,14.869,34,24.0,34,0.001456,34,5.807,67
2014,11,14,50.4,49,19.109,49,24.0,49,0.001787,49,5.584,69
2014,11,15,52.8,57,17.422,57,23.0,57,0.001778,57,4.601,80
2014,11,16,53.2,58,13.939,58,23.0,58,0.001640,58,4.421,79
2014,11,17,51.1,75,12.833,75,22.0,75,0.001617,75,5.164,98
2014,11,18,49.6,70,16.806,70,21.0,70,0.001567,70,4.126,112
2014,11,19,57.2,81,8.936,81,25.0,81,0.001955,81,5.574,111
2014,11,20,57.9,88,16.403,88,22.0,88,0.001694,88,5.456,113
2014,11,21,48.2,90,13.775,90,23.0,90,0.001359,90,5.290,124
2014,11,22,48.5,101,22.030,101,21.0,101,0.001089,101,5.803,127
2014,11,23,43.6,79,13.628,79,25.0,79,0.001682,79,5.811,113
2014,12,0,50.6,57,17.464,57,23.0,57,0.001687,57,5.302,75
2014,12,1,42.6,49,19.274,49,24.0,49,0.000704,49,5.895,66
2014,12,2,64.4,24,17.251,24,25.5,24,0.001651,24,5.691,39
