year,month,hour,average_rtt,average_rtt_n,download_throughput,download_throughput_n,minimum_rtt,minimum_rtt_n,packet_retransmit_rate,packet_retransmit_rate_n,upload_throughput,upload_throughput_n
2014,10,0,49.7,115,8.958,115,17.0,115,0.001820,115,1.301,253
2014,10,1,45.7,69,13.124,69,18.0,69,0.002280,69,1.537,158
2014,10,2,47.1,56,14.074,56,17.0,56,0.001488,56,1.515,120
2014,10,3,62.4,44,8.150,44,19.5,44,0.001861,44,1.585,100
2014,10,4,43.8,41,14.072,41,20.0,41,0.002061,41,0.933,103
2014,10,5,55.6,41,13.745,41,18.0,41,0.001566,41,1.756,83
2014,10,6,48.7,48,14.133,48,18.5,48,0.002146,48,1.828,84
2014,10,7,54.8,45,13.486,45,17.0,45,0.000922,45,2.467,105
2014,10,8,59.2,62,9.742,62,17.0,62,0.002163,62,1.792,134
2014,10,9,42.7,65,15.364,65,15.0,65,0.001394,65,1.776,139
2014,10,10,51.6,68,12.547,68,16.0,68,0.002427,68,2.025,154
2014,10,11,44.2,94,15.074,94,16.0,94,0.001417,94,1.793,200
2014,10,12,37.6,63,15.670,63,15.0,63,0.001551,63,2.586,137
2014,10,13,44.8,85,13.425,85,18.0,85,0.002025,85,1.831,169
2014,10,14,62.0,83,11.521,83,21.0,83,0.001639,83,1.954,181
2014,10,15,54.4,113,11.970,113,16.0,113,0.002081,113,1.714,225
2014,10,16,60.2,125,13.243,125,18.0,125,0.002324,125,1.866,264
2014,10,17,66.7,133,10.003,133,18.0,133,0.002318,133,1.764,269
2014,10,18,46.5,129,11.754,129,17.0,129,0.002181,129,1.759,294
2014,10,19,51.3,159,12.658,159,18.0,159,0.002816,159,1.807,292
2014,10,20,53.6,138,8.994,138,18.5,138,0.002922,138,1.850,278
2014,10,21,61.1,187,10.246,187,18.0,187,0.001892,187,1.749,372
2014,10,22,54.6,155,11.299,155,17.0,155,0.002345,155,1.844,337
2014,10,23,59.1,137,10.687,137,18.0,137,0.002098,137,1.713,309
2014,11,0,53.5,100,9.409,100,18.0,100,0.004608,100,1.821,217
2014,11,1,40.8,74,9.488,74,17.0,74,0.002612,74,1.782,146
2014,11,2,62.8,46,7.436,46,19.0,46,0.004989,46,1.664,112
2014,11,3,36.9,40,7.940,40,16.5,40,0.003597,40,1.315,75
2014,11,4,45.0,28,5.200,28,12.0,28,0.008260,28,1.068,63
2014,11,5,54.7,31,3.758,31,16.0,31,0.012809,31,1.393,60
2014,11,6,39.2,45,13.793,45,17.0,45,0.002948,45,1.771,81
2014,11,7,52.4,61,8.186,61,16.0,61,0.004017,61,1.832,111
2014,11,8,46.7,64,11.821,64,14.0,64,0.002822,64,3.030,114
2014,11,9,54.0,79,11.916,79,15.0,79,0.002237,79,2.164,177
2014,11,10,52.9,90,11.015,90,17.0,90,0.001679,90,1.820,177
2014,11,11,52.9,67,10.188,67,15.0,67,0.003406,67,1.793,137
2014,11,12,44.6,91,12.838,91,15.0,91,0.001649,91,1.707,176
2014,11,13,40.6,90,11.566,90,14.0,90,0.002948,90,1.714,191
2014,11,14,50.8,101,11.733,101,16.0,101,0.001486,101,1.835,199
2014,11,15,44.5,110,14.785,110,16.5,110,0.001605,110,1.832,208
2014,11,16,51.2,102,11.671,102,16.0,102,0.002372,102,1.712,208
2014,11,17,44.1,117,12.698,117,15.0,117,0.002004,117,2.707,229
2014,11,18,39.1,159,12.258,159,15.0,159,0.002045,159,1.843,298
2014,11,19,52.7,163,10.617,163,17.0,163,0.002900,163,1.836,319
2014,11,20,48.0,156,10.013,156,18.0,156,0.002599,156,1.844,295
2014,11,21,48.0,172,12.267,172,17.5,172,0.002377,172,1.776,318
2014,11,22,60.2,189,12.843,189,17.0,189,0.001857,189,1.794,340
2014,11,23,57.3,165,11.758,167,17.0,165,0.002310,166,1.629,313
2014,12,0,62.0,68,13.062,68,17.0,68,0.001211,68,1.795,151
2014,12,1,48.0,64,12.810,64,15.0,64,0.001315,64,1.875,120
2014,12,2,67.3,43,12.272,43,17.0,43,0.002000,43,3.420,101
