year,month,day,average_rtt,average_rtt_n,download_throughput,download_throughput_n,minimum_rtt,minimum_rtt_n,packet_retransmit_rate,packet_retransmit_rate_n,upload_throughput,upload_throughput_n
2012,1,1,73.1,36,12.819,36,43.5,36,0.002857,36,3.045,44
2012,1,2,83.9,12,12.528,12,43.0,12,0.001811,12,2.829,27
2012,1,3,74.9,25,11.500,25,33.0,25,0.003320,25,3.026,46
2012,1,4,76.4,32,12.349,32,40.5,32,0.003984,32,3.018,48
2012,1,5,58.9,26,12.771,26,37.5,26,0.004543,26,3.090,38
2012,1,6,52.8,19,14.583,19,33.0,19,0.001940,19,3.042,31
2012,1,7,51.6,27,15.148,27,25.0,27,0.001379,27,3.031,37
2012,1,8,57.5,45,12.674,45,26.0,45,0.001044,45,2.934,63
2012,1,9,61.7,23,13.039,23,31.0,23,0.003142,23,3.074,37
2012,1,10,40.6,18,14.479,18,27.0,18,0.002625,18,2.977,28
2012,1,11,59.9,18,7.619,18,27.5,18,0.002985,18,2.784,36
2012,1,12,47.2,34,9.043,34,25.0,34,0.002271,34,3.012,60
2012,1,13,69.5,36,10.115,36,36.0,36,0.004471,36,3.058,60
2012,1,14,63.2,40,11.386,40,25.5,40,0.002318,40,3.063,67
2012,1,15,53.1,41,13.989,41,29.0,41,0.001585,41,3.075,67
2012,1,16,51.4,24,11.714,24,25.5,24,0.002328,24,3.305,52
2012,1,17,63.1,16,14.984,16,37.5,16,0.001864,16,3.120,28
2012,1,18,57.5,31,7.756,31,27.0,31,0.002194,31,3.402,45
2012,1,19,53.8,24,10.513,24,26.5,24,0.002250,24,3.116,44
2012,1,20,56.9,27,10.899,27,32.0,27,0.004158,27,3.084,46
2012,1,21,57.7,41,11.838,41,29.0,41,0.001682,41,3.109,61
2012,1,22,67.7,41,7.960,41,36.0,41,0.003491,41,3.057,65
2012,1,23,62.2,21,13.775,21,22.0,21,0.001773,21,2.950,35
2012,1,24,58.4,20,8.656,20,26.0,20,0.003198,20,3.321,31
2012,1,25,62.4,28,9.438,28,40.5,28,0.002819,28,3.387,48
2012,1,26,72.8,23,10.409,23,28.0,23,0.002024,23,3.079,47
2012,1,27,52.7,13,15.410,13,41.0,13,0.001385,13,3.081,24
2012,1,28,63.4,17,16.662,17,24.0,17,0.001937,17,2.968,35
2012,1,29,61.9,19,13.551,19,26.0,19,0.002863,19,3.008,29
