month,hour,year,packet_retransmit_rate,packet_retransmit_rate_n,minimum_rtt,minimum_rtt_n,average_rtt,average_rtt_n,download_throughput,download_throughput_n,upload_throughput,upload_throughput_n
1,0,2012,0.001972,25,17,25,58.17,25,9.717,25,0.4119,44
1,1,2012,0.001273,21,16,21,41.14,21,9.318,21,0.4093,34
1,2,2012,0.0007394,13,14,13,37.78,13,9.299,13,0.406,20
1,3,2012,0.002322,12,14,12,34.33,12,10.46,12,0.4099,23
1,4,2012,0.001194,14,14,14,39.66,14,15.52,14,0.4104,20
1,5,2012,0.001538,10,15,10,40.12,10,15.68,10,0.4112,10
1,6,2012,0.002679,7,18,7,53.72,7,10.28,7,0.3807,10
1,7,2012,0.004354,9,17,9,57.59,9,9.802,9,0.4093,13
1,8,2012,0.001673,10,16,10,56.82,10,14.04,10,0.4057,19
1,9,2012,0.001465,19,16,19,42.12,19,10.57,19,0.4134,29
1,10,2012,0.004121,24,15.5,24,37.88,24,10.37,24,0.4152,36
1,11,2012,0.001451,41,14,41,42.75,41,12.78,41,0.4091,58
1,12,2012,0.001291,28,14,28,37.06,28,11.54,28,0.4066,43
1,13,2012,0.00298,33,16,33,43.12,33,10.15,33,0.4075,44
1,14,2012,0.001802,38,14,38,36.58,38,13.11,38,0.4072,59
1,15,2012,0.001856,35,18,35,51.75,35,9.187,35,0.4083,63
1,16,2012,0.001707,52,15.5,52,47.85,52,11.11,52,0.4093,73
1,17,2012,0.00214,41,16,41,51.06,41,9.345,41,0.4092,65
1,18,2012,0.001733,65,18,65,73.51,65,8.749,65,0.4101,88
1,19,2012,0.004736,50,18,50,61.57,50,7.997,50,0.4058,77
1,20,2012,0.002938,62,16,62,46.5,62,8.791,62,0.4072,97
1,21,2012,0.002973,71,19,71,87.2,71,6.206,71,0.4057,102
1,22,2012,0.001901,60,16.5,60,68.1,60,7.855,60,0.4036,87
1,23,2012,0.002405,39,17,39,56.9,39,7.128,39,0.4085,67
2,0,2012,0.001059,24,16,24,61.68,24,8.009,24,0.4088,44
2,1,2012,0.003567,17,17,17,52.88,17,11.25,17,0.4012,31
2,2,2012,0.004488,10,15,10,46.44,10,11.9,10,0.4914,14
2,3,2012,0.001011,12,14.5,12,36.19,12,15.45,12,0.5289,17
2,4,2012,0.00338,6,23,6,108.2,6,6.507,6,0.5553,8
2,5,2012,0.002256,6,16.5,6,41.2,6,17.2,6,0.6043,9
2,6,2012,0.001794,4,15.5,4,49.67,4,11.09,4,0.4877,8
2,7,2012,0.001195,7,14,7,32.13,7,16.78,7,0.4126,11
2,8,2012,0.001864,10,12.5,10,27.09,10,16.71,10,0.4094,18
2,9,2012,0.00127,17,16,17,49.31,17,13.63,17,0.4139,32
2,10,2012,0.001005,23,15,23,40.49,23,15.38,23,0.4753,31
2,11,2012,0.00277,33,14,33,60.94,33,13.37,33,0.4045,44
2,12,2012,0.001315,28,16.5,28,51.56,28,11.22,28,0.4111,46
2,13,2012,0.003105,29,16,29,46.41,29,6.723,29,0.414,50
2,14,2012,0.002534,39,15,39,53.2,39,11.05,39,0.4063,54
2,15,2012,0.002303,45,16,45,46.18,45,8.809,45,0.4154,59
2,16,2012,0.002268,41,17,41,58.04,41,12.12,41,0.4114,60
2,17,2012,0.001869,41,17,41,58.26,41,11.96,41,0.4486,61
2,18,2012,0.00261,37,15,37,45.94,37,15.01,37,0.5642,66
2,19,2012,0.00253,39,16,39,61.12,39,7.507,39,0.41,53
2,20,2012,0.008095,83,15,83,63.47,83,4.027,83,0.5844,106
2,21,2012,0.002779,53,18,53,73.12,53,7.083,53,0.4072,84
2,22,2012,0.002008,56,18,56,66.43,56,7.794,56,0.4039,81
2,23,2012,0.002044,57,15,57,62.81,57,7.752,57,0.405,68
3,0,2012,0.002011,42,14,42,39.35,42,11.58,42,0.7886,53
3,1,2012,0.001262,21,17,21,72.65,21,8.283,21,0.8055,27
3,2,2012,0.001796,22,18.5,22,49.59,22,9.754,22,0.7625,27
3,3,2012,0.002929,14,18.5,14,60.93,14,10.48,14,0.7904,21
