year,month,hour,average_rtt,average_rtt_n,download_throughput,download_throughput_n,minimum_rtt,minimum_rtt_n,packet_retransmit_rate,packet_retransmit_rate_n,upload_throughput,upload_throughput_n
2014,9,0,52.4,16,16.649,16,16.0,16,0.001001,16,6.155,23
2014,9,1,60.6,12,41.783,12,24.0,12,0.000476,12,8.300,20
2014,9,2,28.3,12,28.421,12,18.0,12,0.000545,12,8.319,24
2014,9,3,27.0,7,26.656,7,11.0,7,0.000360,7,6.391,14
2014,9,4,26.5,6,10.111,6,14.5,6,0.002986,6,5.597,15
2014,9,5,26.1,4,17.050,4,18.5,4,0.006775,4,4.631,10
2014,9,6,31.2,2,12.215,2,16.5,2,0.012300,2,4.736,8
2014,9,7,24.6,3,8.405,3,11.0,3,0.004092,3,4.779,10
2014,9,8,37.4,11,21.615,11,17.0,11,0.000742,11,5.225,24
2014,9,9,57.0,6,7.251,6,23.0,6,0.004500,6,4.567,18
2014,9,10,41.7,13,20.395,13,18.0,13,0.001779,13,6.487,24
2014,9,11,41.5,13,21.614,13,24.0,13,0.001904,13,4.608,22
2014,9,12,32.2,30,25.709,30,16.0,30,0.000408,30,4.642,44
2014,9,13,35.5,26,26.696,26,15.5,26,0.000460,26,4.883,47
2014,9,14,53.6,16,8.553,16,18.0,16,0.003023,16,4.494,36
2014,9,15,38.6,26,12.320,26,15.5,26,0.000548,26,4.929,41
2014,9,16,37.9,34,22.762,34,16.0,34,0.000472,34,4.600,47
2014,9,17,40.4,33,17.078,33,17.0,33,0.000361,33,4.541,55
2014,9,18,47.6,32,16.225,32,19.0,32,0.000317,32,4.635,49
2014,9,19,44.8,29,10.446,29,19.0,29,0.001787,29,4.364,54
2014,9,20,30.0,54,11.792,54,14.0,54,0.000970,54,4.613,90
2014,9,21,31.4,54,11.455,54,16.0,54,0.000780,54,4.560,72
2014,9,22,33.9,47,12.630,47,18.0,47,0.000755,47,4.565,65
2014,9,23,30.4,35,18.436,35,15.0,35,0.000847,35,5.798,48
2014,10,0,43.8,104,20.107,104,17.0,104,0.000543,104,4.635,159
2014,10,1,55.9,66,18.024,66,19.0,66,0.001027,66,4.593,114
2014,10,2,53.7,45,13.219,45,24.0,45,0.002790,45,4.615,89
2014,10,3,65.1,26,22.358,26,17.5,26,0.001072,26,4.715,62
2014,10,4,44.9,29,22.293,29,19.0,29,0.000674,29,5.991,69
2014,10,5,42.9,23,20.421,23,18.0,23,0.000949,23,4.648,52
2014,10,6,47.5,35,12.089,35,20.0,35,0.001060,35,4.823,72
2014,10,7,54.0,34,14.920,34,17.0,34,0.002980,34,4.576,69
2014,10,8,43.3,47,16.649,47,19.0,47,0.000889,47,4.831,100
2014,10,9,48.4,65,17.821,65,17.0,65,0.000743,65,4.791,126
2014,10,10,40.2,69,13.397,69,16.0,69,0.002003,69,4.650,129
2014,10,11,41.2,93,18.265,93,17.0,93,0.001344,93,4.653,141
2014,10,12,46.5,96,18.803,96,17.5,96,0.000727,96,4.630,169
2014,10,13,38.0,77,18.117,77,17.0,77,0.000504,77,4.622,152
2014,10,14,42.8,77,16.208,77,17.0,77,0.000744,77,4.597,152
2014,10,15,41.0,94,15.962,94,16.5,94,0.000602,94,4.618,153
2014,10,16,39.2,115,16.915,115,16.0,115,0.000458,115,4.636,176
2014,10,17,36.9,139,21.086,139,17.0,139,0.000590,139,4.854,207
2014,10,18,37.9,141,16.829,141,16.0,141,0.000636,141,4.642,192
2014,10,19,33.9,189,16.532,189,16.0,189,0.000594,189,4.652,251
2014,10,20,35.8,201,13.593,201,16.0,201,0.000801,201,4.796,268
2014,10,21,34.9,231,11.386,231,16.0,231,0.001018,231,4.639,305
2014,10,22,33.3,198,13.840,198,16.0,198,0.000646,198,4.610,262
2014,10,23,35.0,159,18.737,159,16.0,159,0.000563,159,4.647,216
2014,11,0,38.1,81,19.984,81,16.0,81,0.000335,81,6.975,106
2014,11,1,31.3,48,24.724,48,14.0,48,0.000490,48,4.642,76
2014,11,2,53.0,31,10.865,31,20.0,31,0.001372,31,4.613,63
2014,11,3,49.1,21,16.257,21,19.0,21,0.004043,21,4.857,40
2014,11,4,39.5,12,22.926,12,16.0,12,0.001913,12,4.927,27
2014,11,5,35.0,17,24.656,17,13.0,17,0.000570,17,4.776,36
2014,11,6,34.6,31,21.515,31,16.0,31,0.001230,31,4.654,54
2014,11,7,46.1,35,16.217,35,18.0,35,0.002160,35,4.649,61
2014,11,8,37.2,43,26.037,43,16.0,43,0.000756,43,4.836,77
2014,11,9,41.7,54,17.689,54,19.0,54,0.000542,54,4.796,94
2014,11,10,42.0,73,10.551,73,16.0,73,0.001274,73,4.647,121
2014,11,11,43.8,81,15.371,81,16.0,81,0.000863,81,4.709,131
2014,11,12,36.3,104,22.964,104,16.0,104,0.000477,104,4.785,149
2014,11,13,42.1,92,17.147,92,17.5,92,0.000959,92,4.890,139
2014,11,14,36.8,111,14.852,111,20.0,111,0.000569,111,4.827,163
2014,11,15,39.2,127,14.949,127,16.0,127,0.000560,127,4.683,173
2014,11,16,32.1,118,14.090,118,15.0,118,0.000632,118,4.608,163
2014,11,17,40.3,126,13.414,126,16.0,126,0.000654,126,4.575,177
2014,11,18,38.6,130,12.355,130,18.0,130,0.000779,130,4.629,175
2014,11,19,33.5,179,12.644,179,16.0,179,0.000900,179,4.850,211
2014,11,20,32.9,187,7.554,187,17.0,187,0.001907,187,4.589,221
2014,11,21,32.4,183,6.892,183,16.0,183,0.001832,183,4.640,212
2014,11,22,29.0,195,8.729,195,15.0,195,0.002026,195,4.652,220
2014,11,23,31.4,129,13.859,129,15.0,129,0.000842,129,4.646,156
2014,12,0,37.5,56,17.606,56,15.0,56,0.000745,56,6.136,76
2014,12,1,42.1,27,16.412,27,18.0,27,0.000889,27,8.095,59
2014,12,2,36.6,17,8.234,17,16.0,17,0.001585,17,4.882,39
2014,12,3,50.3,18,14.963,18,18.5,18,0.000755,18,6.712,35
2014,12,4,50.8,17,16.398,17,18.0,17,0.001690,17,4.649,29
2014,12,5,35.2,17,16.648,17,17.0,17,0.000934,17,4.961,28
2014,12,6,47.7,14,9.993,14,17.5,14,0.001430,14,4.864,25
2014,12,7,39.3,21,18.635,21,16.0,21,0.000513,21,4.934,51
2014,12,8,37.5,30,24.299,30,16.0,30,0.000473,30,4.708,56
2014,12,9,49.6,24,16.876,24,16.5,24,0.001561,24,4.598,59
2014,12,10,46.0,34,19.362,34,16.0,34,0.000382,34,4.688,77
2014,12,11,44.3,51,14.057,51,16.0,51,0.001027,51,4.872,100
2014,12,12,43.9,59,14.929,59,17.0,59,0.001624,59,4.636,101
2014,12,13,33.1,54,16.490,54,15.5,54,0.000842,54,4.914,95
2014,12,14,43.0,70,13.715,70,18.0,70,0.000816,70,4.734,109
2014,12,15,38.9,61,18.332,61,17.0,61,0.000808,61,4.622,96
2014,12,16,52.9,77,12.526,77,18.0,77,0.001974,77,4.670,105
2014,12,17,34.2,72,15.369,72,15.5,72,0.000501,72,4.895,103
2014,12,18,44.0,74,13.965,74,18.0,74,0.000897,74,4.767,111
2014,12,19,34.4,111,10.316,111,17.0,111,0.001461,111,4.815,152
2014,12,20,37.2,114,7.987,114,18.0,114,0.001599,114,4.646,132
2014,12,21,31.5,140,6.786,140,16.0,140,0.002487,140,4.635,163
2014,12,22,31.1,151,9.490,151,15.0,151,0.001699,151,4.631,175
2014,12,23,35.0,94,10.425,94,17.0,94,0.001367,94,4.658,110
2015,1,0,48.8,36,7.203,36,19.5,36,0.003248,36,4.393,42
2015,1,1,43.3,25,13.245,25,16.0,25,0.001061,25,4.885,36
2015,1,2,41.4,13,26.916,13,15.0,13,0.000236,13,9.450,15
2015,1,3,63.5,5,17.070,5,18.0,5,0.003796,5,6.092,13
2015,1,4,65.4,5,4.951,5,19.0,5,0.004922,5,1.239,7
2015,1,5,68.2,6,16.517,6,20.0,6,0.004528,6,8.205,10
2015,1,6,47.4,9,18.139,9,19.0,9,0.002642,9,9.014,22
2015,1,7,57.4,7,32.376,7,18.0,7,0.000858,7,8.776,11
2015,1,8,41.2,17,25.851,17,16.0,17,0.003377,17,6.024,29
2015,1,9,38.5,27,22.072,27,14.0,27,0.000663,27,4.834,40
2015,1,10,45.1,26,13.028,26,15.0,26,0.001726,26,4.847,44
2015,1,11,42.2,32,18.813,32,16.0,32,0.000595,32,4.843,55
2015,1,12,41.6,41,5.662,41,26.0,41,0.001373,41,4.797,56
2015,1,13,41.8,50,11.070,50,16.0,50,0.001037,50,4.868,62
2015,1,14,40.9,61,8.241,61,18.0,61,0.001141,61,4.853,87
2015,1,15,39.3,50,10.367,50,18.0,50,0.000744,50,4.947,56
2015,1,16,42.6,54,11.487,54,16.5,54,0.000901,54,4.707,71
2015,1,17,38.3,73,8.803,73,19.0,73,0.001178,73,5.839,81
2015,1,18,41.3,50,10.105,50,16.5,50,0.001884,50,4.860,56
2015,1,19,33.6,88,9.458,88,16.0,88,0.001840,88,4.859,96
2015,1,20,31.2,73,6.868,73,16.0,73,0.002645,73,4.654,83
2015,1,21,34.3,102,3.815,102,17.0,102,0.008109,102,4.764,113
2015,1,22,32.3,139,4.035,139,16.0,139,0.006102,139,4.702,148
2015,1,23,32.8,81,6.362,81,16.0,81,0.003106,81,4.809,87
2015,2,0,38.7,30,5.704,30,20.5,30,0.002437,30,4.622,33
2015,2,1,43.5,15,9.836,15,22.0,15,0.000706,15,4.601,15
2015,2,2,79.9,4,7.494,4,21.5,4,0.001670,4,3.619,4
2015,2,3,72.0,6,8.462,6,20.0,6,0.001671,6,7.954,10
2015,2,4,73.7,6,27.441,6,16.0,6,0.001789,6,9.230,11
2015,2,5,50.5,4,11.757,4,17.0,4,0.001084,4,7.942,9
2015,2,6,53.0,7,14.867,7,19.0,7,0.001224,7,8.932,12
