year,month,day,average_rtt,average_rtt_n,download_throughput,download_throughput_n,minimum_rtt,minimum_rtt_n,packet_retransmit_rate,packet_retransmit_rate_n,upload_throughput,upload_throughput_n
2014,9,24,84.1,41,10.760,41,28.0,41,0.001049,41,1.463,78
2014,9,25,96.0,43,10.942,43,37.0,43,0.002137,43,1.707,92
2014,9,26,76.8,45,8.668,45,38.0,45,0.002374,45,1.673,86
2014,9,27,77.3,40,9.260,40,39.0,40,0.002047,40,1.467,103
2014,9,28,96.4,47,4.220,47,45.0,47,0.002224,47,0.890,99
2014,9,29,66.9,40,8.738,40,34.0,40,0.002875,40,1.706,92
2014,9,30,93.3,46,8.040,46,37.0,46,0.001672,46,0.901,119
2014,10,1,73.0,44,6.491,44,38.5,44,0.001633,44,1.657,82
2014,10,2,78.7,62,10.321,62,35.0,62,0.001573,62,1.683,127
2014,10,3,87.8,56,6.874,56,45.5,56,0.003009,56,1.419,106
2014,10,4,85.5,39,11.891,39,48.0,39,0.001672,39,1.676,107
2014,10,5,106.3,40,7.980,40,36.5,40,0.002216,40,0.885,118
2014,10,6,104.8,46,8.625,46,39.5,46,0.001459,46,0.905,109
2014,10,7,126.4,33,8.821,33,45.0,33,0.001528,33,1.166,94
2014,10,8,103.6,47,8.209,47,36.0,47,0.003833,47,1.670,134
2014,10,9,79.1,23,13.722,23,29.0,23,0.001748,23,1.660,77
2014,10,10,95.1,47,5.898,47,35.0,47,0.002337,47,1.473,89
2014,10,11,95.9,48,10.529,48,36.5,48,0.002552,48,1.666,101
2014,10,12,71.1,57,8.363,57,33.0,57,0.001709,57,1.669,146
2014,10,13,73.6,57,9.178,57,37.0,57,0.002574,57,1.707,125
2014,10,14,87.6,49,9.936,49,34.0,49,0.001236,49,1.671,117
2014,10,15,83.6,35,14.090,35,34.0,35,0.002399,35,1.309,114
2014,10,16,109.2,52,8.783,52,37.0,52,0.003792,52,1.775,106
2014,10,17,100.3,30,8.903,30,29.5,30,0.002056,30,3.530,89
2014,10,18,66.8,36,12.898,36,35.5,36,0.002613,36,2.565,110
2014,10,19,80.2,40,5.241,40,39.0,40,0.005389,40,1.680,124
2014,10,20,114.2,32,6.398,32,36.5,32,0.003894,32,1.465,75
2014,10,21,66.7,34,8.597,34,34.0,34,0.003939,34,0.894,75
2014,10,22,60.9,33,10.300,33,33.0,33,0.002330,33,1.548,79
2014,10,23,78.3,45,9.318,45,37.0,45,0.002593,45,1.664,92
2014,10,24,85.5,35,7.868,35,38.0,35,0.004032,35,1.786,92
2014,10,25,85.2,55,6.036,55,38.0,55,0.002864,55,0.927,95
2014,10,26,103.7,53,2.839,53,38.0,53,0.004577,53,1.354,85
2014,10,27,112.1,40,2.621,40,46.0,40,0.006531,40,1.312,77
2014,10,28,81.3,48,14.529,48,30.5,48,0.002336,48,1.487,84
2014,10,29,95.3,50,8.598,50,37.0,50,0.003181,50,1.734,74
2014,10,30,79.4,44,4.988,44,37.0,44,0.004959,44,1.495,82
2014,10,31,69.5,53,6.439,53,36.0,53,0.002161,53,1.739,75
2014,11,1,71.2,72,5.339,72,36.0,72,0.001627,72,1.626,95
2014,11,2,79.8,78,5.327,78,39.0,78,0.003244,78,1.646,106
2014,11,3,73.4,69,8.061,69,36.0,69,0.001805,69,1.840,92
2014,11,4,60.9,63,9.297,63,31.0,63,0.000884,63,1.806,100
2014,11,5,89.2,43,8.689,43,33.0,43,0.002675,43,1.712,83
2014,11,6,76.6,38,6.999,38,39.5,38,0.002051,38,1.259,72
2014,11,7,96.9,87,6.207,87,38.0,87,0.002017,87,2.575,107
2014,11,8,75.0,63,12.587,63,34.0,63,0.000929,63,1.759,93
2014,11,9,65.9,48,9.884,48,33.5,48,0.002214,48,1.749,77
2014,11,10,66.3,60,8.216,60,35.5,60,0.001487,60,1.663,79
2014,11,11,69.7,55,5.101,55,37.0,55,0.002713,55,1.075,74
2014,11,12,78.6,53,7.843,53,31.0,53,0.001850,53,0.910,82
2014,11,13,88.3,66,4.140,66,38.5,66,0.003459,66,1.709,86
2014,11,14,80.0,47,7.762,47,38.0,47,0.003118,47,1.666,69
2014,11,15,112.5,78,5.627,78,38.0,78,0.001693,78,1.681,96
2014,11,16,64.9,61,7.842,61,38.0,61,0.001433,61,1.571,96
2014,11,17,65.8,62,8.839,62,37.0,62,0.001015,62,0.905,101
2014,11,18,72.7,48,5.474,48,35.0,48,0.002610,48,1.362,79
2014,11,19,81.4,61,8.291,61,36.0,61,0.001832,61,0.945,100
2014,11,20,81.0,83,4.639,83,35.0,83,0.003338,83,1.379,94
2014,11,21,92.4,96,4.422,96,39.0,96,0.004773,96,1.682,100
2014,11,22,62.8,83,7.106,83,33.0,83,0.001413,83,1.665,124
2014,11,23,66.9,71,6.672,71,36.0,71,0.001881,71,0.900,126
2014,11,24,67.3,44,12.732,44,36.0,44,0.000597,44,1.663,84
2014,11,25,72.4,50,4.670,50,38.0,50,0.001175,50,0.901,89
2014,11,26,76.4,55,2.689,55,36.0,55,0.007198,55,1.881,72
2014,11,27,54.9,50,12.577,50,27.0,50,0.001262,50,1.668,89
2014,11,28,66.4,39,6.396,39,34.0,39,0.002336,39,1.496,76
