year,month,hour,average_rtt,average_rtt_n,download_throughput,download_throughput_n,minimum_rtt,minimum_rtt_n,packet_retransmit_rate,packet_retransmit_rate_n,upload_throughput,upload_throughput_n
2014,12,0,67.3,23,13.614,23,15.0,23,0.001252,23,7.435,43
2014,12,1,50.8,29,25.334,29,18.0,29,0.001342,29,11.602,42
2014,12,2,92.5,21,13.873,21,27.0,21,0.003489,21,6.466,32
2014,12,3,84.5,5,38.077,5,28.0,5,0.000751,5,13.450,10
2014,12,4,58.7,5,23.592,5,18.0,5,0.002075,5,10.492,11
2014,12,5,196.9,4,8.743,4,36.5,4,0.015022,4,4.252,12
2014,12,6,81.2,8,21.038,8,17.5,8,0.001536,8,12.203,15
2014,12,7,27.4,6,26.173,6,13.5,6,0.003059,6,18.705,14
2014,12,8,37.1,13,25.276,13,17.0,13,0.000224,13,13.887,31
2014,12,9,102.1,34,16.337,34,30.0,34,0.002208,34,8.021,57
2014,12,10,50.6,29,33.535,29,21.0,29,0.000461,29,12.916,55
2014,12,11,67.4,22,16.039,22,20.5,22,0.002051,22,9.257,57
2014,12,12,65.7,36,18.607,36,15.5,36,0.001001,36,11.851,68
2014,12,13,80.0,44,20.954,44,17.0,44,0.001894,44,11.852,79
2014,12,14,61.9,35,20.454,35,17.0,35,0.001319,35,12.837,56
2014,12,15,90.8,41,5.245,41,26.0,41,0.002590,41,7.981,71
2014,12,16,58.1,43,23.982,43,16.0,43,0.000633,43,13.395,63
2014,12,17,74.6,31,15.791,31,22.0,31,0.001486,31,11.106,71
2014,12,18,57.8,50,18.037,50,21.0,50,0.000473,50,12.344,86
2014,12,19,55.8,59,19.683,59,17.0,59,0.001005,59,13.196,104
2014,12,20,61.8,51,14.761,51,15.0,51,0.001701,51,11.665,69
2014,12,21,50.6,47,11.015,47,24.0,47,0.002881,47,9.704,75
2014,12,22,55.2,44,19.237,44,20.5,44,0.001616,44,13.392,83
2014,12,23,59.0,34,25.845,34,17.0,34,0.002089,34,16.661,58
