month,day,year,packet_retransmit_rate,packet_retransmit_rate_n,minimum_rtt,minimum_rtt_n,average_rtt,average_rtt_n,download_throughput,download_throughput_n,upload_throughput,upload_throughput_n
1,1,2012,0.008981,139,34.0,138,102.8,138,2.107,139,0.3493,191
1,2,2012,0.007819,123,27.0,123,82.14,123,2.43,123,0.4244,162
1,3,2012,0.006598,123,28.0,123,94.49,123,2.497,123,0.5089,173
1,4,2012,0.006409,94,29.0,94,85.97,94,2.603,94,0.4637,136
1,5,2012,0.00557,96,27.0,96,81.02,96,3.811,96,0.5207,155
1,6,2012,0.007145,97,31.0,97,90.26,97,2.617,97,0.4562,132
1,7,2012,0.010184,124,29.0,124,91.58,124,2.377,124,0.3574,159
1,8,2012,0.006385,143,30.0,143,72.75,143,2.835,143,0.5003,193
1,9,2012,0.006325,93,30.0,93,74.35,93,2.533,93,0.4419,129
1,10,2012,0.004247,100,27.0,100,76.14,100,4.374,100,0.5218,146
1,11,2012,0.00583,107,26.0,107,75.39,107,2.523,107,0.5004,138
1,12,2012,0.004739,105,26.0,105,83.84,105,2.814,105,0.5135,139
1,13,2012,0.006996,105,27.0,105,82.03,105,2.627,105,0.4674,156
1,14,2012,0.005193,111,29.0,111,91.61,111,2.496,111,0.3641,168
1,15,2012,0.007739,130,31.0,130,77.16,130,2.509,130,0.3679,174
1,16,2012,0.007192,146,28.0,146,78.98,146,2.443,146,0.4357,203
1,17,2012,0.005348,79,26.0,79,73.98,79,2.743,79,0.468,120
1,18,2012,0.007361,90,27.5,90,73.96,90,2.68,90,0.408,139
1,19,2012,0.00453,101,26.0,101,75.25,101,3.212,101,0.535,137
1,20,2012,0.00602,91,27.0,91,79.78,91,2.803,91,0.5117,143
1,21,2012,0.007539,101,27.0,101,79.43,101,2.55,101,0.5041,154
1,22,2012,0.005943,132,27.0,132,81.37,132,2.811,132,0.3915,204
1,23,2012,0.013793,128,74.0,128,92.94,128,1.044,128,0.3958,162
1,24,2012,0.007985,118,44.5,118,93.92,118,2.563,118,0.4672,148
1,25,2012,0.006321,112,39.0,112,88.93,112,2.771,112,0.5282,158
1,26,2012,0.006025,100,38.0,100,76.37,100,2.507,100,0.5105,149
1,27,2012,0.005582,90,37.0,90,83.05,90,2.526,90,0.4618,119
1,28,2012,0.007168,93,38.0,93,70.69,93,2.941,93,0.5461,122
1,29,2012,0.006471,124,38.0,124,73.44,124,2.478,124,0.5223,156
1,30,2012,0.007061,98,39.0,98,74.18,98,2.41,98,0.4749,142
1,31,2012,0.007105,84,38.0,84,74.96,84,2.986,84,0.5558,116
2,1,2012,0.006412,84,38.0,84,83.69,84,3.606,84,0.5506,123
2,2,2012,0.006118,88,39.0,88,86.62,88,2.377,88,0.4835,114
2,3,2012,0.006069,105,39.0,105,77.62,105,2.477,105,0.5181,140
2,4,2012,0.006324,87,38.0,87,84.26,87,2.453,87,0.4427,122
2,5,2012,0.006908,142,38.0,143,72.84,143,2.414,143,0.5303,184
2,6,2012,0.008392,83,40.0,83,81.91,83,2.386,83,0.357,115
2,7,2012,0.00737,83,39.0,83,91.01,83,2.528,83,0.3661,135
2,8,2012,0.00546,97,40.0,97,83.87,97,2.675,97,0.5341,132
2,9,2012,0.004938,112,39.0,112,86.41,112,2.689,112,0.5259,164
2,10,2012,0.00657,110,38.0,110,81.45,110,2.651,110,0.5222,168
2,11,2012,0.008708,113,39.0,113,81.11,113,2.872,113,0.5224,161
2,12,2012,0.006536,139,38.0,139,73.95,139,2.591,139,0.5121,185
2,13,2012,0.007084,80,38.5,80,77.1,80,3.385,80,0.5354,119
2,14,2012,0.006559,74,37.0,74,97.06,74,3.236,74,0.4927,102
2,15,2012,0.006857,84,39.0,84,71.84,84,2.426,84,0.4543,124
2,16,2012,0.005011,73,36.0,73,73.07,73,3.044,73,0.5214,123
2,17,2012,0.007587,119,37.0,119,76.22,119,2.428,119,0.482,155
2,18,2012,0.006124,128,38.0,128,84.18,128,2.511,128,0.4821,179
2,19,2012,0.006483,111,37.0,111,62.69,111,2.511,111,0.5428,158
2,20,2012,0.006843,121,38.0,121,69.15,121,2.55,121,0.5379,162
2,21,2012,0.00773,85,38.0,85,81.91,85,2.681,85,0.5108,141
2,22,2012,0.005809,87,38.0,87,96.05,87,2.426,87,0.3966,139
2,23,2012,0.006321,87,37.0,87,83.88,87,2.913,87,0.5259,120
2,24,2012,0.005153,92,39.0,92,86.29,92,2.803,92,0.442,129
2,25,2012,0.006054,119,38.0,119,84.49,119,3.233,119,0.5197,170
2,26,2012,0.006917,111,39.0,111,86.95,111,2.514,111,0.4957,166
2,27,2012,0.006406,103,38.0,103,86.55,103,2.519,103,0.5063,145
2,28,2012,0.006078,82,39.0,82,81.43,82,2.935,82,0.5327,122
2,29,2012,0.005057,91,38.0,91,78.18,91,3.398,91,0.5407,135
3,1,2012,0.006116,97,37.0,99,71.35,99,3.086,99,0.5314,138
3,2,2012,0.006867,89,37.0,89,85.84,89,2.518,89,0.3886,131
3,3,2012,0.0056,103,38.0,103,78.46,103,3.063,103,0.4782,151
3,4,2012,0.007816,114,40.0,114,74.96,114,2.376,114,0.4444,178
3,5,2012,0.004871,82,36.0,83,85.96,83,2.552,83,0.5333,129
3,6,2012,0.00569,92,37.0,93,85.57,93,3.27,93,0.5084,150
3,7,2012,0.008466,72,37.0,72,69.36,72,3.054,72,0.5163,124
3,8,2012,0.005448,88,41.0,90,112.11,90,2.294,90,0.3306,144
3,9,2012,0.003063,78,37.5,78,84.11,78,2.896,78,0.5213,137
3,10,2012,0.006804,87,38.0,87,87.42,87,3.412,87,0.3574,147
