year,month,hour,average_rtt,average_rtt_n,download_throughput,download_throughput_n,minimum_rtt,minimum_rtt_n,packet_retransmit_rate,packet_retransmit_rate_n,upload_throughput,upload_throughput_n
2012,1,0,92.0,118,2.519,118,29.0,118,0.006769,118,0.388,171
2012,1,1,100.4,65,2.446,65,38.0,65,0.006996,65,0.360,123
2012,1,2,93.4,85,2.516,85,33.0,85,0.006364,85,0.490,129
2012,1,3,103.1,36,2.284,36,41.0,36,0.007726,36,0.368,53
2012,1,4,113.2,34,1.723,34,26.5,34,0.008400,34,0.443,55
2012,1,5,80.9,36,5.255,36,30.5,36,0.003149,36,0.559,58
2012,1,6,76.2,30,4.304,30,28.0,30,0.002950,30,0.781,44
2012,1,7,70.9,46,4.424,46,27.0,46,0.004761,46,0.527,72
2012,1,8,87.4,59,2.537,59,38.0,59,0.005273,59,0.396,107
2012,1,9,100.4,89,2.759,89,32.0,89,0.005305,89,0.498,130
2012,1,10,73.3,100,2.796,100,29.0,100,0.005064,100,0.512,141
2012,1,11,88.4,83,2.389,83,35.0,83,0.008497,83,0.340,132
2012,1,12,78.1,116,2.634,116,28.0,116,0.006348,116,0.398,164
2012,1,13,81.7,120,2.734,120,30.0,120,0.005159,120,0.504,174
2012,1,14,86.3,134,2.413,134,31.0,134,0.007875,134,0.366,191
2012,1,15,89.9,143,2.548,143,34.0,143,0.006562,143,0.366,193
2012,1,16,96.5,170,2.444,170,31.0,170,0.005904,170,0.436,219
2012,1,17,78.1,179,2.546,179,36.0,179,0.006715,179,0.531,240
2012,1,18,74.0,203,2.522,203,29.0,203,0.007429,203,0.386,265
2012,1,19,84.5,207,2.454,207,33.0,207,0.008133,207,0.494,264
2012,1,20,73.9,218,2.445,218,37.0,218,0.009032,218,0.482,265
2012,1,21,72.1,238,2.520,238,32.5,238,0.007476,238,0.511,315
2012,1,22,79.2,200,2.409,200,30.5,200,0.007201,200,0.528,258
2012,1,23,86.3,140,2.570,140,32.5,140,0.005918,140,0.499,213
2012,2,0,83.9,109,2.513,109,38.0,109,0.006885,109,0.542,169
2012,2,1,100.3,76,2.867,76,37.5,76,0.005005,75,0.467,131
2012,2,2,98.5,50,3.385,50,36.5,50,0.004582,50,0.480,84
2012,2,3,96.0,30,2.364,30,37.5,30,0.009525,30,0.364,62
