month,day,year,packet_retransmit_rate,packet_retransmit_rate_n,minimum_rtt,minimum_rtt_n,average_rtt,average_rtt_n,download_throughput,download_throughput_n,upload_throughput,upload_throughput_n
1,1,2012,0.00186,58,23.0,58,40.02,58,7.281,58,3.2524,66
1,2,2012,0.001468,62,22.0,62,34.35,62,9.477,62,3.2093,75
1,3,2012,0.001647,61,22.0,61,38.35,61,7.063,61,3.2124,79
1,4,2012,0.001338,45,21.0,45,39.2,45,7.258,45,3.2136,53
1,5,2012,0.001911,56,20.0,56,37.17,56,6.933,56,3.0542,65
1,6,2012,0.001301,54,22.0,54,40.3,54,7.76,54,3.1034,64
1,7,2012,0.001829,70,20.0,70,32.99,70,8.358,70,3.5643,76
1,8,2012,0.002333,62,22.0,62,43.87,62,6.134,62,2.8518,76
1,9,2012,0.001548,46,21.0,46,36.96,46,7.925,46,2.8076,61
1,10,2012,0.002115,47,22.0,47,40.83,47,7.796,47,3.1679,65
1,11,2012,0.00213,50,21.5,50,40.86,50,7.453,50,3.2505,59
1,12,2012,0.002382,46,21.0,46,37.89,46,5.394,46,2.927,63
1,13,2012,0.002012,55,22.0,55,37.91,55,5.782,55,3.4455,75
1,14,2012,0.00183,45,20.0,45,32.44,45,8.592,45,1.9676,63
1,15,2012,0.002836,62,21.0,62,37.63,62,6.188,62,3.2042,74
1,16,2012,0.002315,65,22.0,65,34.88,65,7.091,65,3.2106,75
1,17,2012,0.001917,62,21.0,62,34.69,62,8.117,62,3.2109,68
1,18,2012,0.001904,61,22.0,61,44.28,61,4.883,61,2.2257,80
1,19,2012,0.001754,69,21.0,69,34.25,69,6.584,69,3.2458,81
1,20,2012,0.001949,48,20.0,48,34.89,48,8.846,48,2.8422,60
1,21,2012,0.001943,81,22.0,81,34.08,81,7.358,81,3.1606,93
1,22,2012,0.00263,64,22.0,64,35.45,64,5.206,64,2.779,83
1,23,2012,0.003049,49,22.0,49,44.68,49,5.048,49,3.3879,62
1,24,2012,0.001175,38,21.5,38,33.91,38,9.469,38,3.4306,48
1,25,2012,0.001132,46,23.0,46,45.79,46,6.449,46,2.2017,67
1,26,2012,0.000956,44,20.0,44,32.65,44,11.398,44,2.304,58
1,27,2012,0.000944,47,21.0,47,31.35,47,12.795,47,3.3225,54
1,28,2012,0.001046,65,22.0,65,37.85,65,8.307,65,2.7221,75
1,29,2012,0.001441,76,22.0,76,37.14,76,7.222,76,3.0623,96
1,30,2012,0.001123,62,21.0,62,35.71,62,8.47,62,3.2125,76
1,31,2012,0.002026,51,23.0,51,39.09,51,8.312,51,2.9294,71
2,1,2012,0.001445,45,22.0,45,42.56,45,7.508,45,2.7933,66
2,2,2012,0.00176,61,21.0,61,37.98,61,6.544,61,3.4072,72
2,3,2012,0.00188,62,21.0,62,39.63,62,8.588,62,2.9431,82
2,4,2012,0.001434,69,22.0,69,42.2,69,7.825,69,2.8662,88
2,5,2012,0.001175,59,21.0,59,32.15,59,9.183,59,3.3169,67
2,6,2012,0.001566,50,22.0,50,40.48,50,7.314,50,3.2465,63
2,7,2012,0.001499,46,21.5,46,36.5,46,7.353,46,3.0672,61
2,8,2012,0.001306,61,22.0,61,39.66,61,8.174,61,3.1064,82
2,9,2012,0.001067,62,21.0,62,34.69,62,10.925,62,3.0898,85
2,10,2012,0.000907,56,20.5,56,37.56,56,12.11,56,3.2285,76
