year,month,hour,average_rtt,average_rtt_n,download_throughput,download_throughput_n,minimum_rtt,minimum_rtt_n,packet_retransmit_rate,packet_retransmit_rate_n,upload_throughput,upload_throughput_n
2012,1,0,86.6,43,19.744,43,12.0,43,0.006083,43,4.460,115
2012,1,1,110.7,27,6.730,27,43.0,27,0.006363,27,1.333,64
2012,1,2,128.0,30,15.644,30,46.5,30,0.005242,30,4.309,74
2012,1,3,148.6,18,19.562,18,77.0,18,0.007545,18,4.083,53
2012,1,4,150.7,10,21.988,10,86.0,10,0.008677,10,3.980,36
2012,1,5,154.1,13,22.602,13,82.0,13,0.008115,13,0.616,39
2012,1,6,160.1,19,22.601,19,82.0,19,0.008115,19,13.321,45
2012,1,7,133.9,20,22.201,20,61.5,20,0.008237,20,2.490,57
2012,1,8,161.3,17,4.894,17,57.0,17,0.006977,17,3.448,49
2012,1,9,154.9,30,12.920,30,46.0,30,0.003989,30,3.184,72
2012,1,10,89.4,46,8.293,46,36.0,46,0.005930,46,3.170,105
2012,1,11,92.3,51,9.280,51,33.0,51,0.004126,51,1.330,127
2012,1,12,89.2,56,8.353,56,29.0,56,0.002873,56,3.646,121
2012,1,13,95.7,66,14.914,66,36.5,66,0.005560,66,2.660,123
2012,1,14,116.3,56,15.761,56,26.5,56,0.004260,56,4.161,143
2012,1,15,61.5,57,11.511,57,13.0,57,0.001943,57,3.649,148
2012,1,16,95.7,66,6.594,66,33.0,66,0.005608,66,0.599,188
2012,1,17,116.4,68,5.754,68,45.0,68,0.006435,68,0.808,173
2012,1,18,118.0,69,12.833,69,14.0,69,0.002315,69,1.807,163
2012,1,19,127.8,79,6.466,79,36.0,79,0.003135,79,1.541,162
2012,1,20,120.9,84,4.289,84,37.5,84,0.007678,84,1.765,177
2012,1,21,161.4,86,5.253,86,51.5,86,0.007045,86,1.393,196
2012,1,22,145.3,72,9.017,72,41.5,72,0.005939,72,1.819,196
2012,1,23,99.6,46,13.780,46,27.0,46,0.005530,46,4.014,126
2012,2,0,117.2,39,8.718,39,24.0,39,0.004028,39,3.603,110
2012,2,1,123.4,33,18.216,33,16.0,33,0.002445,33,4.147,98
2012,2,2,131.3,30,13.627,30,73.5,30,0.006599,29,4.590,81
2012,2,3,142.5,33,22.175,33,79.0,33,0.008666,33,10.437,56
2012,2,4,95.7,14,22.101,14,45.0,14,0.006382,14,6.015,38
2012,2,5,157.7,22,22.002,22,82.5,22,0.006828,22,12.200,49
2012,2,6,156.4,23,19.081,23,68.0,23,0.007174,23,3.817,51
2012,2,7,147.6,24,21.439,24,81.0,24,0.006389,22,8.503,73
2012,2,8,128.6,30,20.044,30,63.0,30,0.005648,30,1.166,86
2012,2,9,140.9,37,19.880,37,49.0,37,0.004614,36,3.977,99
2012,2,10,125.7,45,14.103,45,40.0,45,0.007151,45,3.079,119
2012,2,11,137.7,55,18.536,55,33.0,55,0.004123,54,1.767,127
2012,2,12,106.7,48,16.386,48,21.5,48,0.004644,46,3.719,119
2012,2,13,143.7,41,9.595,41,34.0,41,0.008747,41,0.732,133
2012,2,14,125.2,71,12.781,71,35.0,71,0.005114,69,3.674,165
2012,2,15,125.2,68,14.586,68,34.5,68,0.005090,68,1.827,167
2012,2,16,112.9,58,12.023,58,19.0,58,0.005216,58,2.226,160
2012,2,17,94.2,78,11.753,78,26.5,78,0.004439,78,3.782,191
2012,2,18,134.1,60,7.659,60,35.5,60,0.005593,60,0.672,184
2012,2,19,152.5,52,8.080,52,37.0,52,0.006148,52,0.613,154
2012,2,20,134.6,80,9.404,80,37.0,80,0.006173,79,2.051,179
2012,2,21,136.4,80,13.834,80,33.0,80,0.006222,79,3.721,186
2012,2,22,133.6,59,6.358,59,31.0,59,0.004038,58,4.004,177
2012,2,23,130.0,46,9.850,46,39.5,46,0.006301,46,4.066,157
2012,3,0,137.7,51,8.973,51,35.0,51,0.005032,50,1.841,149
2012,3,1,147.6,47,17.614,47,40.0,47,0.004731,39,4.559,109
2012,3,2,157.6,20,13.063,20,85.0,20,0.009102,15,2.344,70
2012,3,3,149.0,19,16.759,19,83.0,19,0.005675,16,0.770,63
2012,3,4,161.3,19,15.136,19,58.0,19,0.005053,18,1.123,65
2012,3,5,161.1,18,17.046,18,82.0,18,0.009050,16,5.172,43
2012,3,6,160.9,34,19.349,34,79.0,34,0.007552,31,9.393,61
2012,3,7,150.5,24,17.032,24,83.5,24,0.006470,18,3.010,63
2012,3,8,146.2,30,14.937,30,46.5,30,0.006230,28,3.060,65
2012,3,9,160.9,28,11.507,28,78.0,28,0.004784,25,2.545,69
2012,3,10,99.7,45,14.838,45,18.0,45,0.004223,41,4.193,96
2012,3,11,146.0,46,10.796,46,31.5,46,0.003261,44,1.204,110
2012,3,12,159.3,56,6.473,56,34.0,56,0.007212,52,1.991,115
2012,3,13,150.4,53,5.145,53,26.0,53,0.005222,51,1.205,131
2012,3,14,140.7,53,11.226,53,29.0,53,0.006517,48,2.668,141
2012,3,15,120.7,60,6.233,60,34.0,60,0.005330,55,0.625,162
2012,3,16,158.5,77,8.458,77,38.0,77,0.006164,72,0.947,182
2012,3,17,86.8,69,13.804,69,13.0,69,0.004360,69,3.227,164
2012,3,18,91.0,65,13.363,65,19.0,65,0.003948,62,3.512,161
2012,3,19,131.4,78,8.540,78,34.0,78,0.002237,73,3.465,198
2012,3,20,119.1,81,10.208,81,30.0,81,0.004292,77,2.594,197
2012,3,21,132.7,94,9.336,94,32.5,94,0.004262,92,3.728,198
2012,3,22,110.1,91,6.730,91,23.0,91,0.004005,81,2.862,197
2012,3,23,128.9,55,9.200,55,21.0,55,0.007132,49,1.198,138
2012,4,0,97.1,45,19.342,45,27.0,45,0.003996,45,4.193,119
2012,4,1,142.3,26,16.717,26,46.5,26,0.005361,26,3.846,89
2012,4,2,100.1,26,22.024,26,19.5,26,0.006855,26,6.680,67
