year,month,day,average_rtt,average_rtt_n,download_throughput,download_throughput_n,minimum_rtt,minimum_rtt_n,packet_retransmit_rate,packet_retransmit_rate_n,upload_throughput,upload_throughput_n
2014,11,20,48.0,95,18.741,95,29.0,95,0.001008,95,5.781,123
2014,11,21,55.2,119,15.318,119,31.0,119,0.001406,119,5.630,154
2014,11,22,49.1,137,19.342,137,30.0,137,0.002363,137,5.825,180
2014,11,23,46.9,148,18.378,148,29.0,148,0.000849,148,5.741,198
2014,11,24,51.2,95,15.844,95,31.0,95,0.001495,95,5.209,138
2014,11,25,56.5,77,16.888,77,31.0,77,0.002208,77,5.541,129
2014,11,26,52.2,130,15.286,130,31.0,130,0.001466,130,5.756,171
2014,11,27,51.8,89,19.911,89,30.0,89,0.001559,89,5.812,128
2014,11,28,52.6,108,18.171,108,31.5,108,0.001737,108,5.804,149
2014,11,29,46.2,96,16.107,96,30.0,96,0.001460,96,5.682,129
2014,11,30,51.8,102,15.536,102,31.0,102,0.001886,102,5.663,161
2014,12,1,51.8,73,10.568,73,31.0,73,0.001517,73,5.634,114
2014,12,2,51.7,92,16.251,92,31.0,92,0.001490,92,5.576,133
2014,12,3,55.9,94,12.452,94,32.0,94,0.002198,94,5.235,138
2014,12,4,48.7,89,21.690,89,30.0,89,0.000963,89,5.840,140
2014,12,5,42.3,76,17.038,76,29.0,76,0.001130,76,5.806,108
2014,12,6,55.3,89,14.705,89,30.0,89,0.001169,89,5.657,129
2014,12,7,49.4,89,14.310,89,30.0,89,0.000689,89,5.645,162
2014,12,8,46.0,84,23.645,84,30.0,84,0.001202,84,5.757,126
2014,12,9,54.4,94,17.265,94,31.5,94,0.001204,94,5.686,135
2014,12,10,52.9,79,13.915,79,32.0,79,0.001845,79,5.750,107
2014,12,11,46.4,89,18.003,89,31.0,89,0.001470,89,5.845,129
2014,12,12,53.2,100,17.623,100,31.0,100,0.001463,100,5.750,150
2014,12,13,48.6,120,18.159,120,30.5,120,0.001293,120,5.836,167
2014,12,14,54.5,123,19.192,123,32.0,123,0.001414,123,5.800,168
2014,12,15,52.7,80,13.247,80,30.5,80,0.001222,80,5.765,96
2014,12,16,50.1,94,14.712,94,31.5,94,0.002039,94,5.815,125
2014,12,17,48.2,98,26.457,98,30.0,98,0.001092,98,5.777,134
2014,12,18,46.1,86,24.431,86,31.0,86,0.000798,86,5.827,136
2014,12,19,50.8,100,20.009,100,31.0,100,0.001623,100,5.409,140
2014,12,20,51.3,104,17.105,104,30.0,104,0.001112,104,5.821,143
2014,12,21,51.7,111,14.241,111,31.0,111,0.001153,111,5.764,164
2014,12,22,61.0,96,15.281,96,32.0,96,0.001544,96,4.797,135
2014,12,23,51.1,92,15.696,92,31.0,92,0.001415,92,5.254,128
2014,12,24,51.2,98,16.842,98,30.0,98,0.001342,98,5.807,142
2014,12,25,55.7,121,16.524,121,32.0,121,0.001585,121,5.802,182
2014,12,26,54.1,122,15.581,122,32.0,122,0.001568,122,4.120,165
2014,12,27,54.5,105,18.789,105,32.0,105,0.001413,105,5.777,155
2014,12,28,56.0,101,19.989,101,33.0,101,0.001538,101,5.604,154
2014,12,29,65.2,99,14.412,99,34.0,99,0.001568,99,5.300,150
2014,12,30,56.7,118,12.005,118,32.0,118,0.001529,118,5.407,186
2014,12,31,53.8,75,17.439,75,31.0,75,0.001305,75,5.745,117
2015,1,1,53.2,100,19.031,100,31.0,100,0.001400,100,5.791,148
2015,1,2,67.3,88,10.542,88,34.0,88,0.002377,88,4.614,121
2015,1,3,54.1,97,18.355,97,32.0,97,0.001566,97,5.769,135
2015,1,4,55.0,150,21.401,150,31.0,150,0.001025,150,5.711,182
2015,1,5,51.9,115,14.801,115,31.0,115,0.001546,115,5.375,156
2015,1,6,52.8,89,15.283,89,32.0,89,0.001632,89,5.640,122
2015,1,7,52.7,90,25.070,90,32.5,90,0.000865,90,5.685,125
2015,1,8,51.9,85,20.048,85,30.0,85,0.000936,85,5.817,133
2015,1,9,43.9,44,21.830,44,28.0,44,0.000814,44,5.641,60
2015,1,10,50.3,82,13.168,82,30.0,82,0.002071,82,4.840,125
2015,1,11,59.8,137,15.663,137,32.0,137,0.001873,137,5.705,212
2015,1,12,44.4,90,26.634,90,30.0,90,0.001041,90,5.857,133
2015,1,13,51.9,108,22.907,108,31.0,108,0.001335,108,5.852,148
2015,1,14,51.4,92,18.222,92,31.5,92,0.001591,92,5.815,138
2015,1,15,55.5,93,13.030,93,31.0,93,0.001721,93,5.552,135
2015,1,16,50.5,117,18.131,117,31.0,117,0.001919,117,5.802,155
2015,1,17,60.2,91,13.642,91,33.0,91,0.001481,91,5.694,134
2015,1,18,54.3,97,13.858,97,32.0,97,0.002322,97,5.725,151
2015,1,19,50.6,108,13.937,108,30.5,108,0.001484,108,5.868,158
2015,1,20,50.3,57,16.374,57,30.0,57,0.002192,57,5.842,74
2015,1,21,59.5,46,6.471,46,33.0,46,0.005619,46,5.714,60
2015,1,22,51.4,85,16.717,85,32.0,85,0.001592,85,5.790,126
2015,1,23,63.5,94,13.290,94,33.0,94,0.002125,94,5.594,137
2015,1,24,51.6,98,16.049,98,32.0,98,0.002142,98,5.804,137
2015,1,25,62.3,106,15.513,106,34.0,106,0.001704,106,5.814,154
2015,1,26,50.0,105,23.621,105,31.0,105,0.001398,105,5.853,140
2015,1,27,50.1,83,22.104,83,32.0,83,0.001217,83,5.709,128
2015,1,28,62.1,103,15.087,103,32.0,103,0.001367,103,5.785,156
2015,1,29,56.6,89,19.023,89,32.0,89,0.001203,89,5.814,135
2015,1,30,65.7,105,11.017,105,31.0,105,0.002981,105,5.763,141
2015,1,31,56.3,119,17.291,119,32.0,119,0.001720,119,5.675,167
2015,2,1,57.3,124,15.371,124,33.0,124,0.001278,124,5.779,151
2015,2,2,55.3,93,13.726,93,33.0,93,0.001421,93,5.693,127
2015,2,3,64.8,111,12.868,111,33.0,111,0.002361,111,5.567,149
2015,2,4,58.0,84,12.233,84,31.0,84,0.001979,84,5.642,121
2015,2,5,54.6,98,8.340,98,31.5,98,0.002958,98,5.751,123
2015,2,6,47.3,114,13.884,114,30.0,114,0.001804,114,5.256,145
2015,2,7,49.6,133,17.421,133,31.0,133,0.001179,133,5.866,186
2015,2,8,54.6,128,19.461,128,31.0,128,0.001415,128,5.806,193
2015,2,9,56.3,113,15.550,113,30.0,113,0.000773,113,5.704,179
2015,2,10,54.7,87,18.104,87,31.0,87,0.001222,87,5.817,130
2015,2,11,51.0,98,19.037,98,28.0,98,0.001341,98,5.791,139
2015,2,12,51.7,104,15.181,104,31.0,104,0.001592,104,5.827,142
2015,2,13,49.5,108,18.131,108,31.0,108,0.000909,108,5.837,163
2015,2,14,47.4,90,18.697,90,30.5,90,0.001210,90,5.814,117
2015,2,15,53.3,130,19.688,130,31.0,130,0.001507,130,5.730,188
2015,2,16,47.2,121,14.925,121,31.0,121,0.001886,121,5.865,155
2015,2,17,52.5,91,18.535,91,32.0,91,0.002070,91,5.835,132
2015,2,18,49.9,145,14.340,145,31.0,145,0.000997,145,5.817,187
2015,2,19,46.7,137,11.218,137,28.0,137,0.002773,137,5.797,176
2015,2,20,52.2,103,13.323,103,30.0,103,0.003502,103,5.462,138
2015,2,21,48.6,110,18.876,110,30.0,110,0.001022,110,5.634,155
2015,2,22,48.1,112,15.847,112,29.5,112,0.001210,112,5.825,155
2015,2,23,43.9,71,20.559,71,29.0,71,0.001434,71,5.820,109
2015,2,24,47.1,92,17.270,92,30.0,92,0.001125,92,5.879,144
2015,2,25,51.0,93,15.663,93,32.0,93,0.002286,93,5.790,132
2015,2,26,47.6,80,17.710,80,30.0,80,0.000913,80,5.829,118
2015,2,27,48.8,88,13.851,88,30.5,88,0.001671,88,5.588,128
2015,2,28,47.5,96,19.169,97,30.0,96,0.001131,97,5.786,128
2015,3,1,51.4,140,13.715,140,32.0,140,0.001831,140,5.668,189
2015,3,2,49.5,82,22.325,82,31.0,82,0.001117,82,5.711,113
2015,3,3,53.1,89,19.284,89,30.0,89,0.001347,89,5.776,117
2015,3,4,47.1,80,23.538,80,30.0,80,0.001023,80,5.836,114
2015,3,5,51.3,84,15.089,84,30.0,84,0.001614,84,5.760,119
2015,3,6,50.2,90,22.854,90,29.0,90,0.000900,90,5.711,135
2015,3,7,50.4,83,21.284,83,29.0,83,0.001033,83,5.881,118
2015,3,8,52.4,111,19.052,111,31.0,111,0.001271,111,5.810,148
2015,3,9,48.4,80,16.102,80,32.0,80,0.001855,80,5.736,110
2015,3,10,53.1,94,16.715,94,31.0,94,0.001268,94,5.847,141
2015,3,11,46.5,87,15.376,87,31.0,87,0.001948,87,5.646,117
2015,3,12,47.5,83,15.324,83,30.0,83,0.001467,83,5.780,119
2015,3,13,50.1,91,17.844,91,29.0,91,0.001320,91,5.770,108
2015,3,14,48.5,94,19.952,94,31.0,94,0.001921,94,5.835,120
2015,3,15,53.0,113,17.083,113,31.0,113,0.002021,113,5.698,157
2015,3,16,58.4,102,11.200,102,32.0,102,0.002531,102,4.975,142
2015,3,17,75.2,74,15.368,74,33.0,74,0.002440,74,5.448,105
2015,3,18,52.4,100,17.703,100,31.0,100,0.002190,100,5.673,160
2015,3,19,63.8,80,15.452,80,25.0,80,0.001744,80,5.230,114
2015,3,20,44.9,83,22.107,83,20.0,83,0.000857,83,5.102,113
2015,3,21,45.5,42,27.753,42,20.5,42,0.001502,42,5.789,51
2015,3,22,53.4,99,17.788,99,26.0,99,0.001818,99,5.847,145
2015,3,23,49.0,95,32.347,95,28.0,95,0.000915,95,5.853,131
2015,3,24,54.1,87,19.198,87,31.0,87,0.001606,87,5.844,122
2015,3,25,51.3,85,14.852,85,30.0,85,0.002596,85,5.740,124
