year,month,hour,average_rtt,average_rtt_n,download_throughput,download_throughput_n,minimum_rtt,minimum_rtt_n,packet_retransmit_rate,packet_retransmit_rate_n,upload_throughput,upload_throughput_n
2014,11,0,50.3,35,24.490,35,28.0,35,0.002467,35,5.806,54
2014,11,1,49.3,42,18.156,42,30.0,42,0.000973,42,5.796,53
2014,11,2,45.3,16,10.160,16,30.5,16,0.002449,16,5.104,32
2014,11,3,43.3,22,35.885,22,31.0,22,0.000738,22,5.864,29
2014,11,4,49.3,21,26.642,21,31.0,21,0.001084,21,5.530,26
2014,11,5,49.8,29,16.568,29,30.0,29,0.000975,29,5.790,34
2014,11,6,52.0,37,19.225,37,32.0,37,0.002131,37,5.636,48
2014,11,7,43.6,38,18.422,38,30.0,38,0.001460,38,5.769,54
2014,11,8,48.0,55,19.186,55,30.0,55,0.001110,55,5.780,78
2014,11,9,43.9,34,27.343,34,29.5,34,0.001670,34,5.642,45
2014,11,10,68.4,48,18.731,48,32.0,48,0.001719,48,5.663,65
2014,11,11,52.1,64,25.121,64,30.0,64,0.001059,64,5.787,77
2014,11,12,48.6,43,15.125,43,30.0,43,0.001534,43,5.777,66
2014,11,13,49.5,54,18.643,54,29.0,54,0.001496,54,5.411,73
2014,11,14,50.5,58,16.721,58,30.5,58,0.001792,58,5.732,79
2014,11,15,46.0,42,17.756,42,30.0,42,0.002451,42,5.783,59
2014,11,16,53.4,73,12.418,73,30.0,73,0.002094,73,5.673,99
2014,11,17,52.4,83,12.276,83,31.0,83,0.001578,83,5.465,120
2014,11,18,54.5,79,19.762,79,32.0,79,0.001852,79,5.768,108
2014,11,19,52.7,68,16.179,68,33.0,68,0.002194,68,5.778,100
2014,11,20,48.4,88,17.833,88,31.0,88,0.001121,88,5.757,126
2014,11,21,49.0,49,19.078,49,31.0,49,0.001308,49,5.701,77
2014,11,22,55.4,68,9.779,68,31.5,68,0.001789,68,5.107,89
2014,11,23,51.4,50,13.806,50,30.0,50,0.001260,50,5.792,69
2014,12,0,48.0,114,19.081,114,31.0,114,0.001241,114,5.597,170
2014,12,1,50.5,76,16.149,76,30.0,76,0.001949,76,5.780,120
2014,12,2,47.2,47,22.881,47,31.0,47,0.001141,47,5.786,79
2014,12,3,50.8,34,27.524,34,32.0,34,0.001513,34,5.669,55
2014,12,4,43.3,35,15.930,35,30.0,35,0.001710,35,5.712,50
2014,12,5,49.8,70,20.864,70,30.5,70,0.001394,70,5.783,95
2014,12,6,48.0,64,21.072,64,31.0,64,0.001348,64,5.805,88
2014,12,7,50.0,74,22.778,74,31.0,74,0.001392,74,5.796,109
2014,12,8,47.4,82,17.318,82,32.0,82,0.000989,82,5.794,123
2014,12,9,46.3,99,16.129,99,30.0,99,0.000979,99,5.793,158
2014,12,10,55.2,108,16.281,108,31.0,108,0.001312,108,5.829,185
2014,12,11,53.8,120,14.576,120,30.0,120,0.001309,120,5.138,173
2014,12,12,45.0,107,18.930,107,30.0,107,0.001566,107,5.765,173
2014,12,13,52.4,124,15.353,124,31.0,124,0.001027,124,5.722,183
2014,12,14,47.4,149,19.203,149,30.0,149,0.001133,149,5.802,210
2014,12,15,50.3,148,16.067,148,30.0,148,0.001387,148,5.765,197
2014,12,16,49.2,166,17.231,166,30.0,166,0.001455,166,5.732,246
2014,12,17,52.5,197,16.514,197,31.0,197,0.001197,197,5.791,265
2014,12,18,55.1,228,16.214,228,32.0,228,0.001215,228,5.691,318
2014,12,19,56.4,219,17.510,219,33.0,219,0.001619,219,5.692,312
2014,12,20,57.6,202,14.759,202,33.0,202,0.001513,202,5.614,298
2014,12,21,63.2,202,15.233,202,34.0,202,0.002052,202,5.663,293
2014,12,22,55.8,171,13.668,171,32.0,171,0.001643,171,5.646,242
2014,12,23,53.3,155,18.477,155,31.0,155,0.001348,155,5.274,216
2015,1,0,50.0,114,20.255,114,30.0,114,0.001167,114,5.834,160
2015,1,1,47.5,61,23.310,61,29.0,61,0.000934,61,5.827,91
2015,1,2,48.5,60,11.875,60,31.0,60,0.001598,60,5.594,79
2015,1,3,51.7,36,28.365,36,33.0,36,0.001870,36,5.734,53
2015,1,4,48.8,45,19.527,45,31.0,45,0.001403,45,5.829,64
2015,1,5,51.2,36,21.250,36,31.0,36,0.000974,36,5.822,52
2015,1,6,47.2,54,24.267,54,31.0,54,0.001089,54,5.849,68
2015,1,7,50.2,68,27.153,68,32.0,68,0.002033,68,5.876,101
2015,1,8,49.9,85,17.727,85,31.0,85,0.001325,85,5.793,121
2015,1,9,50.7,114,23.040,114,31.0,114,0.001866,114,5.832,154
2015,1,10,51.1,109,21.115,109,29.0,109,0.001523,109,5.757,157
2015,1,11,47.9,123,16.956,123,30.0,123,0.001791,123,5.751,177
2015,1,12,52.5,156,20.520,156,31.0,156,0.001349,156,5.850,220
2015,1,13,53.0,121,19.254,121,32.0,121,0.002272,121,5.741,174
